"Nationale 2 - Goumois - 2012-05-27","Course 2","2012-05-27","Nationale 2","239"
"Dimitri Etienne-Francois Gillot","C2H","143.24","197.4","258.89",""
"Joris Rocher-Kevin Lemenaheze","C2H","144.9","159.9","270.18",""
"Claude Menissier-Gerard Menissier","C2H","167.67","217.31","425.06",""
"Alan Dollo-Leo Le Druillennec","C2H","198.02","207.67","631.51",""
"Nathan Robert-Quentin Robert","C2H","251.02","203.2","992.02",""
"Philippe Thevenin-Patrick Thevenin","C2H","Nt","-","-",""
"Emeric Bertrand-Benoit Letellier","C2H","Nt","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","150.52","146.91","238.99",""
"Anthony Thuillier-Camille Andrieux","C2M","152.99","224.73","254.66",""
"Medhi Deguil-Betty Merand","C2M","160.56","-","302.66",""
"Celia Jodar-Cedric Forgit","C2M","190.74","186.07","494.03",""
"Jonas Le Morvan-Claire Landrin","C2M","221.61","196.86","689.77",""
"Caroline Bourry-Renaud Doby","C2M","Nt","-","-",""
"Anneline Triomphe","K1D","115.89","57.87","51.93",""
"Flora Bove","K1D","122.06","85.25","92.78",""
"Andrea Gratwohl","K1D","122.29","136.4","94.3",""
"Anne Sophie Le Bailly","K1D","123.78","72.56","104.17",""
"Solene Graille","K1D","123.88","90.69","104.83",""
"Melanie Ragaru","K1D","124.11","91.7","106.35",""
"Claire Moal","K1D","124.19","100.29","106.88",""
"Marie Borlet","K1D","125.53","115.46","115.75",""
"Barbara Gibert","K1D","127.86","136.11","131.18",""
"Oceane Vienet","K1D","129.38","155.24","141.25",""
"Raphaelle Hovine","K1D","129.38","152.93","141.25",""
"Camille Prigent","K1D","130.24","92.79","146.94",""
"Anne-sophie Biazizzo","K1D","130.31","126.01","147.41",""
"Lea Gaigeot","K1D","130.63","118.25","149.52",""
"Anne Traband","K1D","130.7","171.22","149.99",""
"Camille Andrieux","K1D","131.52","137.31","155.41",""
"Claire Gaigeot","K1D","131.56","98.84","155.68",""
"Juliette Legendre","K1D","131.61","115.09","156.01",""
"Laura Rocher","K1D","132.1","173.32","159.26",""
"Flora Huvelin","K1D","132.13","119.09","159.45",""
"Florianne Gautier","K1D","132.8","110.52","163.89",""
"Suzon Broute","K1D","133.19","156.68","166.47",""
"Marianne Bercon","K1D","133.48","177.03","168.4",""
"Julie Wassmer","K1D","133.95","158.34","171.51",""
"Jenny Chevalier","K1D","134.12","157.78","172.63",""
"Emeline Oudet","K1D","134.67","195.95","176.27",""
"Clothilde Rocher","K1D","134.81","190.75","177.2",""
"Alice Cailhol","K1D","135.31","141.4","180.51",""
"Charlotte Lubineau","K1D","135.65","169.46","182.76",""
"Coralie Yebenes","K1D","136.37","150.39","187.53",""
"Charlotte Abba","K1D","137.34","159.94","193.95",""
"Celia Jodar","K1D","138.58","169.45","202.16",""
"Lorraine Mathis","K1D","139.5","205.95","208.25",""
"Manon Caveribere","K1D","139.61","151.05","208.99",""
"Suzy Merand","K1D","141.24","187.9","219.78",""
"Solene Kerneis","K1D","142.66","189.31","229.18",""
"Heloise Geffray","K1D","143.67","170.61","235.87",""
"Chloe Gatuingt","K1D","144.42","193.07","240.83",""
"Berangere Baudart","K1D","145.12","161.09","245.47",""
"Oriane Pottier","K1D","147.41","207.93","260.63",""
"Stephanie Bender","K1D","147.96","221.75","264.27",""
"Marion Laurain","K1D","150.12","158.71","278.58",""
"Amelie Perier","K1D","151.56","185.24","288.11",""
"Lea Feuillard","K1D","161.31","210.19","352.67",""
"Alize Bachelot","K1D","165.36","196.35","379.49",""
"Lou Renaud","K1D","182.96","157.12","496.02",""
"Ophelia Lopes Marques","K1D","196.11","216.92","583.1",""
"Laurine Grandadam","K1D","197.2","195.56","590.32",""
"Clothilde Le Louarn","K1D","234.09","170.65","834.59",""
"Laurine Naveau","K1D","393.55","156.2","1890.46",""
"Fanny Mino-vercellio","K1D","Nt","-","-",""
"Jules Bevalot","K1H","100.64","49.94","37.57",""
"Loic Monbel","K1H","102.61","90.08","52.31",""
"Yoann Gottardo","K1H","102.64","80.4","52.54",""
"Arthur Bernot","K1H","103.79","110.71","61.14",""
"Romain Lecrenais-perrel","K1H","104.46","63.12","66.16",""
"Sebastien Kerneis","K1H","105.01","101.14","70.27",""
"Virgile Pigache-donnet","K1H","105.09","88.82","70.87",""
"Jean Christophe Boivin","K1H","105.33","96.78","72.67",""
"Thibault Marchand","K1H","105.71","111.62","75.51",""
"Alexis Caspar","K1H","105.83","104.36","76.41",""
"Davy Egraz","K1H","105.91","78.92","77.01",""
"Willy Hugedet","K1H","106.05","92.43","78.05",""
"Jonathan Chapatte","K1H","106.7","75.88","82.92",""
"Tanguy Le Marec","K1H","106.85","75.88","84.04",""
"Louison Turmeau","K1H","106.86","81.44","84.11",""
"Clement Travert","K1H","107.03","141.24","85.39",""
"Charles Edouard Dherment","K1H","107.06","78.28","85.61",""
"Nicolas Feuillard","K1H","107.37","80.34","87.93",""
"Vincent Ablin","K1H","107.5","133.82","88.9",""
"Remi Thomas","K1H","107.51","121.34","88.98",""
"Michel Gombert","K1H","107.51","113.11","88.98",""
"Nathan Barbier","K1H","107.56","109.91","89.35",""
"Romain Faurie","K1H","107.75","62.11","90.77",""
"Gary Allemann","K1H","107.85","126.3","91.52",""
"Pascal Ferry","K1H","108.16","109.93","93.84",""
"Thibaut Chariot","K1H","108.19","118.64","94.07",""
"Eric Lamour","K1H","108.23","97.27","94.36",""
"Quentin Mignard","K1H","108.28","90.8","94.74",""
"Herve Busson","K1H","108.39","65.11","95.56",""
"Martin Daviet","K1H","108.49","47.67","96.31",""
"Arnaud Gallois","K1H","108.74","114.49","98.18",""
"Silvere Desongins","K1H","109.05","94.26","100.5",""
"Florent Boulet","K1H","109.1","88.29","100.87",""
"Pierre Audouin","K1H","109.18","131.69","101.47",""
"Anthony Thuillier","K1H","109.26","96.79","102.07",""
"Pol Oulhen","K1H","109.29","94.13","102.3",""
"Florient Tagnon","K1H","109.31","67.09","102.45",""
"Stephane Labouille","K1H","109.34","77.91","102.67",""
"Xavier Jourdain","K1H","109.47","80.02","103.64",""
"Sylvain Dandel","K1H","109.53","79.04","104.09",""
"Emmanuel Sarazin","K1H","109.77","107.08","105.89",""
"Joris Rocher","K1H","109.81","107.49","106.19",""
"Benoit Gaillard","K1H","109.82","130.2","106.26",""
"Benoit Chantry","K1H","109.95","79.82","107.23",""
"Enzo Seker","K1H","109.98","84.2","107.46",""
"Paul Messialle","K1H","110.04","133.07","107.91",""
"Nizar Samlal","K1H","110.06","115.02","108.06",""
"Nicolas Coudert","K1H","110.32","64.66","110",""
"Gael Wassmer","K1H","110.58","122.57","111.95",""
"Laurent Le Touze","K1H","110.69","115.47","112.77",""
"Kilian Blot","K1H","110.71","138.97","112.92",""
"Xavier Marie","K1H","110.76","142.77","113.3",""
"Charlie Barbier","K1H","111","138.93","115.09",""
"Bertrand Bercon","K1H","111","113.93","115.09",""
"Mehdi Rouich","K1H","111.28","108.77","117.19",""
"Benjamin Thouvignon","K1H","111.33","105.4","117.56",""
"Dimitri Etienne","K1H","111.4","132.54","118.08",""
"Sebastien De Kerleau","K1H","111.6","84.8","119.58",""
"Stephane Broute","K1H","111.73","106.3","120.55",""
"Alexandre Dherbilly","K1H","111.8","106.2","121.08",""
"Mathieu Douillet","K1H","111.95","85.79","122.2",""
"Antoine Dubost","K1H","112.02","115.86","122.72",""
"Vincent Bocci","K1H","112.29","120.4","124.74",""
"Romain Guyomard","K1H","112.42","127.33","125.72",""
"Victor Duhamel","K1H","112.74","97.45","128.11",""
"Joffrey Lemeux","K1H","112.78","86.85","128.41",""
"Nicolas Caussanel","K1H","112.79","108.45","128.48",""
"Jean-francois Souville","K1H","112.87","128.88","129.08",""
"Billel Khenchouche","K1H","113.03","138.79","130.28",""
"Theo Quenouillere","K1H","113.11","126.4","130.88",""
"Maxime Foucault","K1H","113.16","100.53","131.25",""
"Jean Messialle","K1H","113.21","111.56","131.63",""
"Laurent Starck","K1H","113.28","118.16","132.15",""
"Guillaume Doutreix","K1H","113.39","134.82","132.97",""
"Clement Cierocki","K1H","113.52","139.02","133.95",""
"Tristan Lejot","K1H","113.52","95.28","133.95",""
"Julien Arribe","K1H","113.62","119.88","134.69",""
"Lucas Ferraina","K1H","113.82","126.24","136.19",""
"Alan Dollo","K1H","114.06","145.72","137.99",""
"Cedric Jegouzo","K1H","114.54","112.42","141.58",""
"Pol Euzenes","K1H","114.79","92.67","143.45",""
"Kevin Lemenaheze","K1H","115.04","108.31","145.32",""
"Alexis Pernelle","K1H","115.07","127.63","145.54",""
"Valentin Vibert","K1H","115.19","130.32","146.44",""
"Maxence Grandadam","K1H","115.31","95.79","147.34",""
"Nicolas Mangeolle","K1H","115.38","146.66","147.86",""
"Philippe Daumont","K1H","115.82","141.66","151.16",""
"Etienne Carpentier","K1H","115.93","102.02","151.98",""
"Nicolas Burgi","K1H","116.47","123.74","156.02",""
"Mathurin Madore","K1H","116.59","123.17","156.92",""
"Jean Baptiste Thiel","K1H","117.09","122.81","160.66",""
"Francois Gillot","K1H","117.23","131.19","161.71",""
"Fabien Tournadre","K1H","117.39","55.93","162.9",""
"Nicolas Rouleaud","K1H","118.86","136.78","173.9",""
"Francois Bonnet","K1H","118.95","140.01","174.58",""
"Aurelien Ballandras","K1H","119.01","121.24","175.02",""
"Nikolas Stanik","K1H","119.94","121.63","181.98",""
"Romain Bertrand","K1H","120.87","110.43","188.94",""
"Nicolas Honzatko","K1H","121.24","107.02","191.71",""
"Simon Philibert","K1H","121.25","134.5","191.79",""
"Rodolphe Rodrigue","K1H","124.39","143.96","215.28",""
"Vincent Lemonnier","K1H","126.78","98.8","233.16",""
"Jonas Le Morvan","K1H","127.12","126.39","235.71",""
"Damien Launay","K1H","155.2","74.6","445.81",""
"Tristan Bronsard","K1H","161.89","93.77","495.87",""
"Alexandre Lismonde","K1H","162.38","120.17","499.53",""
"Thibaut Bernot","K1H","166.98","137.53","533.95",""
"Olivier Cain","K1H","216.82","124.55","906.87",""
"Thomas Dandel","K1H","262.09","85.07","1245.6",""
"Anthony Mottais","K1H","264.79","65.87","1265.8",""
"Vincent Froger","K1H","320.44","106.27","1682.19",""
"Gael Prodeau","K1H","362.27","64.18","1995.18",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Antoine Germay","K1H","Nt","-","-",""
"Yannick Besse","K1H","Nt","-","-",""
"Maxime Degesves","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Antoine Lebastard","K1H","Nt","-","-",""
"Arnaud Delattre","K1H","Nt","-","-",""
"James Duvernoy","K1H","Nt","-","-",""
