"Sélectif Régional - Stade d'eau vive du Rebech à Foix - Finale - 2014-10-26","Finale","2014-10-26","Régional","190"
"Florian Campagnole","K1H","103.32","164.28","143.32","Finale A"
"Jonathan Delagnes","K1H","103.82","103.26","148.99","Finale A"
"Florent Boulet","K1H","104.17","-","152.96","Finale A"
"Benjamin Jacon","K1H","104.2","125.14","153.3","Finale A"
"Nicolas Caussanel","K1H","105.4","197.64","166.91","Finale A"
"Leo Fournier","K1H","106.62","211.04","180.76","Finale A"
"SÉbastian Rossi","K1H","106.86","-","183.48","Finale A"
"Theo Celjo","K1H","107","199.12","185.07","Finale A"
"Remy Cassar","K1H","107.63","200.65","192.21","Finale A"
"Louis Midy","K1H","108.23","229.65","199.02","Finale A"
"Aurelien Maynadier","K1H","108.72","199.15","204.58","Finale A"
"Paul Graton","K1H","108.73","-","204.69","Finale A"
"Olivier Cain","K1H","109.05","213.26","208.32","Finale A"
"Hugo Crepeau","K1H","109.43","258.8","212.64","Finale A"
"Brieuc Cadic","K1H","110.06","224.42","219.78","Finale A"
"Anthony Themines","K1H","110.24","257.44","221.83","Finale A"
"Luc Doye","K1H","110.85","226.91","228.75","Finale A"
"Paul Commenges","K1H","110.94","261.62","229.77","Finale A"
"Benoit Gaillard","K1H","110.94","268.31","229.77","Finale A"
"Hippolyte Cail","K1H","111.23","272.27","233.06","Finale A"
"Mathieu Cheze","K1H","114.48","254.08","269.93","Finale A"
"Antoine Runet","K1H","116.3","-","290.58","Finale A"
"Philippe Vuitton","K1H","116.44","-","292.17","Finale A"
"Florent Iraundegui","K1H","116.82","308.05","296.48","Finale A"
"Denis Delaleux","K1H","117.23","279.45","301.13","Finale A"
"Edouard Lecomte","K1H","117.31","320.55","302.04","Finale A"
"Julien Delaleux","K1H","121.47","372","349.23","Finale A"
"Quentin Clerc","K1H","127.7","329.13","419.91","Finale A"
"Clement Bosc","K1H","159.41","336.05","779.67","Finale A"
"Raphael Lassechere","K1HM","117.24","-","301.24","Finale A"
"Antoine Grillier","K1HM","126.9","467.18","410.84","Finale A"
"Lorenzo Py","K1HM","129.49","-","440.22","Finale A"
"Natan Brule","K1HM","134.53","-","497.4","Finale A"
"Nathan Pavot","K1HM","144.24","777.16","607.57","Finale A"
"Yanis Clerc","K1HM","148.56","-","-","Finale A"
"Brishan O'brien","K1HM","151.79","-","693.22","Finale A"
"Maxence Merpillat","K1HM","169.5","-","894.15","Finale A"
"Morgane Foligne","C1D","184.97","1129.81","724.91","Finale B"
"Barbara Lassechere","C1D","192.3","625.7","794.2","Finale B"
"Julie Paris","C1D","249.33","614.01","1333.39","Finale B"
"Romane Prigent","C1D","Des","-","-","Finale B"
"Theo Roisin","C1H","116.98","273.34","240.1","Finale B"
"Quentin Mignard","C1H","118.15","424.64","252.74","Finale B"
"Nicolas Baudoin","C1H","118.23","303.02","253.6","Finale B"
"Benjamin Jacon","C1H","121.22","330.1","285.91","Finale B"
"Xavier Henry","C1H","123.5","427.93","310.54","Finale B"
"Joris Santoro","C1H","125.14","216.91","328.26","Finale B"
"Tom Bar","C1H","125.65","293.89","333.78","Finale B"
"Ugo Rolland","C1H","126.68","409.93","344.91","Finale B"
"Mathieu Marteau","C1H","131.53","431.46","397.31","Finale B"
"Johan Pucheou","C1H","132.58","323.52","408.66","Finale B"
"Addwyn Martinez","C1H","136.53","368.09","451.34","Finale B"
"Nasser Belabdi","C1H","146.34","476.33","557.33","Finale B"
"Aymeric Maynadier","C1H","154.16","-","641.82","Finale B"
"Luc Sarramea","C1H","164.47","675.53","753.22","Finale B"
"Violaine Truche","K1D","127.78","273.2","259.05","Finale B"
"Alice Lachaudru","K1D","128.04","262.22","261.66","Finale B"
"Stephanie Kaczmarek","K1D","128.67","266.23","267.97","Finale B"
"Marine Izac","K1D","135.05","373.67","332.03","Finale B"
"Laetitia Thueux","K1D","135.43","330.35","335.85","Finale B"
"Morgane Foligne","K1D","136.04","330.24","341.97","Finale B"
"Elsa Cailhol","K1D","137.45","309.81","356.13","Finale B"
"Lucie Adisson","K1D","148.15","483.42","463.56","Finale B"
"Delia Forgues","K1D","156.8","335.15","550.4","Finale B"
"Agathe Gewiss","K1D","157.69","477.23","559.34","Finale B"
"Celine De La Morinerie","K1D","159.73","480.4","579.82","Finale B"
"Julie Paris","K1D","165.13","478.22","634.04","Finale B"
"Barbara Lassechere","K1D","166.71","417.04","649.9","Finale B"
"Axelle Degremont","K1D","169.75","506.32","680.42","Finale B"
"Laura Maurilieras","K1D","170.37","-","686.65","Finale B"
"Oriane Guichet","K1D","186.87","363.4","852.31","Finale B"
"Lucile Gangloff","K1D","213.74","753.67","1122.08","Finale B"
"Allan Cousset","K1H","112.3","278.85","250.2","Finale B"
"Vincent Garcia","K1H","113.44","230.11","263.13","Finale B"
"Robin Vandenbossche","K1H","113.78","307.25","266.99","Finale B"
"Tom Deconchy","K1H","114.92","344.39","279.92","Finale B"
"Pierre Dehaudt","K1H","117.9","328.6","313.73","Finale B"
"Nicolas Boulesteix","K1H","118.68","390.16","322.58","Finale B"
"Gregoire Cayez","K1H","118.72","-","323.03","Finale B"
"Pierre-louis Saussereau","K1H","119.22","332.93","328.71","Finale B"
"Olivier Cail","K1H","119.34","328.35","330.07","Finale B"
"Jacques Roisin","K1H","119.39","380.14","330.63","Finale B"
"Vincent Ardonceau","K1H","119.71","419.36","334.27","Finale B"
"Alexis Dorey","K1H","120.16","379.36","339.37","Finale B"
"Hugo Mouffle","K1H","120.27","355.45","340.62","Finale B"
"Erwan Guilhamet","K1H","120.27","480.46","340.62","Finale B"
"Lucas Lavit","K1H","120.48","379.44","343","Finale B"
"Vincent Bocci","K1H","120.51","202.33","343.34","Finale B"
"Alexandre Pouille","K1H","120.54","305.56","343.68","Finale B"
"Arthur Gaudron","K1H","121.54","344.6","355.03","Finale B"
"Gregoire Pouille","K1H","123.8","346.56","380.67","Finale B"
"Theau Le Loch","K1H","124.93","412.61","393.49","Finale B"
"Luc Sarramea","K1H","124.94","520.56","393.6","Finale B"
"Nicolas Alran","K1H","124.94","489.13","393.6","Finale B"
"Theo Ducasse","K1H","125.1","482.52","395.42","Finale B"
"Komlangan Gassou","K1H","127.24","421.8","419.7","Finale B"
"Gael Adisson","K1H","133.38","-","489.36","Finale B"
"Nasser Belabdi","K1H","133.4","-","489.58","Finale B"
"Valentin Affortit","K1H","133.66","574.79","492.53","Finale B"
"Thomas Wingerter","K1H","133.83","531.08","494.46","Finale B"
"Louis Foissac","K1H","138.99","519.44","553","Finale B"
"Loic Thibaut","K1H","139.71","591.94","561.17","Finale B"
"Franck Leroy","K1H","141.56","561.31","582.16","Finale B"
"Nicolas Saurat","K1H","144.76","580.74","618.46","Finale B"
"Lucas Maurin","K1H","145","644.65","621.19","Finale B"
"Marc Cailhol","K1H","146.02","550.27","632.76","Finale B"
"Jeremy Mallo","K1H","147.16","-","645.69","Finale B"
"Robin Plancade","K1H","158.04","728.48","769.13","Finale B"
"Maurice Pubert","K1H","169.99","749.43","904.71","Finale B"
"Paul Sailhac","K1H","170.98","-","915.94","Finale B"
"Marc Laborde","K1H","185.95","399.45","1085.78","Finale B"
"Flavien San Augustin","K1H","195.84","341.02","1197.98","Finale B"
"Sebastien Valla","K1H","195.86","-","1198.21","Finale B"
"Elzear Felician","K1H","224.61","-","1524.39","Finale B"
"Frederic Reus","K1H","328.67","474.18","2704.98","Finale B"
"Louis Bouchiat","K1H","Des","-","-","Finale B"
"Paul Lefevre","K1H","Des","-","-","Finale B"
"Vincent Gardere","K1H","Abs","-","-","Finale B"
"Valentin Courtiade","K1HM","144.34","-","-","Finale B"
"Tino Forgues","K1HM","147.5","-","-","Finale B"
"Thibault Clerc","K1HM","151.09","-","-","Finale B"
"Denis Vintrou","K1HM","172.03","-","927.85","Finale B"
"Laurence Scrimgeour","K1HM","172.12","-","928.87","Finale B"
"Ludovic Castelle","K1HM","227.76","-","1560.12","Finale B"
"Leo Vuitton","K1HM","284.36","-","-","Finale B"
