"SÈlectif RÈgional de Slalom - 16000 Angouleme - Qualifications - 2018-11-18","Qualifications","2018-11-18","RÈgional","244"
"Clement Turgis","C1HM","165.23","1134.98","864.89",""
"Paul Brochard","C1HM","169.11","-","908.19",""
"Ronan Viroulaud-salle","C1HM","172.52","-","946.25",""
"Hicham Domti","C1HM","174.27","-","965.78",""
"Aurele Neveu","C1HM","203.88","785.93","1296.25",""
"Matt…o Rainaud","C1HM","Abs","-","-",""
"Cerise Babin-Juliette Derouineau","C2D","174.2","596.55","591.11",""
"Margot Zaninotto-Oceane Sedrue","C2DM","198.81","901.01","812.96",""
"Tom Babin-Arnaud Verrons","C2H","125.69","320.92","359.83",""
"Louis Rathier-Titouan Conseil","C2H","128.11","610.4","385.61",""
"Christian Boob-Frederic Boob","C2H","128.39","352.7","388.59",""
"Maxence Merpillat-Raphael Lassechere","C2H","142.86","1002.63","542.75",""
"Adrien Roux-Guillaume Lopes","C2H","149.16","599.79","609.86",""
"Clement Gillaizeau-Theo Jeanlouis","C2H","151.54","747.35","635.22",""
"Adrien Ricaud-Dylan Renneteau","C2H","157.93","525.75","703.3",""
"Alexandre Medge-Owen Merpillat","C2H","168.29","-","813.66",""
"Lucas Deleplancque-Adrien Favennec","C2H","170.36","1029.17","835.72",""
"Kevin Richard-lubon-Julien Toussaint","C2H","Abs","-","-",""
"Aurele Neveu-Malo Fevin","C2HM","182.07","-","960.47",""
"Mael Sicard-Geraud Gallais","C2HM","Abs","-","-",""
"Frederic Boob-Frederique Merle","C2M","140.08","414.28","388.76",""
"Alice Bureau-Gaspard Trichard","C2M","161.59","1560.22","598.82",""
"Sophie Delage-Christian Boob","C2M","180.94","864.63","787.79",""
"Cerise Babin-Clement Brotier","C2MM","156.71","540.81","551.17",""
"Violaine Vennin","K1D","117.1","-","235.19",""
"Frederique Merle","K1D","120.03","273.5","265.57",""
"Perrine Joubert","K1D","120.13","291.86","266.62",""
"Ella Bregazzi","K1D","124.53","-","312.25",""
"Cindy Coat","K1D","128.23","592.92","350.62",""
"Zoe Waeles","K1D","129.46","357.15","363.37",""
"Juliette Derouineau","K1D","131.57","447.49","385.26",""
"Alice Bureau","K1D","133.17","526.03","401.85",""
"Cecile Grehan","K1D","140.39","520.61","476.72",""
"Laurine Meslong","K1D","141.31","550.85","486.26",""
"Marie Charbonneau","K1D","144.62","744.65","520.59",""
"Elise Doreau","K1D","147.38","905.1","549.22",""
"Valentine Jussy","K1D","155.9","556.16","637.58",""
"Louise Turgis","K1D","166.25","932.59","744.91",""
"Louise Gannac","K1D","195.93","-","1052.71",""
"Sophie Delage","K1D","270.29","1324.38","1823.88",""
"Helene Pernes","K1D","289.59","-","2024.03",""
"Noemie Genet","K1D","301.26","-","2145.06",""
"Celine Duprat","K1D","353.31","3632.11","2684.85",""
"Morgane Bastier-guilcher","K1D","Abs","-","-",""
"Celine Saint Venant","K1D","Abd","-","-",""
"Cerise Babin","K1DM","128.47","351.59","353.1",""
"Oceane Sedrue","K1DM","139.66","528.97","469.15",""
"Margot Zaninotto","K1DM","143.53","636.8","509.29",""
"Melody Gireaud","K1DM","144.13","648.04","515.51",""
"Noeline Pierre","K1DM","145.49","2080.18","529.61",""
"Clara Brard","K1DM","150.4","914.45","580.53",""
"Celia Pieret","K1DM","155.38","-","632.17",""
"Elea Mathieu-noel","K1DM","157.38","731.69","652.92",""
"Julie Charpentier","K1DM","170.5","2513.05","788.98",""
"Charlie Barloy","K1DM","195.79","850.33","1051.25",""
"Clara Moulevrier","K1DM","207.1","1313.76","1168.55",""
"Ana Thoraux","K1DM","Abs","-","-",""
"Antoine Launay","K1H","93.72","86.7","119.07",""
"Tom Babin","K1H","95.5","142.73","139.93",""
"Pierre Giudicelli","K1H","96.83","71.74","155.52",""
"Zeph Scamps","K1H","97.02","166.01","157.75",""
"Theo Desvignes","K1H","98.43","83.49","174.27",""
"Tanguy Zaninotto","K1H","98.84","159.66","179.08",""
"Yanis Rainaud","K1H","100.19","123.73","194.9",""
"Gurgen Brun","K1H","100.2","80.72","195.01",""
"Arnaud Verrons","K1H","100.89","165.84","203.1",""
"Nicolas Labat","K1H","102.61","278.57","223.26",""
"Raphael Lassechere","K1H","102.95","121.54","227.24",""
"Thibaud Lacour","K1H","103.28","189.85","231.11",""
"Dylan Sourbe","K1H","104.12","207.69","240.95",""
"Sam Traquet","K1H","104.3","201.04","243.06",""
"Henri Chenu","K1H","107.05","365.97","275.29",""
"NaÀl Rajoub","K1H","107.14","322.41","276.34",""
"Christophe Marechal","K1H","108.29","200.41","289.82",""
"Arthur Huet","K1H","108.4","310.62","291.11",""
"Francois Gillot","K1H","108.96","276.93","297.67",""
"Maxence Merpillat","K1H","109.42","239.51","303.06",""
"Maxime Texier","K1H","110.64","459.68","317.36",""
"Fantin Delage-garez","K1H","111.08","307.21","322.51",""
"Quentin Bonniol","K1H","111.36","348.85","325.8",""
"Thibault Dufour","K1H","111.64","284.07","329.08",""
"Jerome Trousson","K1H","112.29","353.59","336.69",""
"Marc Brossard","K1H","112.31","418.08","336.93",""
"Adrien Pardoux","K1H","112.6","403.03","340.33",""
"Quentin Robert","K1H","112.62","426.42","340.56",""
"Alexandre Medge","K1H","112.77","455.97","342.32",""
"Louis Rathier","K1H","113.17","436.44","347.01",""
"Titouan Conseil","K1H","113.62","391.68","352.28",""
"Tom Delens","K1H","114.01","389.41","356.85",""
"Florentin Saumon","K1H","114.1","273.93","357.91",""
"Adrien Ricaud","K1H","115.35","420.64","372.55",""
"Hugues Lesimple","K1H","116.97","374.99","391.54",""
"Jonathan Bourdier","K1H","117.35","3349.14","395.99",""
"Julien Brice","K1H","118.15","463.32","405.37",""
"Tom Charles","K1H","118.17","452.41","405.6",""
"Bastien Petit","K1H","118.29","618.29","407.01",""
"Pierre Dehaudt","K1H","119.43","469.3","420.37",""
"Sebastien Larenaudie","K1H","119.44","546.4","420.48",""
"Thilbault Rucher","K1H","120.05","561.97","427.63",""
"Antonin Beyneix","K1H","121.08","424.67","439.7",""
"Nicolas Cappy","K1H","121.6","525.01","445.8",""
"Louis Bouchiat","K1H","121.7","479.94","446.97",""
"Simon Tourtois","K1H","122.67","498.67","458.34",""
"Adrien Favennec","K1H","123.18","620.89","464.31",""
"Adrien Roux","K1H","124.1","584.26","475.09",""
"Guillaume Lopes","K1H","124.15","541.4","475.68",""
"Martin Thermidor","K1H","124.8","767.04","483.3",""
"Batiste Dubois","K1H","124.85","-","483.88",""
"Gaspard Trichard","K1H","127.68","691.12","517.05",""
"Lucas Deleplancque","K1H","130.01","666.2","544.35",""
"Romain Bouby","K1H","130.06","601.53","544.94",""
"Baptiste Mondin","K1H","130.28","1188.2","547.52",""
"Gauthier Beyneix","K1H","130.4","806","548.92",""
"Hugo Martin","K1H","132.35","679.42","571.78",""
"Benoit Mandon","K1H","132.77","850.85","576.7",""
"Loris Ladame","K1H","132.87","-","577.87",""
"Felix Floriot","K1H","134.46","-","596.5",""
"Leo Guillaumin","K1H","135.88","-","613.14",""
"Jean-noel Biteau","K1H","137.3","787.39","629.78",""
"Philippe Albessard","K1H","137.75","1051.5","635.06",""
"Christophe Joubert","K1H","138.69","-","646.07",""
"Clement Drillaud","K1H","139.46","827.01","655.1",""
"Killian Dal-cin","K1H","141.2","749.78","675.49",""
"Julien Moreau","K1H","142.33","-","688.73",""
"Jean Luc Pessoni","K1H","143.58","983.89","703.38",""
"Thierry Dugue","K1H","145.86","910.3","730.1",""
"Lucas Mesquita","K1H","146.82","837.3","741.35",""
"Kevin Richard-lubon","K1H","151.43","696.96","795.37",""
"Damien Launay","K1H","153.33","509.91","817.64",""
"Titouan Besse-querbouet","K1H","154.12","-","826.9",""
"Natan Bignaud","K1H","155.62","984.95","844.47",""
"Loœck Vidal","K1H","157.7","1404.5","868.85",""
"Loris Shayam Affre","K1H","158.08","330.32","873.3",""
"Thierry Le Bonniec","K1H","163.2","1238.86","933.3",""
"Alexis Dorey","K1H","163.67","289.85","938.81",""
"Ludovic Phan Dang","K1H","171.44","1562.65","1029.87",""
"Boris Le Jolly","K1H","196.31","-","1321.32",""
"Maxime Dupuy","K1H","227.24","-","1683.78",""
"Julien Toussaint","K1H","Abs","-","-",""
"Lucas Fort","K1H","Abs","-","-",""
"Matheo Gillaizeau","K1H","Abs","-","-",""
"Aymerik Granveau","K1H","Abs","-","-",""
"Raphael Jean","K1H","Abs","-","-",""
"Kylian Gauthier","K1H","Abs","-","-",""
"Louis Mauget","K1H","Abs","-","-",""
"Thibaud Delaunay","K1H","Abs","-","-",""
"Matt…o Rainaud","K1HM","116.64","502.25","387.67",""
"Owen Merpillat","K1HM","118.44","478.63","408.77",""
"Maxime Blondeau","K1HM","120.78","430.75","436.19",""
"Edouard Patry","K1HM","124.34","645.63","477.91",""
"Malo Fevin","K1HM","129.01","804.81","532.63",""
"Clement Brotier","K1HM","130.19","578.37","546.46",""
"Gaetan Rousseau","K1HM","133.83","849.84","589.12",""
"Axel Plumereau","K1HM","135.17","745.23","604.82",""
"Amaury Sokolik","K1HM","137.62","2000.7","633.53",""
"Louison Masse","K1HM","140.95","1613.52","672.56",""
"Maxime Pham Dang","K1HM","141.36","647.07","677.36",""
"Hicham Domti","K1HM","141.76","702.14","682.05",""
"Pablo Renis Morales","K1HM","142.07","1196.18","685.68",""
"Theo Haulbert","K1HM","145","910.79","720.02",""
"Geraud Gallais","K1HM","145.23","998.61","722.71",""
"Baptiste Vinet","K1HM","146.23","975.66","734.43",""
"Paul Brochard","K1HM","148.18","1773.29","757.29",""
"L…o Cardona","K1HM","148.4","-","759.86",""
"Ronan Viroulaud-salle","K1HM","150.87","-","788.81",""
"Clement Turgis","K1HM","152.12","915.11","803.46",""
"Noah Pajot","K1HM","154.42","1283.4","830.41",""
"Baptiste Le Gal-dutheil","K1HM","156.79","1072.68","858.18",""
"Mael Sicard","K1HM","189.28","3386.15","1238.93",""
"Aurele Neveu","K1HM","190.55","638.11","1253.81",""
"Antonin Normandin","K1HM","191.25","-","1262.02",""
"Justin Poupard","K1HM","197.01","3987.11","1329.52",""
"Jonas Dupuy","K1HM","200.33","-","1368.43",""
"Sylvain Pellegrin","K1HM","225.16","-","1659.4",""
"Antoine Raby","K1HM","226.3","533.96","1672.76",""
"Lukas Martin","K1HM","Abs","-","-",""
"Alexandre Lambert","K1HM","Abs","-","-",""
"Vincent Meuter","K1HM","Abs","-","-",""
"Pierre-louis Hitier","K1HM","Abs","-","-",""
"Lorys Autin","K1HM","Abs","-","-",""
