"Coupe de France N1 - Lannion - 1ère Manche - 2004-03-06","1ère Manche","2004-03-06","Nationale 1","116"
"Jean Christophe Boivin","K1H","187.55","55","65",""
"Christophe Augu","K1H","187.71","38","66",""
"Roger Jeremie","K1H","187.75","84","66",""
"Brogniart Arnaud","K1H","187.84","-","67",""
"Damien Boudet","K1H","188.09","93","68",""
"Patrice Fischer","K1H","188.10","63","68",""
"Davy Egraz","K1H","188.11","65","68",""
"Benoit Rouffet","K1H","188.85","75","71",""
"Thibaud Delaunay","K1H","189.38","60","74",""
"Jean Charles Creusot Walter","K1H","189.41","92","74",""
"Aurelien Maynadier","K1H","189.92","47","76",""
"Arnaud Lapeze","K1H","190.23","66","77",""
"Samuel Hernanz","K1H","190.29","108","77",""
"Mathieu Le Gal","K1H","192.19","104","86",""
"Cordonnier Raphael","K1H","193.84","108","93",""
"Damien Laborde","K1H","194.67","61","97",""
"Raphael Reveche","K1H","195.17","93","99",""
"Riwal Le Berre","K1H","195.74","98","102",""
"Matthieu Le Gall","K1H","195.95","58","102",""
"Lesquer David","K1H","198.19","85","112",""
"Gregory Busson","K1H","198.57","103","114",""
"Estanguet Aldric","K1H","199.20","38","117",""
"Sebastien Halilou","K1H","199.20","98","117",""
"Nicolas Coudert","K1H","201.60","108","128",""
"Thomas Jean Pascal","K1H","216.51","71","193",""
"Benoit Peschier","K1H","233.12","11","266",""
"Loris Minvielle","K1H","237.22","28","284",""
"Venceslas Viseur","K1H","242.63","59","307",""
"Lambert Guillaume","K1H","251.17","105","345",""
"Julien Billaut","K1H","283.10","11","486",""
"Julien Tous","K1H","298.25","53","553",""
"Piquard Charles","K1H","350.70","77","783",""
