"Sélectif Championnat Nationale 2 - Bassin du Martinet, Tarbes - Finale - 2014-05-25","Finale","2014-05-25","Nationale 2","99"
"Olivier Cain","K1H","110.59","170.64","209.98","Finale B"
"Matthieu Chauvel","K1H","110.96","173.59","213.67","Finale B"
"Jean Baptiste Thiel","K1H","111.06","197.31","214.67","Finale B"
"Clement Cierocki","K1H","111.39","154.97","217.95","Finale B"
"Erwan Marchais","K1H","111.48","216.41","218.85","Finale B"
"Nicolas Rouleaud","K1H","111.7","150.73","221.04","Finale B"
"Remi Vinet","K1H","112.73","196.75","231.3","Finale B"
"Remy Cassar","K1H","113.05","175.85","234.48","Finale B"
"Morgan Le Friec","K1H","113.19","189.95","235.88","Finale B"
"Otello Willmann Rosso","K1H","113.69","223.1","240.86","Finale B"
"Vincent Bocci","K1H","113.73","127.16","241.26","Finale B"
"Stephane Labouille","K1H","113.78","153.83","241.75","Finale B"
"Antoine Roux","K1H","114.08","121.73","244.74","Finale B"
"Theo Celjo","K1H","115.67","205.34","260.58","Finale B"
"Vincent Froger","K1H","116.04","175.54","264.26","Finale B"
"Denis Guilmard","K1H","117.53","232.21","279.1","Finale B"
"Maxime Foucault","K1H","118.17","157.63","285.47","Finale B"
"Benoit Gaillard","K1H","119.34","292.67","297.13","Finale B"
"Alexandre Pouille","K1H","119.93","188.83","303","Finale B"
"Guillaume Doutreix","K1H","119.98","211.98","303.5","Finale B"
"Manuel Savels","K1H","120.81","170.14","311.77","Finale B"
"Vincent Garcia","K1H","122.43","226.52","327.9","Finale B"
"Jean-francois Souville","K1H","125.61","240.27","359.57","Finale B"
"Colin Beziade","K1H","Nt","-","-","Finale B"
