"Sélectif National 3 Slalom Sud-Est - Fontaine De Vaucluse - Finale - 2018-03-25","Finale","2018-03-25","Nationale 3","148"
"Joachim Saussol","K1H","97.7","401.61","382.82","Finale A"
"Guillaume Belet","K1H","98.73","422.68","397.22","Finale A"
"Nicolas Demofsqui","K1H","99.08","449.45","402.11","Finale A"
"Arthur Contamine","K1H","99.34","369.56","405.75","Finale A"
"Cedric Mace","K1H","99.67","310.89","410.37","Finale A"
"Louis Mazoyer","K1H","99.77","344.24","411.76","Finale A"
"Pascal Hunault","K1H","101.04","360.28","429.52","Finale A"
"Theo Soulier","K1H","102.25","393.81","446.44","Finale A"
"Corentin Georgeon","K1H","103.19","489.7","459.59","Finale A"
"Gabriel Saul","K1H","103.28","521.54","460.85","Finale A"
"Tanguy Adisson","K1H","103.9","484.29","469.52","Finale A"
"Remi Vallin","K1H","103.99","483.19","470.78","Finale A"
"Romain Bourguignon","K1H","105.27","394.95","488.68","Finale A"
"Kilian Cottet","K1H","105.4","378.97","490.49","Finale A"
"Germain Court","K1H","107.07","471.54","513.85","Finale A"
"Romain Hautecouverture","K1H","107.16","418.25","515.11","Finale A"
"Adrien Jacquemet","K1H","107.24","451.68","516.22","Finale A"
"Sebastien Riou","K1H","108.19","467.03","529.51","Finale A"
"Ulysse Brunel","K1H","108.27","591.82","530.63","Finale A"
"Clement Grapotte","K1H","108.4","440.26","532.45","Finale A"
"Paul Badache","K1H","108.6","493.39","535.24","Finale A"
"Philippe Lelieur","K1H","108.91","465.36","539.58","Finale A"
"Maxence Jehan","K1H","110.12","414.5","556.5","Finale A"
"Alexis Guillon","K1H","110.74","565.87","565.17","Finale A"
"Raphael Bonnard","K1H","110.95","612.73","568.1","Finale A"
"Arthur Talarmain","K1H","113.61","445.55","605.3","Finale A"
"Bastien Cothenet","K1H","115.21","572.19","627.68","Finale A"
"Quentyn Maitre","K1H","118.86","653.61","678.72","Finale A"
"Antonin Castille","K1H","123.36","557.56","741.65","Finale A"
"Gino Benini","K1H","139.03","326.6","960.78","Finale A"
"Andy Pajani","K1H","142.83","477.33","1013.91","Finale A"
"Baptiste Gaillard","K1H","150.95","461.18","1127.46","Finale A"
"Bruno Giovannelli","K1H","153.61","546.97","1164.66","Finale A"
"Mohamed SaÏd Bekkadour","K1H","157.81","407.35","1223.39","Finale A"
"Victorien Lombard","K1H","222.84","464.06","2132.77","Finale A"
"Cedric Mace","C1H","110.69","474.18","495.76","Finale B"
"Raphael Wiche","C1H","114.22","654.04","542.77","Finale B"
"Antonin Dustou","C1H","115.23","526.28","556.23","Finale B"
"Julien Lambert","C1H","122.11","591.78","647.85","Finale B"
"Axel Clement","C1H","122.71","871.53","655.85","Finale B"
"Baptiste Saul","C1H","122.87","649.34","657.97","Finale B"
"Pierre Fillinger","C1H","124.42","654.29","678.61","Finale B"
"Baptiste Dumas","C1H","127.3","747.42","716.97","Finale B"
"Gabriel Saul","C1H","132.88","755.37","791.28","Finale B"
"Gaspard Gonseth","C1H","154.3","897.62","1076.56","Finale B"
"Callista Grange","K1D","120.89","541.05","517.62","Finale B"
"Annie Ughetto","K1D","125.55","432.18","575.29","Finale B"
"Chiara Cini","K1D","126.55","596.14","587.66","Finale B"
"Aurelie Cabrera","K1D","133.27","656.33","670.82","Finale B"
"Camille Vion Delphin","K1D","138.71","812.13","738.14","Finale B"
"Clarisse Feramus","K1D","138.92","853.62","740.74","Finale B"
"Lorene Scalbert","K1D","143.1","682.36","792.47","Finale B"
"Ameline Saunier","K1D","146.59","820.81","835.67","Finale B"
"Caroline Guita","K1D","Des","-","-","Finale B"
"Teo Bouvier","K1H","87.47","318.49","244.76","Finale B"
"Benjamin Guyon","K1H","96.61","411.35","372.57","Finale B"
"Daniel Chambert","K1H","103.39","539.77","467.39","Finale B"
"Philippe Couchoud","K1H","107.88","495.96","530.17","Finale B"
"Esteban Reder-issartel","K1H","108.59","525.83","540.1","Finale B"
"Lucas Mancuso","K1H","108.69","599.95","541.5","Finale B"
"Leo Parnotte","K1H","108.99","703.1","545.7","Finale B"
"Pierre Escuret","K1H","109.24","641.78","549.19","Finale B"
"Gabin Chenal","K1H","110.09","560.92","561.08","Finale B"
"Louis Scalbert","K1H","110.4","486.93","565.41","Finale B"
"Yves Masson","K1H","110.69","474.37","569.47","Finale B"
"Axel Clement","K1H","110.77","474.49","570.59","Finale B"
"Axel Gondard","K1H","110.87","851.71","571.99","Finale B"
"Mathieu Buono-michel","K1H","110.94","518.12","572.96","Finale B"
"Philippe Bigard","K1H","111.73","560.44","584.01","Finale B"
"Aymeric Rivier","K1H","112.84","529.32","599.53","Finale B"
"Matthieu Rousseau","K1H","113.42","541.43","607.65","Finale B"
"Thibaud Chovin","K1H","114.58","592.39","623.87","Finale B"
"Yorick Richioud","K1H","115.23","737.87","632.96","Finale B"
"Claude Flouret","K1H","115.34","738.41","634.49","Finale B"
"Julien Lambert","K1H","115.82","660.99","641.21","Finale B"
"Jean-marc Suarez","K1H","116.01","603.49","643.86","Finale B"
"Antoine Mazoyer","K1H","116.14","553.04","645.68","Finale B"
"Justin Murphy","K1H","116.52","641.6","651","Finale B"
"Florent Vallier","K1H","116.86","568.73","655.75","Finale B"
"Mathys Rene","K1H","117.68","797.18","667.22","Finale B"
"Stephen Furio","K1H","117.72","802.03","667.78","Finale B"
"Francois Lecuit","K1H","118.8","602.46","682.88","Finale B"
"Dominique Polard","K1H","119.19","530.79","688.33","Finale B"
"Arthur Sanchez","K1H","119.59","650.32","693.93","Finale B"
"Sacha Caron","K1H","120.17","718.57","702.04","Finale B"
"Matthieu Fontanez","K1H","120.42","590.63","705.53","Finale B"
"Baptiste Saul","K1H","120.63","699.88","708.47","Finale B"
"Hugo Ausseresse","K1H","121.61","859.78","722.17","Finale B"
"Damien Chamblay","K1H","121.65","762.83","722.73","Finale B"
"Valentin Jossemit","K1H","122.46","599.86","734.06","Finale B"
"Titouan Sourieau","K1H","124.68","685.97","765.1","Finale B"
"Swann Imbert","K1H","125.19","715.83","772.24","Finale B"
"Emilien Charrier","K1H","126.24","904.28","786.92","Finale B"
"Ange Bernard","K1H","126.71","774.88","793.49","Finale B"
"Simon Lescaut","K1H","127.5","890.58","804.54","Finale B"
"Antonin Dustou","K1H","128.49","525.96","818.38","Finale B"
"Aurelien Lauze","K1H","129.82","675.55","836.98","Finale B"
"Charlie Bouvier","K1H","131.52","784.59","860.76","Finale B"
"Jules Sourieau","K1H","137.02","729.92","937.67","Finale B"
"Gaspard Gonseth","K1H","143.68","759.78","1030.8","Finale B"
"Maxime Kabir","K1H","155.3","699.22","1193.29","Finale B"
"Guillaume Mele","K1H","Des","-","-","Finale B"
"Remy Beal","K1H","Des","-","-","Finale B"
