"Sélectif Championnat Nationale 2 - Vallée du Gouët - Barrage de St Barthélémy - FINALE  - 2014-02-23","FINALE ","2014-02-23","Nationale 2","91"
"Nicolas Rouleaud","K1H","100.25","150.73","227.33","FINALE  A"
"Kevin Lemenaheze","K1H","102.17","146.93","249.37","FINALE  A"
"Laurent Le Touze","K1H","150.47","140.44","803.79","FINALE  A"
"Jules Chaumet","C1H","104.7","224.39","226.18","FINALE  B"
"Gael Le Noc","C1H","105.2","238.29","231.64","FINALE  B"
"Erwan Perron","C1H","107.62","148.8","258.1","FINALE  B"
"Didier Botrel","C1H","109.04","228.08","273.63","FINALE  B"
"Frederic Momot","C1H","110.48","252.41","289.37","FINALE  B"
"Lorrie Delattre","C1H","112.67","277.41","313.31","FINALE  B"
"Gaetan Hamelin","C1H","113.54","196.72","322.82","FINALE  B"
"Cedric Jegouzo","C1H","117.65","264.02","367.76","FINALE  B"
"Romain Lecrenais-perrel","C1H","Nt","-","-","FINALE  B"
"Jeremie Gouello","C1H","Nt","-","-","FINALE  B"
"Elodie Le Nechet","K1D","120.05","237.85","301.08","FINALE  B"
"Rozenn Le Page","K1D","120.16","276.41","302.19","FINALE  B"
"Sylviane Quemerais","K1D","121.85","299.5","319.36","FINALE  B"
"Marianne Bercon","K1D","122.89","282.65","329.92","FINALE  B"
"Emilie Delahaye","K1D","125.16","255.14","352.98","FINALE  B"
"Lea Feuillard","K1D","134.21","283.13","444.92","FINALE  B"
"Sarah Desnos","K1D","135.74","279.88","460.46","FINALE  B"
"Chloe Gatuingt","K1D","148.11","301.95","586.11","FINALE  B"
"Lea Grison","K1D","187.8","291.84","989.29","FINALE  B"
"Marie-francoise Prigent","K1D","Nt","-","-","FINALE  B"
"Julien Dosse","K1H","97.02","227.4","195.25","FINALE  B"
"Luc Hellard","K1H","97.46","180.43","200.31","FINALE  B"
"Dimitri Etienne","K1H","98","165.34","206.5","FINALE  B"
"Malo Le Paih","K1H","98.92","199.04","217.06","FINALE  B"
"Morgan Le Friec","K1H","99.22","192.34","220.51","FINALE  B"
"Lionel Tinevez","K1H","100.32","189.13","233.13","FINALE  B"
"Vincent Froger","K1H","101.27","175.54","244.04","FINALE  B"
"Clement Cierocki","K1H","102.56","152.49","258.85","FINALE  B"
"Bertrand Avril","K1H","102.94","208.73","263.21","FINALE  B"
"Denis Guilmard","K1H","103.2","211.82","266.19","FINALE  B"
"Boris Pernelle","K1H","105.02","134.91","287.08","FINALE  B"
"Philippe Daumont","K1H","105.25","206.9","289.72","FINALE  B"
"Hugo Maher","K1H","108.1","154.08","322.44","FINALE  B"
"Vincent Dubois","K1H","109.06","179.15","333.46","FINALE  B"
"Julien Fougeron","K1H","109.27","215.54","335.87","FINALE  B"
"Franck Delachair","K1H","109.74","188.94","341.26","FINALE  B"
"Guillaume Blin","K1H","114.53","224.85","396.25","FINALE  B"
"Paul Gestin","K1H","120.74","217.88","467.53","FINALE  B"
"Kilian Blot","K1H","142.54","117.41","717.76","FINALE  B"
"Maxime Foucault","K1H","156.06","156.89","872.95","FINALE  B"
"Pierre Audouin","K1H","253.6","161.15","1992.58","FINALE  B"
