"Sélectif Championnat Interrégional - Sablé-sur-Sarthe - Finale - 2014-04-20","Finale","2014-04-20","Nationale 3","230"
"Paulin Cachanado","K1H","107.2","381.73","389.94","Finale A"
"Jeremi Toso","K1H","107.61","332.69","395.09","Finale A"
"Dorian Ollivier","K1H","107.87","362.15","398.36","Finale A"
"Augustin Thomas","K1H","108.05","400.96","400.62","Finale A"
"Youn Aubry","K1H","108.93","319.52","411.68","Finale A"
"Dylan Sourbe","K1H","109.04","321.75","413.07","Finale A"
"Vincent Acou","K1H","109.23","360.57","415.45","Finale A"
"Jean Yves Prigent","K1H","109.23","302.48","415.45","Finale A"
"Cyril Launay","K1H","109.33","378.44","416.71","Finale A"
"Melenn Aubry","K1H","109.97","348.69","424.76","Finale A"
"Thomas Brochard","K1H","110.91","447.05","436.57","Finale A"
"Mathis Soudi","K1H","111.76","354.68","447.26","Finale A"
"William Simon","K1H","115.14","364.53","489.75","Finale A"
"Maxime Barrault","K1H","116.49","309.99","506.72","Finale A"
"Gijs Zoetbrood","C1H","110.73","355.34","373.03","Finale B"
"Theo Desvignes","C1H","110.82","436.03","374.11","Finale B"
"Gaylord Crochard","C1H","111.83","388.74","386.2","Finale B"
"Kilian Blot","C1H","114.74","511.98","421.03","Finale B"
"Hugo Robin","C1H","116.67","410.29","444.14","Finale B"
"Clement Jouannaud","C1H","117.33","488.34","452.04","Finale B"
"Jean Malo Bailleul","C1H","119.05","457.83","472.63","Finale B"
"Aurelien Daridan","C1H","123.13","650.35","521.48","Finale B"
"Johann Loiseau","C1H","123.88","451.99","530.46","Finale B"
"Julien Caillarec","C1H","125.48","465.5","549.62","Finale B"
"Adrien Loiseau","C1H","125.86","431.83","554.17","Finale B"
"Nicolas Lelievre","C1H","126.22","645.65","558.48","Finale B"
"Vincent Acou","C1H","128.1","483.56","580.98","Finale B"
"Jeanfrancis Battesti","C1H","134.83","582.34","661.56","Finale B"
"Mathias Pannetier","C1H","138.47","671.63","705.13","Finale B"
"Cyril Launay","C1H","141.49","629.29","741.28","Finale B"
"Emmanuel L'anton","C1H","146.62","713.92","802.7","Finale B"
"Daniel Bregazzi","C1H","162.58","856.08","993.77","Finale B"
"Timothee Le Mort","C1H","Nt","-","-","Finale B"
"Jeremy Lecollinet","C1H","Nt","-","-","Finale B"
"Luc Boisnard","C1H","Nt","-","-","Finale B"
"Anthony Drouhin-Augustin Thomas","C2H","123.16","585.95","454.82","Finale B"
"Theo Desvignes-Arthur Traquet","C2H","126.25","515.33","490.13","Finale B"
"Youn Aubry-Alan Mahe","C2H","132.44","491.37","560.87","Finale B"
"Ludovic Garnier-Nicolas Pelle","C2H","143.18","-","683.61","Finale B"
"Veronique Vourch","K1D","117.76","387.85","357.38","Finale B"
"Djemy Martin","K1D","121.56","384.13","399.65","Finale B"
"Elsa Toumi","K1D","124.64","530.05","433.92","Finale B"
"Deborah Larsonneur","K1D","129.49","513.11","487.87","Finale B"
"Camille Grasland","K1D","129.7","454.56","490.21","Finale B"
"Sophie Allaneau","K1D","130.61","474.91","500.33","Finale B"
"Olivia Legrix","K1D","132.96","439.64","526.47","Finale B"
"Nolwenn Le Mehaute","K1D","135.56","639.44","555.4","Finale B"
"Justine Dupont","K1D","136.62","507.88","567.19","Finale B"
"Christine Le Gall","K1D","138.6","421.62","589.21","Finale B"
"Anais Tinevez","K1D","139.57","566.52","600","Finale B"
"Barbara Chamaille","K1D","140.46","609.89","609.9","Finale B"
"Mathilde Nouaille-degorce","K1D","160.56","479.43","833.51","Finale B"
"Timothee Le Mort","K1H","99.22","257.01","294.62","Finale B"
"Lucas Soudi","K1H","103.43","289.37","347.55","Finale B"
"Julien Caillarec","K1H","103.55","310.95","349.05","Finale B"
"Corentin Bernard","K1H","103.67","278.38","350.56","Finale B"
"Thomas Launay","K1H","103.83","317.21","352.57","Finale B"
"Yves Bourhis","K1H","104.23","312.09","357.6","Finale B"
"Quentin Brillaut","K1H","106.04","378.85","380.36","Finale B"
"Axel Delage","K1H","107.13","369.18","394.06","Finale B"
"Pierre Texier","K1H","107.35","363.87","396.82","Finale B"
"Sylvain Le Dantec","K1H","107.52","339.75","398.96","Finale B"
"Benoit Lasserre","K1H","107.64","379.77","400.47","Finale B"
"Loann Le Guyader","K1H","107.66","485.54","400.72","Finale B"
"Lucas Joubert","K1H","108.27","377.96","408.39","Finale B"
"Olivier Brochard","K1H","108.31","403.36","408.89","Finale B"
"Valentin Rault","K1H","108.82","486.72","415.3","Finale B"
"Lucas Godevin","K1H","109.16","379.28","419.58","Finale B"
"Nathan Dalaine","K1H","109.56","430.39","424.6","Finale B"
"Alexis Brule","K1H","110.1","524.04","431.39","Finale B"
"Thibault Gautherot","K1H","110.25","384.64","433.28","Finale B"
"Pierre Branger","K1H","110.86","405.42","440.94","Finale B"
"Leo Tasset","K1H","111.04","423.04","443.21","Finale B"
"Quentin Gaule","K1H","111.49","379.43","448.86","Finale B"
"Valentin Soullard","K1H","112.28","412.79","458.79","Finale B"
"Antonin Leray","K1H","112.53","423.83","461.94","Finale B"
"Marc-antoine Nannette","K1H","112.57","467.54","462.44","Finale B"
"Clement Le Collinet","K1H","112.64","448.96","463.32","Finale B"
"Nicolas Leconte","K1H","112.74","401.84","464.58","Finale B"
"Jean Terasas","K1H","112.82","424.95","465.58","Finale B"
"Alan Olivo","K1H","113.52","418.8","474.38","Finale B"
"Paul Cazee","K1H","113.6","479.89","475.39","Finale B"
"Edouard Anne","K1H","113.95","410.47","479.79","Finale B"
"Thomas Pineau","K1H","114","553.69","480.42","Finale B"
"Nathan De Saint Just","K1H","114.02","488.37","480.67","Finale B"
"Pierre Guilchet","K1H","114.21","508.39","483.06","Finale B"
"Samuel Flament","K1H","114.47","415.61","486.32","Finale B"
"Mathis Daniel","K1H","114.82","515.21","490.72","Finale B"
"Wilfried Truffy","K1H","115.44","520.07","498.52","Finale B"
"Christophe Gergaud","K1H","115.75","487.43","502.41","Finale B"
"Nathan Leretrif","K1H","115.89","441.88","504.17","Finale B"
"Maxime Goursaud","K1H","116.24","525.24","508.57","Finale B"
"Nathan Girardeau","K1H","116.67","539.73","513.98","Finale B"
"Jean Christophe Olivo","K1H","117.3","538.32","521.9","Finale B"
"Luc Le Diouron","K1H","117.88","492.84","529.19","Finale B"
"Maxance Mongermont","K1H","118.52","626.08","537.23","Finale B"
"Mathis Busnel","K1H","118.78","530.87","540.5","Finale B"
"Paul Gendron","K1H","118.81","577.58","540.88","Finale B"
"Pierrick Meheust","K1H","119.86","447.31","554.08","Finale B"
"Christophe Dieumegard","K1H","120.27","495.82","559.23","Finale B"
"Jerome Saliou","K1H","121.51","454.49","574.82","Finale B"
"Brice Michel","K1H","121.54","517.59","575.2","Finale B"
"Mehdi Crochard","K1H","121.7","558.51","577.21","Finale B"
"Daniel Bregazzi","K1H","121.76","492.7","577.96","Finale B"
"Leo Aranda","K1H","122.43","609.49","586.39","Finale B"
"Emile Laurent","K1H","123.2","659.03","596.06","Finale B"
"Arthur Millet","K1H","124.42","683.4","611.4","Finale B"
"Felix Prezelin","K1H","124.6","596.61","613.66","Finale B"
"Leo Paillat","K1H","126.17","612.77","633.4","Finale B"
"Samuel Breton","K1H","126.98","488.29","643.58","Finale B"
"Gerard Lemonnier","K1H","127.56","603.77","650.87","Finale B"
"Thierry Dugue","K1H","129.28","781.17","672.49","Finale B"
"Gwenael Coadou","K1H","130.49","570.77","687.7","Finale B"
"Pierreyves Hellard","K1H","131.94","607.72","705.93","Finale B"
"Pierre-louis Vergnault","K1H","132.88","458.56","717.75","Finale B"
"Olivier Bourdet","K1H","135.13","760.84","746.03","Finale B"
"Christian Le Parc","K1H","136.14","715","758.73","Finale B"
"Eloann Le Fur","K1H","136.87","591.46","767.9","Finale B"
"Thibaud Le Berre","K1H","138.17","835.84","784.24","Finale B"
"Jordan Daniel","K1H","140.97","620.19","819.44","Finale B"
"Samuel Le Dean","K1H","142.74","750.73","841.69","Finale B"
"Ali Kismi","K1H","152.19","852.05","960.48","Finale B"
"Ludovic Garnier","K1H","161.97","443.26","1083.42","Finale B"
"Yohan Robert","K1H","190.36","753.82","1440.3","Finale B"
