"Sélectif Championnat National 2 Slalom - Stade D'eau Vive Cergy-pontoise - Finale - 2017-05-21","Finale","2017-05-21","Nationale 2","180"
"Marie Juquelier","K1D","135.4","307.79","414.62","Finale A"
"Zelie Wendling","K1D","137.34","-","434.19","Finale A"
"Camille Hurez","K1D","139.55","301.29","456.48","Finale A"
"Claire Gaigeot","K1D","161.12","144.22","674.03","Finale A"
"Marie Hilger","K1D","179.25","273.66","856.88","Finale A"
"Pierre Marie Roussel","K1H","97.32","152.57","158.15","Finale A"
"Theo Desvignes","K1H","98.57","164.33","172.4","Finale A"
"Andreas Dupuy","K1H","98.92","236.27","176.39","Finale A"
"Matheo Lebaindre","K1H","99.62","167.78","184.37","Finale A"
"Valentin Brindeau","K1H","99.97","190.82","188.35","Finale A"
"Simon Hene","K1H","100.86","146.27","198.5","Finale A"
"Nicolas Mevel","K1H","100.86","166.8","198.5","Finale A"
"Christophe Augu","K1H","101.14","194.96","201.69","Finale A"
"Mathieu Monier","K1H","101.42","195.61","204.88","Finale A"
"Anthony Drouhin","K1H","101.79","191.63","209.1","Finale A"
"Fabien Tournadre","K1H","102.06","180.32","212.17","Finale A"
"Xavier Jourdain","K1H","102.54","181.27","217.64","Finale A"
"Thibault Blaise","K1H","102.64","-","218.78","Finale A"
"Christophe Marechal","K1H","102.64","152.13","218.78","Finale A"
"Benjamin Harreau","K1H","102.91","226.78","221.86","Finale A"
"Theo Foucher","K1H","103.17","157.98","224.82","Finale A"
"Benjamin Dodane","K1H","103.92","217.43","233.37","Finale A"
"Aaron Penning","K1H","103.98","172.76","234.06","Finale A"
"Benjamin Thiboust","K1H","104.24","172.4","237.02","Finale A"
"Jerome Olhagaray","K1H","104.26","171.08","237.25","Finale A"
"Thibaud Lacour","K1H","104.73","189.26","242.6","Finale A"
"Arthur Mizzi","K1H","104.83","221.92","243.74","Finale A"
"Erwan Rouch","K1H","104.94","221.87","245","Finale A"
"Yanis Rainaud","K1H","104.94","172.34","245","Finale A"
"Alexis Caspar","K1H","104.96","254.14","245.23","Finale A"
"Johan De Mareuil","K1H","105.02","188.09","245.91","Finale A"
"Lucas Galmiche","K1H","105.18","164.15","247.73","Finale A"
"Jean Charles Hacquart","K1H","105.43","234.91","250.58","Finale A"
"Axel Sleebus","K1H","105.64","246.21","252.97","Finale A"
"Julien Saguet","K1H","105.98","267.11","256.85","Finale A"
"Florian Busson","K1H","106.86","201.07","266.88","Finale A"
"Lucas Augu","K1H","107.27","247.04","271.55","Finale A"
"Corentin Monasse","K1H","107.27","213.24","271.55","Finale A"
"Lucas Jacob","K1H","107.64","227","275.77","Finale A"
"Anthony Thuillier","K1H","109.44","189.02","296.28","Finale A"
"Herve Busson","K1H","109.7","233.63","299.25","Finale A"
"Jules Bevalot","K1H","111.44","178.8","319.08","Finale A"
"Jules Silvin","K1H","113.72","238.88","345.06","Finale A"
"Quentin Moreaux","K1H","114.02","199.33","348.48","Finale A"
"Lorin Dumont","K1H","116.35","274.59","375.04","Finale A"
"Samuel Lhegu","K1H","120.23","146.6","419.26","Finale A"
"Pierre Audouin","K1H","120.43","237.78","421.54","Finale A"
"Antoine Saul","K1H","156.29","235.43","830.23","Finale A"
"Maxime Perron","C1H","107.53","191.99","221.16","Finale B"
"Gael Le Noc","C1H","110.63","195.78","254.81","Finale B"
"Michael Philibert","C1H","111.21","239.13","261.1","Finale B"
"Quentin Moreaux","C1H","114.74","293.98","299.41","Finale B"
"Jules Chaumet","C1H","116.26","255.01","315.92","Finale B"
"Benoit Chantry","C1H","116.56","237.62","319.18","Finale B"
"Paul Tallet Pinet","C1H","117.3","227.63","327.2","Finale B"
"Eludes Houillon","C1H","117.77","284.41","332.31","Finale B"
"Maxime Bottex","C1H","117.81","285.15","332.74","Finale B"
"Theo Foucher","C1H","118.79","301.39","343.37","Finale B"
"Nicolas Bernardy","C1H","118.96","302.96","345.22","Finale B"
"Louis Bouclier","C1H","119.06","270.86","346.3","Finale B"
"Julien Paulais","C1H","120.36","253.71","360.42","Finale B"
"Lucas Vancon","C1H","124.04","-","400.36","Finale B"
"Philippe Thevenin","C1H","124.24","307.5","402.53","Finale B"
"Aaron Penning","C1H","124.32","317.13","403.4","Finale B"
"Fabien Tournadre","C1H","128.72","324.47","451.15","Finale B"
"Terence Saramandif","C1H","169.93","314.19","898.46","Finale B"
"Camille Fleuret","C1H","232.69","323.46","1579.69","Finale B"
"Xavier Jourdain-Francois Durand","C2H","136.6","367.4","469.3","Finale B"
"Simon Dubosc-Quentin Angot","C2H","143","402.37","535.61","Finale B"
"Florentin Saumon-Zeph Scamps","C2H","157.69","843.6","687.81","Finale B"
"Lucas Augu-Terence Saramandif","C2H","Des","-","-","Finale B"
"Benjamin Soroka-Edouard Gracias","C2H","Des","-","-","Finale B"
"Mylene Ferry","K1D","120.45","189.08","268.84","Finale B"
"Zoe Bruchon","K1D","120.92","269.55","273.58","Finale B"
"Sophie Dupas","K1D","122.83","329.4","292.84","Finale B"
"Elodie Delavelle","K1D","123.85","285.45","303.13","Finale B"
"Adele Charlaigre","K1D","125.43","357.93","319.06","Finale B"
"Jeanne Bernard","K1D","134.15","333.68","407.01","Finale B"
"Coline Bertin","K1D","134.2","291.12","407.52","Finale B"
"Alina Rassel","K1D","138.9","274.17","454.92","Finale B"
"Eva Dauvergne","K1D","139.25","308.49","458.45","Finale B"
"Chloe Gatuingt","K1D","139.83","324.38","464.29","Finale B"
"Sylviane Quemerais","K1D","139.99","397.91","465.91","Finale B"
"Alicia Gallot","K1D","145.14","295.12","517.85","Finale B"
"Leontine Dubuisson","K1D","146.31","342.15","529.66","Finale B"
"Marianne Bercon","K1D","150.21","351.78","568.99","Finale B"
"Lisa Marechal","K1D","172.76","459.38","796.43","Finale B"
"Raphaelle Hovine","K1D","188.27","341.62","952.86","Finale B"
"Zoe Huet","K1D","198.05","254.69","1051.49","Finale B"
"Jade Robin","K1D","249.49","312.63","1570.32","Finale B"
"Lucie Bercon","K1D","Des","-","-","Finale B"
"Hugo Regnier","K1H","100.35","163.47","197.68","Finale B"
"Luca Dos Santos","K1H","102.33","166.09","220.25","Finale B"
"Zeph Scamps","K1H","102.42","222.3","221.28","Finale B"
"Florient Tagnon","K1H","103.44","235.24","232.9","Finale B"
"Nicolas Rouleaud","K1H","103.89","190.8","238.03","Finale B"
"Nathan Boudaillez","K1H","103.99","235.53","239.17","Finale B"
"Romain Guyomard","K1H","104.25","171.15","242.13","Finale B"
"Joris Schaffner","K1H","104.63","195.7","246.46","Finale B"
"Jeremias Schlaefli","K1H","105.33","160.71","254.44","Finale B"
"Malo Legrand","K1H","105.4","196.88","255.24","Finale B"
"Loic Monbel","K1H","105.41","233.79","255.35","Finale B"
"Robin Pilard","K1H","105.72","228.75","258.89","Finale B"
"Anthony Mottais","K1H","106.37","214.02","266.29","Finale B"
"Hugo Simon","K1H","106.38","247.32","266.41","Finale B"
"Nicolas Mangeolle","K1H","107.18","270.08","275.53","Finale B"
"Loic Thielen","K1H","107.79","291.24","282.48","Finale B"
"Alex Louveau","K1H","107.88","246.85","283.5","Finale B"
"Jules Guilbaud","K1H","107.96","274.32","284.42","Finale B"
"Timothee Le Mort","K1H","108.7","273.99","292.85","Finale B"
"Jonas Godevin","K1H","108.84","225.1","294.45","Finale B"
"Yani Ferhaoui","K1H","108.91","227.09","295.24","Finale B"
"Charles Fernandes De Oliveira","K1H","109.36","287.19","300.37","Finale B"
"Julien Dosse","K1H","109.43","272.92","301.17","Finale B"
"Simon Dubosc","K1H","110.07","253.82","308.46","Finale B"
"Antonin Barraud","K1H","110.4","234","312.22","Finale B"
"Paul Gestin","K1H","111.23","246.18","321.68","Finale B"
"Xavier Chantry","K1H","111.36","358.07","323.17","Finale B"
"Jeanmichel Regnier","K1H","112.7","290.6","338.44","Finale B"
"Yohan Marck","K1H","113.15","270.47","343.57","Finale B"
"Guilhem Douillet","K1H","114.72","268.67","361.46","Finale B"
"Andy Pajani","K1H","114.86","200.45","363.06","Finale B"
"Florentin Saumon","K1H","116.42","244.93","380.83","Finale B"
"Aubry Bertin","K1H","118.4","260.39","403.4","Finale B"
"Thomas Brochard","K1H","118.67","290.04","406.48","Finale B"
"Tom Barthelemy","K1H","118.99","319.25","410.12","Finale B"
"Romain Branjauneau","K1H","119.53","267.37","416.28","Finale B"
"Remi Vinet","K1H","154.12","196.75","810.5","Finale B"
"Denis Guilmard","K1H","158.15","257.48","856.43","Finale B"
"Steven Henry","K1H","158.54","237","860.88","Finale B"
"Julien Fougeron","K1H","170.12","303.74","992.85","Finale B"
"Nicolas Feuillard","K1H","213.46","181.87","1486.8","Finale B"
"Guillaume De Fierville","K1H","Abs","-","-","Finale B"
