"Manche 2 Championnat de France N2 - Lavancia-Epercy - 2009-03-29","Course 1","2009-03-29","Nationale 2","188"
"Berangere Baudart","K1D","274.64","244","315",""
"Clara Dos Santos","K1D","276.48","225","322",""
"Fanny Mino-vercellio","K1D","281.03","258","342",""
"Lisa Elasri","K1D","289.90","318","379",""
"Sophie Machiels","K1D","293.80","219","395",""
"Tiphanie Borlet","K1D","294.12","257","397",""
"Sophie Balmossiere","K1D","297.30","326","410",""
"Jenny Chevalier","K1D","299.96","285","421",""
"Marion Delorme","K1D","310.55","233","465",""
"Emilie Hernandez-brossard","K1D","312.65","216","474",""
"Elodie Delavelle","K1D","314.34","222","481",""
"Ninon Couturier","K1D","318.93","349","500",""
"Calypso Freichel","K1D","345.31","253","611",""
"Carine Chapuis","K1D","354.18","355","647",""
"Christelle Gilg","K1D","354.72","250","650",""
"Mylene Ferry","K1D","377.81","284","747",""
"Stephanie Ansot","K1D","395.40","246","820",""
"Lea Bechereau","K1D","409.10","243","877",""
"Blanche Legin","K1D","451.41","274","1054",""
"Anne Fischer","K1D","506.37","185","1284",""
"Florianne Gautier","K1D","698.16","184","2086",""
"Sabrina Boespflug","K1D","Abs","-","-",""
"Vincent Reiter","K1H","189.70","81","63",""
"Adrien Chabbey","K1H","191.87","109","73",""
"Enrick Cunsolo","K1H","192.39","95","76",""
"Mathieu Biazizzo","K1H","192.42","78","76",""
"Julien Haberland","K1H","193.11","83","79",""
"Samuel Lhegu","K1H","193.36","104","80",""
"Nicolas Abbal","K1H","193.45","80","81",""
"Fabien Tournadre","K1H","195.30","88","89",""
"Gregory Busson","K1H","195.40","113","90",""
"Quentin Burgi","K1H","196.76","79","97",""
"Pierre Bontoux","K1H","197.10","144","98",""
"Hafiz Ali Hassan","K1H","197.62","138","101",""
"Vincent Hannedouche","K1H","199.11","-","107",""
"Mathieu Haberland","K1H","200.17","95","112",""
"Jeremy Wagner","K1H","200.44","110","114",""
"Martin Dougoud","K1H","201.29","95","117",""
"Bertrand Gutierrez","K1H","201.38","146","118",""
"Florian Ordonneau","K1H","201.42","146","118",""
"Jonathan Chapatte","K1H","201.45","118","118",""
"Sylvain Dandel","K1H","202.72","170","125",""
"Charles Edouard Dherment","K1H","203.26","119","127",""
"Joffrey Lemeux","K1H","203.42","126","127",""
"Bertrand Bercon","K1H","204.40","122","132",""
"Remi Baudot","K1H","204.66","120","134",""
"Luc Doye","K1H","205.27","145","137",""
"Boris Doye","K1H","205.59","154","138",""
"Damien Boudet","K1H","205.63","-","138",""
"Nathan Barbier","K1H","206.21","152","141",""
"Julien Daumont","K1H","206.24","135","141",""
"Kevin Schultz","K1H","206.85","97","144",""
"Bastien Belembert","K1H","207.15","173","146",""
"Remi Thomas","K1H","207.34","151","147",""
"Thomas Dandel","K1H","207.46","216","147",""
"Mael Othenin Girard","K1H","207.75","150","148",""
"Nicolas Detheve","K1H","207.79","213","148",""
"Maxime Faivre","K1H","208.40","149","152",""
"Pascal Ferry","K1H","208.48","140","152",""
"Jeremy Vibert","K1H","209.94","115","158",""
"Thomas Monvoisin","K1H","210.11","201","159",""
"Lois Desroches","K1H","210.26","153","160",""
"Boris Chenal","K1H","210.77","152","162",""
"Loic Jeanningros","K1H","211.42","164","166",""
"Jeremy Lehning","K1H","211.58","135","167",""
"Arthur Georges","K1H","212.60","119","172",""
"Frederic Tinchant","K1H","212.96","179","173",""
"Silvere Desongins","K1H","213.44","196","175",""
"Christophe Siffert","K1H","213.59","182","176",""
"Loic Gobert","K1H","213.94","157","177",""
"Philippe Daumont","K1H","215.46","172","185",""
"Jerome Trousson","K1H","215.86","167","187",""
"Herve Delamarre","K1H","216.00","235","187",""
"Romain Musy","K1H","216.13","209","188",""
"Julien Tous","K1H","216.25","181","188",""
"Olivier Blanc","K1H","216.34","127","189",""
"Nicolas Feuillard","K1H","216.64","149","190",""
"Loic Monbel","K1H","216.85","142","192",""
"Yves Debailleul","K1H","217.11","198","192",""
"Olivier Hardonniere","K1H","217.56","-","195",""
"Quentin Moreaux","K1H","217.81","171","196",""
"Olivier Machiels","K1H","218.69","156","200",""
"Julien Signarbieux","K1H","218.69","174","200",""
"Julien Beltrami","K1H","219.49","143","204",""
"Jeremy Poux","K1H","219.92","213","206",""
"Laurent Brissaud","K1H","220.16","148","207",""
"Didier Niel","K1H","220.36","166","208",""
"Bertrand Avril","K1H","221.82","185","215",""
"Gregory Booth","K1H","221.89","200","215",""
"Sylvain Herrbach","K1H","221.91","210","215",""
"Anthony Deschamps","K1H","222.82","212","219",""
"Florient Tagnon","K1H","223.90","150","225",""
"Stefan Stanik","K1H","224.09","188","226",""
"Emmanuel Moreau","K1H","224.22","205","226",""
"Julien Bley","K1H","224.27","210","227",""
"Christophe Billaud","K1H","224.83","242","229",""
"Jeansebastien Simonklein","K1H","225.28","224","231",""
"Nicolas Burgi","K1H","225.40","161","232",""
"Matthieu Walfard","K1H","226.74","234","238",""
"Nikolas Stanik","K1H","227.96","192","244",""
"Fabien Hantz","K1H","228.58","222","247",""
"Florent Tamburini","K1H","229.12","205","249",""
"Craig Von Schulthess","K1H","232.59","-","266",""
"Damien Burteaux","K1H","233.92","230","272",""
"Cyril Gisbert","K1H","235.02","224","277",""
"Mathieu Bandelier","K1H","238.52","103","294",""
"Valentin Casse","K1H","238.61","194","294",""
"Mathieu Cataldo","K1H","238.92","235","296",""
"Julien Fougeron","K1H","239.25","215","297",""
"Thibaut Chariot","K1H","240.82","186","305",""
"Paul Aubert","K1H","251.36","140","354",""
"Nicolas Mangeolle","K1H","251.40","237","355",""
"Pierre Pans","K1H","255.17","124","372",""
"Jerome Olhagaray","K1H","262.69","107","408",""
"Sebastien Lepaulard","K1H","264.09","158","415",""
"Romain Viry","K1H","268.05","162","433",""
"Eric Lamour","K1H","272.04","209","452",""
"Simon Philibert","K1H","401.93","155","1066",""
"Pierre Baux","K1H","Abs","-","-",""
"Mehdi Amini","K1H","Abs","-","-",""
"Jules Domine","K1H","Abs","-","-",""
