"COUPE D'AQUITAINE - SLALOM REGIONAL - Perigueux - 2002-11-24","Course 1","2002-11-24","Régional","136"
"Seguin Mickael","K1H","196.84","-","300",""
"Hugues Lesimple","K1H","197.87","363","306",""
"Onillon Baptiste","K1H","197.93","404","307",""
"Chasseloup Christophe","K1H","199.31","283","316",""
"Jeancharles Bernis","K1H","199.69","304","317",""
"Aurelien Leroy","K1H","200.28","246","321",""
"Olivier Cain","K1H","201.84","214","331",""
"Adrien Ponassie","K1H","202.78","324","337",""
"Lucien Delfour","K1H","202.97","-","338",""
"Nicolas Le Provost","K1H","204.27","366","347",""
"Kevin Lemenaheze","K1H","206.88","329","363",""
"Manuel Legros","K1H","208.34","353","372",""
"Julien Signarbieux","K1H","208.91","429","376",""
"Pierre Emanuel Marchand","K1H","210.37","378","385",""
"Roso Emilien","K1H","210.46","416","386",""
"Pierre Dehaudt","K1H","211.50","417","393",""
"Louis Georges Lafont","K1H","212.84","413","401",""
"Tony Deshayes","K1H","215.18","-","416",""
"Lespine Stephane","K1H","215.60","466","418",""
"Tapia Joseph","K1H","217.19","-","429",""
"Christophe Lacave","K1H","218.85","-","439",""
"Mathieu Pouchet","K1H","219.47","469","443",""
"Doat Fabien","K1H","220.19","494","448",""
"Aguiar Jimmy","K1H","220.97","367","452",""
"Pourtau Stephane","K1H","222.44","480","462",""
"Jean Luc Pessoni","K1H","223.68","497","470",""
"Frederic Descot","K1H","224.65","320","476",""
"Damien Mareau","K1H","229.18","-","504",""
"Jerome Muller","K1H","230.18","-","511",""
"Cassier Laurent","K1H","230.53","-","513",""
"Herry Yohan","K1H","232.55","-","526",""
"Lemaire Martin","K1H","233.50","-","532",""
"Sinoir Mael","K1H","237.28","-","556",""
"Sellay Anthony","K1H","243.46","-","595",""
"Desthomas Sylvain","K1H","245.00","688","605",""
"Fourcade Thomas","K1H","245.12","-","606",""
"Bucciol Nicolas","K1H","245.62","-","609",""
"Doat Francois","K1H","248.65","804","628",""
"Lafitte Florian","K1H","249.56","-","633",""
"Tristan Gaboriau","K1H","250.59","-","640",""
"Lafitte Daniel","K1H","256.78","-","679",""
"Lesimple Marc","K1H","257.78","-","686",""
"Laboure Yvain","K1H","257.93","-","687",""
"Baude Yves","K1H","259.31","-","696",""
"Francois Cauchi","K1H","260.99","-","706",""
"Cornier Aurelien","K1H","261.50","-","710",""
"Lafitte Aurelien","K1H","267.68","-","749",""
"Antoine Michaud","K1H","269.62","-","760",""
"Mariaux Sebastien","K1H","269.93","-","762",""
"Kraemer Nicolas","K1H","270.06","-","763",""
"Mary Frederic","K1H","270.46","-","766",""
"Brunet Andre","K1H","280.25","-","828",""
"Peyregne Fabien","K1H","293.15","2714","910",""
"Rouger Gael","K1H","298.37","648","943",""
"Van Kalsbeek Guido","K1H","299.02","-","947",""
"Caignard Ronan","K1H","299.17","-","948",""
"Thomas Wingerter","K1H","299.43","-","950",""
"Lopez Ivo","K1H","311.06","-","1023",""
"Van Kalsbeek Elwin","K1H","319.47","-","1076",""
"Jouanolou Remi","K1H","320.59","-","1084",""
"Mazagot Christophe","K1H","323.90","1252","1105",""
"Matabos Sylvain","K1H","329.12","-","1138",""
"Ferbos Jean Baptiste","K1H","339.16","-","1201",""
"Peyre Maxime","K1H","374.00","-","1422",""
"Roux Benjamin","K1H","388.91","-","1517",""
"Maury Sebastien","K1H","446.56","-","1882",""
"Guichard Didier","K1H","448.60","-","1895",""
