"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course n°1 | Qualification - 2015-11-14","Course n°1 | Qualification","2015-11-14","Régional","167"
"Cyril Audoit","K1H","107.72","369.67","383.66",""
"Marc Delli Zuani","K1H","108.21","392.89","389.68",""
"Sebastien Routhier","K1H","108.31","312.11","390.91",""
"Adam Wronski","K1H","108.69","455.6","395.57",""
"Alexandre Pouille","K1H","109.57","241.3","406.38",""
"Raphael Olla","K1H","109.78","296.06","408.96",""
"Jean Philippe Roche","K1H","110.28","284.97","415.1",""
"Samuel Bonella","K1H","110.58","252.14","418.78",""
"Quentin Duhamel","K1H","110.6","362.37","419.03",""
"Lucien Goulet","K1H","110.96","353.51","423.45",""
"Jules Cresp","K1H","112.3","267.37","439.9",""
"Mikael Clanchin","K1H","112.93","356.98","447.64",""
"Mathieu Lions","K1H","113.37","318.01","453.04",""
"Nayl Tazi-sidqui","K1H","113.84","387.38","458.81",""
"Alexis Mercoirol","K1H","113.98","428.37","460.53",""
"Fabien Leist","K1H","114.08","367.32","461.76",""
"Arnaud Lejeune","K1H","114.11","-","462.13",""
"Thomas Courtois","K1H","114.57","441.6","467.78",""
"Matteo Licoine","K1H","114.64","370.12","468.64",""
"Gilles Lovera","K1H","114.94","432.02","472.32",""
"Guillaume Affortit","K1H","114.99","-","472.93",""
"Valentin Bonnot","K1H","115.45","469.22","478.58",""
"Yann Tabone","K1H","116.05","402.86","485.95",""
"Quentin Ducrot","K1H","116.42","-","490.49",""
"Frederic Reus","K1H","116.99","427.88","497.49",""
"Romain Gayral","K1H","117.24","486.23","500.56",""
"Adrien Tappero","K1H","117.66","508.08","505.72",""
"Louis Scalbert","K1H","118.57","479.85","516.89",""
"Bernard Delorme","K1H","120.45","-","539.98",""
"Dominique Polard","K1H","120.76","551.24","543.78",""
"Enzo Briffa","K1H","121.74","572.51","555.82",""
"Paul Gaillard","K1H","122.49","385.86","565.03",""
"Stephane Marcellot","K1H","125.03","424.49","596.22",""
"Philippe Bigard","K1H","126.55","614.58","614.88",""
"Kilian Torti","K1H","126.75","495.23","617.34",""
"Pierre Courtois","K1H","127.75","530.41","629.62",""
"Valentin Parasme","K1H","128.32","517.22","636.62",""
"Valentin Affortit","K1H","128.79","496.48","642.39",""
"Ollivier Paumier","K1H","131.92","502.21","680.82",""
"Hugo Nerisson","K1H","132.8","698.76","691.63",""
"Quentin Laplace","K1H","132.82","765.45","691.87",""
"Vincent Pitarch","K1H","135.97","-","730.55",""
"Gael Villar","K1H","143.51","637.09","823.14",""
"Hugo Avril","K1H","144.55","569.68","835.91",""
"Tom Deconchy","K1H","148.52","208.88","884.66",""
"Alexandre Florent","K1H","152.1","-","928.62",""
"Romain Berthon","K1H","152.42","662.97","932.55",""
"Charles Coulon","K1H","163.38","1444.35","1067.13",""
"Stephane Breton","K1H","175.07","1620.7","1210.67",""
"Luca Barone","K1H","184.37","587.41","1324.87",""
"Titouan Maraval","K1H","Abs","-","-",""
"Gregoire Michel","K1H","Abs","-","-",""
"Paul Badache","K1H","Abs","-","-",""
"Anton Gille","K1H","Abs","-","-",""
"Aurelien Fualdes","K1H","Abs","-","-",""
"Florent Cossou","K1H","Abs","-","-",""
"Paul Roubaud","K1H","Abs","-","-",""
"Adrien Reinard","K1H","Abs","-","-",""
"Romain Viry","K1H","Abs","-","-",""
"Thibault Gache","K1H","Abs","-","-",""
"Nil Coudouy","K1H","Des","-","-",""
"Hugo Polard","K1H","Abs","-","-",""
"Adrien Fischer","K1HM","109.92","355.48","410.68",""
"Gael Adisson","K1HM","110.57","333.08","418.66",""
"Alexandre Goujon","K1HM","117.13","472.19","499.21",""
"Maxime Melmont","K1HM","117.9","462.15","508.67",""
"Charlie Genovese","K1HM","123.81","-","581.24",""
"Kilian Cottet","K1HM","124.99","-","-",""
"Baptiste Marcellot","K1HM","125.54","-","602.48",""
"Nino Chailan","K1HM","125.72","642.46","604.69",""
"Tao Semeria","K1HM","126.1","-","609.36",""
"Robin Andre","K1HM","126.93","-","-",""
"Simon Louchard","K1HM","129.36","1077.48","649.39",""
"Maxime Kabir","K1HM","131.29","-","673.09",""
"Raphael Massot","K1HM","137.39","-","-",""
"Aymeric Rivier","K1HM","139.94","698.69","779.3",""
"Erwann Buthod","K1HM","142.27","-","-",""
"Maxence Jehan","K1HM","143.63","-","-",""
"Antonin Dustou","K1HM","182.75","833.51","1304.97",""
"Guilhem Viguier","K1HM","184.84","581.2","1330.64",""
"Enzo Guillarme","K1HM","208","1453.92","1615.03",""
"Joachim Saussol","K1HM","297.24","-","2710.82",""
"Erwan Quellec","K1HM","Abs","-","-",""
"Gawaine Chikh","K1HM","Abs","-","-",""
"Leonard Gaugler","K1HM","Abs","-","-",""
"Basile Gaugler","K1HM","Abs","-","-",""
"Sylvain Arnaud","K1HM","Abs","-","-",""
"Allan Stievenard","K1HM","Abs","-","-",""
