"Sélectif Régional Slalom (Double) - 46ème Grand Prix De Pau - Course n°1 | Finale - 2016-10-29","Course n°1 | Finale","2016-10-29","Régional","303"
"Camille Prigent","K1D","89.06","59.93","100.02","Course n°1 | Finale A"
"Berenice Kolenc","K1D","89.83","82.26","108.91","Course n°1 | Finale A"
"Lucie Baudu","K1D","90.09","50.53","111.91","Course n°1 | Finale A"
"Romane Prigent","K1D","91.82","90.8","131.88","Course n°1 | Finale A"
"Alixe Degremont","K1D","92.28","216.57","137.18","Course n°1 | Finale A"
"Solene Graille","K1D","92.9","71.53","144.34","Course n°1 | Finale A"
"Marjorie Delassus","K1D","94.57","122.83","163.62","Course n°1 | Finale A"
"Viviana Daille","K1D","95.39","176.15","173.08","Course n°1 | Finale A"
"Lisa Mouffle","K1D","96.51","127.29","186.01","Course n°1 | Finale A"
"Emeline Oudet","K1D","97.48","114.69","197.21","Course n°1 | Finale A"
"Charline Berger Martin","K1D","98.54","251.5","209.44","Course n°1 | Finale A"
"Angele Hug","K1D","100.43","185.81","231.26","Course n°1 | Finale A"
"Morgane Quemerais","K1D","104.79","247.08","281.58","Course n°1 | Finale A"
"Emily Woodcock","K1D","105.47","-","289.43","Course n°1 | Finale A"
"Celia Jodar","K1D","107.27","371.35","310.21","Course n°1 | Finale A"
"Lise Denat","K1D","110.23","254.49","344.38","Course n°1 | Finale A"
"Clemence Lartigue","K1D","125.04","287.53","515.32","Course n°1 | Finale A"
"Coline Bertin","K1D","125.96","295.22","525.94","Course n°1 | Finale A"
"Estelle Mangin","K1D","140.78","31.16","697","Course n°1 | Finale A"
"Natacha Delassus","K1D","148.23","155.05","783","Course n°1 | Finale A"
"Joey Bercon","K1D","148.85","115.67","790.16","Course n°1 | Finale A"
"Doriane Delassus","K1DM","100.01","228.42","226.41","Course n°1 | Finale A"
"Laurine Salesse","K1DM","140.01","479.44","688.12","Course n°1 | Finale A"
"Thomas Bersinger","K1H","76.99","35.72","76.22","Course n°1 | Finale A"
"Martin Dougoud","K1H","77.67","34.58","85.09","Course n°1 | Finale A"
"Boris Neveu","K1H","78.38","12.83","94.35","Course n°1 | Finale A"
"Quentin Burgi","K1H","79.14","31.65","104.27","Course n°1 | Finale A"
"Janos Peterlin","K1H","79.16","47.55","104.53","Course n°1 | Finale A"
"Thomas Rosset","K1H","79.33","51.97","106.75","Course n°1 | Finale A"
"Sebastien Combot","K1H","79.45","14.87","108.31","Course n°1 | Finale A"
"Benjamin Renia","K1H","79.76","24.4","112.35","Course n°1 | Finale A"
"Pierre Bourliaud","K1H","79.81","28.95","113.01","Course n°1 | Finale A"
"Thomas Schmitt","K1H","80.68","59.4","124.35","Course n°1 | Finale A"
"Tom Scianimanico","K1H","80.72","73.33","124.88","Course n°1 | Finale A"
"Etienne Daille","K1H","81.07","38.31","129.44","Course n°1 | Finale A"
"Yves Prigent","K1H","81.11","48.95","129.96","Course n°1 | Finale A"
"Anatole Delassus","K1H","81.24","186.38","131.66","Course n°1 | Finale A"
"Jonas Turmeau","K1H","81.25","102.09","131.79","Course n°1 | Finale A"
"Hugo Cailhol","K1H","82.06","98.92","142.35","Course n°1 | Finale A"
"Maxime Tilhet","K1H","82.17","121.22","143.79","Course n°1 | Finale A"
"Edgar Prigent","K1H","82.19","75.61","144.05","Course n°1 | Finale A"
"Titouan Dupras","K1H","82.63","101.03","149.79","Course n°1 | Finale A"
"Goulwen Chapelier","K1H","82.7","78.13","150.7","Course n°1 | Finale A"
"Pierre Giudicelli","K1H","82.77","109.36","151.61","Course n°1 | Finale A"
"Nicolas Abbal","K1H","83.13","60.39","156.31","Course n°1 | Finale A"
"Guillaume Graille","K1H","83.3","82.34","158.53","Course n°1 | Finale A"
"Samuel Lhegu","K1H","83.7","111.05","163.74","Course n°1 | Finale A"
"Loic Bertoia","K1H","84.53","109.5","174.57","Course n°1 | Finale A"
"Hippolyte Cail","K1H","85.09","186.97","181.87","Course n°1 | Finale A"
"Robin Vandenbossche","K1H","85.11","212.93","182.14","Course n°1 | Finale A"
"Vincent Delahaye","K1H","85.44","166.46","186.44","Course n°1 | Finale A"
"Kendaor Le Huitou","K1H","85.67","98.74","189.44","Course n°1 | Finale A"
"Mathis Soudi","K1H","85.95","149.57","193.09","Course n°1 | Finale A"
"Julien Pajaud","K1H","86.02","169.15","194.01","Course n°1 | Finale A"
"Hugo Crepeau","K1H","86.03","167.32","194.14","Course n°1 | Finale A"
"Mathys Huvelin","K1H","86.12","85.59","195.31","Course n°1 | Finale A"
"Otello Willmann Rosso","K1H","86.63","246.25","201.96","Course n°1 | Finale A"
"Theo Desvignes","K1H","86.69","169.31","202.74","Course n°1 | Finale A"
"Aaron Penning","K1H","87.35","180.12","211.35","Course n°1 | Finale A"
"Pierre-louis Saussereau","K1H","87.62","187.39","214.87","Course n°1 | Finale A"
"Florian Gosselin","K1H","87.77","286.86","216.83","Course n°1 | Finale A"
"Damien Laborde","K1H","88.11","178.73","221.27","Course n°1 | Finale A"
"Yanis Rainaud","K1H","88.76","210.71","229.74","Course n°1 | Finale A"
"Florent Iraundegui","K1H","89","228.72","232.87","Course n°1 | Finale A"
"Valentin Courtiade","K1H","89.69","275.74","241.87","Course n°1 | Finale A"
"Nicolas Feuillard","K1H","89.94","186.09","245.13","Course n°1 | Finale A"
"Johann Loiseau","K1H","90.01","209.88","246.05","Course n°1 | Finale A"
"Alan Dollo","K1H","90.17","110.54","248.13","Course n°1 | Finale A"
"Youn Aubry","K1H","90.2","241.91","248.53","Course n°1 | Finale A"
"Malo Legrand","K1H","90.92","229.95","257.92","Course n°1 | Finale A"
"Nicolas Mevel","K1H","91.51","192.21","265.61","Course n°1 | Finale A"
"Nathan Hossin","K1H","91.68","225.89","267.83","Course n°1 | Finale A"
"Didier Baylacq","K1H","91.81","-","269.53","Course n°1 | Finale A"
"Paul Jean","K1H","91.86","236","270.18","Course n°1 | Finale A"
"Pol Euzenes","K1H","92.73","116.32","281.53","Course n°1 | Finale A"
"Martin Belliot","K1H","93.81","276.63","295.61","Course n°1 | Finale A"
"Gael Adisson","K1H","94.08","326.54","299.13","Course n°1 | Finale A"
"Natan Brule","K1H","94.15","280.27","300.05","Course n°1 | Finale A"
"Luc Sarramea","K1H","94.47","241.89","304.22","Course n°1 | Finale A"
"Paul Pradalie","K1H","94.57","256.89","305.52","Course n°1 | Finale A"
"Timothee Cornu","K1H","94.97","311.34","310.74","Course n°1 | Finale A"
"Florian Busson","K1H","95.44","233.42","316.87","Course n°1 | Finale A"
"Paul Commenges","K1H","95.45","283.37","317","Course n°1 | Finale A"
"Cedric Jegouzo","K1H","95.95","171.55","323.52","Course n°1 | Finale A"
"Thibaud Delaunay","K1H","97.74","-","346.87","Course n°1 | Finale A"
"Thibault Alcaras","K1H","97.98","404.16","350","Course n°1 | Finale A"
"Jules Bernardet","K1H","98.61","296.41","358.22","Course n°1 | Finale A"
"Jeanmichel Bibes","K1H","100.56","281.34","383.65","Course n°1 | Finale A"
"Sebastien Martel","K1H","102.68","346.24","411.3","Course n°1 | Finale A"
"Zeph Scamps","K1H","103.45","248.83","421.35","Course n°1 | Finale A"
"Dylan Sourbe","K1H","116.23","238.65","588.04","Course n°1 | Finale A"
"Mathurin Madore","K1H","130.49","82.58","774.04","Course n°1 | Finale A"
"Mathieu Desnos","K1H","133.22","44.24","809.64","Course n°1 | Finale A"
"Olivier Cail","K1H","135.58","224.06","840.43","Course n°1 | Finale A"
"Erwan Marchais","K1H","138.13","-","873.69","Course n°1 | Finale A"
"Jonathan Delagnes","K1H","140.43","223.06","903.69","Course n°1 | Finale A"
"Jeremie Palazy","K1H","141.97","295.91","923.77","Course n°1 | Finale A"
"Alex Louveau","K1H","143.5","274.43","943.73","Course n°1 | Finale A"
"Leo Vuitton","K1H","145.34","290.52","967.73","Course n°1 | Finale A"
"Alois Bertrand","K1H","148.09","395.77","1003.6","Course n°1 | Finale A"
"Paul Luquet","K1H","161.11","330.42","1173.42","Course n°1 | Finale A"
"Pol Oulhen","K1H","183.75","41.25","1468.72","Course n°1 | Finale A"
"Lucas Augu","K1HM","88.65","272.22","228.31","Course n°1 | Finale A"
"Noe Perreau","K1HM","96.31","334.05","328.22","Course n°1 | Finale A"
"Tom Bouchardon","K1HM","97.24","280.67","340.35","Course n°1 | Finale A"
"Tom Babin","K1HM","101.56","358.66","396.7","Course n°1 | Finale A"
"Arnaud Verrons","K1HM","105.23","382.33","444.57","Course n°1 | Finale A"
"Thomas Ukalovic","K1HM","105.46","448.62","447.57","Course n°1 | Finale A"
"Tom Charles","K1HM","105.96","524.45","454.09","Course n°1 | Finale A"
"Gedeon Cothias-faure","K1HM","109.44","541.76","499.48","Course n°1 | Finale A"
"Adrien Mesmoudi","K1HM","110.43","341.93","512.39","Course n°1 | Finale A"
"Malo Marquet","K1HM","111.33","419.28","524.13","Course n°1 | Finale A"
"Tanguy Adisson","K1HM","117.14","527.52","599.91","Course n°1 | Finale A"
"Paul Gobert","K1HM","128.54","683.12","748.6","Course n°1 | Finale A"
"Joris Hello","K1HM","130.72","574.22","777.04","Course n°1 | Finale A"
"Pablo Chaminade","K1HM","176.21","507.42","1370.37","Course n°1 | Finale A"
"Angus Cruickshank","K1HM","178.04","480.49","1394.24","Course n°1 | Finale A"
"Julien Doumecq","K1HM","225.64","606.4","2015.1","Course n°1 | Finale A"
"Abel Boidron","K1HM","350","1098.9","3637.15","Course n°1 | Finale A"
"Laurene Roisin","C1D","114.89","271.34","325.81","Course n°1 | Finale B"
"Charline Berger Martin","C1D","134.61","324.15","540.15","Course n°1 | Finale B"
"Margot Beziat","C1D","140.42","404.37","603.31","Course n°1 | Finale B"
"Angele Hug","C1D","162.22","229.07","840.25","Course n°1 | Finale B"
"Solene Graille","C1D","Des","-","-","Course n°1 | Finale B"
"Gireg Hamoniaux","C1H","94.55","220.08","251.54","Course n°1 | Finale B"
"Jules Bernardet","C1H","94.96","196.55","256.63","Course n°1 | Finale B"
"Thomas Launay","C1H","95.92","204.24","268.56","Course n°1 | Finale B"
"Hector Combes","C1H","98.13","247.14","296.01","Course n°1 | Finale B"
"Alexandre Ghirardi","C1H","98.72","256.85","303.34","Course n°1 | Finale B"
"Anthony Roux","C1H","99.67","228.39","315.14","Course n°1 | Finale B"
"Luc Sarramea","C1H","101.38","231.83","336.38","Course n°1 | Finale B"
"Faysal Ali Zazou","C1H","101.51","269.58","338","Course n°1 | Finale B"
"Martin Jouves","C1H","103.85","371.47","367.06","Course n°1 | Finale B"
"Quentin Dazeur","C1H","104.23","-","371.78","Course n°1 | Finale B"
"Leo Dujourd'hui","C1H","104.5","396.38","375.14","Course n°1 | Finale B"
"Marc Sarramea","C1H","115.79","435.3","515.38","Course n°1 | Finale B"
"Yanis Clerc","C1H","120.44","-","573.15","Course n°1 | Finale B"
"Olivier Cain","C1H","130.69","326.94","700.48","Course n°1 | Finale B"
"Jerome Blanchet","C1H","145.37","190.89","882.83","Course n°1 | Finale B"
"Benoit Pacteau","C1H","165.6","335.78","1134.12","Course n°1 | Finale B"
"Arthur Cousty","C1H","170.34","541.32","1193.02","Course n°1 | Finale B"
"Hugues Lesimple","C1H","219.62","-","1805.17","Course n°1 | Finale B"
"Felix Sperandio","C1H","244.26","593.72","2111.26","Course n°1 | Finale B"
"Olivier Cain-Gaetan Coat","C2H","231.72","372.36","1824.65","Course n°1 | Finale B"
"Elena Hugues","K1D","105.2","268.9","291.32","Course n°1 | Finale B"
"Stephanie Kaczmarek","K1D","108.42","240.27","328.48","Course n°1 | Finale B"
"Elorri Erdois","K1D","118.03","306.17","439.4","Course n°1 | Finale B"
"Sophie Dupas","K1D","119.32","335.5","454.3","Course n°1 | Finale B"
"Carla Lacroix","K1D","120.01","339.65","462.27","Course n°1 | Finale B"
"Margot Beziat","K1D","123.2","334.92","499.09","Course n°1 | Finale B"
"CÉcilia Bourgeois","K1D","123.73","375.09","505.21","Course n°1 | Finale B"
"Oceane Baylacq","K1D","127.29","353.18","546.29","Course n°1 | Finale B"
"Emma Angladette","K1D","152.29","539.29","834.86","Course n°1 | Finale B"
"Laurene Roisin","K1D","154.25","252.74","857.48","Course n°1 | Finale B"
"Cleo Santini","K1D","158.42","569.94","905.62","Course n°1 | Finale B"
"Marion Grangeon","K1D","168.2","256.62","1018.51","Course n°1 | Finale B"
"Camille Santa Cruz","K1D","212.34","387.7","1527.99","Course n°1 | Finale B"
"Lea Hubert","K1D","229.2","605.91","1722.61","Course n°1 | Finale B"
"Helene Courtel","K1D","230.42","554.8","1736.68","Course n°1 | Finale B"
"Violaine Truche","K1D","242.57","270.72","1876.94","Course n°1 | Finale B"
"Noa Bouchardon","K1D","245.84","324.85","1914.68","Course n°1 | Finale B"
"Lucile Cans","K1D","253.82","629.26","2006.78","Course n°1 | Finale B"
"Alexia Bechu","K1D","258.68","339.66","2062.88","Course n°1 | Finale B"
"Axelle Degremont","K1D","291.27","434.26","2439.06","Course n°1 | Finale B"
"Jeanne Pecot","K1D","314.65","457.08","2708.92","Course n°1 | Finale B"
"Carla Voineau","K1D","331.83","476.68","2907.23","Course n°1 | Finale B"
"Manon Zago","K1D","438.85","572.48","4142.53","Course n°1 | Finale B"
"Lea Baldoni","K1D","Abs","-","-","Course n°1 | Finale B"
"Lea Pages","K1D","Abd","-","-","Course n°1 | Finale B"
"Perrine Joubert","K1DM","166.98","412.14","1004.42","Course n°1 | Finale B"
"Theo Celjo","K1H","86.04","185.11","199.27","Course n°1 | Finale B"
"Malo Quemeneur","K1H","87.8","54.49","222.22","Course n°1 | Finale B"
"Nicolas Rouleaud","K1H","89.14","182.48","239.7","Course n°1 | Finale B"
"Arthur Mizzi","K1H","91.11","230.8","265.4","Course n°1 | Finale B"
"Bertrand Gourrat","K1H","92.29","203.38","280.79","Course n°1 | Finale B"
"Jules Cresp","K1H","92.55","260.88","284.18","Course n°1 | Finale B"
"Sebastien Mouyen Bie","K1H","92.6","296.66","284.83","Course n°1 | Finale B"
"Giacomo Barzon","K1H","94.71","-","312.35","Course n°1 | Finale B"
"Jean Christophe Erdois","K1H","94.92","332.04","315.09","Course n°1 | Finale B"
"Herve Busson","K1H","95.49","210.93","322.52","Course n°1 | Finale B"
"Florentin Saumon","K1H","95.67","268.76","324.87","Course n°1 | Finale B"
"Thibault Clerc","K1H","96.54","380.06","336.22","Course n°1 | Finale B"
"Fabien Paleau","K1H","96.8","352.47","339.61","Course n°1 | Finale B"
"Louis Foissac","K1H","98.52","356.34","362.05","Course n°1 | Finale B"
"Gaetan Coat","K1H","98.75","281.56","365.05","Course n°1 | Finale B"
"Marceau Faget","K1H","98.77","348.69","365.31","Course n°1 | Finale B"
"Antoine Laye","K1H","99.31","310.24","372.35","Course n°1 | Finale B"
"Jerome Blanchet","K1H","100.3","355.18","385.26","Course n°1 | Finale B"
"Marc Sarramea","K1H","100.42","396.27","386.83","Course n°1 | Finale B"
"Marc Lalande","K1H","101.3","383.28","398.31","Course n°1 | Finale B"
"Elliot Perez","K1H","101.33","368.7","398.7","Course n°1 | Finale B"
"Patrick Clerc","K1H","101.98","361.39","407.17","Course n°1 | Finale B"
"Tino Forgues","K1H","103.04","358.9","421","Course n°1 | Finale B"
"Nathan Pavot","K1H","103.21","397.68","423.22","Course n°1 | Finale B"
"Arthur Lagleyze","K1H","103.32","331.17","424.65","Course n°1 | Finale B"
"Pierrealain Clerc","K1H","103.93","339.52","432.61","Course n°1 | Finale B"
"Elian Giondini","K1H","104.21","414.93","436.26","Course n°1 | Finale B"
"Marc Cordier","K1H","104.6","339.21","441.35","Course n°1 | Finale B"
"Eric Vidou","K1H","105.03","426.92","446.96","Course n°1 | Finale B"
"Antonin Maystre","K1H","105.15","358.62","448.52","Course n°1 | Finale B"
"Nicolas Saurat","K1H","106.04","330.79","460.13","Course n°1 | Finale B"
"Nicolas Corbin","K1H","106.08","389.84","460.65","Course n°1 | Finale B"
"Jacques Roisin","K1H","106.54","406.97","466.65","Course n°1 | Finale B"
"Thomas Maxime","K1H","109.77","-","508.78","Course n°1 | Finale B"
"Yanis Clerc","K1H","110.7","442.27","520.91","Course n°1 | Finale B"
"Guillaume Viguier","K1H","113.34","388.39","555.35","Course n°1 | Finale B"
"Florian Lafitte","K1H","113.38","446.98","555.87","Course n°1 | Finale B"
"Baptiste Riviere","K1H","115.09","453.15","578.17","Course n°1 | Finale B"
"Jean Yves Courtiade","K1H","115.54","572.68","584.04","Course n°1 | Finale B"
"Tanguy Zaninotto","K1H","115.71","347.8","586.26","Course n°1 | Finale B"
"Pierre Leymonerie","K1H","118.59","-","623.82","Course n°1 | Finale B"
"Baptiste Lauroua","K1H","119.59","385.81","636.87","Course n°1 | Finale B"
"Gabriel Chapoulie","K1H","121.01","-","655.39","Course n°1 | Finale B"
"Vincent Thepaut","K1H","121.24","-","658.39","Course n°1 | Finale B"
"Vincent Gardere","K1H","124.58","339.19","701.95","Course n°1 | Finale B"
"Felix Sperandio","K1H","138.36","486.72","881.69","Course n°1 | Finale B"
"Quentin Clerc","K1H","143.66","262.51","950.82","Course n°1 | Finale B"
"Loan Queffelec","K1H","148.44","299","1013.16","Course n°1 | Finale B"
"Sam Traquet","K1H","154.45","398.93","1091.55","Course n°1 | Finale B"
"Pascal Dongarra","K1H","155.14","-","1100.55","Course n°1 | Finale B"
"NaËl Rajoub","K1H","156.42","394.11","1117.25","Course n°1 | Finale B"
"Arthur Cousty","K1H","157.9","370.12","1136.55","Course n°1 | Finale B"
"Leo Dujourd'hui","K1H","158.19","596.23","1140.33","Course n°1 | Finale B"
"Hugues Lesimple","K1H","163.93","-","1215.2","Course n°1 | Finale B"
"Ulysse Giel","K1H","165.82","432.22","1239.85","Course n°1 | Finale B"
"Theo Dunie","K1H","166.03","496.57","1242.59","Course n°1 | Finale B"
"Marc Cailhol","K1H","173.7","501.94","1342.63","Course n°1 | Finale B"
"Pierre Campagne","K1H","174.14","277.96","1348.37","Course n°1 | Finale B"
"Jean Cougul","K1H","177.64","731","1394.02","Course n°1 | Finale B"
"Nicolas Cappy","K1H","178.18","873.71","1401.07","Course n°1 | Finale B"
"Compton Cruickshank","K1H","187.82","533.51","1526.8","Course n°1 | Finale B"
"Maxime Dubois","K1H","192.13","558.22","1583.02","Course n°1 | Finale B"
"Theo Ducasse","K1H","194.29","362.85","1611.19","Course n°1 | Finale B"
"Tom Gonzales","K1H","195.5","641.02","1626.98","Course n°1 | Finale B"
"Valentin Cesbron","K1H","206.73","291.79","1773.45","Course n°1 | Finale B"
"Killyan Moreau","K1H","218.13","-","1922.14","Course n°1 | Finale B"
"Alexis Goussebayle","K1H","224.17","846.15","2000.92","Course n°1 | Finale B"
"Robin Genty","K1H","265.74","511.27","2543.13","Course n°1 | Finale B"
"Bastien Darmayan","K1H","269.31","755.62","2589.7","Course n°1 | Finale B"
"Samuel Taillefer","K1H","340.55","477.73","3518.89","Course n°1 | Finale B"
"Leam Auffret","K1H","366.77","529.58","3860.89","Course n°1 | Finale B"
"Felix Praderie","K1H","371.9","445.67","3927.8","Course n°1 | Finale B"
"Jean Dayraut","K1H","420.57","641.7","4562.61","Course n°1 | Finale B"
"Simeon Althabegoity","K1H","Abd","-","-","Course n°1 | Finale B"
"Renaud Clerc","K1H","Des","-","-","Course n°1 | Finale B"
"Pierre De La Morinerie","K1H","Abs","-","-","Course n°1 | Finale B"
"Matthieu Desbons","K1H","Des","-","-","Course n°1 | Finale B"
"Benjamin Sanella","K1H","Abs","-","-","Course n°1 | Finale B"
"Ewen Berrest","K1HM","106.1","401.6","460.91","Course n°1 | Finale B"
"Etienne Saint Picq","K1HM","117.51","508.66","609.74","Course n°1 | Finale B"
"Esteban Illido","K1HM","118.54","573.58","623.17","Course n°1 | Finale B"
"Victor Lagleyze","K1HM","128.51","808.46","753.21","Course n°1 | Finale B"
"Cedric Landreau","K1HM","129.83","562.22","770.43","Course n°1 | Finale B"
"Tomy Dandonneau","K1HM","159.45","483.18","1156.77","Course n°1 | Finale B"
"Baptiste Delemotte","K1HM","168.32","591.57","1272.46","Course n°1 | Finale B"
"Mael Bernes","K1HM","169.03","478.02","1281.72","Course n°1 | Finale B"
"Theo Jeanlouis","K1HM","186.89","955.25","1514.67","Course n°1 | Finale B"
"Julian Luce","K1HM","191.15","854.5","1570.24","Course n°1 | Finale B"
"Matt Vidou","K1HM","253.32","699.52","2381.13","Course n°1 | Finale B"
"Quentin Rabot","K1HM","275.14","956.24","2665.74","Course n°1 | Finale B"
"Julien Dubarry","K1HM","288.49","629.87","2839.86","Course n°1 | Finale B"
"Theo Papin","K1HM","300.8","641.85","3000.43","Course n°1 | Finale B"
"Loic Leymonerie","K1HM","383.48","796","4078.84","Course n°1 | Finale B"
"Alex Baldoni","K1HM","Des","-","-","Course n°1 | Finale B"
