"Sélectif Régional - Saint Pierre de Boeuf - 2009-10-11","Course 2","2009-10-11","Régional","369"
"Thibault Gibert-Antoine Runet","C2H","178.51","277","1104",""
"Anton Boric-Thibault Rouanet","C2H","Nt","-","-",""
"Arthur Grizard-Thomas Denais","C2H","Nt","-","-",""
"Guillaume Gonseth-Nicolas Detheve","C2H","Nt","-","-",""
"Andrea Gratwohl-Lukas Werro","C2M","118.49","-","257",""
"Pierre Moreau-Camille Salgues","C2M","134.76","-","446",""
"Eric Dessolies-Annaelle Meheut","C2M","139.19","-","498",""
"Tiphanie Borlet-Anthony Colin","C2M","Nt","-","-",""
"Anneline Triomphe","K1D","96.51","77","52",""
"Caroline Bourry","K1D","99.34","55","86",""
"Flora Bove","K1D","100.65","106","102",""
"Nelly Tornare","K1D","102.73","-","127",""
"Annaelle Meheut","K1D","104.39","127","147",""
"Marlene Devillez","K1D","104.94","136","154",""
"Priscille Duruz","K1D","105.04","179","155",""
"Raphaelle Hovine","K1D","105.36","166","160",""
"Jihane Samlal","K1D","107.05","141","179",""
"Julie Neime","K1D","107.74","213","188",""
"Elise Chabbey","K1D","107.86","244","189",""
"Marion Delorme","K1D","110.10","170","217",""
"Coralie Yebenes","K1D","110.81","179","225",""
"Lisa Ducros","K1D","111.41","378","233",""
"Berangere Baudart","K1D","111.82","222","238",""
"Stephanie Kaczmarek","K1D","112.10","251","241",""
"Emeline Oudet","K1D","112.73","242","248",""
"Tiphanie Borlet","K1D","113.73","277","260",""
"Clementine Geoffray","K1D","113.76","198","260",""
"Lea Wetzel","K1D","114.15","311","265",""
"Carine Chapuis","K1D","114.31","268","267",""
"Mylene Ferry","K1D","114.32","202","267",""
"Lucie Boutonnet","K1D","114.40","322","269",""
"Andrea Gratwohl","K1D","114.47","194","270",""
"Julie Wassmer","K1D","116.96","300","299",""
"Audrey Astier Perret","K1D","119.52","334","330",""
"Camille Salgues","K1D","119.84","320","335",""
"Michaela Daille","K1D","121.32","417","352",""
"Laura Ligeon","K1D","123.59","342","380",""
"Celia Jodar","K1D","125.45","250","403",""
"Laura Janeriat","K1D","125.60","366","404",""
"Anouk Bessy","K1D","126.53","464","415",""
"Marie Bourgey","K1D","126.70","405","418",""
"Orlane Dupras","K1D","128.71","377","442",""
"Marie Helye","K1D","136.92","409","541",""
"Maeva Salvador","K1D","138.46","549","560",""
"Margot Ayats","K1D","140.27","478","582",""
"Marie Troyano","K1D","141.30","568","594",""
"Annie Ughetto","K1D","146.43","547","656",""
"Awena Jouannic","K1D","156.15","-","774",""
"Mathilde Cartier","K1D","159.03","-","809",""
"Lena Jouannic","K1D","190.87","-","1195",""
"Louise Mautret","K1D","195.11","501","1245",""
"Jennifer Besancon","K1D","210.04","788","1427",""
"Coralie Cusenier","K1D","306.53","1748","2595",""
"Carlota Guell","K1D","319.39","1573","2751",""
"Claire Choiseau","K1D","554.77","1241","5600",""
"Julie Gatier","K1D","Nt","-","-",""
"Marion Gezequel","K1D","Nt","-","-",""
"Justine Traversa","K1D","Nt","-","-",""
"Jimy Bercon","K1H","84.78","27","44",""
"Andy Pajani","K1H","85.12","32","48",""
"Mathieu Doby","K1H","85.41","4","52",""
"Raphael Reveche","K1H","85.42","18","52",""
"Romain Chabrol","K1H","87.31","96","78",""
"Hugo Cailhol","K1H","87.66","32","83",""
"Cedric Bron","K1H","88.36","38","92",""
"Martin Dougoud","K1H","88.60","83","95",""
"Adrien Chabbey","K1H","88.60","74","95",""
"Nicolas Abbal","K1H","88.66","75","97",""
"Lukas Werro","K1H","88.70","-","97",""
"Mathieu Haberland","K1H","88.77","107","98",""
"Julien Haberland","K1H","88.86","49","99",""
"Jules Bevalot","K1H","88.87","30","99",""
"Virgile Pigache-donnet","K1H","89.04","114","102",""
"Renaud Doby","K1H","89.55","11","109",""
"Jeremy Lehning","K1H","89.96","121","114",""
"Davy Egraz","K1H","90.05","45","116",""
"Yann Gudefin","K1H","90.11","23","116",""
"Thibaud Lacour","K1H","90.12","90","116",""
"Remi Baudot","K1H","90.34","121","119",""
"Boris Chenal","K1H","90.70","124","124",""
"Luc Doye","K1H","90.74","123","125",""
"Yann Neime","K1H","90.87","121","126",""
"Loic Jeanningros","K1H","90.87","112","126",""
"George Meysner","K1H","91.15","145","131",""
"William Desnos","K1H","91.18","111","131",""
"Hafiz Ali Hassan","K1H","91.63","114","137",""
"Jonathan Chapatte","K1H","91.67","91","138",""
"Kevin Schultz","K1H","91.91","120","141",""
"Sebastien De Kerleau","K1H","91.92","161","141",""
"Jeremy Vibert","K1H","92.20","128","145",""
"Romain Richard","K1H","92.28","161","146",""
"Charles Edouard Dherment","K1H","92.30","129","146",""
"Yannick Besse","K1H","92.36","172","147",""
"Thibault Gibert","K1H","92.67","114","152",""
"Julien Daumont","K1H","93.34","127","161",""
"Sylvain Dandel","K1H","93.36","119","161",""
"Julien Beltrami","K1H","93.54","200","163",""
"Remi Wolf","K1H","94.00","182","170",""
"Sebastien Lepaulard","K1H","94.05","170","170",""
"Florian Wadel","K1H","94.07","-","171",""
"Philippe Daumont","K1H","94.10","169","171",""
"Loic Sieber","K1H","94.20","214","172",""
"Bertrand Lamy","K1H","94.22","184","172",""
"Cyril Gisbert","K1H","94.31","181","173",""
"Maxime Faivre","K1H","94.36","156","174",""
"Thomas Neime","K1H","94.42","208","176",""
"Antoine Lhermite","K1H","94.49","142","177",""
"Guillaume Gery","K1H","94.85","204","181",""
"Emmanuel Moreau","K1H","94.88","183","181",""
"Matthieu Basset","K1H","94.93","167","183",""
"Pascal Ferry","K1H","94.94","129","183",""
"Pierre Baux","K1H","95.94","-","196",""
"Willy Hugedet","K1H","96.14","247","199",""
"Gregory Booth","K1H","96.36","189","202",""
"Gael Wassmer","K1H","96.47","188","203",""
"Theo Moquet","K1H","96.53","206","204",""
"Romain Musy","K1H","97.27","193","215",""
"Fabrice Madier","K1H","97.32","272","215",""
"Valentin Pahon","K1H","97.33","223","215",""
"Martin Daviet","K1H","97.35","208","216",""
"Valentin Grollemund","K1H","97.43","-","217",""
"Francois Cottet Gaydon","K1H","97.56","261","218",""
"Olivier Hardonniere","K1H","97.57","193","218",""
"Nicolas Detheve","K1H","97.62","170","219",""
"Tristan Bronsard","K1H","97.63","176","219",""
"Laurent Starck","K1H","97.79","250","221",""
"Sylvain Ferry","K1H","97.82","234","221",""
"Benoit Dubath","K1H","97.85","339","223",""
"Alexandre Lismonde","K1H","98.04","325","225",""
"Alexis Lozachmeur","K1H","98.12","217","226",""
"Cedric Mace","K1H","98.25","-","227",""
"Tobias Olla","K1H","98.28","189","228",""
"Philippe Esnault","K1H","98.39","-","230",""
"Pascal Hunault","K1H","98.58","262","232",""
"Lois Guillermond","K1H","98.58","219","232",""
"Thibault Le Henaff","K1H","99.06","257","239",""
"Simon Bonnet","K1H","99.06","255","239",""
"Herve Gouard","K1H","99.16","-","240",""
"Romaric Baron","K1H","99.38","268","243",""
"Olivier Bret","K1H","99.52","334","246",""
"Alexandre Bordas","K1H","99.58","215","246",""
"Florian Balhuizen","K1H","99.73","244","248",""
"Anthony Deschamps","K1H","99.84","186","249",""
"Edouard Grosjean","K1H","100.15","253","254",""
"Olivier Barriere","K1H","100.22","-","255",""
"Armand Rakowski","K1H","100.46","208","258",""
"Jules Marragou","K1H","100.64","322","260",""
"Baptiste Provost","K1H","100.67","282","260",""
"Paolo Willmann Rosso","K1H","100.88","307","264",""
"Robin Dupras","K1H","101.03","301","266",""
"Gary Allemann","K1H","101.28","455","270",""
"Pierre Moreau","K1H","101.34","273","270",""
"Pierrealain Clerc","K1H","101.47","-","272",""
"Olivier Bourgey","K1H","101.48","246","272",""
"Thomas Dandel","K1H","101.49","135","272",""
"Julien Jeanningros","K1H","101.53","230","273",""
"Frederic Morand","K1H","101.53","464","273",""
"Emmanuel Triomphe","K1H","101.66","253","274",""
"Maxime Le Henaff","K1H","101.76","264","275",""
"Tom Jackson","K1H","102.08","333","280",""
"Francois Giondini","K1H","102.25","309","282",""
"Clement Rombi","K1H","102.30","304","283",""
"Yann Maignant","K1H","102.50","331","286",""
"Arthur Bernot","K1H","102.70","244","289",""
"Clement Rota","K1H","103.15","281","295",""
"Thomas Gaillard","K1H","103.20","-","295",""
"Sebastien Thevard","K1H","103.55","252","301",""
"Matthieu Chauvel","K1H","103.70","192","302",""
"Yann Delfs","K1H","103.83","-","304",""
"Benoit Morand","K1H","103.83","358","304",""
"Thomas Schmitt","K1H","103.96","256","306",""
"Matthias Meyer","K1H","104.06","322","307",""
"Emeric Vibert","K1H","104.12","275","307",""
"Pierre-adrien Vignal","K1H","104.29","314","310",""
"Guilhem Courduries","K1H","104.41","313","312",""
"Marc Jegou","K1H","104.72","306","317",""
"Anthony Colin","K1H","104.86","226","318",""
"Yan Labeye","K1H","105.50","373","327",""
"Benjamin Rat","K1H","105.71","371","329",""
"Benjamin Mella","K1H","105.83","-","332",""
"Clement Gourmelon","K1H","106.00","326","334",""
"Matthias Ollivier","K1H","106.36","399","338",""
"Julien Rocaboy","K1H","107.03","-","348",""
"Romain Delachenal","K1H","107.32","338","352",""
"Adrien Vernet","K1H","107.53","-","355",""
"Florian Hugedet","K1H","108.00","391","361",""
"Titouan Dupras","K1H","108.19","389","364",""
"Thomas Janeriat","K1H","109.32","374","380",""
"Colas Geier","K1H","109.73","308","384",""
"Benoit Parisato","K1H","110.13","322","390",""
"Hippolyte Brunier","K1H","110.32","572","392",""
"Valentin Vibert","K1H","110.32","344","392",""
"Jean Saez","K1H","110.58","350","397",""
"Sebastien Devred","K1H","110.61","-","397",""
"Alexandre Montabonnet","K1H","110.71","399","398",""
"Bastien Goujon","K1H","111.03","-","403",""
"Enzo Seker","K1H","111.13","404","404",""
"Julien Guillerault","K1H","111.25","-","406",""
"Thomas Rollot","K1H","111.33","446","407",""
"Damien Siegfried","K1H","111.45","482","408",""
"Hugues Peyret","K1H","111.89","392","414",""
"Vivien Tirole","K1H","111.90","348","414",""
"William Gettliffe","K1H","111.93","567","415",""
"Morgan Merel","K1H","112.42","388","422",""
"Maxime Le Morvan","K1H","112.58","-","423",""
"Sylvain Salinie","K1H","112.89","-","428",""
"Kevin Deschamps","K1H","112.89","273","428",""
"Jolan Konig","K1H","112.91","385","428",""
"Valentin Bernard","K1H","114.06","460","444",""
"Leo Dumont","K1H","114.24","498","446",""
"David Berthillier","K1H","114.33","435","447",""
"Thomas Maubant","K1H","114.50","-","450",""
"Jonathan Froissard","K1H","114.58","-","451",""
"Yann Burgod-derrier","K1H","115.45","501","463",""
"Maxime Dejoux","K1H","115.68","-","466",""
"Bruno Martins","K1H","115.71","399","467",""
"Julien Hayet","K1H","116.06","-","471",""
"Marc Janeriat","K1H","116.82","427","482",""
"Luka Neel","K1H","117.09","486","485",""
"Franck Hiffler","K1H","117.50","470","491",""
"Damien Ferraud","K1H","117.81","-","496",""
"Paul Jean","K1H","117.82","-","496",""
"Jules Goutte-toquet","K1H","118.44","505","504",""
"Adrien Kaiser","K1H","118.83","393","509",""
"Loick Aupee","K1H","118.84","400","509",""
"Ivan Dischler","K1H","118.93","931","510",""
"Pierrick Bonnefoy","K1H","119.07","436","513",""
"Adrien Picco","K1H","119.38","-","517",""
"Sebastien Chapuis","K1H","119.42","372","517",""
"Pierre Alexandre Facon","K1H","119.68","-","521",""
"Alexis Reigne","K1H","121.19","490","541",""
"Maxime Berthuit","K1H","121.40","924","545",""
"Arthur Grizard","K1H","121.97","-","552",""
"Olivier Kremer","K1H","123.42","545","572",""
"Robin Malenfer","K1H","124.09","801","582",""
"Marco Rodrigues","K1H","124.85","552","592",""
"Sebastien Disdier","K1H","124.89","690","592",""
"Lucas Saudon","K1H","124.90","565","592",""
"Camille Dumont","K1H","125.17","401","596",""
"Jean Yves Courtiade","K1H","125.50","-","601",""
"Julien Mayoux","K1H","125.96","-","607",""
"Gabin Repellin","K1H","126.43","-","614",""
"Claude Breuzard","K1H","126.92","512","621",""
"Remy Daumont","K1H","127.11","454","623",""
"Nolan Miton","K1H","128.00","588","634",""
"Antoni Zaki","K1H","128.99","584","648",""
"Guillaume Angonin","K1H","129.42","544","654",""
"Mathieu Lions","K1H","130.37","564","668",""
"Marc Le Morvan","K1H","130.60","762","670",""
"Sylvain Runel-paulhan","K1H","131.54","-","684",""
"Jonathan Courduries","K1H","131.91","1174","688",""
"Francois Emin","K1H","132.30","747","694",""
"Mickael Alves","K1H","134.33","769","721",""
"Timothee Bernard","K1H","136.19","-","747",""
"Arthur Gentes","K1H","136.47","1021","750",""
"Louis Chabert","K1H","137.92","-","771",""
"Guillaume Affortit","K1H","139.11","-","787",""
"Yohann Mathieu-daude","K1H","141.45","-","819",""
"Mathias Guillot","K1H","141.95","-","826",""
"Luc Arnaud","K1H","142.48","-","833",""
"Clement Bost","K1H","143.88","-","852",""
"Charly Seban","K1H","149.75","1376","932",""
"Loic Joly","K1H","149.80","-","934",""
"Thomas Denais","K1H","151.08","-","951",""
"Thibaut Bernot","K1H","159.32","412","1063",""
"Anthony Govaerts","K1H","159.57","1081","1067",""
"Franck Guillot","K1H","163.57","-","1122",""
"Nicolas Dangla","K1H","163.80","-","1125",""
"Duncan Bazin","K1H","164.34","-","1132",""
"Tristan Vauchey","K1H","168.85","1529","1194",""
"Jimmy Peisey","K1H","169.22","1728","1198",""
"Antoine Petit","K1H","175.17","-","1280",""
"Nicolas Thiebaut","K1H","178.47","2169","1326",""
"Victor Dormoy","K1H","208.35","-","1734",""
"Emilien Senneret","K1H","214.09","-","1813",""
"Yann Rivallant","K1H","Nt","-","-",""
"Olivier Debaud","K1H","Nt","-","-",""
"Valentin Rozand","K1H","Nt","-","-",""
"Quentin Voindrot","K1H","Nt","-","-",""
"Alexandre Allemang","K1H","Nt","-","-",""
"Antoine Jargeat","K1H","Nt","-","-",""
"Thomas Lebreton","K1H","Nt","-","-",""
"Dorian Perrin-mazier","K1H","Nt","-","-",""
"Martin Moreau","K1H","Nt","-","-",""
"Jonathan Gautier","K1H","Nt","-","-",""
"Quentin Helaine","K1H","Nt","-","-",""
"Pedro Farias Barbas","K1H","Nt","-","-",""
"Jorys Plissot","K1H","Nt","-","-",""
"Julien Cukierman","K1H","Nt","-","-",""
"Alain Ferry","K1H","Nt","-","-",""
"Jan Kaspar","K1H","Nt","-","-",""
"Jeremy Poux","K1H","Nt","-","-",""
"Bertrand Bercon","K1H","Nt","-","-",""
"Thomas Bersinger","K1H","Nt","-","-",""
