"Championnat Régional de Slalom - Championnat Régional Slalom Nouvelle Aquitaine  - Gond Pontouvre - Finale - 2017-06-04","Finale","2017-06-04","Régional","194"
"Killyan Moreau","C1H","139","692.41","799.51","Finale B"
"Julien Coric","C1H","145.21","823","877.35","Finale B"
"Matthias Reviron","C1H","155.96","-","1012.11","Finale B"
"Tristan Ruiz","C1H","179.95","-","1312.83","Finale B"
"Alex Baldoni","C1HM","128.99","640.72","674.04","Finale B"
"Antton Erdois","C1HM","129.48","720.91","680.17","Finale B"
"Edouard Patry","C1HM","140.04","-","812.54","Finale B"
"Clement Turgis","C1HM","176.82","-","1273.6","Finale B"
"Gaetan Rousseau","C1HM","Abs","-","-","Finale B"
"Florentin Saumon-Zeph Scamps","C2H","124.25","617.02","543.82","Finale B"
"Thibault Alcaras-Ulysse Giel","C2H","126.87","628.89","575.16","Finale B"
"Charley Sannier Durand-Tom Baillon","C2H","127.45","630.95","582.11","Finale B"
"Matheo Gillaizeau-Sam Traquet","C2H","128.07","-","589.52","Finale B"
"Gedeon Cothias-faure-Cedric Landreau","C2H","141.98","626.72","755.97","Finale B"
"Matthias Reviron-Julien Beneteau","C2H","155.98","1144.15","923.49","Finale B"
"Solene Lafitte","K1D","121.48","397.76","472.08","Finale B"
"Elise Doreau","K1D","125.24","508.04","515.88","Finale B"
"Laurence Pessoni","K1D","126.25","384.14","527.65","Finale B"
"Jocelyne Roupioz","K1D","130.76","552.84","580.18","Finale B"
"Emma Angladette","K1D","138.83","525.6","674.17","Finale B"
"HÉlÈne Gassie","K1D","154.53","-","857.04","Finale B"
"Louise Turgis","K1D","157.2","1034.15","888.15","Finale B"
"Perrine Dujourd'hui","K1D","187.8","-","1244.58","Finale B"
"Lisa Mourot","K1D","199.63","-","1382.37","Finale B"
"Nuith Engstrand","K1D","231.51","-","1753.7","Finale B"
"Ana Thoraux","K1DM","142.83","-","720.76","Finale B"
"Alice Bureau","K1DM","144.71","687.38","742.66","Finale B"
"Olivia Trinh","K1DM","150.5","-","810.11","Finale B"
"Morgane Bastier-guilcher","K1DM","163.07","808.14","956.52","Finale B"
"Kevin Sponem","K1H","100.92","341.43","385.42","Finale B"
"Cedric Landreau","K1H","103.35","388.76","417.4","Finale B"
"Gedeon Cothias-faure","K1H","104.89","447.91","437.67","Finale B"
"Merwan Fliou","K1H","107.84","-","476.5","Finale B"
"Jordan Brise","K1H","109.05","616.43","492.43","Finale B"
"Thibault Beneteau","K1H","109.16","513.45","493.87","Finale B"
"Tomy Dandonneau","K1H","110.79","403.41","515.33","Finale B"
"Simon Metra","K1H","111.26","460.31","521.51","Finale B"
"Maxime Dubois","K1H","111.39","490.21","523.23","Finale B"
"Julien Brice","K1H","111.97","511.67","530.86","Finale B"
"Corentin Bechu","K1H","112.25","508.9","534.55","Finale B"
"Adrien Roux","K1H","113.04","533.47","544.94","Finale B"
"Tom Charles","K1H","113.49","444.11","550.87","Finale B"
"Leo Dujourd'hui","K1H","114.84","472.23","568.64","Finale B"
"Paul Gobert","K1H","115.11","517","572.19","Finale B"
"Fabrice Lacoudre","K1H","118.6","588.53","618.12","Finale B"
"Jean-noel Biteau","K1H","120.14","607.54","638.39","Finale B"
"Nathanael Bordes","K1H","122.74","717.91","672.62","Finale B"
"Julien Coric","K1H","123.72","766.42","685.51","Finale B"
"Bruno Beneteau","K1H","123.88","590.17","687.62","Finale B"
"Tom Morillon","K1H","125.96","1289.1","715","Finale B"
"Killyan Moreau","K1H","126.07","776.6","716.45","Finale B"
"Tristan Ruiz","K1H","127.88","698.92","740.27","Finale B"
"Bruno Oteiza","K1H","128.1","613.86","743.16","Finale B"
"Tristan Favennec","K1H","128.33","645.58","746.19","Finale B"
"Lucas Mesquita","K1H","128.48","655.05","748.17","Finale B"
"Jean Luc Pessoni","K1H","132.21","650.17","797.26","Finale B"
"David Acero Blondin","K1H","133.41","736.28","813.06","Finale B"
"Pascal Pierre","K1H","134.15","-","822.8","Finale B"
"Fabrice Le Bras","K1H","134.3","671.07","824.77","Finale B"
"Ludovik Fresnel","K1H","141.65","778.75","921.51","Finale B"
"Aurelien Blois","K1H","151.41","1076.64","1049.97","Finale B"
"Dominique Gireaud","K1H","171.05","-","1308.48","Finale B"
"Pierre Maupetit","K1H","175.83","877.14","1371.39","Finale B"
"Patrick Cherigny","K1H","284.34","-","2799.61","Finale B"
"Aymeric Delage","K1H","Abd","-","-","Finale B"
"Quentin Alcaras","K1HM","115.27","572.43","574.29","Finale B"
"Alex Baldoni","K1HM","119.67","564.18","632.21","Finale B"
"Titouan Conseil","K1HM","124.69","668.4","698.28","Finale B"
"Esteban Bidegain","K1HM","126.19","-","718.03","Finale B"
"Edouard Patry","K1HM","132.37","-","799.37","Finale B"
"Gaetan Rousseau","K1HM","142.69","-","935.2","Finale B"
"Noa Lorand","K1HM","144.57","928.92","959.94","Finale B"
"Clement Turgis","K1HM","148.13","-","1006.8","Finale B"
"Arsene Labarthe","K1HM","149","1545","1018.25","Finale B"
