"5ème Manche de la Coupe de France Nationale 1 Slalom - Foix - Finale - 2017-06-10","Finale","2017-06-10","Nationale 1","98"
"Thomas Rosset","K1H","111.35","80.3","110.38","Finale B"
"Martin Daviet","K1H","111.47","81.84","111.42","Finale B"
"Thibault Marchand","K1H","111.84","83.75","114.65","Finale B"
"Benjamin Buys","K1H","112.23","103.2","118.05","Finale B"
"Julien Haberland","K1H","112.52","119.83","120.58","Finale B"
"Thomas Durand","K1H","113.48","113.44","128.95","Finale B"
"William Desnos","K1H","113.51","99.78","129.21","Finale B"
"Alan Dollo","K1H","113.58","103.33","129.83","Finale B"
"Gurgen Brun","K1H","113.92","91.37","132.79","Finale B"
"Arnaud Lapeze","K1H","114.1","149.61","134.36","Finale B"
"Edgar Prigent","K1H","114.32","76.94","136.28","Finale B"
"Paul Cornut-chauvinc","K1H","114.46","92.97","137.5","Finale B"
"Mathis Soudi","K1H","114.78","121.37","140.29","Finale B"
"Vincent Delahaye","K1H","115.08","120.93","142.91","Finale B"
"Nicolas Baudoin","K1H","115.74","84.6","148.66","Finale B"
"Damien Launay","K1H","116.52","131.37","155.47","Finale B"
"Hugo Crepeau","K1H","120.78","128.6","192.62","Finale B"
"Clement Travert","K1H","155.16","59.56","492.48","Finale B"
"Sami Rocher","K1H","158.81","82.13","524.31","Finale B"
"Maxime Tilhet","K1H","162.06","105.31","552.66","Finale B"
"Julien Pajaud","K1H","162.33","89.41","555.01","Finale B"
"Isaac Dufrene","K1H","164.38","126.03","572.89","Finale B"
"Nicolas Bernardy","K1H","181.72","144.71","724.13","Finale B"
"Benjamin Jacon","K1H","209.08","73.07","962.76","Finale B"
"Hugo Cailhol","K1H","213.48","91.83","1001.13","Finale B"
"Kendaor Le Huitou","K1H","270.19","101.81","1495.74","Finale B"
