"ROAZHON CUP - 35000 Rennes - Finale - 2018-11-18","Finale","2018-11-18","RÈgional","278"
"Maxence Gautier Grall","K1HM","129.12","634.99","629.02","Finale A"
"Marwan Bazot","K1HM","132.67","604.54","672.84","Finale A"
"Timeo Cornic","K1HM","133.83","633.67","687.16","Finale A"
"Eliott Sudraud","K1HM","138.07","806.75","739.49","Finale A"
"Cl…ment Louveau","K1HM","140.82","429.21","773.43","Finale A"
"Claire Moal","C1D","130.55","455.78","383.11","Finale B"
"Eva Marchand","C1D","137.17","456.92","451.19","Finale B"
"Louna Beurel","C1D","144.63","456.85","527.93","Finale B"
"Romane Bronchet","C1D","171.92","517.37","808.64","Finale B"
"Clara Grangeon","C1D","Abs","-","-","Finale B"
"Zoe Malval","C1DM","192.16","662.26","1016.82","Finale B"
"Nicolas Bernardy","C1H","113.64","345.37","376.16","Finale B"
"Marin Salmon","C1H","114.42","443.66","385.32","Finale B"
"Alex Louveau","C1H","115.81","367.42","401.66","Finale B"
"Johann Loiseau","C1H","117.77","436.77","424.71","Finale B"
"Melenn Aubry","C1H","118.74","342.17","436.11","Finale B"
"Luc Hellard","C1H","119.36","307.69","443.39","Finale B"
"Romain Branjauneau","C1H","120.02","423.18","451.16","Finale B"
"Timothee Le Mort","C1H","120.21","412.39","453.39","Finale B"
"Jeremie Gouello","C1H","121.49","589.1","468.44","Finale B"
"Lorin Dumont","C1H","125.35","419.19","513.81","Finale B"
"Alexis Carpentey","C1H","128.33","485.93","548.84","Finale B"
"Riwal Le Berre","C1H","129.89","499.77","567.18","Finale B"
"Yannis Houze","C1H","130.63","576.07","575.88","Finale B"
"Florian Lohezic","C1H","131.83","504.03","589.98","Finale B"
"Mael Monjaret","C1H","137.07","575.1","651.58","Finale B"
"Louis Beaumois","C1H","142.24","470.62","712.36","Finale B"
"Tanguy Odot","C1H","150.63","567.34","810.98","Finale B"
"Thomas Hado","C1H","171.16","1282.85","1052.33","Finale B"
"Marin Guillouet","C1H","174.61","1221.35","1092.87","Finale B"
"Yannick Courtay","C1H","682.55","780.9","7063.89","Finale B"
"Julien Caillarec","C1H","Abs","-","-","Finale B"
"Vincent Laclide","C1H","Abs","-","-","Finale B"
"Anthony Drouhin","C1H","Abs","-","-","Finale B"
"Thomas Salch","C1H","Abs","-","-","Finale B"
"Roman Souffez","C1HM","156.54","721.44","880.46","Finale B"
"Kyliann Godin","C1HM","223.53","943.64","1667.95","Finale B"
"Maxence Gautier Grall","C1HM","Abs","-","-","Finale B"
"Rafael Lerusse-Glen Le Meur","C2H","124.03","502.43","432.02","Finale B"
"Ewen Berrest-Jules Roos","C2H","165.42","869.53","896.46","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","Abs","-","-","Finale B"
"Sylviane Quemerais","K1D","123.56","361.3","389.93","Finale B"
"Clothilde Le Louarn","K1D","126.44","602.96","421.4","Finale B"
"Louna Beurel","K1D","128.53","439.06","444.22","Finale B"
"Ilhame Siraj","K1D","133.38","1128.21","497.2","Finale B"
"Jann Le Corre","K1D","141.07","448.76","581.2","Finale B"
"Elodie Morin - S…rot","K1D","151.25","818.75","692.4","Finale B"
"Muriel Van Vliet","K1D","151.82","760.38","698.62","Finale B"
"Alexandra Rochard","K1D","165.53","514.5","848.38","Finale B"
"Jeanne Bonthonnou","K1D","166.87","654.64","863.02","Finale B"
"Pauline Guenery","K1D","173.08","594.21","930.85","Finale B"
"Gwendoline Hall","K1D","176.46","530.35","967.77","Finale B"
"Taelle Cardin","K1D","202.81","579.5","1255.59","Finale B"
"Zoe Marchand","K1D","294.82","739.35","2260.63","Finale B"
"Chlo… Jegoux","K1D","496.11","-","4459.33","Finale B"
"Lily Cochet","K1D","Des","-","-","Finale B"
"Maina Maligorne","K1DM","150.81","502.09","687.59","Finale B"
"Aurelie Hall","K1DM","343.02","1364.57","2787.13","Finale B"
"Aude-line Quin","K1DM","Des","-","-","Finale B"
"Luca Dos Santos","K1H","96.2","140.66","227.68","Finale B"
"GaÀtan De Greef","K1H","99.84","249.48","272.61","Finale B"
"Gaspard Perrio","K1H","100.71","376.14","283.35","Finale B"
"Thibaud Chevalier","K1H","101.49","286.2","292.98","Finale B"
"Frederic Castryck","K1H","107.63","299.52","368.77","Finale B"
"Stephane Odot","K1H","109.43","402.36","390.98","Finale B"
"Emmanuel Cosse","K1H","109.47","406.84","391.48","Finale B"
"Alexis Pernelle","K1H","109.98","475.48","397.77","Finale B"
"Dorian Ollivier","K1H","111.19","329.15","412.71","Finale B"
"Simon Seuru","K1H","111.25","380.52","413.45","Finale B"
"Armand Fougere","K1H","112.15","360.48","424.56","Finale B"
"Oscar Donval","K1H","112.3","344.82","426.41","Finale B"
"Alan Olivo","K1H","114.22","460.19","450.11","Finale B"
"Julien Caillarec","K1H","114.54","374.18","454.06","Finale B"
"Tom Seguillon","K1H","114.6","379.88","454.8","Finale B"
"Guillaume Maillot","K1H","114.66","419.53","455.54","Finale B"
"Eliott Reine","K1H","115.14","838.52","461.46","Finale B"
"Francois Bonthonnou","K1H","115.38","470.01","464.43","Finale B"
"Tom Lallican","K1H","117.13","511.4","486.03","Finale B"
"Adrien Pierre","K1H","117.44","379.11","489.85","Finale B"
"Jules Roos","K1H","118.16","464.08","498.74","Finale B"
"Nicolas Maurel","K1H","118.6","487.55","504.17","Finale B"
"Hugo Eouzan-chaffotec","K1H","118.94","442.48","508.37","Finale B"
"Elouan Pennors","K1H","119.23","495.57","511.95","Finale B"
"Hugo Robert","K1H","119.94","462.13","520.71","Finale B"
"Nathan Leretrif","K1H","120.51","632.91","527.75","Finale B"
"Philippe Rocher","K1H","121.66","481.3","541.94","Finale B"
"Erwann Le Jeune","K1H","121.85","495.02","544.29","Finale B"
"Yann Curti","K1H","121.94","524.46","545.4","Finale B"
"Axel Brin","K1H","124.2","670.81","573.29","Finale B"
"Ewen L'hereec","K1H","125.29","674.95","586.75","Finale B"
"Olivier Brochard","K1H","125.58","522.35","590.33","Finale B"
"Samuel Flament","K1H","126.2","1332.24","597.98","Finale B"
"Victor Robert","K1H","127.23","612.85","610.69","Finale B"
"Clement Ezanno","K1H","127.35","610.64","612.17","Finale B"
"Briac Charny","K1H","127.83","617.9","618.1","Finale B"
"Baptiste Madic","K1H","129.62","1011.97","640.19","Finale B"
"Corentin Beaumois","K1H","130.07","452.31","645.75","Finale B"
"Antoine Aubert","K1H","130.12","486.25","646.36","Finale B"
"Tanguy Odot","K1H","132.11","429.41","670.93","Finale B"
"Thibault Prono","K1H","132.16","791.65","671.54","Finale B"
"Lucas Soudi","K1H","134.69","417.04","702.77","Finale B"
"Juan Riu","K1H","135.48","631.31","712.52","Finale B"
"Mallory Brochard","K1H","135.96","805.11","718.45","Finale B"
"Antoine Sapin","K1H","137.82","551.26","741.4","Finale B"
"Victor Perebaskine","K1H","139.05","814.52","756.59","Finale B"
"Luck Thomas","K1H","139.09","553.13","757.08","Finale B"
"Maxime Lignereux","K1H","139.12","483.89","757.45","Finale B"
"Riwan Le Roy","K1H","139.4","1704.46","760.91","Finale B"
"Valentin Soullard","K1H","141.13","582.83","782.26","Finale B"
"Jean Christophe Olivo","K1H","143.07","720.76","806.21","Finale B"
"Julien Buors","K1H","150.49","744.63","897.79","Finale B"
"Simon Riaud","K1H","153.71","1143.31","937.54","Finale B"
"Gerard Lemonnier","K1H","160.69","752","1023.69","Finale B"
"Cesar Le Berder","K1H","167.19","526.92","1103.92","Finale B"
"Tom Milon","K1H","167.8","488.35","1111.45","Finale B"
"Thomas Hado","K1H","178.5","686.17","1243.52","Finale B"
"Logan Toubel","K1H","179.32","658.6","1253.64","Finale B"
"Christophe Gergaud","K1H","185.06","580.81","1324.49","Finale B"
"Marin Guillouet","K1H","190.49","1236.27","1391.52","Finale B"
"Matheo Courgeon","K1H","193.61","575.24","1430.03","Finale B"
"Louis Nivet","K1H","195.22","677.41","1449.9","Finale B"
"Kristen Prigent","K1H","207.65","1565.76","1603.32","Finale B"
"Antoine Demarest","K1H","346.94","817.85","3322.59","Finale B"
"Esteban Perreton","K1H","537.79","2885.18","5678.28","Finale B"
"Jean Yves Prigent","K1H","Abs","-","-","Finale B"
"Ewann Hervouet","K1HM","132.02","660.38","669.81","Finale B"
"Florian Szabo","K1HM","134.35","801.57","698.57","Finale B"
"Milio Le Touze","K1HM","139.22","707.3","758.69","Finale B"
"Valentin Rolland","K1HM","140.66","834.12","776.46","Finale B"
"Damien Guilloux","K1HM","150.06","935.17","892.48","Finale B"
"Maxence Quillere","K1HM","150.4","880.39","896.68","Finale B"
"Loœg Massot","K1HM","159.88","1375.14","1013.69","Finale B"
"Brieuc Reucheron","K1HM","172.81","629.23","1173.29","Finale B"
"Nino Laronce Renard","K1HM","173.66","1309.04","1183.78","Finale B"
"Theo Le Roux","K1HM","181.43","1421.5","1279.69","Finale B"
"Pacome Michel","K1HM","192.41","961.48","1415.21","Finale B"
"Ambroise Perier","K1HM","193.43","1211.45","1427.8","Finale B"
"Sacha Thomas","K1HM","233.7","1484.31","1924.86","Finale B"
"Thomas Le Devehat","K1HM","401.61","1023.39","3997.39","Finale B"
"Ismail Moumin","K1HM","Abs","-","-","Finale B"
