"Manche de la Coupe de France National 3 Slalom Nord-Est - 25400 Audincourt - Qualification - 2019-04-21","Qualification","2019-04-21","Nationale 3","142"
"Oskar Hillion","K1H","90.37","330.14","359.33",""
"Louis Gasser","K1H","90.62","339.9","363.03",""
"Nathan Frison","K1H","91.65","381.7","378.24",""
"Axel Ganthier","K1H","92.72","385.22","394.05",""
"Mathieu Douillet","K1H","94.79","313.28","424.63",""
"Matthieu Koffel","K1H","94.94","303.21","426.84",""
"Loann Delle Dananchet","K1H","95","456.17","427.73",""
"Smail Mouhoub","K1H","95.28","491.27","431.86",""
"Olivier Urbain","K1H","95.75","433.81","438.81",""
"Victor Henry","K1H","96.12","458.6","444.27",""
"Paul Gstalter","K1H","97.01","626.37","457.42",""
"Erwan Degreve","K1H","97.83","419.51","469.53",""
"Eddy Cassard","K1H","98.34","548","477.07",""
"Matthew Vuillard","K1H","98.56","376.83","480.32",""
"Maxime Devis","K1H","100.33","473.13","506.46",""
"Florent Tamburini","K1H","100.36","441.09","506.91",""
"Christophe Billaud","K1H","100.4","539.01","507.5",""
"Dyclan Plessis","K1H","100.43","391.59","507.94",""
"Christophe Godinat","K1H","100.8","510.11","513.41",""
"Remy Perrin","K1H","101.35","527.67","521.53",""
"Jules Latimier","K1H","101.59","505.37","525.07",""
"Samuel Tahaafe","K1H","101.85","465.73","528.92",""
"Gael Ettwiller","K1H","102.19","419.43","533.94",""
"Damien Burteaux","K1H","102.48","439.51","538.22",""
"Alexis Gombert","K1H","102.85","519.93","543.69",""
"Virgile Bessot","K1H","104.44","565.89","567.18",""
"Jonathan Ferreira","K1H","104.88","505.61","573.67",""
"Jules Ferber","K1H","104.98","553.91","575.15",""
"Salim Jemai","K1H","106.63","736.91","599.53",""
"Anthony Menissier","K1H","107.69","542.29","615.18",""
"Patrick Gass","K1H","107.8","508.47","616.81",""
"Frederic Caillet","K1H","108.06","898.49","620.65",""
"Maxime Forcadette","K1H","108.37","664.73","625.23",""
"Xavier Rat","K1H","108.66","527","629.51",""
"Evan Trenchant","K1H","108.67","620.01","629.66",""
"Romain Moret","K1H","110.09","742.67","650.64",""
"Oscar Pasteur","K1H","111.25","515.6","667.77",""
"Theophile Vincent","K1H","114.05","687.97","709.13",""
"Mattheo Szkuta","K1H","114.33","615.36","713.27",""
"Lucas Matkovic","K1H","115.36","619.83","728.49",""
"Thibault Rouanet","K1H","116.2","865.46","740.89",""
"Juan Guerrero","K1H","116.7","619.89","748.28",""
"Robin Giurlando","K1H","118.11","617.54","769.11",""
"Alexandre L'huillier","K1H","119.94","559.22","796.14",""
"Paul Farrugio","K1H","122.05","484.31","827.31",""
"Alexandre Lambert","K1H","123.25","740.77","845.04",""
"Jean Guyot","K1H","123.52","650.83","849.03",""
"Kevin Vienny","K1H","123.59","950.14","850.06",""
"Maxence Raymond","K1H","125.63","711.45","880.19",""
"Adrien Dierstein","K1H","126.27","991.6","889.65",""
"Quentin Dierstein","K1H","127.04","1001.62","901.02",""
"Thibaut Boudier","K1H","128.87","906.98","928.06",""
"Zakaria Radouani","K1H","130.53","1813.33","952.58",""
"Andre Kempf","K1H","132.9","786.81","987.59",""
"Barnabe Sennelier","K1H","138.08","867","1064.11",""
"Arnaud Cote","K1H","138.84","591.67","1075.33",""
"Guillaume Schneider","K1H","145.92","485.28","1179.92",""
"Maxime Paumier","K1H","170.86","996.52","1548.33",""
"Kevin Cheval","K1H","171.75","725.2","1561.48",""
"Remi Hervieux","K1H","173.75","991.81","1591.02",""
"Alexandre Paumier","K1H","175.76","910.29","1620.72",""
"Landry Roussel","K1H","310.11","862.45","3605.34",""
"William Pawlus","K1H","Abs","-","-",""
"Antoine Leroy","K1H","Abs","-","-",""
"Pierre Biagui","K1H","Abs","-","-",""
"Ludovic Kessler","K1H","Abs","-","-",""
"Patrick Thevenin","K1H","Abs","-","-",""
"Theo Lejeune","K1H","Abs","-","-",""
"Philippe Thevenin","K1H","Abs","-","-",""
"Leon Beyreuther","K1H","Abd","-","-",""
"Aloys Morel","K1H","Abd","-","-",""
"Rafael Pawlus","K1H","Abs","-","-",""
