"Compétition Régionale de Slalom - Guingamp (22) - Finale - 2015-01-18","Finale","2015-01-18","Régional","129"
"Alan Olivo","K1H","110.71","396.76","419.13","Finale B"
"Mathis Daniel","K1H","110.74","446.81","419.5","Finale B"
"Keliann Le Breton","K1H","110.97","420.06","422.37","Finale B"
"Valentin Rault","K1H","111.73","398.31","431.86","Finale B"
"Nicolas Le Belleguic","K1H","111.82","336.59","432.98","Finale B"
"Gwenael Coadou","K1H","111.89","488.75","433.86","Finale B"
"Luc Le Diouron","K1H","112.65","418.46","443.34","Finale B"
"Samuel Flament","K1H","113.01","400.08","447.83","Finale B"
"Marc-antoine Nannette","K1H","113.33","425.56","451.83","Finale B"
"Malo Legrand","K1H","113.39","-","452.58","Finale B"
"Hugo Philippe","K1H","114.04","476.58","460.69","Finale B"
"Valentin Crenn","K1H","114.38","539.52","464.93","Finale B"
"Jordan Daniel","K1H","114.81","454.02","470.3","Finale B"
"Kylian Lavole","K1H","116.22","489.47","487.9","Finale B"
"Theo Rose","K1H","117.78","514.49","507.37","Finale B"
"Vincent Torzec","K1H","118.45","-","515.73","Finale B"
"Killian Flegeau","K1H","119.89","-","533.71","Finale B"
"Brieg Le Paih","K1H","122.21","-","562.66","Finale B"
"Jean Christophe Olivo","K1H","123.76","499.92","582.01","Finale B"
"Guillaume Le Paih","K1H","127.55","-","629.31","Finale B"
"Valentin Le Paih","K1H","128.61","537.54","642.54","Finale B"
"Gaston Canevet","K1H","128.66","-","643.17","Finale B"
"Leo Paillat","K1H","212.47","557.79","1689.21","Finale B"
"Deverig Cardiec","K1H","229.27","-","1898.9","Finale B"
"Nathanael Pedron","K1H","354.25","624.87","3458.79","Finale B"
"Thibaud Le Berre","K1H","Des","-","-","Finale B"
"Hugo Robert","K1HM","133.67","-","-","Finale B"
"Kireg Le Pape","K1HM","138.99","-","-","Finale B"
"Mael Monjaret","K1HM","183.31","-","-","Finale B"
"Simon Rolland","K1HM","238.4","-","-","Finale B"
"Luck Thomas","K1HM","281.02","-","-","Finale B"
