"Sélectif National 3 Slalom Est - N3 Metz - Finale - 2016-03-06","Finale","2016-03-06","Nationale 3","175"
"Alexis Caspar","K1H","96.56","299.86","371.02","Finale A"
"Damien Burteaux","K1H","97.05","357.11","377.87","Finale A"
"Loic Thielen","K1H","97.45","318.32","383.47","Finale A"
"Yann Becker","K1H","97.5","332.4","384.17","Finale A"
"Benjamin Dodane","K1H","97.51","313.63","384.31","Finale A"
"Leo Peter","K1H","97.53","439.86","384.59","Finale A"
"Olivier Urbain","K1H","98.25","304.27","394.67","Finale A"
"Corentin Monasse","K1H","99.02","329","405.44","Finale A"
"Charles Fernandes De Oliveira","K1H","99.95","261.13","418.45","Finale A"
"Jorg Blees","K1H","100.37","414.14","424.33","Finale A"
"Jeremy Boisgibault","K1H","100.7","341.94","428.95","Finale A"
"Patrice Campioni","K1H","101.09","301.18","434.41","Finale A"
"Thomas L'huillier","K1H","101.53","335.73","440.56","Finale A"
"Michael Didier","K1H","102","448.07","447.14","Finale A"
"Christophe Billaud","K1H","102.34","333.24","451.9","Finale A"
"Thibaut Chariot","K1H","102.63","371.98","455.96","Finale A"
"Louis Sibille","K1H","103.81","549.27","472.47","Finale A"
"Alexis Pacholak","K1H","103.85","397.78","473.03","Finale A"
"Anthony Rouhier","K1H","104.05","416.78","475.83","Finale A"
"Loic Joly","K1H","104.21","313.8","478.06","Finale A"
"Guilhem Douillet","K1H","105.15","265.88","491.22","Finale A"
"Matthieu Walfard","K1H","105.17","372.9","491.5","Finale A"
"Thomas Stutzmann","K1H","105.38","375.59","494.44","Finale A"
"Kilian Godart","K1H","106.57","385.51","511.09","Finale A"
"Patrick Gass","K1H","108.88","428.92","543.41","Finale A"
"Antoine Leroy","K1H","109.36","372.35","550.13","Finale A"
"Arnaud Jamet","K1H","109.62","371.29","553.77","Finale A"
"Damien Siegfried","K1H","112.38","366.08","592.39","Finale A"
"Paul Frommer","K1H","113.8","321.61","612.26","Finale A"
"Loric Bertrand Delorme","K1H","116.04","547.23","643.6","Finale A"
"Xavier Rat","K1H","116.69","389.26","652.7","Finale A"
"Maxime Aubertin","K1H","117.36","523","662.07","Finale A"
"Arthur Dupont","K1H","117.97","439.8","670.61","Finale A"
"Aymeric Dollat","K1H","118.35","433.46","675.93","Finale A"
"Loic Bourgeois","K1H","144.2","401.78","1037.65","Finale A"
"Thomas Michel","K1H","154.99","391.23","1188.63","Finale A"
"Kyle Gelb","K1H","158.96","400.68","1244.18","Finale A"
"Anthony Ulrich","K1H","163.37","305.03","1305.89","Finale A"
"Jules Andrien","K1H","167.39","457.42","1362.15","Finale A"
"Eddy Cassard","K1H","230.22","360.25","2241.33","Finale A"
"Clement Carbonnel","K1H","274.54","362.87","2861.5","Finale A"
"Djimy Kar","K1H","Abs","-","-","Finale A"
"Manuel Munsch","C1H","107.09","332.08","452","Finale B"
"Guilhem Douillet","C1H","121.47","768.15","643.65","Finale B"
"Guillaume Picavet","C1H","122.46","352.8","656.84","Finale B"
"Marvin Tulpin","C1H","123.56","566.83","671.5","Finale B"
"Guerlain Robin","C1H","125.4","596.79","696.03","Finale B"
"Patrice Campioni","C1H","127.9","492.16","729.34","Finale B"
"Yann Becker","C1H","129.57","532.8","751.59","Finale B"
"Matthieu Walfard","C1H","129.73","491.46","753.72","Finale B"
"Loic Bourgeois","C1H","134.9","428.34","822.62","Finale B"
"Bastien Caillet","C1H","137.4","519.8","855.94","Finale B"
"Jules Andrien","C1H","142.3","952.92","921.24","Finale B"
"Nicolas Gallais","C1H","161.61","713.27","1178.58","Finale B"
"Paul Farrugio","C1H","181.12","725.89","1438.58","Finale B"
"Andre Gaschler","C1H","182.19","718.83","1452.84","Finale B"
"Gilles Schweitzer","C1H","252.57","358.39","2390.78","Finale B"
"Bastien Moreaux","C1H","Des","-","-","Finale B"
"Vincent Idriss Achaoui","C1H","Des","-","-","Finale B"
"Philippe Thevenin-Olivier Urbain","C2H","122.32","394.22","580.88","Finale B"
"Philippe Senechal-Xavier Rat","C2H","137.08","558.95","768.63","Finale B"
"Erwan Degreve-Kilian Godart","C2H","140.86","624.44","816.73","Finale B"
"Maxime Pilard-Robin Pilard","C2H","149.12","686.6","921.8","Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","176.83","-","1274.3","Finale B"
"Jeanne Bernard","K1D","123.83","628.13","558.26","Finale B"
"Estelle Mayer","K1D","172.93","761.77","1166.28","Finale B"
"Maiwenn Huver","K1D","173.47","616.88","1172.96","Finale B"
"Carole Dolmaire","K1D","186.98","621.4","1340.26","Finale B"
"Margaux Barbier","K1D","192.5","553.6","1408.62","Finale B"
"Fiona Gille","K1D","204.37","604.11","1555.6","Finale B"
"Heloise Stemmelen","K1D","208.21","621.93","1603.17","Finale B"
"Mallaury Bour","K1D","213.2","599.26","1664.96","Finale B"
"Gaelle Verbyst","K1D","223.19","533.21","1788.66","Finale B"
"Maurine Laugel","K1D","284.74","572.67","2550.85","Finale B"
"Sophie Staudt","K1D","Des","-","-","Finale B"
"Lou-anne Cointin","K1D","Des","-","-","Finale B"
"Axel Guilleret","K1H","95.69","352.69","363.84","Finale B"
"Joris Schaffner","K1H","96.48","265.42","374.9","Finale B"
"Vincent Herrenberger","K1H","98.88","459.56","408.48","Finale B"
"Louis Pein","K1H","101.47","409.4","444.72","Finale B"
"Victor Hennin","K1H","102.39","457.69","457.6","Finale B"
"Lucas Gillet","K1H","106.78","273","519.03","Finale B"
"Guerlain Robin","K1H","106.95","432.39","521.41","Finale B"
"Gabriel De Coster","K1H","109.11","387.2","551.63","Finale B"
"Charles Vallet","K1H","113.83","295.21","617.68","Finale B"
"Nicolas Gallais","K1H","114.48","550.94","626.77","Finale B"
"Pierre-louis Gstalter","K1H","117.74","651.98","672.39","Finale B"
"Stephane Gacoin","K1H","117.89","581.73","674.49","Finale B"
"Marvin Tulpin","K1H","118.84","477.94","687.78","Finale B"
"William Pawlus","K1H","119.18","495.49","692.54","Finale B"
"Erwan Degreve","K1H","119.44","494.01","696.18","Finale B"
"Dyclan Plessis","K1H","120.67","395.16","713.39","Finale B"
"Benjamin Hene","K1H","121.35","387.52","722.91","Finale B"
"Andre Kempf","K1H","122.81","889.01","743.34","Finale B"
"Samuel Gerard","K1H","124.68","551.63","769.5","Finale B"
"Maxime Pilard","K1H","124.73","438.96","770.2","Finale B"
"Simon Munch","K1H","125.24","698.52","777.34","Finale B"
"Yanis Delacour","K1H","125.43","427.27","780","Finale B"
"Guillaume Schneider","K1H","126.39","711.07","793.43","Finale B"
"Titouan Auriol","K1H","127.26","483.45","805.6","Finale B"
"Nicolas Castagnetti","K1H","127.68","426.19","811.48","Finale B"
"Gauthier Maillot","K1H","127.79","562.17","813.02","Finale B"
"Bastien Moreaux","K1H","128.16","434.69","818.2","Finale B"
"Bastien Caillet","K1H","129.21","506.31","832.89","Finale B"
"Victor Henry","K1H","131.02","697.6","858.22","Finale B"
"Anthony Grasso","K1H","131.96","502.54","871.37","Finale B"
"Paul Farrugio","K1H","132.28","642.75","875.85","Finale B"
"Antoine Pas","K1H","133.51","463.36","893.06","Finale B"
"Gilles Barthelemy","K1H","133.99","530.62","899.78","Finale B"
"Florent Dubois","K1H","134.86","560.98","911.95","Finale B"
"Frederic Caillet","K1H","136.39","542.74","933.36","Finale B"
"Axel Godard","K1H","139.04","556.49","970.44","Finale B"
"Philippe Koffel","K1H","139.23","832.97","973.1","Finale B"
"Hugo Gondeaux","K1H","147.22","482.3","1084.91","Finale B"
"Vincent Chamois","K1H","147.83","708.05","1093.44","Finale B"
"Alexandre Lambert","K1H","162.02","663.94","1292","Finale B"
"Pierre Biagui","K1H","169.51","599.51","1396.81","Finale B"
"Lois Pignon","K1H","189.81","764.67","1680.87","Finale B"
"Angelino Castagnetti","K1H","203.44","833.08","1871.59","Finale B"
"Leonard Painteaux","K1H","206.58","736.43","1915.53","Finale B"
"Vincent Idriss Achaoui","K1H","215.94","460","2046.51","Finale B"
"Paul Beteille","K1H","228.05","848.54","2215.96","Finale B"
"Alexandre L'huillier","K1H","Des","-","-","Finale B"
"Bairaun Catteau","K1H","Abs","-","-","Finale B"
"Gaetan Kieffert","K1H","Abs","-","-","Finale B"
"Eliot Wendling","K1H","Abs","-","-","Finale B"
