"Sélectif Régional de Slalom - Pont Querra Bassin Slalom - Qualification - 2017-01-08","Qualification","2017-01-08","Régional","97"
"Taelle Cardin","K1D","137.7","525.17","595.58",""
"Bleuenn Le Foll","K1D","183.93","627.47","1115.97",""
"Morgane Quemerais","K1D","Abs","-","-",""
"Clara Grangeon","K1DM","129.64","435.98","504.86",""
"Oriane Reis","K1DM","136.22","-","578.93",""
"Alexandra Rochard","K1DM","137.48","-","593.11",""
"Mila Ghiringhelli","K1DM","139.89","-","620.23",""
"Clara Marcovich","K1DM","141.8","626.95","641.74",""
"Adele Le Duc","K1DM","143.96","-","666.05",""
"Lucie Broudic","K1DM","155.69","-","798.09",""
"Clement Le Collinet","K1H","89.96","216.38","189.85",""
"Matheo Lebaindre","K1H","92.62","181.16","223.68",""
"Malo Legrand","K1H","93.1","226.89","229.79",""
"Luc Hellard","K1H","95.82","200.11","264.38",""
"Youn Aubry","K1H","97.91","227.63","290.97",""
"Gwenael Marquer","K1H","101.34","295.67","334.6",""
"Aurelien Le Duc","K1H","101.65","406.74","338.54",""
"Nathan Flageul","K1H","101.72","215.78","339.43",""
"Dorian Ollivier","K1H","102.88","278.45","354.18",""
"Lionel Tinevez","K1H","103.61","291.2","363.47",""
"Leo Tasset","K1H","103.89","257.92","367.03",""
"Alan Olivo","K1H","104.48","353.28","374.54",""
"Steven Henry","K1H","105.79","279.29","391.2",""
"Come Le Gal","K1H","106.63","401.65","401.88",""
"Erwann Le Jeune","K1H","108.47","401.11","425.29",""
"Valentino Le Guesclou","K1H","108.48","402.6","425.41",""
"Quentin Le Duc","K1H","108.65","239.77","427.58",""
"Melenn Aubry","K1H","108.84","364.32","429.99",""
"Xavier Le Gallic","K1H","109.09","-","433.17",""
"Stephane Gallerne","K1H","109.3","-","435.84",""
"Brice Derrien","K1H","109.4","373.18","437.12",""
"Valentin Rault","K1H","109.68","380.25","440.68",""
"Regis Cabel","K1H","110.32","293.18","448.82",""
"Simon Rolland","K1H","110.56","400.37","451.87",""
"Theo Rose","K1H","110.97","393.19","457.09",""
"Lilian Bald","K1H","112.82","433.39","480.62",""
"Daneric Ollivier","K1H","114.23","425.21","498.55",""
"Yannis Houze","K1H","114.73","501.21","504.91",""
"Mael Monjaret","K1H","115.44","515.73","513.94",""
"Clement Lucas","K1H","116.71","-","530.1",""
"Hugo Robert","K1H","119.78","540.48","569.15",""
"Samuel Piton","K1H","120.97","580.67","584.28",""
"Luck Thomas","K1H","121.64","565.92","592.81",""
"Thibault Hamon","K1H","123.71","-","619.14",""
"Anthony Guyomard","K1H","124.12","640.32","624.35",""
"Titouan Le Jeune","K1H","128.99","716.43","686.3",""
"Mathis Guilleray","K1H","131.67","-","720.39",""
"Ewen Berrest","K1H","148.94","354.05","940.05",""
"Elouan Le Fournis","K1H","169.03","485.35","1195.59",""
"Ronan Dhabit","K1H","Abs","-","-",""
"Jules Roos","K1HM","122.31","642.43","601.33",""
"Adrien Le Collinet","K1HM","123.66","-","618.5",""
"Cesar Le Berder","K1HM","126.19","669.07","650.68",""
"Victor Robert","K1HM","130.38","739.32","703.98",""
"Ewann Hervouet","K1HM","134.24","-","753.07",""
"Noe Dubois","K1HM","134.59","-","757.53",""
"Yaniss Marelle","K1HM","136.06","-","776.22",""
"Alistair Leprince","K1HM","144.43","-","882.69",""
"Louis Nivet","K1HM","179.81","-","1332.71",""
"Ylan Penvenne","K1HM","228.39","-","1950.64",""
"Nicolas Bidault","K1HM","Abs","-","-",""
"Baptiste Bernard","K1HM","Abs","-","-",""
