"Sélectif Régional de slalom - Stade D'eau Vive - Salbris - Finale - 2016-02-14","Finale","2016-02-14","Régional","87"
"Matheo Dejonghe","K1HM","121.81","-","688.23","Finale A"
"Karl Bouthegourd","C1H","127.47","544.56","687.65","Finale B"
"Steve Bruniquel","C1H","176.53","-","1323.9","Finale B"
"Etienne Wiche","C1HM","117.44","-","557.57","Finale B"
"Matheo Dejonghe","C1HM","138.13","-","825.89","Finale B"
"Baptist Besancon","C1HM","146.78","-","938.07","Finale B"
"Julie Dequeant","K1D","127.13","477.7","566.51","Finale B"
"Heloise Pinon","K1D","144.37","-","774.27","Finale B"
"Ines Vinet","K1DM","133.03","-","637.62","Finale B"
"Marie-mathilde Nevert","K1DM","202.06","-","1469.47","Finale B"
"Valentine Jussy","K1DM","214.71","-","1621.92","Finale B"
"Yann Dhieux","K1H","118.63","722.65","649.93","Finale B"
"Angelino Castagnetti","K1H","126.03","884.66","750.7","Finale B"
"Johann Abadie","K1H","128.21","1768.97","780.38","Finale B"
"Steve Bruniquel","K1H","128.87","628.14","789.37","Finale B"
"Leo Front","K1H","129.97","-","804.35","Finale B"
"Johan Piat","K1H","131.94","751.05","831.17","Finale B"
"Florent Dohet","K1H","132.13","-","833.76","Finale B"
"Romain Caburol","K1H","134.97","874.65","872.43","Finale B"
"Damien Marcq","K1H","137.03","-","900.49","Finale B"
"Christophe Flores","K1H","139.35","827.02","932.08","Finale B"
"Victor Lheritier","K1H","141.53","-","961.76","Finale B"
"Olivier Fournier","K1H","142.5","1242.41","974.97","Finale B"
"Alexis Jarrige","K1H","147.72","1487.72","1046.06","Finale B"
"Nicolas Dequeant","K1H","150.12","1315.56","1078.74","Finale B"
"Jean-marc Vallee","K1H","153.06","-","1118.77","Finale B"
"Stephane Corbel","K1H","165.91","-","1293.75","Finale B"
"Thibault Dobigny","K1H","176.71","791.39","1440.82","Finale B"
"Evens Leplan","K1H","240.88","-","2314.65","Finale B"
"Leo Patypilate","K1H","Abs","-","-","Finale B"
"Jeremie Hepner","K1HM","116","-","614.11","Finale B"
"Paul Cascarino","K1HM","119.85","-","666.54","Finale B"
"Noah Fresneda","K1HM","126.13","-","752.06","Finale B"
"Hugo Bardot","K1HM","136.59","-","894.49","Finale B"
"Colin Dobigny","K1HM","151.44","-","1096.71","Finale B"
"Simon Labet","K1HM","169.66","-","1344.82","Finale B"
"LoÏc Demaline","K1HM","195.63","-","1698.46","Finale B"
