"Compétition Régionale de Slalom - 64390 Sauveterre De Bearn - Qualification - 2019-04-22","Qualification","2019-04-22","Régional","105"
"Clement Brotier","K1H","105.89","451.17","607.24",""
"Esteban Bidegain","K1H","110.97","520.78","681.73",""
"Thierry Pucheu","K1H","111.86","-","694.77",""
"Mateo Destruel","K1H","112.9","732.38","710.02",""
"Tristan Ruiz","K1H","114.32","430.65","730.84",""
"Robin Genty","K1H","119.12","654.75","801.22",""
"Bastien Darmayan","K1H","132.25","831.9","993.74",""
"Julien Dubarry","K1H","134.41","426.54","1025.41",""
"Daniel Lafitte","K1H","136.62","779.87","1057.81",""
"Adrien Mesmoudi","K1H","138.57","256.53","1086.4",""
"Hugo Larenjeiro","K1H","139.94","962.09","1106.49",""
"Matthieu Desbons","K1H","140.03","1024.43","1107.81",""
"KÉziah Lecomte","K1H","155.28","563.34","1331.41",""
"Leo Arriau","K1H","157.78","669.87","1368.06",""
"Lucas Theil","K1H","167.48","1054.22","1510.28",""
"Jean Francois Mervant","K1H","193.07","1095.03","1885.49",""
"Bruno Lecomte","K1H","194.54","1398.7","1907.04",""
"Liam Jacquot","K1H","195.73","1148.15","1924.49",""
"Iban Vicassiau","K1H","Des","-","-",""
"Arsene Labarthe","K1H","Abs","-","-",""
"Matt Vidou","K1H","Abs","-","-",""
"Aldric Estanguet","K1H","Abs","-","-",""
"Nicolas Peyroux","K1H","Des","-","-",""
"Pascal Dongarra","K1H","Abs","-","-",""
"Florian Malaval","K1HM","96.53","497.59","470",""
"Edgar Paleaubrasseur","K1HM","97.78","360.37","488.33",""
"Miguel Irungaraylarronde","K1HM","107.93","725.1","637.15",""
"Marius Larenaudie-danton","K1HM","108.26","618.37","641.99",""
"Tao Gautier-araspin","K1HM","120.72","790.84","824.68",""
"Jonah Hanrahan","K1HM","130.58","745.2","969.25",""
"Paul Brochard","K1HM","131.27","870.88","979.37",""
"Leo Theil","K1HM","133.11","-","1006.35",""
"Eric Vicassiau","K1HM","142","1511.81","1136.69",""
"Louis Labarthe","K1HM","176.54","1123.31","1643.12",""
"Ethan Da Gloria","K1HM","177.65","1202.56","1659.4",""
"Quentin Arnaudin","K1HM","198","1257.7","1957.77",""
"Victorien Thomas","K1HM","206.36","2815.38","2080.35",""
"Clement Laureys","K1HM","259.18","-","2854.81",""
"Rudy Samaran","K1HM","295.22","3286.11","3383.23",""
"Leo Theil","OUV","182.33","-","-",""
