"Championnats de France et Finale N1 - Bourg St Maurice - Haute Isère - Championnat de France par équipe de clubs - 2010-07-31","Championnat de France par équipe de clubs","2010-07-31","Nationale 1","157"
"Olivier Blanc-Karl Berson-Thomas Levert","EC2","211.38","-","857.14",""
"Alexis Caspar-Nathan Barbier-Christophe Siffert","EC2","234.79","-","500",""
"Annaelle Meheut-Carole Bouzidi-Emilie Fer","EKD","124.58","-","3000",""
"Marianne Agulhon-Pauline Guiet-Peggy Dickens","EKD","134.16","-","2843.75",""
"Marie Gaspard-Clotilde Miclo-Lea Martin","EKD","134.78","-","2687.5",""
"Anne Traband-Anne Fischer-Florianne Gautier","EKD","141.25","-","2531.25",""
"Laurine Naveau-Claire Landrin-Josepha Longa","EKD","145.3","-","2375",""
"Elisa Venet-Nagwa Lanchec El Desouki-Sylviane Quemerais","EKD","154.14","-","2218.75",""
"Solene Graille-Estelle Hellard-Anais Coudrin","EKD","173.81","-","2062.5",""
"Lea Wetzel-Margot Ayats-Laura Ligeon","EKD","177.21","-","1906.25",""
"Julie Roux-Marlene Rio-Alice Janecek","EKD","186.22","-","1750",""
"Salome Ritter-Charlotte Abba-Angelique Guilcher","EKD","200.92","-","500",""
"Violaine Truche-Armelle Canali-Laetitia Thueux","EKD","209.48","-","1437.5",""
"Oriane Pottier-Manon Caveribere-Lisa Marechal","EKD","214.85","-","1281.25",""
"Andrea Gratwohl-Sonja Baumgartner-Priscille Duruz","EKD","214.94","-","1125",""
"Marion Laurain-Caroline Loir-Camille Andrieux","EKD","262.55","-","968.75",""
"Harmony Thery-Claire Jacquet-Emilie Saguet","EKD","301.75","-","812.5",""
"Juliette Pitrey-Flora Huvelin-Juliette Legendre","EKD","362.13","-","656.25",""
"Marie Landais-Anne Boixel-Marie-francoise Prigent","EKD","392.12","-","500",""
"Emeline Oudet-Berangere Baudart-Jenny Chevalier","EKD","Nt","-","0",""
"Justine Cougnet-Marianne Herault-Celine Roulot","EKD","Nt","-","0",""
"Benjamin Travostino-Pierre Bourliaud-Thomas Rosset","EKH","103.01","-","3000",""
"Quentin Burgi-Frederic Walczak-Emmanuel Walczak","EKH","104.69","-","2973.96",""
"Christophe Marechal-Benjamin Buys-Raphael Reveche","EKH","104.8","-","2947.92",""
"Julien Haberland-Moritz Luscher-Mathieu Haberland","EKH","107.93","-","2921.88",""
"Jean Messialle-Ludovic Di Nisi-Antoine Launay","EKH","108.29","-","2895.83",""
"Boris Chenal-Bertrand Bercon-Jimy Bercon","EKH","109.03","-","2869.79",""
"Nicolas Abbal-Yann Gudefin-Renaud Doby","EKH","109.86","-","2843.75",""
"Yann Le Govic-Julien Coudert-Nicolas Coudert","EKH","110.55","-","2817.71",""
"Mathieu Biazizzo-Paul Aubert-Mael Othenin Girard","EKH","110.57","-","2791.67",""
"Kevin Schultz-Jonathan Chapatte-Loic Jeanningros","EKH","110.62","-","500",""
"Bertrand Gutierrez-Julien Arribe-Florient Tagnon","EKH","110.92","-","2739.58",""
"Thibault Gache-Hafiz Ali Hassan-Cedric Bron","EKH","113.92","-","2713.54",""
"Vincent Gourmel-Valentin Brindeau-Sebastien Kerneis","EKH","113.99","-","2687.5",""
"Anthony Deschamps-Jeremy Vibert-Nouria Newman","EKH","114.23","-","2661.46",""
"Arnaud Lapeze-Louis Georges Lafont-Loris Minvielle","EKH","114.51","-","2635.42",""
"Ciaran Heurteau-Vincent Reiter-Samuel Lhegu","EKH","114.83","-","2609.38",""
"Thomas Dandel-Matthieu Basset-Sylvain Dandel","EKH","115.55","-","500",""
"Benoit Jouan-Riwal Chardon-Quentin De Fierville","EKH","115.76","-","2557.29",""
"Maxime Faivre-Martin Dougoud-Roman Duprey","EKH","115.93","-","2531.25",""
"Romain Chabrol-Yannick Besse-Kendaor Le Huitou","EKH","116.96","-","2505.21",""
"Pascal Ferry-Alexandre Dimitriou-Alain Ferry","EKH","118.66","-","2479.17",""
"Mathieu Bandelier-Guillaume Bandelier-Louis Bandelier","EKH","118.97","-","2453.12",""
"Boris Pernelle-Christophe Le Mercier-William Desnos","EKH","119.17","-","2427.08",""
"Maxime Beaulieu-Medhi Deguil-Laurent Rigaud","EKH","120.13","-","2401.04",""
"Romain Lecrenais-perrel-Manuel Coquelin-Julien Dosse","EKH","121.2","-","2375",""
"Laurent Starck-Jeremy Lehning-George Meysner","EKH","121.6","-","500",""
"Antoine Roux-Nicolas Baudoin-Caryck Bouladjat","EKH","121.72","-","2322.92",""
"Jeremy Cremonesi-Etienne Carpentier-Philippe Daumont","EKH","121.8","-","500",""
"Gaelle Tosser-roussey-Johan De Mareuil-Nicolas Mangeolle","EKH","121.9","-","2270.83",""
"Anthony Thuillier-Simon Boulan-Benjamin Thiboust","EKH","122.65","-","2244.79",""
"Yves Prigent-Frederic Castryck-Jean Yves Prigent","EKH","122.84","-","500",""
"Venceslas Viseur-Gregory Busson-Michel Gombert","EKH","123.84","-","2192.71",""
"Lionel Tinevez-Pierre Marie Roussel-Romain Guyomard","EKH","124.28","-","2166.67",""
"Marc Darribere-Colin Beziade-Marie-zelia Lafont","EKH","125.17","-","500",""
"Jean-francois Souville-Nicolas Caussanel-Adrien Roussel","EKH","125.32","-","2114.58",""
"Baptiste Provost-Yann Marquer-Guillaume Provost","EKH","125.83","-","500",""
"Jonathan Matern-Jerome Olhagaray-Silvere Desongins","EKH","126.64","-","2062.5",""
"Denis Guilmard-Joris Rocher-Romain Richard","EKH","127.06","-","2036.46",""
"Quentin Lyphout-Nicolas Labat-Felix Merzeau","EKH","127.77","-","2010.42",""
"Thibaud Lacour-Jeremy Wagner-Eloi Seemann","EKH","128.24","-","1984.38",""
"Fabien Tournadre-Simon Deboysson-Jan Baudet","EKH","128.96","-","1958.33",""
"Bastien Belembert-Eric Lamour-Florian Gosselin","EKH","128.98","-","1932.29",""
"Cedric Jegouzo-Nowan Bertin-Tanguy Le Marec","EKH","129.4","-","1906.25",""
"Yann Rivallant-Martin Daviet-Thomas Schmitt","EKH","130.62","-","1880.21",""
"Jeremy Poux-Lukas Werro-Loic Sieber","EKH","130.64","-","500",""
"Thibaut Bernot-Jules Bevalot-Arthur Bernot","EKH","130.86","-","1828.12",""
"Antoine Germay-Matthieu Duval-Maxime Degesves","EKH","131.35","-","500",""
"Yoann Turowsky-Joffrey Lemeux-Simon Philibert","EKH","133","-","1776.04",""
"Valerie Sibioude-Jonas Turmeau-Kevin Lemenaheze","EKH","133.87","-","1750",""
"Thibault Le Henaff-Valentin Pahon-Maxime Le Henaff","EKH","134.06","-","500",""
"Tobias Olla-Titouan Dupras-Clementine Geoffray","EKH","134.7","-","1697.92",""
"Gwenael Marquer-Anthony Cadoret-Pierre Mikolajczak","EKH","135.4","-","1671.88",""
"Emmanuel Moreau-Christophe Augu-Jerome Boudin","EKH","137","-","500",""
"Ferdinand Malard-Alain Droniou-Yoann Le Guyader","EKH","138.6","-","500",""
"Alexandre Pocard-Romain Viry-Patrick Gass","EKH","140.83","-","500",""
"Julie Neime-Thomas Janeriat-Alexandre Montabonnet","EKH","141.82","-","1567.71",""
"Eric Beaumont-Bertrand Avril-Didier Niel","EKH","142","-","1541.67",""
"Antoine Beaudoin-Jerome Trousson-Lucie Baudu","EKH","142.53","-","1515.62",""
"Florian Baumann-Arnaud Pellizzoni-Maxence Grandadam","EKH","142.6","-","500",""
"Christophe Gergaud-Herve Busson-Vincent Froger","EKH","143.44","-","1463.54",""
"Yoann Nurit-Tom Barthelemy-Sami Fossat","EKH","146.73","-","500",""
"Maxime Boisgontier-Benoit Chantry-Tristan Lejot","EKH","148.48","-","1411.46",""
"Jerome Lacire-Quentin Moreaux-Germain Carre","EKH","149.86","-","1385.42",""
"Jean-luc Mottais-Anthony Mottais-Yoann Deschemaeker","EKH","150.24","-","1359.38",""
"Simon Seuru-Boris Nedelec-Thibaud Couetil","EKH","153.74","-","1333.33",""
"Claire Moal-Loic Kervella-Gaetan Le Henaff","EKH","153.92","-","1307.29",""
"Stann Savels-Ewen Legrand-Emma Jacob","EKH","154.46","-","500",""
"Maxime Foucault-Mathieu Desnos-Luc Hellard","EKH","156.58","-","500",""
"Elodie Le Nechet-Aurelie Le Fee-Tristan Bronsard","EKH","156.76","-","500",""
"Guillaume Armbruster-Thomas Barraco-Laurent Graillot","EKH","157.27","-","500",""
"Christophe Mitchell-Nicolas Carduner-Riwal Le Berre","EKH","161.64","-","500",""
"Corentin Metral-Barbara Gibert-Thibault Gibert","EKH","162.1","-","1151.04",""
"Eddy Cassard-Philippe Thevenin-Quentin Robert","EKH","163.34","-","1125",""
"Guillaume Payet-Erwan Perron-Marianne Bercon","EKH","164.52","-","1098.96",""
"Jordan Rocdunos-Alexandre Dherbilly-Manon Sacre","EKH","171.17","-","1072.92",""
"Paul Tallet Pinet-Charly Chassigneux-Nicolas Leconte","EKH","188.23","-","500",""
"Victor Duhamel-Quentin Anfrey-Francois Bonnet","EKH","197.91","-","500",""
"Nicolas Rebours-Baptiste Granger-Simon Dureau","EKH","199.45","-","994.79",""
"Gabin Repellin-Emeric Vibert-Valentin Vibert","EKH","200.89","-","500",""
"Lucile Remond-Christophe Billaud-Elodie Delavelle","EKH","201.15","-","942.71",""
"Pierre Dampeyrou-Kevin Lucas Mendes-Gaspard Gindt","EKH","205.27","-","500",""
"Victorine Gerard-Lorraine Mathis-Herve Delamarre","EKH","205.46","-","500",""
"Candice Lauretta-Aurelie Divoux-Yoann Mourier","EKH","208.65","-","864.58",""
"Thibault Dhennin-Emilie Hernandez-brossard-Sophie Machiels","EKH","209.74","-","500",""
"Camille Girard-Vincent Lemonnier-Stephane Odot","EKH","216.25","-","812.5",""
"Alexandre Ittel-Stanislas Pradeleix-Olivier Ramos","EKH","218.5","-","500",""
"Charlotte Lubineau-Antoine Colas-Romain Faurie","EKH","218.74","-","760.42",""
"Mathieu Lions-Marion Delorme-Coralie Yebenes","EKH","223.14","-","734.38",""
"Francois Palant-Bastien Damiens-Lea Tobo","EKH","226.56","-","500",""
"Susy Merand-Francois Madec-Quentin Moret De Rocheprise","EKH","228.24","-","500",""
"Teddy Poulard-Alize Bachelot-Jeremy Bretteville","EKH","231.76","-","656.25",""
"Hugo Guilleray-Vincent Rondeau-Melenn Aubry","EKH","256.87","-","500",""
"Helena Heysch De La Borde-Gurgen Brun-Jean-philippe Rome","EKH","370.97","-","500",""
"Benjamin Soroka-Lancelot Meillier-Edouard Gracias","EKH","419.41","-","500",""
"Xavier Montenoise-Chloe Gatuingt-Samuel Bonvalet","EKH","616.73","-","500",""
"Justine Sautre-Mathieu Douillet-Simon Clerc","EKH","639.95","-","500",""
"Antoine Leroy-Marion Hacquart-Emma Maujean","EKH","656.8","-","500",""
"Matthieu Laumonier-Kevin Gouabault-Julien Douais","EKH","Nt","-","0",""
"Pauline Cornu-Benoit Letellier-Oriane Rebours","EKH","Nt","-","0",""
"Nicolas Fritsch-Cecile Meichel-Maud Caspar","EKH","Nt","-","0",""
"Sebastien Thevard-Laurent Brissaud-Olivier Hardonniere","EKH","Nt","-","0",""
"Pierreyves Renaudin-Cedric Joly-Francois Faguet","EKH","Nt","-","0",""
