"Sélectif Régional - Sélestat - 2013-09-28","Course 2","2013-09-28","Régional","128"
"Mylene Pellizzoni","K1D","138.92","335.79","539.37",""
"Thais Francois","K1D","139.74","-","548.95",""
"Elsa Monnet","K1D","145.42","412.57","615.32",""
"Tassia Konstantinidis","K1D","146.41","-","626.89",""
"Maeva Auriol","K1D","148.46","-","650.86",""
"Pauline Dias Lopes","K1D","149.8","-","666.51",""
"Caroline Dias-lopes","K1D","150.5","-","674.69",""
"Elise Gilliard","K1D","165.27","-","847.29",""
"Manon Louis","K1D","166.41","873.75","860.6",""
"Julie Munch","K1D","173.25","-","940.55",""
"Sarah Rothenbuhler","K1D","Nt","-","-",""
"Laure Camozzi","K1D","Nt","-","-",""
"Emmanuel Walczak","K1H","90.41","27.1","109.85",""
"Julien Haberland","K1H","92.42","-","136.39",""
"Mathieu Douillet","K1H","95.07","43.42","171.37",""
"Charlie Barbier","K1H","96.72","91.98","193.17",""
"Laurent Starck","K1H","98.47","75.87","216.28",""
"Maxence Grandadam","K1H","99.4","111.74","228.55",""
"Nathan Barbier","K1H","100.68","103.83","245.45",""
"Liam Jegou","K1H","101.83","83.25","260.64",""
"Luke Meysner","K1H","102.33","-","267.25",""
"Etienne Baudu","K1H","103.55","-","283.35",""
"Arnaud Pellizzoni","K1H","103.71","108.68","285.47",""
"Alexis Caspar","K1H","104.46","54.65","295.37",""
"Loic Sieber","K1H","104.72","166.68","298.8",""
"Arnaud Jamet","K1H","105.14","227.48","304.34",""
"Maxime Di Lauro","K1H","105.47","-","308.71",""
"Christophe Siffert","K1H","105.51","222.29","309.24",""
"Christophe Billaud","K1H","106.78","157.76","326",""
"Benoit Lecoester","K1H","107.03","252.4","329.31",""
"Smail Mouhoub","K1H","107.06","-","329.7",""
"Anthony Ulrich","K1H","108.32","210.76","346.34",""
"Dylan Hirtz","K1H","109.22","230.02","358.23",""
"Olivier Urbain","K1H","109.96","153.09","367.99",""
"Guillaume Carpentier","K1H","110.38","237.34","373.54",""
"Philippe Thevenin","K1H","111.03","-","382.12",""
"Paul Frommer","K1H","111.71","274.43","391.1",""
"Quentin Madureira","K1H","111.73","210.11","391.37",""
"Pascal Philip","K1H","113.27","247.23","411.7",""
"Loic Thielen","K1H","113.62","-","416.33",""
"Eddy Cassard","K1H","114.84","266.95","432.43",""
"Jean Guyot","K1H","116.27","306.82","451.32",""
"Marc Jegou","K1H","117.97","231.58","473.76",""
"Patrick Thevenin","K1H","119.59","-","495.15",""
"Kyle Gelb","K1H","123.2","405.84","542.83",""
"Simon Hene","K1H","124.92","-","565.54",""
"Louis Lombardi","K1H","129.83","-","630.37",""
"Leo Hemmerle","K1H","132.33","-","663.39",""
"Alexandre Lambert","K1H","134.62","487.56","693.63",""
"Eric Louis","K1H","135.82","667.69","709.47",""
"Benjamin Hene","K1H","137.6","-","732.98",""
"Guillaume Bourgade","K1H","137.65","-","733.64",""
"Titouan Riviere","K1H","138.64","559.86","746.71",""
"Daniel Gasser","K1H","138.93","-","750.54",""
"William Pawlus","K1H","142.36","-","795.84",""
"Eliot Wendling","K1H","146.61","1056.59","851.96",""
"Sacha Mutschler","K1H","149.43","-","889.19",""
"Florian Balhuizen","K1H","159.87","-","1027.05",""
"Nicolas Bosson","K1H","168.15","-","1136.39",""
"Rafael Pawlus","K1H","182.84","-","1330.36",""
"Valentin Fuchs","K1H","203.21","-","1599.35",""
"Christophe Harding","K1H","213.95","172.53","1741.17",""
"Pierre Louis Ledoux","K1H","295.95","-","2823.96",""
"Patrice Ulrich","K1H","350.06","-","3538.47",""
"Vincent Gimenez","K1H","Nt","-","-",""
"Ludovic Mazimann","K1H","Nt","-","-",""
"Leo Di Jorio","K1H","Nt","-","-",""
"Jack Williams","K1H","Nt","-","-",""
"Pierre Aubry","K1H","Nt","-","-",""
"Antoine Esseric","K1H","Nt","-","-",""
"Nicolas Fritsch","K1H","Nt","-","-",""
"Christophe Godinat","K1H","Nt","-","-",""
"Thibaut Chariot","K1H","Nt","-","-",""
"Pierre Marie Roussel","K1H","Nt","-","-",""
