"Sélectif régional slalom 73 - Bourg St Maurice - 2005-10-02","Course 1","2005-10-02","Régional","124"
"Jeremiah Mosch","K1H","184.04","152","195",""
"Astier Perret Vincent","K1H","184.36","-","197",""
"Andy Pajani","K1H","184.83","156","200",""
"Adrien Roussel","K1H","184.88","161","200",""
"Guillaume Gery","K1H","184.92","219","200",""
"Bonnetain Quentin","K1H","188.84","234","225",""
"Jeremy Vibert","K1H","189.86","233","232",""
"Jimy Bercon","K1H","191.58","270","242",""
"Sebastien Lepaulard","K1H","193.11","177","252",""
"Anthony Colin","K1H","193.32","-","253",""
"Pierre Matthieu","K1H","195.01","-","263",""
"Fabrice Madier","K1H","195.59","299","267",""
"Martin Moreau","K1H","198.65","339","286",""
"Capietto Louis","K1H","199.06","221","289",""
"Martelet Romain","K1H","199.62","235","292",""
"Alain Ferry","K1H","201.39","243","304",""
"Chassain Nathael","K1H","204.06","345","321",""
"Nils Mosch","K1H","205.72","-","331",""
"Baptiste Provost","K1H","208.34","-","347",""
"Cugnot Stephane","K1H","208.90","-","350",""
"Yoann Aupee","K1H","210.17","340","358",""
"Sebastien Swieton","K1H","210.51","-","360",""
"Yan Labeye","K1H","210.51","333","360",""
"Ardito Julien","K1H","211.61","531","367",""
"Jules Domine","K1H","213.32","-","378",""
"Matthieu Basset","K1H","214.71","419","387",""
"Lebourgeois Alexis","K1H","216.16","205","396",""
"Dekerleau Sebastien","K1H","221.57","448","430",""
"Ploix Kevin","K1H","223.59","-","442",""
"Yann Gudefin","K1H","224.07","111","445",""
"Tissot Fabien","K1H","226.01","380","458",""
"Nicolas Detheve","K1H","226.97","-","464",""
"Boris Lutinier","K1H","227.95","140","470",""
"Remi Baudot","K1H","228.50","588","474",""
"Laurent Wolf","K1H","230.21","368","484",""
"Lutinier Ugo","K1H","231.85","686","495",""
"Guilhem Courduries","K1H","232.35","448","498",""
"Baude Francois","K1H","232.61","326","500",""
"Hugues Peyret","K1H","233.23","-","504",""
"Enrick Cunsolo","K1H","234.03","-","509",""
"Dalex Karl","K1H","235.19","310","516",""
"Crost David","K1H","235.62","-","518",""
"Rety Simon","K1H","235.79","362","519",""
"Pascal Ferry","K1H","239.28","177","541",""
"Fatou Clement","K1H","243.90","533","570",""
"Troubat Clement","K1H","249.28","-","604",""
"Kuntzinger Francis","K1H","250.59","-","612",""
"Voindrot Quentin","K1H","256.36","-","648",""
"Antoine Vinay","K1H","258.63","373","663",""
"Teiller Yvan","K1H","260.56","-","675",""
"Romain Musy","K1H","265.44","-","705",""
"Guillois Ugo","K1H","273.33","423","755",""
"Felix Balas","K1H","278.63","-","787",""
"Youcef Bahlat","K1H","281.66","-","807",""
"Vibert Guillaume","K1H","291.59","380","869",""
"Sylvain Ferry","K1H","292.56","486","875",""
"Sautarel Cedric","K1H","300.52","-","925",""
"Antoine Lhermite","K1H","304.16","-","948",""
"Anthony Deschamps","K1H","314.60","-","1013",""
"Thomas Burnoud","K1H","326.04","-","1085",""
"Gael Wassmer","K1H","346.63","-","1214",""
"Jeremy Pitton","K1H","353.40","816","1256",""
"Zaki Yassine","K1H","364.10","570","1323",""
"Vovan Benjamin","K1H","373.21","-","1381",""
"Arnaud Morgan","K1H","394.07","-","1511",""
"Dutheil Eric","K1H","396.45","-","1526",""
"Romey Marcantoine","K1H","407.61","-","1596",""
"Corentin Metral","K1H","414.39","-","1639",""
"Herrada Jean-Marc","K1H","432.76","-","1754",""
"Anxionnaz Gildas","K1H","437.37","627","1783",""
"Marechal Quentin","K1H","481.73","-","2061",""
"Jeremy Viquesnel","K1H","486.29","-","2090",""
"Koechlin Thomas","K1H","641.79","-","3064",""
"Labalm Morgan","K1H","642.01","-","3066",""
"Larue Benoit","K1H","731.75","-","3628",""
