"Championnat Nationale 2 Slalom - Bourg St Maurice - Demi-finale - 2017-07-02","Demi-finale","2017-07-02","Nationale 2","102"
"Caroline Bourry","K1D","109.07","158.19","213.99",""
"Lea Gaigeot","K1D","110.68","222.79","230.76",""
"Tiphaine Duboc","K1D","110.7","179.38","230.97",""
"Mylene Ferry","K1D","111.22","189.08","236.39",""
"Manon Prioux","K1D","111.88","174.27","243.26",""
"Alixe Degremont","K1D","113.38","168.66","258.88",""
"Violaine Truche","K1D","116.55","253.86","291.91",""
"Julie Labarelle","K1D","118.19","187.46","308.99",""
"Azenor Philip","K1D","119.74","291.2","325.14",""
"Doriane Delassus","K1D","121.11","180.4","339.4",""
"Eva Pietracha","K1D","123.13","225.42","360.45",""
"Angelique Guilcher","K1D","124.91","246.08","378.98",""
"Marie Hilger","K1D","137.95","269.48","514.81",""
"Meryl Steinmann","K1D","143.84","258.82","576.15",""
"Auregane Philip","K1D","177.28","263.65","924.46",""
"Anatole Delassus","K1H","90.61","135.43","144.41",""
"Theo Desvignes","K1H","90.94","159.75","148.29",""
"Charlie Barbier","K1H","90.95","135.91","148.41",""
"Pierre-louis Saussereau","K1H","91.5","175.59","154.88",""
"Matheo Lebaindre","K1H","91.63","158.55","156.41",""
"Pierre Marie Roussel","K1H","91.71","151.86","157.36",""
"Fabien Tournadre","K1H","92.98","189.41","172.3",""
"Xavier Jourdain","K1H","93.24","185.33","175.36",""
"Benjamin Thiboust","K1H","93.36","175.15","176.78",""
"Samuel Lhegu","K1H","93.42","146.6","177.48",""
"Jan Rohrer","K1H","93.5","232.19","178.42",""
"Theo Foucher","K1H","93.58","151.45","179.37",""
"Thibaud Lacour","K1H","93.84","189.26","182.43",""
"Johan De Mareuil","K1H","93.86","212.44","182.66",""
"Aaron Penning","K1H","94.05","160.88","184.9",""
"Raphael Lassechere","K1H","94.2","192.89","186.66",""
"Simon Hene","K1H","94.29","146.27","187.72",""
"Nicolas Feuillard","K1H","95.4","184.1","200.79",""
"Remi Vinet","K1H","95.43","196.75","201.14",""
"Pol Euzenes","K1H","95.62","149.11","203.38",""
"Jonathan Chapatte","K1H","95.67","198.92","203.96",""
"Luca Dos Santos","K1H","95.92","168.37","206.91",""
"Gregoire Guerin","K1H","95.99","143.1","207.73",""
"Jules Bevalot","K1H","96.13","184.92","209.38",""
"Andreas Dupuy","K1H","97.31","208.05","223.27",""
"Kawan Thomas","K1H","97.38","182.23","224.09",""
"Antoine Gaillard","K1H","98.23","162.93","234.1",""
"Anthony Thuillier","K1H","98.33","197.11","235.27",""
"Herve Busson","K1H","98.65","230.84","239.04",""
"Bryan Seiler","K1H","98.77","189.95","240.45",""
"Laurent Starck","K1H","98.93","169.51","242.33",""
"Matthieu Le Gall","K1H","100.14","156.05","256.58",""
"Nicolas Mevel","K1H","100.85","166.8","264.93",""
"Leo Vuitton","K1H","103.52","215.75","296.36",""
"Lucas Galmiche","K1H","104.89","172.44","312.48",""
"Florian Busson","K1H","110.91","201","383.34",""
"Anthony Drouhin","K1H","112.81","185.46","405.7",""
"Tom Deconchy","K1H","146.35","176.88","800.46",""
"Valentin Brindeau","K1H","148.06","182.87","820.59",""
"Antoine Roux","K1H","151.65","171.46","862.84",""
"Hugo Regnier","K1H","153.14","163.47","880.38",""
