"SEL.REG. SLALOM + PTES CATEGORIES - Bagnols Sur Ceze - 2001-09-30","Course 1","2001-09-30","Régional","132"
"Castel Cedric","K1H","201.00","-","245",""
"Palix Lorin","K1H","202.00","226","251",""
"Jeremy Wagner","K1H","203.00","249","258",""
"Remi Dramard","K1H","203.00","315","258",""
"Benoit Fer","K1H","204.00","245","264",""
"Despax Cedric","K1H","205.00","147","270",""
"Pala Mathieu","K1H","205.00","144","270",""
"Cossa Jeanmarie","K1H","208.00","-","289",""
"Carlino Antoine","K1H","209.00","316","295",""
"Hugue Fabien","K1H","209.00","442","295",""
"Mangeol Sebastien","K1H","210.00","372","302",""
"Garreau Stephane","K1H","213.00","-","321",""
"Balzeau Thomas","K1H","214.00","355","327",""
"Delphine Fabrice","K1H","214.00","452","327",""
"Riva Renaud","K1H","215.00","331","333",""
"Wadel Florian","K1H","216.00","347","340",""
"Jeanluc Nitard","K1H","216.00","352","340",""
"Thomas Bersinger","K1H","217.00","-","346",""
"Riou Sebastien","K1H","218.00","265","352",""
"Jourdan Hadrien","K1H","218.00","499","352",""
"Berthiaud Gregory","K1H","219.00","238","359",""
"Wolfgang Schulz","K1H","220.00","509","365",""
"Amandola Alain","K1H","220.00","496","365",""
"Sylvain Follenfant","K1H","222.00","419","378",""
"Baghioni Florent","K1H","223.00","-","384",""
"Bernard Delorme","K1H","224.00","-","390",""
"Delphin Arnaud","K1H","224.00","500","390",""
"Prive Jeremy","K1H","224.00","433","390",""
"Martin Jonathan","K1H","225.00","-","397",""
"Boissy Maxime","K1H","226.00","530","403",""
"Stephane Simonpietri","K1H","227.00","466","409",""
"Bertholon Adrien","K1H","228.00","-","416",""
"Marsaudon Yannic","K1H","229.00","-","422",""
"Chailan Marc","K1H","230.00","-","428",""
"Champsaur Jean Marc","K1H","231.00","-","435",""
"Nicolas Abbal","K1H","232.00","-","441",""
"Tremeau Christophe","K1H","233.00","-","447",""
"Pierron David","K1H","233.00","605","447",""
"Julien Vincent","K1H","234.00","-","454",""
"Lorenzo Roccelli","K1H","234.00","-","454",""
"King Tom","K1H","235.00","-","460",""
"Salomoni Alessio","K1H","235.00","665","460",""
"Dorlencourt Richard","K1H","236.00","635","466",""
"Hogrel Jerome","K1H","236.00","-","466",""
"Lisbonne Francois","K1H","237.00","577","472",""
"Despax Stephane","K1H","237.00","403","472",""
"Signe Jeansebastien","K1H","238.00","-","479",""
"Bersinger Sylvain","K1H","238.00","-","479",""
"Despax Ghislain","K1H","238.00","-","479",""
"Poidevin Loic","K1H","239.00","-","485",""
"Labarriere Boris","K1H","239.00","-","485",""
"Samain David","K1H","240.00","-","491",""
"Piquet Marius","K1H","241.00","-","498",""
"Alauzet Pierre","K1H","242.00","-","504",""
"Jouanneau Bertrand","K1H","243.00","-","510",""
"Sicre Thomas","K1H","243.00","-","510",""
"Jean Antoine","K1H","245.00","-","523",""
"Moy Julien","K1H","245.00","-","523",""
"Lafore Jeremie","K1H","248.00","-","542",""
"Guyon Cedrick","K1H","249.00","-","548",""
"Petrau Gay Benoit","K1H","250.00","-","555",""
"Liguori Arnaud","K1H","252.00","-","567",""
"Heuze Taoana","K1H","253.00","-","574",""
"Gros Mickael","K1H","253.00","-","574",""
"Gouaze Janick","K1H","258.00","-","605",""
"Petrau Gay Michel","K1H","265.00","-","650",""
"Cabrera Gwenael","K1H","267.00","-","662",""
"Leprout Remi","K1H","268.00","-","668",""
"Laot Mikael","K1H","290.00","-","808",""
"Velland Guillaume","K1H","300.00","-","871",""
"Philippe Lions","K1H","320.00","-","997",""
"Lilbert Vivien","K1H","372.00","-","1326",""
