"SÈlectif RÈgional de Slalom - St Jean D Angely - Finale - 2018-01-28","Finale","2018-01-28","RÈgional","137"
"Mael Bernes","K1H","113.17","383.39","429.4","Finale A"
"Etienne Chauvin","K1H","113.45","396.4","432.86","Finale A"
"Adrien Pardoux","K1H","114.34","434.91","443.86","Finale A"
"Maxime Texier","K1H","117.3","303.9","480.43","Finale A"
"Angus Cruickshank","K1H","118.21","415.51","491.67","Finale A"
"Hugues Lesimple","K1H","118.25","399.19","492.17","Finale A"
"Louis Rathier","K1H","118.43","498.68","494.39","Finale A"
"Theo Jeanlouis","K1H","120.15","471.94","515.64","Finale A"
"Elliot Perez","K1H","122.67","295.46","546.78","Finale A"
"Benjamin Georges","K1H","122.68","447.19","546.9","Finale A"
"Baptiste Mondin","K1H","134.3","703.33","690.47","Finale A"
"Killian Dal-cin","K1H","136.99","750.36","723.71","Finale A"
"Ulysse Giel","K1H","152.25","339.25","912.25","Finale A"
"Maxime Blondeau","K1HM","122.87","635.04","549.25","Finale A"
"Matt…o Rainaud","K1HM","125.75","581.64","584.83","Finale A"
"Maxime Pham Dang","K1HM","136.14","975.27","713.21","Finale A"
"Clement Brotier","K1HM","145.29","827.52","826.26","Finale A"
"Faysal Ali Zazou","C1H","102.76","264.21","245.32","Finale B"
"Dylan Renneteau","C1H","120.69","1001.2","456.31","Finale B"
"Hugues Lesimple","C1H","126.88","507.17","529.14","Finale B"
"Loris Shayam Affre","C1H","129.13","499.96","555.62","Finale B"
"Theo Jeanlouis","C1H","130.06","515.35","566.57","Finale B"
"Clement Gillaizeau","C1H","132.39","540.34","593.98","Finale B"
"Killyan Moreau","C1H","141.83","659.42","705.06","Finale B"
"Gauthier Beyneix","C1H","146.42","789.57","759.08","Finale B"
"Adrien Favennec","C1H","159.7","806.97","915.34","Finale B"
"Gaspard Trichard","C1H","169.7","1369.72","1033.01","Finale B"
"Lucas Deleplancque","C1H","186.36","1117.63","1229.05","Finale B"
"Martin Thermidor","C1H","508.22","1383.71","5016.4","Finale B"
"Adrien Roux-Guillaume Lopes","C2H","144.35","743.73","657.5","Finale B"
"Louis Rathier-Titouan Conseil","C2H","160.12","732.75","834.64","Finale B"
"Charley Sannier Durand-Tom Baillon","C2H","182.58","581.79","1086.92","Finale B"
"Adrien Ricaud-Kylian Gauthier","C2H","Abs","-","-","Finale B"
"Theo Lebastard-Bastien Lusseault","C2HM","Nt","-","-","Finale B"
"Juliette Derouineau","K1D","133.76","501.97","498.67","Finale B"
"Laurine Meslong","K1D","194.95","568.58","1167.72","Finale B"
"Fanny Valeau","K1D","213.87","2037.19","1374.59","Finale B"
"Cindy Poupaert","K1D","233.34","1192.27","1587.48","Finale B"
"NaÀl Rajoub","K1H","110.67","317.12","403.51","Finale B"
"Tom Charles","K1H","116.25","712.91","404.06","Finale B"
"Antonin Beyneix","K1H","113.72","545.59","441.2","Finale B"
"Loris Shayam Affre","K1H","114.25","382.65","447.75","Finale B"
"Clement Gillaizeau","K1H","116.89","506.16","480.36","Finale B"
"Jeremy Rouchereau","K1H","117.04","456.49","482.22","Finale B"
"Clement Riera","K1H","117.16","470.86","483.7","Finale B"
"Titouan Conseil","K1H","118.63","566.56","501.86","Finale B"
"Axel Forgerit","K1H","122.26","553.11","546.71","Finale B"
"Thilbault Rucher","K1H","123.26","409.27","559.07","Finale B"
"Guillaume Lopes","K1H","123.61","630.2","563.39","Finale B"
"Yvan Rome","K1H","123.88","508.68","566.73","Finale B"
"Gauthier Beyneix","K1H","125.36","700.89","585.01","Finale B"
"Raphael Jean","K1H","125.41","568.98","585.63","Finale B"
"Dylan Renneteau","K1H","127.55","828.78","612.07","Finale B"
"Adrien Ricaud","K1H","127.86","474.68","615.9","Finale B"
"Gr…gory Navail","K1H","128.28","540.31","621.09","Finale B"
"Arthur Caillaud-gault","K1H","129.55","930.1","636.78","Finale B"
"Thomas Terr…","K1H","129.88","532.47","640.86","Finale B"
"Adrien Favennec","K1H","132.6","791.01","674.47","Finale B"
"Adrien Baty","K1H","135.81","672.78","714.13","Finale B"
"Gaspard Trichard","K1H","135.85","993.54","714.62","Finale B"
"Anthony Penaud","K1H","135.86","811.83","714.75","Finale B"
"Lucas Deleplancque","K1H","136.72","1131.99","725.37","Finale B"
"Jordan Brise","K1H","142.08","571.78","791.6","Finale B"
"Michel Daupeux","K1H","143.64","563.49","810.87","Finale B"
"Lucas Mesquita","K1H","146.75","655.05","849.3","Finale B"
"Kylian Gauthier","K1H","149.65","3141.96","885.13","Finale B"
"Pierre Chollet","K1H","150.47","1147.96","895.26","Finale B"
"Luc Monpouillan","K1H","170.34","1555.21","1140.76","Finale B"
"Julien Beneteau","K1H","176.93","553.89","1222.18","Finale B"
"Martin Thermidor","K1H","213.43","1103.68","1673.16","Finale B"
"Ludovic Phan Dang","K1H","227.17","1504.05","1842.92","Finale B"
"Aurele Neveu","K1HM","151.7","906.84","910.46","Finale B"
"Malo Fevin","K1HM","155.87","2720.89","961.98","Finale B"
"Noah Pajot","K1HM","162.6","1662.6","1045.13","Finale B"
"Antoine Metais","K1HM","164.48","1086.4","1068.36","Finale B"
"Baptiste Vinet","K1HM","180.88","1927.22","1270.99","Finale B"
"Hicham Domti","K1HM","206.75","2492.69","1590.62","Finale B"
"Bastien Lusseault","K1HM","248.28","1721.94","2103.74","Finale B"
"Theo Lebastard","K1HM","382.66","2102.52","3764.07","Finale B"
