"Sélectif régional et championnats de Bretagne - Cesson Sévigné - 2009-04-05","Course 1","2009-04-05","Régional","222"
"Aurelie Le Fee","K1D","216.66","340","361",""
"Claire Pichon","K1D","216.90","309","362",""
"Jeanne Despres","K1D","218.50","395","373",""
"Solene Graille","K1D","218.96","350","377",""
"Marie Laure Graille","K1D","222.66","357","401",""
"Emma Jacob","K1D","222.95","439","403",""
"Betty Merand","K1D","223.62","389","407",""
"Kristell Bervet","K1D","225.21","360","417",""
"Marie Landais","K1D","230.86","398","455",""
"Joelle Bonnabesse","K1D","232.16","463","463",""
"Cyrielle Pichard","K1D","232.30","308","465",""
"Sandrine Kerneis","K1D","233.97","358","475",""
"Suzy Merand","K1D","249.86","552","580",""
"Maia Drider","K1D","261.41","-","657",""
"Camille Bonnet","K1D","280.67","1823","784",""
"Lucie Saucet","K1D","Abs","-","-",""
"Chloe Gatuingt","K1D","Abd","-","-",""
"Pierre Marie Roussel","K1H","154.16","40","82",""
"Laurent Rigaud","K1H","155.34","89","90",""
"Yann Le Govic","K1H","157.03","96","102",""
"Erwan Cadio","K1H","158.39","87","112",""
"Mathieu Le Gal","K1H","159.46","239","121",""
"Nicolas Coudert","K1H","159.57","83","122",""
"Kendaor Le Huitou","K1H","159.76","100","123",""
"William Desnos","K1H","160.60","103","130",""
"Benoit Jouan","K1H","161.60","142","136",""
"Simon Despres","K1H","161.75","113","138",""
"Anthony Cadoret","K1H","163.08","151","147",""
"Quentin De Fierville","K1H","163.55","114","152",""
"Thibaud Vielliard","K1H","163.59","148","152",""
"Edern Le Ruyet","K1H","163.93","106","154",""
"Fabien Le Nechet","K1H","164.28","130","156",""
"Franck Delachair","K1H","164.44","141","158",""
"Romain Guyomard","K1H","165.62","152","167",""
"Nicolas Carduner","K1H","166.40","201","173",""
"Julien Dosse","K1H","167.34","123","179",""
"Manuel Coquelin","K1H","167.60","185","181",""
"Clement Burel","K1H","168.24","210","186",""
"Kevin Gouabault","K1H","168.35","118","187",""
"Didier Niel","K1H","168.72","166","190",""
"Sebastien Kerneis","K1H","169.86","178","198",""
"Boris Pernelle","K1H","169.88","161","199",""
"Romain Lecrenais-perrel","K1H","169.96","187","199",""
"Jean Yves Prigent","K1H","170.03","184","200",""
"Pierre Yves Tanguy","K1H","170.65","199","204",""
"Lionel Tinevez","K1H","171.37","158","210",""
"Frederic Castryck","K1H","171.46","182","210",""
"Camille Richer","K1H","172.07","294","214",""
"Sebastien Cardiet","K1H","172.32","-","217",""
"Vit Masare","K1H","172.59","175","219",""
"Tanguy Le Marec","K1H","172.99","202","222",""
"Riwal Chardon","K1H","173.30","213","224",""
"Jeremy Moreaux","K1H","173.80","-","228",""
"Medhi Deguil","K1H","173.80","170","228",""
"Maxime Beaulieu","K1H","174.42","249","232",""
"Bertrand Avril","K1H","174.47","189","233",""
"Loic Kervella","K1H","174.48","247","233",""
"Alain Droniou","K1H","174.53","209","233",""
"Yoann Le Guyader","K1H","174.97","257","236",""
"Regis Cabel","K1H","175.07","218","237",""
"Pierre-yves Lebreton","K1H","175.45","227","240",""
"Erwan Beyou","K1H","175.59","206","241",""
"Yves Prigent","K1H","176.59","214","248",""
"Emmanuel Cosse","K1H","176.78","239","249",""
"Antoine Hirbec","K1H","177.45","455","255",""
"Camille L'hostis","K1H","178.24","256","260",""
"Yann Lardic","K1H","178.36","298","262",""
"Simon Even","K1H","178.69","-","264",""
"Nicolas Marcus","K1H","179.36","251","269",""
"Pascal Marrec","K1H","180.00","278","274",""
"Ludovic Gaignon","K1H","180.66","299","279",""
"Patrick Jegou","K1H","180.71","284","279",""
"Nowan Bertin","K1H","180.96","310","281",""
"Emeric Bertrand","K1H","181.25","-","283",""
"Alexis Lotton","K1H","181.82","268","288",""
"Mathieu Desnos","K1H","182.18","303","290",""
"Benoit Ricard","K1H","182.66","223","293",""
"Arnaud Le Calvez","K1H","182.86","246","296",""
"Sebastien Gautier","K1H","183.01","247","297",""
"Jeanpierre Le Lann","K1H","183.16","286","298",""
"Logan Nannette","K1H","184.75","318","309",""
"Maxime Le Henaff","K1H","185.36","313","314",""
"Solen Le Bourles","K1H","185.81","170","317",""
"Laurent Van Poucke","K1H","186.08","348","320",""
"Nicolas Dupres","K1H","186.09","220","320",""
"David Julou","K1H","186.95","288","325",""
"Guillaume Blin","K1H","186.97","291","326",""
"Jeremy Escaffre","K1H","187.06","342","326",""
"Florian Lepretre","K1H","188.52","268","337",""
"Victor Azam","K1H","188.89","300","341",""
"Tangui Quemeneur","K1H","189.72","228","346",""
"Pierre Mikolajczak","K1H","191.09","272","357",""
"Simon Seuru","K1H","191.92","351","362",""
"Ewen Legrand","K1H","196.74","319","399",""
"Francois Prevoteau","K1H","197.22","381","402",""
"Hoel Carnot","K1H","197.83","316","406",""
"Francois Madec","K1H","197.96","454","407",""
"Denis Voisin","K1H","199.14","319","416",""
"Camille Le Merrer","K1H","199.65","-","421",""
"Benjamin Duchene","K1H","200.70","-","428",""
"Christophe Mitchell","K1H","202.62","439","443",""
"Nicolas Veillard","K1H","203.70","26","450",""
"Guirec Le Guen","K1H","204.66","424","458",""
"Fabien Tournadre","K1H","205.65","85","465",""
"Maxime Piedade","K1H","205.72","554","466",""
"Romain Foulon","K1H","205.81","439","466",""
"Emmanuel Hirbec","K1H","205.83","505","467",""
"Jerome Mainguy","K1H","207.28","236","477",""
"Theo Laudrin","K1H","207.51","557","479",""
"Wilfried Harduin","K1H","208.00","472","482",""
"Emmanuel L'anton","K1H","208.39","381","485",""
"Thomas Richer","K1H","209.51","471","494",""
"Gael Bleunven","K1H","211.64","527","510",""
"Maxime Lignereux","K1H","211.87","590","512",""
"Damien Kerangoarec","K1H","212.84","482","518",""
"Antoine Launay","K1H","212.88","94","518",""
"Pierreyves Renaudin","K1H","213.02","559","519",""
"Christophe Le Mercier","K1H","214.52","149","531",""
"Richard Fradin","K1H","215.54","481","539",""
"Olivier Pelgrin","K1H","216.45","578","546",""
"Tristan Bronsard","K1H","219.27","183","567",""
"Alexis Pernelle","K1H","219.87","-","571",""
"Ferdinand Malard","K1H","221.41","590","582",""
"Alexandre Rivolet","K1H","221.78","494","585",""
"Ronan Dhabit","K1H","223.70","-","599",""
"Goulven Le Bigot","K1H","230.73","523","652",""
"Jordan Mellouet","K1H","232.89","862","668",""
"Thibault Le Henaff","K1H","235.66","316","688",""
"Raphael Tanguy-ac'h","K1H","237.19","-","700",""
"William Jacopin","K1H","237.67","306","704",""
"Guillaume Payet","K1H","239.75","641","719",""
"Jeremie Haese","K1H","240.66","818","726",""
"Francois Bonnet","K1H","243.87","309","750",""
"Sullivan Kingsland","K1H","245.44","783","762",""
"Leo Manneheut","K1H","264.36","-","902",""
"Rodolphe Davost","K1H","267.48","-","925",""
"Ronan Le Breton","K1H","Abs","-","-",""
"Franck-emmanuel Lepretre","K1H","Abs","-","-",""
"Jeanmarie Le Guyader","K1H","Abs","-","-",""
"Jeremy Jestin","K1H","Des","-","-",""
"Loeiz Descheres","K1H","Abs","-","-",""
"Pierreyves Hellard","K1H","Abs","-","-",""
"Victor Carrouer","K1H","Abs","-","-",""
"Vincent Rondeau","K1H","Des","-","-",""
"William Basset","K1H","Abs","-","-",""
"Vincent Gourmel","K1H","Abs","-","-",""
