"Sélectif régional - Fontaine De Vaucluse - 2009-01-25","Course 2","2009-01-25","Régional","235"
"Renaud Metereau","K1H","330.15","-","1144",""
"Baptiste Mignot","K1H","331.24","563","1151",""
"Florian Guillebeaud","K1H","332.20","-","1157",""
"Cyril Blanc","K1H","375.04","755","1429",""
"Baptiste Provost","K1H","405.12","308","1619",""
"Dariuch Bodin","K1H","444.87","1099","1871",""
"Thomas Rollot","K1H","452.74","668","1921",""
"Adrien Baron","K1H","549.36","1295","2533",""
"Quentin Raissac","K1H","549.57","-","2535",""
"John Leger","K1H","585.67","-","2764",""
"Nicolas Munoz","K1H","640.97","-","3115",""
"Laurent Starck","K1H","694.12","402","3451",""
"Tanguy Pineau","K1H","786.95","2943","4040",""
"Maxime Blanc","K1H","876.31","1057","4606",""
"Fabrice Luna","K1H","895.23","-","4726",""
"Remy Beule Dauzat","K1H","1170.38","-","6470",""
"Yann Neime","K1H","Nt","-","-",""
"Jean Francois Bry","K1H","Nt","-","-",""
"Pierre Moreau","K1H","Abs","-","-",""
"Simon Dosiere","K1H","Nt","-","-",""
"Morgan Forget","K1H","Nt","-","-",""
"Florian Fillon","K1H","Abd","-","-",""
"Stephane Simonpietri","K1H","Nt","-","-",""
"Fabrice Roy","K1H","Nt","-","-",""
"Fabrice Magueur","K1H","Nt","-","-",""
"Alexandre Montabonnet","K1H","Nt","-","-",""
"Ronan Lecouturier","K1H","Nt","-","-",""
"Maxime Lefebvre","K1H","Abs","-","-",""
"Marc Le Morvan","K1H","Abd","-","-",""
"Maxime Berthuit","K1H","Abd","-","-",""
"Cedric Cordone","K1H","Abd","-","-",""
"Jonathan Lavigne","K1H","Abd","-","-",""
"Antoine Ristaino","K1H","Nt","-","-",""
"Nicolas Berthe","K1H","Abd","-","-",""
"Theo Andrieu","K1H","Abd","-","-",""
"Nicolas Fuento","K1H","Nt","-","-",""
"Dorian Bouvier","K1H","Nt","-","-",""
"Benoit Fer","K1H","Nt","-","-",""
"Samuel Hernanz","K1H","Nt","-","-",""
