"Manche de la Coupe de France National 3 Slalom Sud-Est - 84800 Fontaine De Vaucluse - Qualification - 2019-03-10","Qualification","2019-03-10","Nationale 3","151"
"Jean-marc Suarez","K1H","120.75","625.94","715.86",""
"Tom Fioraso","K1H","121.91","684.94","732.13",""
"Rafael Parnotte","K1H","122.11","723","734.94",""
"Nicolas Monzerian","K1H","122.3","489.36","737.61",""
"Mathys Michel","K1H","123.54","636.47","755",""
"Marc Roussel","K1H","123.91","949.03","760.19",""
"Emile Verdier","K1H","124.38","577.29","766.79",""
"Clement Raul","K1H","124.63","568.09","770.3",""
"Victorien Pittion","K1H","125.6","931.92","783.9",""
"Arthur Sanchez","K1H","126.68","604.47","799.06",""
"Antonin Bretecher","K1H","129.13","1147.99","833.43",""
"Philippe Bigard","K1H","129.24","647.34","834.97",""
"Claude Flouret","K1H","129.95","729.04","844.93",""
"Victor Dhumieres","K1H","130.46","749.53","852.09",""
"Anicet Morel","K1H","130.94","857.9","858.82",""
"Antoine Raul","K1H","131.4","783.37","865.28",""
"Julyan Maitre","K1H","133.86","832.73","899.79",""
"Liam Mabilat","K1H","133.92","883.14","900.63",""
"Axel Gondard","K1H","136.15","681.68","931.92",""
"Clement Innocenti","K1H","136.9","921.31","942.44",""
"Jules Roussel","K1H","138.97","991.25","971.48",""
"Ga l Bonnot","K1H","141.7","854.86","1009.78",""
"Gael Rivier","K1H","145.21","889.24","1059.03",""
"Baptiste Gaillard","K1H","152.04","317.98","1154.85",""
"William Varela","K1H","159.12","931.54","1254.18",""
"Jocelyn Locatelli","K1H","195.56","896.71","1765.42",""
"Baptiste Guillaubez","K1H","212.09","548.7","1997.33",""
"Ange Bernard","K1H","221.17","811.5","2124.72",""
"Francisco Lafarga","K1H","376.71","824.58","4306.9",""
"Victorien Lombard","K1H","Abs","-","-",""
"Clement Grapotte","K1H","Abs","-","-",""
"Guillaume Mele","K1H","Abs","-","-",""
