"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course n°2 | Qualification - 2015-11-15","Course n°2 | Qualification","2015-11-15","Régional","180"
"Ronan Cordier-Florent Cossou","C2H","Abs","-","-",""
"Yann Tabone-Anton Gille","C2H","Abd","-","-",""
"Simon Del Negro-Enzo Guillarme","C2HM","222.87","1266.58","1458.02",""
"Yoann Mourier-Agathe Silvester","C2M","177.03","-","797.12",""
"Julie Labarelle","K1D","113.6","152.53","233.28",""
"Annaelle Meheut","K1D","116.97","154.04","269.06",""
"Marion Delorme","K1D","119.52","268.15","296.14",""
"Julie Fauroux","K1D","121.48","335.7","316.94",""
"Coralie Yebenes","K1D","121.93","310.98","321.73",""
"Meryl Steinmann","K1D","122.31","282.78","325.76",""
"Coline Charel","K1D","126.2","358.39","367.06",""
"Charlotte Issagarre","K1D","130.37","281.31","411.34",""
"Juliette Rousset","K1D","131.22","412.85","420.37",""
"Lucie Adisson","K1D","132","382","428.65",""
"Laurine Grandadam","K1D","137.76","452.44","489.81",""
"Lorene Scalbert","K1D","139.14","430.79","504.46",""
"Emma Miton","K1D","143.71","842.25","552.98",""
"Lou Lombard","K1D","145.1","540.32","567.74",""
"Helene Merlet","K1D","145.51","444.9","572.09",""
"Aliona Baudy","K1D","154.81","720.76","670.84",""
"Annie Ughetto","K1D","155.16","559.94","674.56",""
"Lison Soullier","K1D","250.95","1036.4","1691.64",""
"Laurene Roisin","K1DM","123.93","305.28","342.97",""
"Eva Pietracha","K1DM","124.46","311.96","348.59",""
"Elena Hugues","K1DM","125.91","312.29","363.99",""
"Carla Lacroix","K1DM","136.33","444.67","474.62",""
"Marion Pasquali","K1DM","138.64","403.18","499.15",""
"Louane Chenal","K1DM","138.82","382.68","501.07",""
"Camille Santa Cruz","K1DM","141.23","502.85","526.65",""
"Camille Berson","K1DM","144.92","583.94","565.83",""
"Elke Saragas","K1DM","146.49","929.73","582.5",""
"Maeva Bachelot","K1DM","151.22","470.02","632.72",""
"Clara Jannic","K1DM","209.42","1759.01","1250.67",""
"Lea Ferraris","K1DM","Abs","-","-",""
"Marie Juquelier","K1DM","Abs","-","-",""
"Dimitri Durannot","K1H","104.81","237.03","284.62",""
"Pierre Grapotte","K1H","105.2","240.96","289.3",""
"Sebastien Routhier","K1H","107.07","309.04","311.74",""
"Mathieu Lions","K1H","107.43","318.01","316.05",""
"Baptiste Tappero","K1H","107.54","273.19","317.37",""
"Jules Silvin","K1H","108.4","284.76","327.69",""
"Bertrand Bercon","K1H","109.49","237.07","340.77",""
"Tom Deconchy","K1H","110.13","208.88","348.45",""
"Jules Cresp","K1H","110.22","267.37","349.53",""
"Samuel Bonella","K1H","110.3","252.14","350.49",""
"Mikael Clanchin","K1H","110.33","356.98","350.85",""
"Jeremy Wagner","K1H","110.37","286.37","351.33",""
"Lucien Goulet","K1H","110.6","353.51","354.09",""
"Alexandre Pouille","K1H","110.71","241.3","355.41",""
"Gregoire Pouille","K1H","110.97","284.55","358.53",""
"Matteo Licoine","K1H","111.31","370.12","362.61",""
"Thomas Thieblemont","K1H","111.47","277.23","364.53",""
"Kawan Thomas","K1H","113.15","261.74","384.68",""
"Guillaume Affortit","K1H","114.27","-","398.12",""
"Yoann Mourier","K1H","114.28","434.04","398.24",""
"Nayl Tazi-sidqui","K1H","114.62","387.38","402.32",""
"Valentin Berland","K1H","114.89","393.6","405.56",""
"Paul Gaillard","K1H","114.91","384.49","405.8",""
"Jean Philippe Roche","K1H","115.13","284.97","408.44",""
"Cyril Audoit","K1H","115.47","363.76","412.52",""
"Marc Delli Zuani","K1H","116.07","396.07","419.72",""
"Maxime Gaillard","K1H","117","275.24","430.88",""
"Yann Tabone","K1H","119.07","402.86","455.71",""
"Thomas Courtois","K1H","119.69","441.6","463.15",""
"Raphael Olla","K1H","120.02","296.06","467.11",""
"Louis Scalbert","K1H","120.28","474.61","470.23",""
"Sebastien Riou","K1H","121.16","422.71","480.79",""
"Florent Cossou","K1H","121.18","-","481.03",""
"Marc Scognamiglio","K1H","121.84","464.98","488.95",""
"Adrien Tappero","K1H","122","458.15","490.87",""
"Paul Roubaud","K1H","122.04","421","491.35",""
"Kilian Torti","K1H","123.01","499.1","502.99",""
"Bernard Delorme","K1H","124.35","-","519.06",""
"Valentin Bonnot","K1H","124.58","456.83","521.82",""
"Valentin Affortit","K1H","124.68","496.48","523.02",""
"Frederic Reus","K1H","124.71","440.65","523.38",""
"Romain Gayral","K1H","124.83","474.1","524.82",""
"Valentin Parasme","K1H","125.89","572.32","537.54",""
"Alexandre Rozand","K1H","126.12","-","540.3",""
"Luca Barone","K1H","126.19","573.52","541.14",""
"Anton Gille","K1H","128.07","554.39","563.7",""
"Gilles Lovera","K1H","129.22","427.09","577.49",""
"Paul Badache","K1H","129.43","582.43","580.01",""
"Hugo Avril","K1H","129.82","569.68","584.69",""
"Dominique Polard","K1H","130.3","548.41","590.45",""
"Vincent Pitarch","K1H","132.14","-","612.53",""
"Romain Berthon","K1H","133.26","654.29","625.97",""
"Olivier Kremer","K1H","133.37","-","627.29",""
"Pierre Courtois","K1H","133.66","610.24","630.77",""
"Enzo Briffa","K1H","133.77","565.25","632.08",""
"Philippe Bigard","K1H","134.47","599.49","640.48",""
"Ollivier Paumier","K1H","135.7","546.05","655.24",""
"Quentin Laplace","K1H","137.12","703.99","672.28",""
"Stephane Marcellot","K1H","137.37","424.49","675.28",""
"Alexandre Florent","K1H","137.45","-","676.24",""
"Gael Villar","K1H","138.17","637.09","684.88",""
"Gregoire Michel","K1H","138.31","576.28","686.56",""
"RomÉo Bex","K1H","140.79","712.8","716.31",""
"Bastien Cothenet","K1H","145.16","3292.39","768.74",""
"Fabien Leist","K1H","161.85","376.93","968.99",""
"Nil Coudouy","K1H","177.06","-","1151.48",""
"Alexis Mercoirol","K1H","Dsq","-","-",""
"Adam Wronski","K1H","Abs","-","-",""
"Loic Bertoia","K1H","Dsq","-","-",""
"Hugo Nerisson","K1H","Abs","-","-",""
"Antoine Lerat Pytlak","K1H","Abs","-","-",""
"Max Givelet","K1H","Abs","-","-",""
"Thibault Gache","K1H","Abs","-","-",""
"Charles Coulon","K1H","Abs","-","-",""
"Titouan Maraval","K1H","Abs","-","-",""
"Romain Viry","K1H","Abs","-","-",""
"Hugo Andre","K1H","Abs","-","-",""
"Aurelien Fualdes","K1H","Abs","-","-",""
"Adrien Reinard","K1H","Abs","-","-",""
"Hugo Polard","K1H","Abs","-","-",""
"Alexandre Goujon","K1HM","114.8","449.99","404.48",""
"Adrien Fischer","K1HM","115.84","355.48","416.96",""
"Gael Adisson","K1HM","116.81","333.08","428.6",""
"Raphael Massot","K1HM","125.76","-","-",""
"Maxime Kabir","K1HM","126.67","899.54","546.9",""
"Maxence Jehan","K1HM","127.65","-","-",""
"Maxime Melmont","K1HM","128.18","462.15","565.02",""
"Kilian Cottet","K1HM","129.6","-","-",""
"Nino Chailan","K1HM","130.14","567.56","588.53",""
"Guilhem Viguier","K1HM","131.9","556.12","609.65",""
"Antonin Dustou","K1HM","132.58","833.51","617.81",""
"Aymeric Rivier","K1HM","133.88","698.69","633.4",""
"Sylvain Arnaud","K1HM","136.99","-","-",""
"Baptiste Marcellot","K1HM","139.82","-","704.67",""
"Erwann Buthod","K1HM","141.83","-","-",""
"Joachim Saussol","K1HM","144.17","-","756.87",""
"Simon Del Negro","K1HM","145.15","2146.53","768.62",""
"Allan Stievenard","K1HM","150.12","-","-",""
"Tao Semeria","K1HM","174.93","-","1125.93",""
"Simon Louchard","K1HM","183.03","735.45","1223.11",""
"Enzo Guillarme","K1HM","184.27","1009.21","1237.99",""
"Erwan Quellec","K1HM","197.27","-","1393.96",""
"Charlie Genovese","K1HM","Dsq","-","-",""
"Gawaine Chikh","K1HM","Abs","-","-",""
"Robin Andre","K1HM","Abs","-","-",""
"Leonard Gaugler","K1HM","Abs","-","-",""
"Basile Gaugler","K1HM","Abs","-","-",""
