"SÈlectif RÈgional Slalom (Double) - Manche n∞3 et Finale de la Coupe RÈgionale Grand Est & Championnat RÈgional Grand Est par Èquipe - 57000 Metz - Course n∞1 | Finale - 2020-09-26","Course n∞1 | Finale","2020-09-26","RÈgional","224"
"Justine Haton","K1DM","168.09","628.46","882.46","Course n∞1 | Finale A"
"Satine Meranger","K1DM","274.78","761.76","2042.8","Course n∞1 | Finale A"
"Benjamin Dodane","K1H","96.21","191.14","236.74","Course n∞1 | Finale A"
"Corentin Monasse","K1H","97.24","166.72","249.39","Course n∞1 | Finale A"
"Laurent Starck","K1H","97.59","224.89","253.7","Course n∞1 | Finale A"
"Robin Pottelette","K1H","97.8","306.2","256.28","Course n∞1 | Finale A"
"Lucas Latimier","K1H","97.98","150.87","258.49","Course n∞1 | Finale A"
"Oskar Hillion","K1H","99.61","264.15","278.52","Course n∞1 | Finale A"
"Hugo Monasse","K1H","101.01","230.76","295.73","Course n∞1 | Finale A"
"Jerome Olhagaray","K1H","102.21","225.58","310.47","Course n∞1 | Finale A"
"Nathan Frison","K1H","103.18","342.61","322.39","Course n∞1 | Finale A"
"Theo Reby","K1H","103.97","219.83","332.1","Course n∞1 | Finale A"
"Johan De Mareuil","K1H","104.69","262.62","340.95","Course n∞1 | Finale A"
"Paul Bostoen","K1H","106.14","275.39","358.77","Course n∞1 | Finale A"
"Damien Ganthier","K1H","107.15","323.59","371.18","Course n∞1 | Finale A"
"Silvere Desongins","K1H","107.92","257.29","380.65","Course n∞1 | Finale A"
"Anthony Ulrich","K1H","107.99","431.7","381.51","Course n∞1 | Finale A"
"Erwan Rouch","K1H","108.63","392.56","389.37","Course n∞1 | Finale A"
"Anthony Rouhier","K1H","109.45","290.02","399.45","Course n∞1 | Finale A"
"Maxime Devis","K1H","110.75","346.35","415.43","Course n∞1 | Finale A"
"Gael Ettwiller","K1H","111.14","318.9","420.22","Course n∞1 | Finale A"
"Julien Saguet","K1H","111.19","340.24","420.83","Course n∞1 | Finale A"
"Matthieu Koffel","K1H","113.03","301.94","443.45","Course n∞1 | Finale A"
"Jean Christophe Boivin","K1H","113.43","349","448.36","Course n∞1 | Finale A"
"Lucas Jamart","K1H","115.72","396.45","476.51","Course n∞1 | Finale A"
"Valentin Bostoen","K1H","116.66","515.87","488.06","Course n∞1 | Finale A"
"Jules Ferber","K1H","116.87","411.91","490.64","Course n∞1 | Finale A"
"Thibaut Boudier","K1H","116.9","464.28","491.01","Course n∞1 | Finale A"
"Sebastien De Berchem","K1H","117.25","294.24","495.31","Course n∞1 | Finale A"
"Thomas Michel","K1H","117.71","537.79","500.96","Course n∞1 | Finale A"
"Victor Henry","K1H","117.76","409.3","501.58","Course n∞1 | Finale A"
"Antoine Paumier","K1H","118.7","414.44","513.13","Course n∞1 | Finale A"
"Florent Tamburini","K1H","119.54","447.87","523.45","Course n∞1 | Finale A"
"Nicolas Mangeolle","K1H","119.62","377","524.44","Course n∞1 | Finale A"
"Remy Perrin","K1H","120.63","428.99","536.85","Course n∞1 | Finale A"
"Clement Rota","K1H","121.59","457.4","548.65","Course n∞1 | Finale A"
"Patrick Gass","K1H","126.15","522.74","604.69","Course n∞1 | Finale A"
"Alexis Gombert","K1H","128.91","420.1","638.61","Course n∞1 | Finale A"
"Jorg Blees","K1H","129.81","527","649.67","Course n∞1 | Finale A"
"Romain Moret","K1H","131.39","356.4","669.09","Course n∞1 | Finale A"
"Salim Jemai","K1H","158.39","312.95","1000.91","Course n∞1 | Finale A"
"Hugo Latimier","K1H","158.88","320.98","1006.93","Course n∞1 | Finale A"
"Jules Andrien","K1H","164.73","280.34","1078.82","Course n∞1 | Finale A"
"Adrien Gaillot","K1H","167.42","447.08","1111.88","Course n∞1 | Finale A"
"Victor Eduardo Carneiro Gomes","K1H","183.3","453.81","1307.04","Course n∞1 | Finale A"
"Antonin Robert","K1H","200.26","221.38","1515.47","Course n∞1 | Finale A"
"Maxime Aubertin","K1H","201.44","230.48","1529.98","Course n∞1 | Finale A"
"Pierre Biagui","K1H","209.16","298.27","1624.85","Course n∞1 | Finale A"
"Leo-paul Cassin","K1HM","116.37","487.84","484.5","Course n∞1 | Finale A"
"Colin Floch","K1HM","124","558.92","578.27","Course n∞1 | Finale A"
"Yuha Egraz","K1HM","126.05","523.03","603.46","Course n∞1 | Finale A"
"Aurelien Cossin","K1HM","127.44","576.43","620.54","Course n∞1 | Finale A"
"Nathan Drouet","K1HM","131.05","645.7","664.91","Course n∞1 | Finale A"
"Julien Tassotti","K1HM","132.66","798.66","684.69","Course n∞1 | Finale A"
"Eliot Gompel","K1HM","137.23","736.58","740.86","Course n∞1 | Finale A"
"Jan Gabin Pischek","K1HM","142.26","542.58","802.67","Course n∞1 | Finale A"
"Hugo Robinet","K1HM","144.72","686.96","832.91","Course n∞1 | Finale A"
"Teo Mullerheddar","K1HM","166.06","826.84","1095.17","Course n∞1 | Finale A"
"Zoe Laurent","C1D","132.59","399.69","417.26","Course n∞1 | Finale B"
"Lucille Meunier-cheyssac","C1D","137.95","1872.3","472.14","Course n∞1 | Finale B"
"Margot Perrin","C1D","144.98","505.12","544.15","Course n∞1 | Finale B"
"Sophie Staudt","C1D","163.45","670.52","733.3","Course n∞1 | Finale B"
"Caroline Scherer","C1D","168.23","531.86","782.26","Course n∞1 | Finale B"
"Kassandra Wagnier","C1D","189.4","720.28","999.06","Course n∞1 | Finale B"
"Lucas Jamart","C1H","109.34","303.51","339.11","Course n∞1 | Finale B"
"Maxime Forcadette","C1H","125.13","382.34","523.92","Course n∞1 | Finale B"
"Jeancharles Reby","C1H","126.4","492.02","538.79","Course n∞1 | Finale B"
"Patrice Campioni","C1H","128.32","436.78","561.27","Course n∞1 | Finale B"
"Vincent Ganthier","C1H","131.55","478.6","599.07","Course n∞1 | Finale B"
"Lionel Borde","C1H","131.84","578.47","602.46","Course n∞1 | Finale B"
"Vincent Idriss Achaoui","C1H","132.77","555.03","613.35","Course n∞1 | Finale B"
"Adrien Gaillot","C1H","138.76","581.3","683.45","Course n∞1 | Finale B"
"Nils Jakobs","C1H","140.27","619.99","701.12","Course n∞1 | Finale B"
"Maxime Paumier","C1H","140.8","618.82","707.33","Course n∞1 | Finale B"
"Salim Jemai","C1H","141.89","529.22","720.09","Course n∞1 | Finale B"
"Adrien Dierstein","C1H","144.21","624.96","747.25","Course n∞1 | Finale B"
"Alexandre L'huillier","C1H","154.31","891.45","865.46","Course n∞1 | Finale B"
"Victor Henry","C1H","161.09","1040.63","944.81","Course n∞1 | Finale B"
"Ludovic Kessler","C1H","163.56","639.28","973.72","Course n∞1 | Finale B"
"Hugo Humbrecht","C1H","256.33","2547.21","2059.55","Course n∞1 | Finale B"
"S…bastien Besnard","C1H","391.62","5673.4","3643.03","Course n∞1 | Finale B"
"Anthony Menissier","C1H","971.08","510.39","10425.29","Course n∞1 | Finale B"
"Antoine Dusard","C1H","Abd","-","-","Course n∞1 | Finale B"
"Leo-paul Cassin","C1HM","155.54","718.98","879.85","Course n∞1 | Finale B"
"Noe Crapart","C1HM","202.78","654.93","1432.78","Course n∞1 | Finale B"
"Gr…goire Fontan","C1HM","208.41","1260.89","1498.67","Course n∞1 | Finale B"
"Baptiste Albert","C1HM","217.19","1295.68","1601.44","Course n∞1 | Finale B"
"Etienne Ermel","C1HM","Abd","-","-","Course n∞1 | Finale B"
"Yann Becker-Vincent Idriss Achaoui","C2H","152.79","886.95","766.38","Course n∞1 | Finale B"
"Oskar Hillion-Maxime Forcadette","C2H","166.27","1216.74","916.99","Course n∞1 | Finale B"
"Lionel Borde-Michel Bert","C2H","171.94","978.77","980.33","Course n∞1 | Finale B"
"Antoine Schroetter-Simon Bouchot","C2H","314.37","1517.52","2571.62","Course n∞1 | Finale B"
"Maœa Gombert","K1D","124.85","288.39","417.2","Course n∞1 | Finale B"
"Anais Mouhoub","K1D","127.41","352.77","445.03","Course n∞1 | Finale B"
"Charlotte Chauvey","K1D","136.97","472.43","549","Course n∞1 | Finale B"
"Zelie Wendling","K1D","137.44","450.08","554.11","Course n∞1 | Finale B"
"Pauline Primm","K1D","139.05","502.4","571.63","Course n∞1 | Finale B"
"Anne-lise Moisan-ehrwein","K1D","141.47","326.56","597.95","Course n∞1 | Finale B"
"Kassandra Wagnier","K1D","141.84","585.69","601.97","Course n∞1 | Finale B"
"Elorri Erdois","K1D","145.86","638.25","645.7","Course n∞1 | Finale B"
"Kelly Capitaine","K1D","153.48","672.29","728.57","Course n∞1 | Finale B"
"Marine Primet","K1D","155.54","649","750.97","Course n∞1 | Finale B"
"Lou-anne Cointin","K1D","164.58","676","849.29","Course n∞1 | Finale B"
"Emmy Tamburini","K1D","180.22","1161.09","1019.39","Course n∞1 | Finale B"
"Agathe Portmann","K1D","186.25","1108.09","1084.97","Course n∞1 | Finale B"
"Charlotte Doucet","K1D","201.31","720.9","1248.75","Course n∞1 | Finale B"
"Lola Malais…","K1D","233.42","1288.82","1597.97","Course n∞1 | Finale B"
"Louison Da Costa","K1DM","201.05","941.81","1245.92","Course n∞1 | Finale B"
"Juliette Formet","K1DM","329.59","1373.99","2643.91","Course n∞1 | Finale B"
"S…l»ne Driget","K1DM","499.38","1137.06","4490.5","Course n∞1 | Finale B"
"Tanguy Malingre","K1H","97.45","215.51","256.97","Course n∞1 | Finale B"
"Baptiste Podor","K1H","104.14","353.67","339.19","Course n∞1 | Finale B"
"Loric Bertrand Delorme","K1H","106.7","228.04","370.65","Course n∞1 | Finale B"
"Clement Fremy","K1H","116.11","714.87","486.3","Course n∞1 | Finale B"
"Loic Bourgeois","K1H","117.27","379.56","500.56","Course n∞1 | Finale B"
"Yann Becker","K1H","118.93","436.42","520.96","Course n∞1 | Finale B"
"Thomas Stutzmann","K1H","121.4","582.77","551.31","Course n∞1 | Finale B"
"Paul Gstalter","K1H","122.04","420.5","559.18","Course n∞1 | Finale B"
"Maxime Forcadette","K1H","122.06","663.28","559.42","Course n∞1 | Finale B"
"Nils Jakobs","K1H","122.5","644.48","564.83","Course n∞1 | Finale B"
"Evan Trenchant","K1H","123","805.03","570.98","Course n∞1 | Finale B"
"Ludovic Kessler","K1H","123.78","541.8","580.56","Course n∞1 | Finale B"
"Loris Allamachere","K1H","124.46","522.95","588.92","Course n∞1 | Finale B"
"Michel Ragot","K1H","127.42","653.34","625.3","Course n∞1 | Finale B"
"Gauthier Principaud","K1H","130.57","557.64","664.01","Course n∞1 | Finale B"
"Antoine Leroy","K1H","132.34","672.98","685.76","Course n∞1 | Finale B"
"Paul Frommer","K1H","134.32","631.15","710.09","Course n∞1 | Finale B"
"Mael Thierus","K1H","134.55","738.37","712.92","Course n∞1 | Finale B"
"Smail Mouhoub","K1H","134.63","532.75","713.9","Course n∞1 | Finale B"
"Antoine Schroetter","K1H","135.52","672.94","724.84","Course n∞1 | Finale B"
"Audren Schiel","K1H","136.48","1318.97","736.64","Course n∞1 | Finale B"
"Robin Giurlando","K1H","138.41","618.79","760.36","Course n∞1 | Finale B"
"Paul Bornier","K1H","140.19","661.79","782.23","Course n∞1 | Finale B"
"Quentin Dierstein","K1H","141.52","587.03","798.58","Course n∞1 | Finale B"
"Antoine Dusard","K1H","143.72","639.54","825.62","Course n∞1 | Finale B"
"Alexandre L'huillier","K1H","145.16","850.69","843.31","Course n∞1 | Finale B"
"Gabin Beraud","K1H","145.68","670.67","849.7","Course n∞1 | Finale B"
"Marc Perlade","K1H","148.2","665.57","880.67","Course n∞1 | Finale B"
"Andre Kempf","K1H","149.88","980.31","901.32","Course n∞1 | Finale B"
"Alexandre Allemang","K1H","152.86","2702.79","937.94","Course n∞1 | Finale B"
"Est…ban Esposito","K1H","153.49","870.78","945.69","Course n∞1 | Finale B"
"Xavier Rat","K1H","158.98","570.15","1013.16","Course n∞1 | Finale B"
"Sacha L ","K1H","165.52","982.6","1093.53","Course n∞1 | Finale B"
"Anthony Menissier","K1H","167.31","681.21","1115.53","Course n∞1 | Finale B"
"Moritz Adler","K1H","168.04","826.23","1124.5","Course n∞1 | Finale B"
"Simon Bouchot","K1H","181.93","765.59","1295.2","Course n∞1 | Finale B"
"Victor Frumholtz","K1H","186.42","657.46","1350.39","Course n∞1 | Finale B"
"Thomas Danjou","K1H","189.35","1114.71","1386.39","Course n∞1 | Finale B"
"Alexandre Lambert","K1H","189.54","1018.96","1388.73","Course n∞1 | Finale B"
"Julien Dupriez","K1H","190.01","958.55","1394.51","Course n∞1 | Finale B"
"Valentin Clement","K1H","191.5","1359.12","1412.82","Course n∞1 | Finale B"
"Lilian Bayer","K1H","204.06","940.63","1567.17","Course n∞1 | Finale B"
"S…bastien Besnard","K1H","206.12","1894.29","1592.49","Course n∞1 | Finale B"
"Emile Babel","K1H","216.04","824.53","1714.4","Course n∞1 | Finale B"
"Gabin Belot","K1H","239.55","873.35","2003.33","Course n∞1 | Finale B"
"Paul Colin","K1H","Abd","-","-","Course n∞1 | Finale B"
"Noe Crapart","K1HM","128.44","572.09","637.83","Course n∞1 | Finale B"
"Maxence Jambois Ruche","K1HM","140.93","792","791.33","Course n∞1 | Finale B"
"Etienne Flavier","K1HM","153.16","1041.69","941.63","Course n∞1 | Finale B"
"Gabriel Hubert","K1HM","159.06","833.74","1014.14","Course n∞1 | Finale B"
"Jules Dolisy","K1HM","173.58","911.75","1192.59","Course n∞1 | Finale B"
"Ethan Cerf","K1HM","176.56","1458.77","1229.21","Course n∞1 | Finale B"
"Lucien Schmidt","K1HM","185.06","1201.54","1333.67","Course n∞1 | Finale B"
"Simon Sossi","K1HM","213.67","1034.32","1685.28","Course n∞1 | Finale B"
"Mathys Henry","K1HM","247.96","1675.32","2106.69","Course n∞1 | Finale B"
"Nathan Beck","K1HM","319.12","5509.84","2981.22","Course n∞1 | Finale B"
