"Sélectif régional slalom - Huningue - 2004-10-24","Course 1","2004-10-24","Régional","113"
"Bernachon Sidonie","K1D","358.82","450","664",""
"Carole Dolmaire","K1D","378.29","-","754",""
"Lalouani Lambria","K1D","389.95","-","808",""
"De Bruijn Saskia","K1D","390.62","1030","811",""
"Dieterling Marion","K1D","399.59","475","853",""
"Wey Marie Linh","K1D","409.78","-","899",""
"Hamman Sophie","K1D","504.57","-","1339",""
"Stephanie Ansot","K1D","523.71","1128","1427",""
"Di Lauro Maxime","K1H","218.83","102","147",""
"Cedric Bron","K1H","220.80","106","157",""
"Moritz Luscher","K1H","222.42","-","167",""
"Bazin Patryce","K1H","225.33","99","181",""
"Pierre Labarelle","K1H","228.62","-","198",""
"Christophe Siffert","K1H","228.93","139","201",""
"Mehdi Amini","K1H","230.65","139","209",""
"Sylvain Herrbach","K1H","231.28","151","213",""
"Johan De Mareuil","K1H","234.89","83","231",""
"Nicolas Mangeolle","K1H","242.78","257","272",""
"Thomas Michel","K1H","243.15","267","275",""
"Serre Eric","K1H","243.52","245","277",""
"Revelle Yohann","K1H","245.26","234","286",""
"Labouille Yannick","K1H","246.99","237","295",""
"Nicolas Ciemniewski","K1H","247.10","162","295",""
"Nathan Barbier","K1H","248.52","301","302",""
"Douillet Guilhem","K1H","251.16","228","317",""
"Stephane Ferrignio","K1H","251.58","343","319",""
"Christophe Billaud","K1H","252.39","261","323",""
"Eric Marmet","K1H","253.90","374","331",""
"Pascal Philip","K1H","255.72","325","340",""
"Yann Le Guedard","K1H","261.52","397","371",""
"Bajolet Julien","K1H","263.71","443","382",""
"Nicolle Xavier","K1H","263.74","387","382",""
"Teddy Poulard","K1H","264.19","366","384",""
"Philippe Devillers","K1H","269.67","458","413",""
"Romain Viry","K1H","273.97","451","436",""
"Verger Nicolas","K1H","276.40","380","448",""
"Billel Khenchouche","K1H","276.67","452","450",""
"Wendling Valentin","K1H","278.45","365","459",""
"Hubschwerlin Pierre","K1H","279.65","537","466",""
"William Boutet","K1H","280.48","313","470",""
"Soulon Florian","K1H","282.01","464","478",""
"Nicolas Burgi","K1H","288.82","467","514",""
"Eddy Cassard","K1H","294.71","426","545",""
"Wendling Jean-Mathieu","K1H","295.77","539","550",""
"Nicolas Dinquer","K1H","301.02","582","578",""
"Arthur Veber","K1H","302.38","510","585",""
"Leclerc Jerome","K1H","303.26","843","589",""
"Thiemann Rodrigue","K1H","304.38","-","595",""
"Buffler Ambroise","K1H","305.30","705","600",""
"Romain Buchot","K1H","309.85","550","624",""
"Bietry Julien","K1H","312.84","657","639",""
"Roberge Sebastien","K1H","314.59","-","649",""
"Eric Louis","K1H","316.98","605","661",""
"Dubois Mortimer","K1H","326.97","-","713",""
"Dieudonne Laurent","K1H","330.21","-","730",""
"Jeremy Bretteville","K1H","332.87","398","744",""
"Luc Rumeau","K1H","334.97","-","755",""
"Guillaume Carpentier","K1H","338.92","491","776",""
"Gonthier Lucas","K1H","344.46","-","805",""
"Henriot Frederic","K1H","351.32","1073","841",""
"Alexandre Lambert","K1H","357.16","891","871",""
"Treiber Edouard","K1H","375.50","532","967",""
"Boutter Victor","K1H","376.14","574","970",""
"Kornalewski Remi","K1H","426.65","824","1234",""
"Morio Aymeric","K1H","441.73","-","1313",""
"Hug Laurent","K1H","472.15","1516","1473",""
"Frederic Blanrue","K1H","537.48","-","1815",""
"Cheval Kevin","K1H","542.21","-","1839",""
"Waldeck Vivien","K1H","575.69","-","2014",""
