"Championnat de France Slalom des Clubs - Cesson Sévigné - Course individuelle | Qualification - 2015-10-03","Course individuelle | Qualification","2015-10-03","Championnats de France","232"
"Sebastien De Kerleau","C1H","104.22","-","-",""
"Alexandre Paulais","C1H","104.28","-","-",""
"Marc Biazizzo","C1H","105.4","-","-",""
"Antoine Runet","C1H","105.55","-","-",""
"Henri Despont","C1H","105.68","-","-",""
"Yves Prigent","C1H","106.08","-","-",""
"Nicolas Scianimanico","C1H","106.53","-","-",""
"Baptiste Le Poncin","C1H","107.31","-","-",""
"Julian Othenin-girard","C1H","107.46","-","-",""
"Yann Le Govic","C1H","107.49","-","-",""
"Simon Le Friec","C1H","107.58","-","-",""
"Jean Freri","C1H","107.71","-","-",""
"Jules Chaumet","C1H","107.75","-","-",""
"Hugo Robin","C1H","109.42","-","-",""
"Emeric Bertrand","C1H","110.8","-","-",""
"Etienne Daille","C1H","111.4","-","-",""
"Mathurin Madore","C1H","111.75","-","-",""
"Mathieu Doby","C1H","114.34","-","-",""
"Medhi Deguil","C1H","115.07","-","-",""
"Melenn Aubry","C1H","117.01","-","-",""
"Simon Werro","C1H","117.88","-","-",""
"Stephane Abadie","C1H","118.62","-","-",""
"Dimitri Marino","C1H","119.67","-","-",""
"Theo Desvignes","C1H","119.69","-","-",""
"Maxime Bottex","C1H","119.74","-","-",""
"Nicolas Coudert","C1H","119.98","-","-",""
"Jules Bernardet","C1H","123.4","-","-",""
"Etienne Nardeau","C1H","124","-","-",""
"Timothee Olla","C1H","124.21","-","-",""
"Malo Le Paih","C1H","124.98","-","-",""
"Benoit Le Mazurier","C1H","134.3","-","-",""
"Alan Mahe","C1H","136.33","-","-",""
"Louison Tanet","C1H","163.02","-","-",""
"Pierre Giudicelli","C1H","170.33","-","-",""
"Gauthier Klauss-Matthieu Peche","C2H","107.98","-","-",""
"Thomas Koechlin-Louison Tanet","C2H","114.65","-","-",""
"Yoan Del Rey-Arthur Grandemange","C2H","114.8","-","-",""
"Christophe Augu-Alexandre Paulais","C2H","115.53","-","-",""
"Stephane Abadie-Sebastien De Kerleau","C2H","115.56","-","-",""
"Janos Peterlin-Christophe Marechal","C2H","116.63","-","-",""
"Mathieu Fougere-Thomas Fougere","C2H","116.65","-","-",""
"Nicolas Scianimanico-Loic Brunel","C2H","117.38","-","-",""
"Erwan Marchais-Jean Freri","C2H","117.43","-","-",""
"Pierre Hellard-Malo Quemeneur","C2H","117.94","-","-",""
"Mathieu Biazizzo-Antoine Runet","C2H","119.3","-","-",""
"Malo Poles-Baptiste Le Poncin","C2H","119.38","-","-",""
"Simon Le Friec-Jonathan Marc","C2H","119.42","-","-",""
"Paul Brier-Henri Despont","C2H","120.54","-","-",""
"Frederic Momot-Jean Philippe Winiarski","C2H","120.62","-","-",""
"Liam Jegou-Laurent Starck","C2H","120.83","-","-",""
"Nicolas Coudert-Fabien Le Nechet","C2H","122.97","-","-",""
"Edgar Prigent-Guillaume Graille","C2H","126.2","-","-",""
"Medhi Deguil-Julien Haberland","C2H","126.49","-","-",""
"Gilles Schweitzer-Manuel Munsch","C2H","128.86","-","-",""
"Clement Berger-Mathieu Villeger","C2H","129.04","-","-",""
"Dimitri Marino-Theo Desvignes","C2H","130.05","-","-",""
"Pierre Bourliaud-Thomas Rosset","C2H","130.31","-","-",""
"Hugo Regnier-Arthur Mizzi","C2H","130.5","-","-",""
"Etienne Nardeau-Tristan Lejot","C2H","133.38","-","-",""
"Anthony Drouhin-Nicolas Bernardy","C2H","134.93","-","-",""
"Titouan Dupras-Robin Dupras","C2H","135.81","-","-",""
"Claude Menissier-Gerard Menissier","C2H","136.72","-","-",""
"Awen Le Paih-Malo Le Paih","C2H","137.05","-","-",""
"Jerome Daille-Mathieu Monier","C2H","138.43","-","-",""
"Jean Malo Bailleul-Malo Legrand","C2H","139.19","-","-",""
"Alan Mahe-Matheo Lebaindre","C2H","140.39","-","-",""
"Raphael Olla-Timothee Olla","C2H","140.49","-","-",""
"Hugo Philippe-Leo Tasset","C2H","145.67","-","-",""
"Benoit Le Mazurier-Lucas Correia","C2H","147.32","-","-",""
"Yann Le Bourser-Keliann Le Breton","C2H","159.21","-","-",""
"Pierre Le Gall-Maxime Barrault","C2H","180.8","-","-",""
"Johann Loiseau-Hugo Robin","C2H","183.58","-","-",""
"Andreas Dupuy-Aaron Penning","C2H","Des","-","-",""
"Matthieu Peche-Angelique Guilcher","C2M","120.05","-","-",""
"Gauthier Klauss-Lea Gaigeot","C2M","122.6","-","-",""
"Simon Werro-Anna Wider","C2M","128.24","-","-",""
"Tiphaine Drouin-Kilian Foulon","C2M","128.72","-","-",""
"Marc Biazizzo-Anne-lise Moisan-ehrwein","C2M","128.98","-","-",""
"Caroline Loir-Loic Brunel","C2M","130.72","-","-",""
"Andrea Gratwohl-Lukas Werro","C2M","131.21","-","-",""
"Carole Bouzidi-Mathieu Desnos","C2M","132.4","-","-",""
"Christophe Augu-Josepha Longa","C2M","132.77","-","-",""
"Jules Chaumet-Anne Boixel","C2M","136.04","-","-",""
"Gilles Schweitzer-Auregane Philip","C2M","139.99","-","-",""
"Agathe Chaumet-Samuel Lhegu","C2M","140.24","-","-",""
"Nicolas Labat-Justine Lorin","C2M","141.37","-","-",""
"Nicolas Bernardy-Anais Bernardy","C2M","143.17","-","-",""
"Marjorie Boulogne-Enrick Cunsolo","C2M","144.27","-","-",""
"Pauline Guiet-Tom Scianimanico","C2M","144.72","-","-",""
"Anne-lise Bardet-Yves Narduzzi","C2M","144.78","-","-",""
"Emeric Bertrand-Deborah Larsonneur","C2M","146.54","-","-",""
"Christophe Marechal-Laurine Naveau","C2M","147","-","-",""
"Jerome Daille-Sabine Kleinhenz","C2M","149.75","-","-",""
"Malo Poles-Catherine Le Berre","C2M","150.06","-","-",""
"Robin Dupras-Phenicia Dupras","C2M","150.97","-","-",""
"Dimitri Etienne-Enora Bronsard","C2M","151.92","-","-",""
"Youn Aubry-Pauline Richard","C2M","154.98","-","-",""
"Ewen Legrand-Coline Jacob","C2M","156.76","-","-",""
"Matthieu Walfard-Gaelle Delaborde","C2M","156.97","-","-",""
"Jonathan Chapatte-Tifenn Primet","C2M","157.98","-","-",""
"Amelie Perier-Damien Launay","C2M","162.6","-","-",""
"Franck Delachair-Mathilde Le Verge","C2M","165.53","-","-",""
"Celine Roulot-Emmanuel Walczak","C2M","172.2","-","-",""
"Yann Le Bourser-Elodie Le Nechet","C2M","177.08","-","-",""
"Aurelie Le Fee-Awen Le Paih","C2M","179.05","-","-",""
"Florence Marchal-Jacques Nardeau","C2M","186.09","-","-",""
"Orlane Dupras-Mathieu Monier","C2M","201.43","-","-",""
"Tristan Lejot-Lucie Cecile","C2M","Abd","-","-",""
"Mathieu Fougere-Louise Bichet","C2M","Abd","-","-",""
"Zeph Scamps-Margaux Longeau","C2M","Abd","-","-",""
"Melenn Aubry-Estelle Hellard","C2M","Abd","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","Abd","-","-",""
"Carole Bouzidi","K1D","102.97","-","-",""
"Flora Huvelin","K1D","107.06","-","-",""
"Pauline Guiet","K1D","109.42","-","-",""
"Camille Prigent","K1D","109.65","-","-",""
"Claire Landrin","K1D","112.58","-","-",""
"Sarah Despres","K1D","113.4","-","-",""
"Claire Gaigeot","K1D","114.22","-","-",""
"Estelle Hellard","K1D","114.55","-","-",""
"Marine Leveque","K1D","114.78","-","-",""
"Anne-lise Bardet","K1D","115.21","-","-",""
"Manon Durand","K1D","116.88","-","-",""
"Azenor Philip","K1D","117.06","-","-",""
"Zoe Huet","K1D","119.32","-","-",""
"Clementine Geoffray","K1D","119.52","-","-",""
"Viviana Daille","K1D","119.58","-","-",""
"Elise Pierron","K1D","119.83","-","-",""
"Angelique Guilcher","K1D","120.53","-","-",""
"Agathe Chaumet","K1D","123.22","-","-",""
"Nagwa Lanchec El Desouki","K1D","124.1","-","-",""
"Pauline Gentilhomme","K1D","125.19","-","-",""
"Josepha Longa","K1D","125.51","-","-",""
"Morgane Quemerais","K1D","126.12","-","-",""
"Lisa Robin","K1D","126.82","-","-",""
"Emilie Chamouleau","K1D","126.84","-","-",""
"Phenicia Dupras","K1D","129.64","-","-",""
"Thais Francois","K1D","129.9","-","-",""
"Tifenn Primet","K1D","132.9","-","-",""
"Maela Le Corre","K1D","133.23","-","-",""
"Louise Bichet","K1D","133.79","-","-",""
"Marion Grangeon","K1D","134.6","-","-",""
"Eva Dauvergne","K1D","137.49","-","-",""
"Elodie Le Nechet","K1D","138.7","-","-",""
"Amelie Perier","K1D","141.43","-","-",""
"Gaelle Delaborde","K1D","144.04","-","-",""
"Emma Jacob","K1D","146.05","-","-",""
"Ilhame Siraj","K1D","176.51","-","-",""
"Lucie Cecile","K1D","204.48","-","-",""
"Fanny Valeau","K1D","257.53","-","-",""
"Andrea Gratwohl","K1D","620.61","-","-",""
"Etienne Daille","K1H","91.34","-","-",""
"Janos Peterlin","K1H","92.46","-","-",""
"Yves Prigent","K1H","92.78","-","-",""
"Mathieu Desnos","K1H","92.83","-","-",""
"Martin Daviet","K1H","93.06","-","-",""
"Mathieu Biazizzo","K1H","94.32","-","-",""
"Malo Quemeneur","K1H","94.76","-","-",""
"Thomas Rosset","K1H","95","-","-",""
"Pierre Bourliaud","K1H","95.82","-","-",""
"Benjamin Buys","K1H","95.85","-","-",""
"Paul Brier","K1H","95.99","-","-",""
"Emmanuel Walczak","K1H","96.14","-","-",""
"Tom Scianimanico","K1H","96.28","-","-",""
"Mathurin Madore","K1H","96.3","-","-",""
"Mathieu Doby","K1H","97.18","-","-",""
"Jonathan Chapatte","K1H","98.44","-","-",""
"Lukas Werro","K1H","99.01","-","-",""
"Clement Travert","K1H","99.46","-","-",""
"Maxime Bottex","K1H","99.48","-","-",""
"Enrick Cunsolo","K1H","99.72","-","-",""
"Benoit Chantry","K1H","99.75","-","-",""
"Manuel Munsch","K1H","99.96","-","-",""
"Quentin Mignard","K1H","100.11","-","-",""
"Yann Le Govic","K1H","100.13","-","-",""
"Fabien Le Nechet","K1H","102.63","-","-",""
"Titouan Dupras","K1H","103.19","-","-",""
"Nicolas Labat","K1H","103.88","-","-",""
"Pierre Hellard","K1H","103.92","-","-",""
"Ewen Legrand","K1H","104.87","-","-",""
"Vincent Ablin","K1H","105.05","-","-",""
"Pierre Audouin","K1H","105.2","-","-",""
"Johann Loiseau","K1H","105.22","-","-",""
"Morgan Le Friec","K1H","111.76","-","-",""
"Matheo Lebaindre","K1H","112.03","-","-",""
"Riwal Le Berre","K1H","113.65","-","-",""
"Tristan Bronsard","K1H","114.01","-","-",""
"Damien Launay","K1H","146.2","-","-",""
"Julien Haberland","K1H","147.63","-","-",""
"Pierre Giudicelli","K1H","151.42","-","-",""
