"COUPE AUTOMINE - CESSON SEVIGNE - Demi-Finale - 2014-11-08","Demi-Finale","2014-11-08","Régional","144"
"Romane Prigent","K1D","112.18","129.07","171.27","Demi-Finale A"
"Mathieu Desnos","K1H","88.94","56.09","45","Demi-Finale A"
"Ludovic Di Nisi","K1H","89.62","24.03","53.31","Demi-Finale A"
"Kevin Schultz","K1H","89.69","61.71","54.16","Demi-Finale A"
"Mathys Huvelin","K1H","91.01","62.24","70.29","Demi-Finale A"
"Martin Daviet","K1H","91.15","67.37","72","Demi-Finale A"
"Yves Prigent","K1H","91.67","59.8","78.36","Demi-Finale A"
"Yann Le Govic","K1H","91.98","33.85","82.15","Demi-Finale A"
"Benjamin Buys","K1H","92.12","54.26","83.86","Demi-Finale A"
"Malo Quemeneur","K1H","92.39","122.1","87.16","Demi-Finale A"
"Benoit Guillaume","K1H","92.68","20.98","90.7","Demi-Finale A"
"Quentin Mignard","K1H","92.92","89.15","93.63","Demi-Finale A"
"James Duvernoy","K1H","93.55","83.83","101.33","Demi-Finale A"
"Jonas Turmeau","K1H","93.75","70.93","103.77","Demi-Finale A"
"Clement Travert","K1H","93.92","105.11","105.85","Demi-Finale A"
"Thomas Schmitt","K1H","94.22","55.47","109.52","Demi-Finale A"
"Pol Oulhen","K1H","94.35","72.4","111.1","Demi-Finale A"
"Quentin Bove","K1H","94.39","107.13","111.59","Demi-Finale A"
"Pierre Hellard","K1H","95.57","134.73","126.01","Demi-Finale A"
"Louison Turmeau","K1H","96.07","82.65","132.12","Demi-Finale A"
"Gael Prodeau","K1H","96.36","70.58","135.66","Demi-Finale A"
"Sami Rocher","K1H","96.66","103.7","139.33","Demi-Finale A"
"Gurgen Brun","K1H","97.12","107.1","144.95","Demi-Finale A"
"Samuel Lhegu","K1H","97.33","87.45","147.52","Demi-Finale A"
"Bertrand Gutierrez","K1H","97.66","72.66","151.55","Demi-Finale A"
"Pol Euzenes","K1H","97.72","120.52","152.28","Demi-Finale A"
"Benjamin Jacon","K1H","98.57","125.14","162.67","Demi-Finale A"
"Vivien Colober","K1H","140.93","22.26","680.26","Demi-Finale A"
"Thibault Marchand","K1H","145.23","115.25","732.8","Demi-Finale A"
"Fanchon Janssen","C1D","121.2","246.68","197.36","Demi-Finale B"
"Azenor Philip","C1D","126.15","245.4","247.76","Demi-Finale B"
"Justine Lorin","C1D","128.22","172.1","268.84","Demi-Finale B"
"Marjorie Delassus","C1D","130.53","314.37","292.36","Demi-Finale B"
"Marine Schmitt","C1D","136.5","348.34","353.15","Demi-Finale B"
"Lisa Robin","C1D","137.36","276.18","361.91","Demi-Finale B"
"Manon Durand","C1D","139.55","282.46","384.21","Demi-Finale B"
"Baptiste Le Poncin","C1H","103.21","193.43","164.31","Demi-Finale B"
"Tom Maffeis","C1H","104.5","180.76","179.32","Demi-Finale B"
"Gael Le Noc","C1H","107.09","164.01","209.46","Demi-Finale B"
"Yves Bourhis","C1H","109.06","183.79","232.39","Demi-Finale B"
"Malo Poles","C1H","111.43","200.21","259.97","Demi-Finale B"
"Issam Chakir","C1H","111.57","240.92","261.59","Demi-Finale B"
"Guillaume Le Bourdonnec","C1H","112.98","163.09","278","Demi-Finale B"
"Nathan Hossin","C1H","113.85","200.6","288.13","Demi-Finale B"
"Nathan Rene Corail","C1H","114.16","200.7","291.74","Demi-Finale B"
"Faysal Ali Zazou","C1H","115.23","254.61","304.19","Demi-Finale B"
"Malo Quemeneur","C1H","115.24","253.9","304.3","Demi-Finale B"
"Theo Roisin","C1H","116.65","248.76","320.71","Demi-Finale B"
"Quentin Desouche","C1H","117.52","241.07","330.84","Demi-Finale B"
"Thomas Launay","C1H","168.71","240.28","926.54","Demi-Finale B"
"Charles Dampeyrou","C1H","171.5","179.56","959","Demi-Finale B"
"Gaetan Le Henaff","C1H","Abs","-","-","Demi-Finale B"
"Loic Brunel-Medhi Deguil","C2H","116.06","189.92","252.46","Demi-Finale B"
"Theo Desvignes-Arthur Traquet","C2H","127.19","443.4","376.09","Demi-Finale B"
"Theo Roisin-Hugo Crepeau","C2H","134.13","328.77","453.18","Demi-Finale B"
"Vincent Morabito-Yohan Wantz","C2H","136.57","435.29","480.29","Demi-Finale B"
"Youn Aubry-Alan Mahe","C2H","146.75","413.77","593.36","Demi-Finale B"
"Lea Gaigeot","K1D","108.59","110.06","137.45","Demi-Finale B"
"Joey Bercon","K1D","109.8","136.93","150.54","Demi-Finale B"
"Fanchon Janssen","K1D","110.92","194.15","162.65","Demi-Finale B"
"Joana Palermo","K1D","112.4","145.73","178.65","Demi-Finale B"
"Marjorie Delassus","K1D","112.9","190.01","184.06","Demi-Finale B"
"Lisa Mouffle","K1D","115.06","188.95","207.42","Demi-Finale B"
"Camille Fontaine","K1D","115.53","198.77","212.5","Demi-Finale B"
"Viviana Daille","K1D","116.16","210.73","219.31","Demi-Finale B"
"Marine Schmitt","K1D","117.12","137.94","229.69","Demi-Finale B"
"Louise Bichet","K1D","121.02","235.76","271.86","Demi-Finale B"
"Lisa Robin","K1D","121.57","241.8","277.81","Demi-Finale B"
"Suzon Broute","K1D","122.61","142.63","289.05","Demi-Finale B"
"Heloise Geffray","K1D","126.24","181.28","328.31","Demi-Finale B"
"Emilie Delahaye","K1D","127.31","247.29","339.88","Demi-Finale B"
"Alice Lachaudru","K1D","128.04","256.41","347.77","Demi-Finale B"
"Ewen Legrand","K1H","93.51","76.19","105.84","Demi-Finale B"
"Alexandre Dherbilly","K1H","93.94","82.78","111.09","Demi-Finale B"
"Nicolas Baudoin","K1H","94.12","83.69","113.29","Demi-Finale B"
"Benjamin Thiboust","K1H","95.89","100.99","134.92","Demi-Finale B"
"Valentin Brindeau","K1H","96.23","136.96","139.08","Demi-Finale B"
"Jonathan Delagnes","K1H","96.61","103.26","143.72","Demi-Finale B"
"Antonin Elne","K1H","97.13","167.07","150.07","Demi-Finale B"
"Guillaume Graille","K1H","97.75","112.02","157.65","Demi-Finale B"
"Romain Guyomard","K1H","98.34","132.88","164.86","Demi-Finale B"
"Mathurin Madore","K1H","98.42","74.33","165.84","Demi-Finale B"
"Aubry Bertin","K1H","98.44","122.3","166.08","Demi-Finale B"
"Sebastien Nouvel","K1H","99.14","158.19","174.63","Demi-Finale B"
"Loic Bertoia","K1H","99.72","180.91","181.72","Demi-Finale B"
"Antoine Gaillard","K1H","100.42","155.2","190.27","Demi-Finale B"
"Nicolas Rouleaud","K1H","100.55","166.94","191.86","Demi-Finale B"
"Maxime Tilhet","K1H","101.42","132.63","202.49","Demi-Finale B"
"Corentin Douady","K1H","101.56","219.61","204.2","Demi-Finale B"
"Remi Quentin","K1H","101.6","187.81","204.69","Demi-Finale B"
"Pierre Giudicelli","K1H","101.89","156.21","208.23","Demi-Finale B"
"Gregoire Guerin","K1H","102.54","166.05","216.18","Demi-Finale B"
"Louis Midy","K1H","102.8","209.89","219.35","Demi-Finale B"
"Johann Loiseau","K1H","104.28","205.68","237.44","Demi-Finale B"
"Jeremy Lecollinet","K1H","105.44","226.26","251.61","Demi-Finale B"
"Alexandre Lucas","K1H","105.73","153.09","255.16","Demi-Finale B"
"Paul Cornut-chauvinc","K1H","106.59","184.06","265.66","Demi-Finale B"
"Theo Celjo","K1H","150.99","192.64","808.18","Demi-Finale B"
"Adrien Maire","K1H","156.69","184.09","877.83","Demi-Finale B"
"Boris Chenal","K1H","Abs","-","-","Demi-Finale B"
