"Sélectif Régional Slalom (Double) - Stade D'eaux Vives De Veigné - Course 1 - Finale - 2016-04-30","Course 1 - Finale","2016-04-30","Régional","125"
"Timothee Le Mort","K1H","89.58","260.57","317.04","Course 1 - Finale A"
"Florian Busson","K1H","90.27","281.86","326.97","Course 1 - Finale A"
"Corentin Douady","K1H","91.06","209.28","338.34","Course 1 - Finale A"
"Emilien Kempf","K1H","92.07","339.3","352.87","Course 1 - Finale A"
"Simon Dubosc","K1H","92.4","278.11","357.62","Course 1 - Finale A"
"Alex Louveau","K1H","92.69","293.87","361.79","Course 1 - Finale A"
"Florian Sauvage","K1H","94.15","342.74","382.8","Course 1 - Finale A"
"Emeric Bussonnais","K1H","94.15","261.96","382.8","Course 1 - Finale A"
"Arthur Lagleyze","K1H","94.39","383.15","386.26","Course 1 - Finale A"
"Thibaud Lacour","K1H","95","236.22","395.04","Course 1 - Finale A"
"Julien Paulais","K1H","95.38","-","400.5","Course 1 - Finale A"
"Nathan Rene Corail","K1H","98.07","-","439.22","Course 1 - Finale A"
"Tom Genest","K1H","99.21","449.1","455.62","Course 1 - Finale A"
"Pierre Huan","K1H","103.02","332.07","510.45","Course 1 - Finale A"
"Florian Torche","K1H","105.04","396.23","539.52","Course 1 - Finale A"
"Francois Durand","K1H","108.78","327.51","593.34","Course 1 - Finale A"
"Quentin Robin","K1H","111.54","329.01","633.06","Course 1 - Finale A"
"Zeph Scamps","K1H","189.38","273.91","1753.26","Course 1 - Finale A"
"Lucas Augu","K1HM","90.6","315.52","331.72","Course 1 - Finale A"
"Romain Bruneau","K1HM","106.18","471.81","555.93","Course 1 - Finale A"
"Tom Charles","K1HM","109.26","-","600.25","Course 1 - Finale A"
"Theo Douady","K1HM","112.63","645.16","648.75","Course 1 - Finale A"
"Alexis Bobon","C1H","103.1","219.6","445.95","Course 1 - Finale B"
"Aurelien Dubois","C1H","112.56","-","575.61","Course 1 - Finale B"
"Jerome Olhagaray","C1H","113.93","-","594.39","Course 1 - Finale B"
"Romain Branjauneau","C1H","120.24","536.63","680.86","Course 1 - Finale B"
"Florian Sauvage","C1H","121.19","-","693.89","Course 1 - Finale B"
"Martin Barbier","C1H","133.7","487.28","865.34","Course 1 - Finale B"
"Tom Genest","C1H","135.39","-","888.51","Course 1 - Finale B"
"Mael Poirier","C1H","175.98","3049.6","1444.82","Course 1 - Finale B"
"Emeric Bussonnais","C1H","189.09","-","1624.51","Course 1 - Finale B"
"Quentin Robin","C1H","221.88","-","2073.91","Course 1 - Finale B"
"Arthur Lagleyze","C1H","291.23","-","3024.4","Course 1 - Finale B"
"Bruno Louviot","C1H","Abd","-","-","Course 1 - Finale B"
"Benjamin Harreau","C1H","Nt","-","-","Course 1 - Finale B"
"Mattis Orchilles","C1HM","475.84","-","5554.61","Course 1 - Finale B"
"Emeric Bussonnais-Florian Sauvage","C2H","146.58","-","950.56","Course 1 - Finale B"
"Theo Desvignes-Zeph Scamps","C2H","181.13","-","1402.57","Course 1 - Finale B"
"Florian Busson-Alex Louveau","C2H","196.21","467.23","1599.85","Course 1 - Finale B"
"Aurelien Dubois-Gautier Nammour","C2H","Abs","-","-","Course 1 - Finale B"
"Lea Grison","K1D","106.5","228.3","389.21","Course 1 - Finale B"
"Julie Dequeant","K1D","128.52","479.66","669.65","Course 1 - Finale B"
"Lea Riera","K1D","152.33","540.52","972.87","Course 1 - Finale B"
"Alexis Bobon","K1H","98.54","321.94","450.98","Course 1 - Finale B"
"Jeremy Bretteville","K1H","104.48","401.17","536.46","Course 1 - Finale B"
"Nicolas Leconte","K1H","105.82","490.55","555.75","Course 1 - Finale B"
"Alexandre Dupas","K1H","106.74","-","568.99","Course 1 - Finale B"
"Gaetan Robin","K1H","106.81","402.71","569.99","Course 1 - Finale B"
"Christophe Cartault","K1H","107.39","-","578.34","Course 1 - Finale B"
"Antoine Dey","K1H","107.49","-","579.78","Course 1 - Finale B"
"Paul Tallet Pinet","K1H","108.54","492.98","594.89","Course 1 - Finale B"
"Aurelien Dubois","K1H","113.3","-","663.39","Course 1 - Finale B"
"Flavien Portier","K1H","115.48","434.84","694.76","Course 1 - Finale B"
"Emmanuel Moreau","K1H","116.22","-","705.41","Course 1 - Finale B"
"Clement Collardez","K1H","116.25","466.84","705.84","Course 1 - Finale B"
"Collin Pouradier","K1H","127.45","532.29","867.02","Course 1 - Finale B"
"Nicolas Petipez","K1H","127.9","654.8","873.5","Course 1 - Finale B"
"Hugo Chevalier","K1H","131.66","1590.59","927.61","Course 1 - Finale B"
"Benoit Artu","K1H","133.23","-","950.2","Course 1 - Finale B"
"Yann Dhieux","K1H","139.69","675.68","1043.17","Course 1 - Finale B"
"Bruno Louviot","K1H","140.05","-","1048.35","Course 1 - Finale B"
"Nicolas Mousset","K1H","145.57","867.33","1127.79","Course 1 - Finale B"
"Pierre Ledoux","K1H","146.45","-","1140.45","Course 1 - Finale B"
"Mael Poirier","K1H","151.21","1268.42","1208.95","Course 1 - Finale B"
"Corentin Val","K1H","157.06","827.96","1293.14","Course 1 - Finale B"
"Eric Pouradier","K1H","160.52","732.66","1342.93","Course 1 - Finale B"
"Jean-marc Vallee","K1H","171.87","-","1506.27","Course 1 - Finale B"
"Nicolas Dequeant","K1H","186.18","1164.84","1712.2","Course 1 - Finale B"
"Romain Caburol","K1H","194.64","846.89","1833.95","Course 1 - Finale B"
"Andre Filipe Nunes Marques","K1H","221.84","900.44","2225.39","Course 1 - Finale B"
"Benjamin Borgne","K1H","221.9","829.88","2226.25","Course 1 - Finale B"
"Alexis Jarrige","K1H","233.24","1075.24","2389.44","Course 1 - Finale B"
"Victor Lheritier","K1H","286.47","-","3155.48","Course 1 - Finale B"
"Paul Laval","K1H","294.46","-","3270.46","Course 1 - Finale B"
"Thierry Dugue","K1H","317.61","735.84","3603.61","Course 1 - Finale B"
"Gautier Nammour","K1H","323.83","-","3693.12","Course 1 - Finale B"
"Thomas Ukalovic","K1HM","120.98","-","773.91","Course 1 - Finale B"
"GaËtan De Greef","K1HM","128.63","675.84","884","Course 1 - Finale B"
"Noah Fresneda","K1HM","144.76","-","1116.13","Course 1 - Finale B"
"Simon Labet","K1HM","296.9","-","3305.57","Course 1 - Finale B"
