"Championnat RÈgional de Slalom - Championnat De Normandie Slalom - Qualification - 2016-04-17","Qualification","2016-04-17","RÈgional","317"
"Benjamin Soroka-Edouard Gracias","C2H","112.29","419.84","405.17",""
"Benoit Letellier-Mathieu Godin","C2H","113.4","-","418.55",""
"Thibault Bigeon-Romain Bertrand","C2H","117.06","-","462.68",""
"Simon Boulan-Mehdi Rouich","C2H","117.69","-","470.28",""
"Gaspard Perrio-L…o Le Moigne","C2H","118.16","370.84","475.94",""
"Martin Rich-Virgile Bourlet De La Vallee","C2H","123.02","523.83","534.54",""
"Lucas Jacob-Benoit Guernic","C2H","126.58","592.1","577.47",""
"Nicolas Dupres-Eric Beaumont","C2H","126.97","-","582.16",""
"Jeremy Bretteville-Guillaume Doutreix","C2H","127.05","-","583.13",""
"Leo Degraeve-Nicolas Candieu","C2H","127.69","-","590.85",""
"Camille Fleuret-Enzo Cozette","C2H","133.42","-","659.94",""
"Thomas Martinet-Lucas Walbreq","C2H","137.23","668.92","705.88",""
"Antoine Martin-Romain Bouillon","C2H","138.39","631.09","719.86",""
"Olivier Dulouard-Jean-francois Dulouard","C2H","144.89","-","798.23",""
"Teddy Poulard-Jacky Bachelot","C2H","144.93","-","798.72",""
"Elie Scaglia Mennesson-Roman Vivier","C2H","156.82","-","942.08",""
"Isidore Dubuisson-Niels Beaumont","C2H","157.59","-","951.36",""
"Theo Moalic-Marceau Decarsin","C2H","158.56","740.45","963.05",""
"Alberic Carpentier-Lucien Louchez","C2H","162.03","1237.49","1004.89",""
"Dante Bourlet De La Vallee-Elie Gerault","C2H","191.57","-","1361.07",""
"Benjamin Meziere-Louis Marescot","C2H","334.1","-","3079.58",""
"Nicolas Ducrocq-Michael Philibert","C2H","Des","-","-",""
"Fabien Bonvalet-Mathias Felix","C2HM","179.13","-","1211.07",""
"T…o Capdeville-Maxence Galy","C2HM","312.07","-","2813.96",""
"Theodora Seemann-Eloi Seemann","C2M","126.26","379.32","446.75",""
"Anthony Thuillier-Camille Andrieux","C2M","127.21","420.54","457.24",""
"Catherine Boulan-Xavier Jourdain","C2M","127.51","386.81","460.56",""
"Teddy Poulard-Alize Bachelot","C2M","128.95","473.1","476.47",""
"Simon Dubosc-Leontine Dubuisson","C2M","130.91","540.03","498.14",""
"Bertrand Avril-Chloe Gatuingt","C2M","131.28","418.77","502.23",""
"Yuna Pernet-Mathis Perreau","C2M","141.94","-","620.04",""
"Geoffroy Lauth-Rachel Broin","C2M","144.45","676.49","647.79",""
"Alina Rassel-Yohan Marck","C2M","147.57","728.14","682.27",""
"Anne Lambert-Louison Laumondais","C2M","152.83","698.7","740.4",""
"Amael Samson-Melina Letellier","C2M","158.21","-","799.87",""
"Damien Jacques-Laetitia Pelcat","C2M","206.6","-","1334.7",""
"Alban Andrieu-Eloise Riviere","C2M","237.03","-","1671.02",""
"Henri Loisel-Agathe Allaire","C2M","361.37","-","3045.29",""
"Marion Matura-Pierre Sotto","C2M","399.09","-","3462.18",""
"Tom Armand-Anna Dufay Leneveu","C2M","440.83","-","3923.51",""
"Lison Gautrelet-Dimitri Houlier","C2MM","178.56","-","1024.79",""
"Dorine Mouillard-Clement Hamel","C2MM","245.04","-","1759.55",""
"Benjamin Georgin-Albertine Binard","C2MM","268.81","-","2022.27",""
"Camille Andrieux","K1D","108.39","258.71","323.45",""
"Adele Charlaigre","K1D","112.38","304.13","370.28",""
"Leontine Dubuisson","K1D","116.31","381.13","416.4",""
"Chloe Gatuingt","K1D","117.02","345.34","424.75",""
"Melina Letellier","K1D","117.42","470.17","429.44",""
"Alina Rassel","K1D","117.81","315.74","434.02",""
"Sophie Dupas","K1D","119.38","407.5","452.44",""
"Alize Bachelot","K1D","126.42","456.22","535.07",""
"Manon Zanelli","K1D","126.77","534.94","539.18",""
"Lea Lauer","K1D","127.69","568.72","549.97",""
"Anne Lambert","K1D","133.79","568.61","621.57",""
"Catherine Boulan","K1D","135.55","535.57","642.23",""
"Eloise Riviere","K1D","136.37","1414.59","651.85",""
"Theodora Seemann","K1D","139.13","717.84","684.25",""
"Elise Sergio","K1D","139.36","-","686.94",""
"Angelique Leleu","K1D","141.25","-","709.13",""
"Yuna Pernet","K1D","141.74","1289.97","714.89",""
"Camille De Araujo","K1D","141.93","-","717.11",""
"Lea Kieffer","K1D","142.44","643.13","723.1",""
"Axelle Nowak","K1D","153.07","-","847.86",""
"Lisa Bou…","K1D","158.96","-","917",""
"Daphnee Mouchelet","K1D","159.05","835.26","918.05",""
"Lucie Coutant","K1D","165.18","-","990",""
"Mathilde Herbini»re","K1D","174.36","1280.51","1097.75",""
"Evelyne Lambert","K1D","199.35","-","1391.06",""
"Lucille Rachinel","K1D","494.2","-","4851.74",""
"Anna Dufay Leneveu","K1D","Des","-","-",""
"Lison Gautrelet","K1DM","130.21","-","579.55",""
"Elise Weilbach","K1DM","133.43","-","617.35",""
"Margaux Fabijan","K1DM","135.75","-","644.58",""
"Manon Le Lay","K1DM","136.27","-","650.68",""
"Mylene Despres","K1DM","138.69","-","679.09",""
"Emma Leroux","K1DM","142.58","-","724.74",""
"Zoe Waeles","K1DM","145.35","-","757.25",""
"Gabrielle Kugler","K1DM","146.84","-","774.74",""
"Julianne Brosse","K1DM","148.28","-","791.64",""
"Elza Horlock","K1DM","176.24","-","1119.82",""
"Marine Calenda","K1DM","203.92","-","1444.69",""
"Albertine Binard","K1DM","236.85","-","1831.2",""
"Solene Le Roux","K1DM","255.09","-","2045.28",""
"Marthe Bechet","K1DM","297.83","-","2546.92",""
"Benoit Letellier","K1H","86.92","185.79","204.08",""
"Anthony Thuillier","K1H","88.39","184.2","223.57",""
"Xavier Jourdain","K1H","89.28","164.77","235.38",""
"Romain Bertrand","K1H","90.85","226.7","256.2",""
"Mehdi Rouich","K1H","93.1","154.77","286.04",""
"Simon Dubosc","K1H","94.17","286.33","300.23",""
"Yohan Marck","K1H","95.7","249.3","320.53",""
"Bertrand Avril","K1H","96.43","286.62","330.21",""
"Lucas Jacob","K1H","96.78","309.58","334.85",""
"Julien Fougeron","K1H","96.9","328.51","336.44",""
"Nicolas Candieu","K1H","98.89","358.85","362.83",""
"Guillaume Doutreix","K1H","98.99","321.6","364.16",""
"Jean Aussant","K1H","100.47","326.92","383.79",""
"Louis Bouclier","K1H","100.76","-","387.64",""
"Louis Debureaux","K1H","100.85","439.09","388.83",""
"Enzo Cozette","K1H","101.11","403.04","392.28",""
"Simon Boulan","K1H","101.42","297.74","396.39",""
"Mathieu Godin","K1H","101.58","370.54","398.51",""
"Clement Font-boinel","K1H","101.9","359.21","402.76",""
"Leo Degraeve","K1H","102.47","-","410.32",""
"Fabien Beaudoin","K1H","102.48","-","410.45",""
"Edouard Gracias","K1H","102.51","315.97","410.85",""
"Isidore Dubuisson","K1H","102.89","401.08","415.89",""
"Eloi Seemann","K1H","102.91","-","416.15",""
"Romain Bouillon","K1H","103.03","410.02","417.74",""
"Jeremy Huguenin","K1H","103.63","370.18","425.7",""
"Nicolas Dupres","K1H","104.03","428.22","431.01",""
"Benoit Guernic","K1H","104.22","464.13","433.53",""
"Samuel Lhote","K1H","105.88","464.51","455.54",""
"Gaspard Perrio","K1H","105.95","-","456.47",""
"Quentin Angot","K1H","106.29","428.99","460.98",""
"Antoine Martin","K1H","106.78","427.56","467.48",""
"Kevin Tanay","K1H","107.05","513.5","471.06",""
"Theo Loury","K1H","107.09","460.65","471.59",""
"Alan Le Goff","K1H","107.17","-","472.65",""
"Mickael Louchard","K1H","107.18","395.9","472.78",""
"Jeremy Bretteville","K1H","107.32","401.17","474.64",""
"Charles Bre","K1H","107.46","-","476.5",""
"Valentin Fleury","K1H","107.71","451.59","479.81",""
"Jeansebastien Simonklein","K1H","108.4","-","488.97",""
"Lucas Walbreq","K1H","108.61","503.16","491.75",""
"Niels Beaumont","K1H","109.26","431.37","500.37",""
"Leo Demazeau","K1H","109.31","440.36","501.03",""
"Baptiste Brunet","K1H","109.44","346.93","502.76",""
"Elie Scaglia Mennesson","K1H","109.71","619.8","506.34",""
"Maxime Savalle","K1H","110.33","645.39","514.56",""
"Romain Huguenin","K1H","110.42","324.76","515.76",""
"Paul Besnard","K1H","110.5","-","516.82",""
"Beranger Doulle","K1H","110.54","-","517.35",""
"Louison Laumondais","K1H","111.95","410.68","536.05",""
"Lucas Weilbach","K1H","112.38","866.35","541.75",""
"Hugo Lecomte","K1H","112.5","-","543.34",""
"Alban Morel","K1H","113.08","-","551.04",""
"Neel Coeuret","K1H","113.47","-","556.21",""
"Theo Viallard","K1H","113.95","-","562.57",""
"Alexandre Ponnelle","K1H","114.82","540.81","574.11",""
"Amael Samson","K1H","115.22","515.82","579.42",""
"Mathieu Aussant","K1H","116.03","660.12","590.16",""
"Jeanchristophe Laroque","K1H","116.81","449.3","600.51",""
"Jean-francois Dulouard","K1H","117.24","592.57","606.21",""
"Basile Guerrapin","K1H","118.93","541.24","628.62",""
"Sebastien Masseline","K1H","118.97","660.84","629.15",""
"Thomas Martinet","K1H","119.09","497.41","630.75",""
"Mathieu Cruard","K1H","119.31","562.47","633.66",""
"Olivier Dulouard","K1H","119.64","-","638.04",""
"Theo Lecointe","K1H","120","471.85","642.82",""
"Pablo Ramirez","K1H","120.02","560.1","643.08",""
"Philippe Piat","K1H","120.75","483.17","652.76",""
"Damien Jacques","K1H","121.56","542.37","663.51",""
"Baptiste Le Cocq","K1H","123.17","572.4","684.86",""
"Louis Prezeau","K1H","123.94","539.29","695.07",""
"Yann Castryck- -genereux","K1H","124.71","-","705.28",""
"Teddy Poulard","K1H","124.84","424.45","707.01",""
"Augustin Renard","K1H","126.42","733.14","727.96",""
"Alberic Carpentier","K1H","127.54","706.99","742.82",""
"Thibaud Collaert","K1H","127.74","-","745.47",""
"Kevin Langlois","K1H","127.76","830.97","745.74",""
"Lilian Lepenant","K1H","128.78","572.56","759.26",""
"Jerome Bourlet","K1H","128.81","821.05","759.66",""
"Marc-olivier Allaria","K1H","132.77","-","812.18",""
"Elie Gerault","K1H","133.11","-","816.69",""
"Roman Vivier","K1H","134.01","795.4","828.63",""
"Nathan Saintobert","K1H","135.84","-","852.9",""
"Adam El Manouzi","K1H","136.42","1049.18","860.59",""
"Jean Paul Helluin","K1H","138.57","-","889.11",""
"Yves Boudon","K1H","140.06","678.55","908.87",""
"Gregoire Paillard","K1H","143.64","682.41","956.35",""
"Denis Marrocos","K1H","146.56","-","995.08",""
"Dante Bourlet De La Vallee","K1H","151.31","1685.59","1058.08",""
"Melvin Queudeville","K1H","155.4","487.59","1112.32",""
"Titouan Guillot","K1H","162.31","-","1203.97",""
"Tom Armand","K1H","162.97","-","1212.72",""
"Theo Griffit","K1H","179.19","-","1427.85",""
"Killian Errot","K1H","180.53","-","1445.62",""
"Maxime Langlais","K1H","191.56","690.92","1591.91",""
"R…mi Simon","K1H","204.16","-","1759.02",""
"Benjamin Meziere","K1H","262.51","-","2532.92",""
"Leo Trudel","K1H","302.28","-","3060.38",""
"Henri Loisel","K1H","307.39","-","3128.16",""
"Ludovic Ngo","K1H","Abs","-","-",""
"Th…o Laroque","K1H","Abs","-","-",""
"Axel Manach","K1H","Abs","-","-",""
"Axel Kottelanne","K1H","Abs","-","-",""
"Marvin Lescourant","K1H","Abs","-","-",""
"Thomas Gossieaux","K1H","Des","-","-",""
"Nathan Boudaillez","K1H","Abs","-","-",""
"Loœc Pottier","K1HM","110.27","-","513.77",""
"Noe Perreau","K1HM","110.32","-","514.43",""
"Hugo Lecointe","K1HM","118.17","-","618.54",""
"Fabien Bonvalet","K1HM","120.42","-","648.39",""
"Clement Hamel","K1HM","123.16","-","684.73",""
"Estephe Decarsin","K1HM","123.25","-","685.92",""
"Hugo Baillet","K1HM","127.98","-","748.65",""
"Dimitri Houlier","K1HM","131.69","-","797.86",""
"Lenny Touati","K1HM","132.51","-","808.73",""
"Teo Durand","K1HM","134.13","-","830.22",""
"Thibaut Evrard","K1HM","135.04","-","842.29",""
"Benjamin Georgin","K1HM","135.49","-","848.26",""
"Mathis Andrieu","K1HM","140.8","-","918.68",""
"Alexandre Thomas","K1HM","141.31","-","925.45",""
"Matthis Leroux","K1HM","146.8","-","998.26",""
"Mathias Felix","K1HM","147.01","-","1001.05",""
"Leo Leveque","K1HM","154.47","-","1099.99",""
"Matteo Figueiredo Alves","K1HM","155.14","-","1108.87",""
"Loan Guyomarch","K1HM","160.93","-","1185.67",""
"Jason Leroy","K1HM","171.19","-","1321.75",""
"Thomas Leblond","K1HM","173.12","-","1347.34",""
"T…o Capdeville","K1HM","174.23","-","1362.06",""
"Maxence Galy","K1HM","176.31","-","1389.65",""
"Mathis Pomares","K1HM","196.89","-","1662.6",""
"Lucas Leseur","K1HM","216.89","-","1927.86",""
"Elies Elmoataz Billah","K1HM","218.5","-","1949.21",""
"Thomas Brunet","K1HM","272.7","-","2668.07",""
"Lucas Ferloni","K1HM","306.82","-","3120.6",""
"Mathias Vautier","K1HM","Abs","-","-",""
