"Nationale 3 - Asfeld - 2012-05-13","Course 3","2012-05-13","Nationale 3","190"
"Olivier Dulouard","K1H","115.12","263.77","255.37",""
"Philippe Valeri","K1H","115.14","263.08","255.59",""
"Jerome Urbanczyk","K1H","115.25","302.28","256.79",""
"Jeremy Grippon","K1H","115.59","294.98","260.51",""
"Louis Vandeville","K1H","116.03","284.19","265.31",""
"Josselin Laurain","K1H","116.33","275.87","268.59",""
"Nathan Aubert","K1H","116.46","338.13","270.01",""
"Guillaume Cochut","K1H","117.16","292.81","277.66",""
"Thibault Joncret","K1H","117.74","239.85","283.99",""
"Etienne Rougier","K1H","119.14","296.35","299.28",""
"Adrien Barlier","K1H","119.51","339.87","303.32",""
"Jerome Mailfait","K1H","119.98","324.91","308.46",""
"Benjamin Fourmet","K1H","121.01","324.52","319.71",""
"Clement Bekaert","K1H","121.52","403.54","325.28",""
"Gerard Lafargue","K1H","123.74","328.97","349.52",""
"Aymeric Dollat","K1H","123.96","343.34","351.93",""
"Pierre Ferrand","K1H","125.58","426.21","369.62",""
"Theo Zilber","K1H","125.85","451.47","372.57",""
"Alexy Wengler","K1H","126.2","375.79","376.39",""
"Guillaume Lourette","K1H","127.63","341.31","392.01",""
"Arthur Barrachin","K1H","128.77","442.43","404.46",""
"Samuel Bonvalet","K1H","131.39","418.21","433.08",""
"Johann Sacleux","K1H","131.92","395.35","438.87",""
"Sergepatrick Viseur","K1H","133.8","456.38","459.4",""
"Yves Lecointe","K1H","135.51","213.27","478.08",""
"Andreas Pintaux","K1H","140.76","504.85","535.42",""
"Pierre Emmanuel Ravet","K1H","149.99","503.21","636.23",""
"Jean-francois Dulouard","K1H","154.73","639.8","688",""
"Lucas Richard","K1H","162.69","595.08","774.94",""
"Mickael Dubois","K1H","170.67","379.7","862.1",""
"Gaspard Gindt","K1H","Nt","-","-",""
"Amaury Vielliard","K1H","Nt","-","-",""
"Maxime Cousin","K1H","Nt","-","-",""
"Erwan Chevalier","K1H","Nt","-","-",""
"Aubin Decambron","K1H","Nt","-","-",""
"Mederic Larrive","K1H","Nt","-","-",""
"Julien Fougeron","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Batiste Morin","K1H","Nt","-","-",""
"Paul Beteille","K1H","Nt","-","-",""
"Jeremy Coiffeteau","K1H","Nt","-","-",""
