"5ème Manche Championnat de France N1 - Pau - Course de qualification - 2010-04-03","Course de qualification","2010-04-03","Nationale 1","125"
"Julien Dekarczyk","K1H","97.36","13","29",""
"Benoit Guillaume","K1H","97.36","14","29",""
"Jules Bevalot","K1H","97.42","30","29",""
"Yoann Hautecloche","K1H","97.54","44","30",""
"Jonathan Delagnes","K1H","97.64","48","30",""
"Yann Le Govic","K1H","97.8","40","31",""
"Benoit Molinier","K1H","97.81","29","31",""
"Quentin Burgi","K1H","97.81","17","31",""
"Aurelien Maynadier","K1H","98.3","23","32",""
"Nicolas Labat","K1H","98.33","31","32",""
"Oswald Besch","K1H","98.47","38","32",""
"Nicolas Veillard","K1H","98.7","25","33",""
"Pierre Bourliaud","K1H","99.08","12","34",""
"Julien Haberland","K1H","99.23","36","35",""
"Hugo Cailhol","K1H","99.64","27","36",""
"Louis Georges Lafont","K1H","100.15","31","38",""
"Mathieu Biazizzo","K1H","100.3","41","38",""
"Goulwen Chapelier","K1H","100.56","41","39",""
"Loris Minvielle","K1H","100.81","46","40",""
"Arnaud Lapeze","K1H","101.42","25","42",""
"Andy Pajani","K1H","101.44","35","42",""
"Christophe Marechal","K1H","101.67","44","42",""
"Jeremy Cremonesi","K1H","101.77","41","43",""
"Samuel Lhegu","K1H","101.97","54","44",""
"Guillaume Bandelier","K1H","103.7","46","49",""
"Yann Gudefin","K1H","104.93","23","53",""
"Alexis Caspar","K1H","105.05","37","53",""
"Vincent Reiter","K1H","106.41","53","57",""
"Louis Philippe Rigal","K1H","110.26","50","70",""
"Johan De Mareuil","K1H","117.99","32","94",""
"Benjamin Buys","K1H","144.93","1","179",""
"Enrick Cunsolo","K1H","145.95","41","182",""
"Ronan Lucas","K1H","146.81","37","185",""
"Florian Berail","K1H","149.59","25","194",""
"Pierre Marie Roussel","K1H","157.69","25","219",""
