"Séletif National 3 Slalom Sud - Vinon Sur Verdon - Finale - 2015-05-17","Finale","2015-05-17","Nationale 3","112"
"Louis Foissac","K1H","116.64","465.51","515.07","Finale A"
"Florent Iraundegui","K1H","116.66","261.91","515.32","Finale A"
"Ronan Cordier","K1H","121.44","354.56","576.14","Finale A"
"Thomas Courtois","K1H","127.07","457.9","647.77","Finale A"
"Hippolyte Cail","K1H","147.81","208.62","911.65","Finale A"
"Julie Paris","C1D","218.44","450.42","1352.06","Finale B"
"Etienne Klatt","C1H","116.2","401.74","444.08","Finale B"
"Thomas Thieblemont","C1H","119.8","518.21","487.69","Finale B"
"Hippolyte Cail","C1H","123.85","451.63","536.76","Finale B"
"Lucas Di Martino","C1H","124.65","369.79","546.46","Finale B"
"Kawan Thomas","C1H","131.6","655.42","630.67","Finale B"
"Luc Sarramea","C1H","147.35","436.29","821.52","Finale B"
"Aliona Baudy","K1D","147.26","696.23","694.11","Finale B"
"Celine De La Morinerie","K1D","147.85","436.42","700.75","Finale B"
"Axelle Degremont","K1D","148.65","368.32","709.76","Finale B"
"Helene Merlet","K1D","162.59","444.9","866.71","Finale B"
"Cleo Santini","K1D","165.56","757.38","900.14","Finale B"
"Clea Tasserit","K1D","207.83","541.27","1376.07","Finale B"
"Clarisse Hoogland","K1D","233.16","669.68","1661.27","Finale B"
"Jeanne Pecot","K1D","253.89","497.76","1894.67","Finale B"
"Julie Paris","K1D","Des","-","-","Finale B"
"Thomas Thieblemont","K1H","100.64","317.7","316.5","Finale B"
"Fabien Leist","K1H","103.18","376.24","348.82","Finale B"
"Edouard Lecomte","K1H","105.91","276.54","383.55","Finale B"
"Flavien San Augustin","K1H","105.94","285.79","383.93","Finale B"
"Dimitri Thauvin","K1H","106.7","344.54","393.6","Finale B"
"Paul Roubaud","K1H","109.01","441.29","422.99","Finale B"
"Jules Cresp","K1H","110.35","351.36","440.04","Finale B"
"Nayl Tazi-sidqui","K1H","110.58","443.66","442.97","Finale B"
"Marc Scognamiglio","K1H","111.07","448.86","449.2","Finale B"
"Theo Ducasse","K1H","113.99","393.38","486.35","Finale B"
"Louis Scalbert","K1H","114.12","487.34","488.01","Finale B"
"Lucas Ferro","K1H","115.69","573.84","507.98","Finale B"
"Lorenzo Py","K1H","116.85","347.86","522.74","Finale B"
"Alan Bellot","K1H","116.92","527.66","523.63","Finale B"
"Valentin Affortit","K1H","117.47","526.9","530.63","Finale B"
"Gilles Lovera","K1H","118.75","494.06","546.91","Finale B"
"Anton Gille","K1H","119.23","588.38","553.02","Finale B"
"Alexandre Rozand","K1H","119.72","650.51","559.26","Finale B"
"Hugo Polard","K1H","120.12","514.62","564.35","Finale B"
"Valentin Parasme","K1H","121.67","469.72","584.07","Finale B"
"Enzo Briffa","K1H","121.73","679.15","584.83","Finale B"
"Dominique Polard","K1H","121.9","552.35","586.99","Finale B"
"Valentin Bonnot","K1H","123.19","382.67","603.41","Finale B"
"Gregoire Michel","K1H","126.84","662.16","649.84","Finale B"
"Hugo Avril","K1H","127.06","639.78","652.64","Finale B"
"Yann Tabone","K1H","129.24","472.97","680.38","Finale B"
"Loup Fauries","K1H","130.51","391.52","696.54","Finale B"
"Seraphin Margot","K1H","131.67","557.66","711.3","Finale B"
"RomÉo Bex","K1H","132.06","793.49","716.26","Finale B"
"Paul Lebrasseur","K1H","132.78","684.27","725.42","Finale B"
"Pierre Courtois","K1H","134.63","596.59","748.96","Finale B"
"Romain Berthon","K1H","136","631.01","766.39","Finale B"
"Marceau Hugues","K1H","144.8","635.08","878.35","Finale B"
"Paul Badache","K1H","162.99","659.15","1109.78","Finale B"
"Luca Barone","K1H","171.19","621.8","1214.11","Finale B"
"Gael Villar","K1H","179.44","637.09","1319.07","Finale B"
