"CHAMPIONNAT DE BRETAGNE - St Brieuc - 2007-01-21","Course 1","2007-01-21","Régional","193"
"Alexis Lotton","K1H","303.06","489","703",""
"Nedelec Boris","K1H","305.26","-","715",""
"Louis Guillot","K1H","307.70","-","729",""
"Charles Gudemard","K1H","307.71","-","729",""
"Thibaud Couetil","K1H","307.72","885","730",""
"Guirec Le Guen","K1H","310.63","500","747",""
"Goulven Le Bigot","K1H","320.00","-","802",""
"Julien Douais","K1H","325.39","479","833",""
"Victor Azam","K1H","326.31","808","838",""
"Alexandre Rivolet","K1H","338.09","445","908",""
"Renan Le Caro","K1H","346.72","-","959",""
"Perrot Vincent","K1H","363.27","575","1055",""
"Clement Tanguy","K1H","368.52","626","1086",""
"Wilfried Harduin","K1H","377.50","-","1139",""
"Thomas Richer","K1H","399.08","-","1266",""
"Pedron Thomas","K1H","429.84","-","1446",""
"Lepesteur Antony","K1H","532.01","-","2044",""
