"Séletif National 3 Slalom Est - Epinal - Finale - 2015-04-09","Finale","2015-04-09","Nationale 3","171"
"Jeremy Boisgibault","K1H","107.79","280.64","327.53","Finale A"
"Loic Thielen","K1H","108.51","323.39","336.06","Finale A"
"Yann Becker","K1H","108.94","323.62","341.16","Finale A"
"Christophe Siffert","K1H","110.51","299.58","359.76","Finale A"
"Antoine Saul","K1H","111.02","336.48","365.81","Finale A"
"Olivier Hardonniere","K1H","111.14","301.31","367.23","Finale A"
"Guillaume Armbruster","K1H","111.17","331.13","367.59","Finale A"
"Christophe Billaud","K1H","111.45","311.45","370.91","Finale A"
"Maxime Gaillard","K1H","112.08","318.62","378.37","Finale A"
"Olivier Urbain","K1H","112.12","288.06","378.85","Finale A"
"Vincent Morabito","K1H","112.36","259.79","381.69","Finale A"
"Marcantoine Hacquart","K1H","112.36","-","381.69","Finale A"
"Damien Burteaux","K1H","112.45","374.58","382.76","Finale A"
"Patrice Campioni","K1H","112.59","281.46","384.42","Finale A"
"Alain Ferry","K1H","113.19","279.22","391.53","Finale A"
"Pierre Grapotte","K1H","114.08","360.94","402.08","Finale A"
"Victorien Lombard","K1H","114.36","384.11","405.39","Finale A"
"Victor Beau","K1H","114.85","363.35","411.2","Finale A"
"Raphael Olla","K1H","115.07","397.16","413.81","Finale A"
"Eddy Cassard","K1H","115.8","358.7","422.46","Finale A"
"Louis Pein","K1H","116.09","444.45","425.9","Finale A"
"Patrick Gass","K1H","117.6","392.37","443.79","Finale A"
"Benjamin Dodane","K1H","118.2","357.78","450.91","Finale A"
"Sebastien Routhier","K1H","118.31","408.98","452.21","Finale A"
"Florent Tamburini","K1H","119.89","390.04","470.94","Finale A"
"Jules Bernardet","K1H","120.56","329.49","478.88","Finale A"
"Philippe Thevenin","K1H","121.43","395.1","489.19","Finale A"
"Jean Philippe Roche","K1H","121.92","339.39","495","Finale A"
"Antoine Monternier","K1H","124.45","447.9","524.98","Finale A"
"Thomas Denais","K1H","124.66","279.2","527.47","Finale A"
"Thomas Stutzmann","K1H","127.33","366.27","559.11","Finale A"
"Vincent Herrenberger","K1H","129.76","367.82","587.92","Finale A"
"Esteban Le Coz","K1H","130.93","369.5","601.78","Finale A"
"Jan Rohrer","K1H","176.67","474.96","1143.89","Finale A"
"Athenais Reby","C1D","149.86","442.35","535.11","Finale B"
"Alexane Galmiche","C1D","151.54","574.56","551.71","Finale B"
"Marine Constant-haldric","C1D","171.71","415.08","750.93","Finale B"
"Coline Bertin","C1D","178.67","727.12","819.67","Finale B"
"Maude Dominique","C1D","242.69","760.75","1451.97","Finale B"
"Celia Grandadam","C1D","259.79","621.42","1620.86","Finale B"
"Marcantoine Hacquart","C1H","111.87","318.38","317.75","Finale B"
"Erwan Rouch","C1H","129.19","621.16","513.25","Finale B"
"Johan De Mareuil","C1H","130.68","598.01","530.06","Finale B"
"Antonin Dreit","C1H","130.71","480.49","530.41","Finale B"
"Pierre Grapotte","C1H","133.47","446.86","561.55","Finale B"
"Lucas Galmiche","C1H","133.84","691.5","565.74","Finale B"
"Thomas Denais","C1H","136.32","543.6","593.73","Finale B"
"Xavier Richard","C1H","154.94","737.1","803.9","Finale B"
"Jean Philippe Roche","C1H","158.27","598.39","841.49","Finale B"
"Victor Beau","C1H","159.26","572.32","852.66","Finale B"
"Robin Pottelette","C1H","159.53","642.82","855.71","Finale B"
"Paul Gaillard","C1H","169.02","553.43","962.83","Finale B"
"Olivier Urbain","C1H","216.46","364.76","1498.31","Finale B"
"Anthony Rouhier","C1H","220.2","963.51","1540.53","Finale B"
"Charles Fernandes De Oliveira","C1H","286.43","655.58","2288.11","Finale B"
"Bastien Caillet","C1H","436.47","621.67","3981.71","Finale B"
"Hugo Latimier-Eludes Houillon","C2H","134.16","520.79","500.52","Finale B"
"Philippe Senechal-Xavier Rat","C2H","151.08","469.34","682.81","Finale B"
"Louis Pein-Samuel Gerard","C2H","202.49","777.08","1236.74","Finale B"
"Carla Cerrutti - Bozzola","K1D","144.39","413.54","569.44","Finale B"
"Alice Evlachev","K1D","144.59","496.86","571.53","Finale B"
"Clara Trenchant","K1D","146.8","506.33","594.7","Finale B"
"Julia Budzinski","K1D","148.16","701.31","608.97","Finale B"
"Clotilde Lecoester","K1D","156.55","677.92","696.98","Finale B"
"Emma Vaubourg","K1D","158.73","796.86","719.84","Finale B"
"Laurie Bolle - Reddat","K1D","159.94","431.36","732.53","Finale B"
"Maeva Auriol","K1D","167.68","462.48","813.71","Finale B"
"Maude Dominique","K1D","176.13","651.39","902.34","Finale B"
"Orlane Gauchet","K1D","341.98","576.36","2641.85","Finale B"
"Emilie Armani","K1D","511.71","760.86","4422.07","Finale B"
"Fiona Gille","K1D","Des","-","-","Finale B"
"Estelle Mayer","K1D","Des","-","-","Finale B"
"Adelin Constans","K1H","112.09","338.54","383.49","Finale B"
"Benjamin Hene","K1H","113.04","484.02","394.75","Finale B"
"Adrien Kaiser","K1H","114.87","437.32","416.44","Finale B"
"Guillaume Goury","K1H","116.08","515.71","430.78","Finale B"
"Dyclan Plessis","K1H","116.36","469.52","434.1","Finale B"
"Xavier Rat","K1H","116.61","393.53","437.06","Finale B"
"Leo Peter","K1H","117.65","529.7","449.39","Finale B"
"Jorg Blees","K1H","117.81","321.89","451.28","Finale B"
"Jules Marchal","K1H","119.64","428.94","472.97","Finale B"
"Damien Siegfried","K1H","119.65","394.33","473.09","Finale B"
"Yanis Delacour","K1H","122.26","491.69","504.03","Finale B"
"Lucas Barriere","K1H","122.3","354.51","504.5","Finale B"
"Julian Guglielmo","K1H","122.58","607.38","507.82","Finale B"
"Julien Petit-maire","K1H","122.89","394.58","511.49","Finale B"
"Anthony Rouhier","K1H","123.54","560.71","519.2","Finale B"
"Louis Burignat","K1H","123.57","376.27","519.55","Finale B"
"Xavier Richard","K1H","124.28","442.55","527.97","Finale B"
"Romain Gayral","K1H","124.77","475.21","533.77","Finale B"
"Samuel Gerard","K1H","128.26","577.21","575.14","Finale B"
"Frederic Caillet","K1H","128.53","531.69","578.34","Finale B"
"Jean Guyot","K1H","129.4","404.99","588.65","Finale B"
"Tristan Le Merour","K1H","129.61","446.03","591.14","Finale B"
"Jules Andrien","K1H","130.37","797.81","600.14","Finale B"
"Paul Gaillard","K1H","131.97","501.01","619.11","Finale B"
"Alexandre Kern","K1H","133.04","541.59","631.79","Finale B"
"Emerick Billon","K1H","133.95","367.94","642.57","Finale B"
"Paul Aubertin","K1H","134.64","579.85","650.75","Finale B"
"Titouan Riviere","K1H","134.9","578.04","653.83","Finale B"
"Antonin Dreit","K1H","135.31","516.61","658.69","Finale B"
"Antoine Loppion","K1H","135.64","565.8","662.6","Finale B"
"Lucas Heit","K1H","135.82","854.16","664.74","Finale B"
"Erwan Degreve","K1H","137.11","541.17","680.03","Finale B"
"Hugo Gondeaux","K1H","138.87","562.03","700.89","Finale B"
"Luka Simeant Esprit","K1H","139.75","583.96","711.32","Finale B"
"Bastien Caillet","K1H","139.95","583.39","713.69","Finale B"
"Florian Herrenberger","K1H","140.33","633.19","718.19","Finale B"
"Patrick Thevenin","K1H","144.15","541.26","763.47","Finale B"
"Alexis Pacholak","K1H","144.57","623.98","768.44","Finale B"
"Ulysse Studer","K1H","148.02","618.58","809.33","Finale B"
"Alexandre Lambert","K1H","161.83","571.31","973.01","Finale B"
"Yann Leruste","K1H","169.53","594.23","1064.27","Finale B"
"Vincent Chamois","K1H","173.06","751.99","1106.11","Finale B"
"Louis Collin","K1H","176.4","634.02","1145.69","Finale B"
"David Pierson","K1H","181.66","486.93","1208.03","Finale B"
"Andre Kempf","K1H","195.89","667.65","1376.69","Finale B"
"Yann Zaepffel","K1H","Abs","-","-","Finale B"
"Augustin Jaujay","K1H","Des","-","-","Finale B"
"Stephane Gacoin","K1H","Des","-","-","Finale B"
