"Sélectif Régional Slalom (Double) - 37250 Veigne - Course n°2 | Qualification - 2019-11-17","Course n°2 | Qualification","2019-11-17","Régional","105"
"Bruno Louviot","K1H","149.96","840.59","868.02",""
"Eric Pouradier","K1H","153.28","782.65","907.88",""
"Nolann Maudet","K1H","155.41","785.94","933.46",""
"Yann Dhieux","K1H","159.65","649.94","984.37",""
"Evan Tuybens","K1H","161.13","1641.18","1002.14",""
"Cyriaque Sorin","K1H","166.28","834.63","1063.98",""
"Lucas Pagnard - Tissier","K1H","169.86","713.89","1106.97",""
"Paul Tallet Pinet","K1H","190.84","523.8","1358.89",""
"Enzo Tisset","K1H","199.55","1276.65","1463.48",""
"Thibault Wurceldorf","K1H","291.54","1195.73","2568.05",""
"Pierre Lijour","K1H","Abs","-","-",""
"Antoine Marion","K1H","Abs","-","-",""
"Paul Hosten","K1H","Abs","-","-",""
"Florent Bouderlique","K1H","Abs","-","-",""
"Christophe Marechal","K1H","Abs","-","-",""
"Thibaud Lacour","K1H","Abs","-","-",""
"Jerome Talbot","K1H","Abs","-","-",""
"Maxime Moreau","K1HM","115.2","753","450.63",""
"ClÉment Louveau","K1HM","127.84","469.73","602.41",""
"Theodore Favreau","K1HM","129.96","645.56","627.87",""
"Robin Le Fellic","K1HM","136.11","675.6","701.71",""
"Leo Bonsens","K1HM","144.38","607.54","801.02",""
"Marius Larenaudie-danton","K1HM","144.66","618.64","804.38",""
"Theo Dedieu","K1HM","171.07","1323.93","1121.5",""
"Thomas Sudron","K1HM","Abs","-","-",""
"Landry De La Motte","K1HM","Abd","-","-",""
