"Championnat régional de slalom - Cergy-Neuville - 2005-04-03","Course 1","2005-04-03","Régional","152"
"Terryn Gilles","K1H","209.22","368","352",""
"Averlant Alexis","K1H","211.45","406","367",""
"Nicolas Dupres","K1H","212.55","309","375",""
"Eric Marmet","K1H","212.98","341","377",""
"Philippe Valeri","K1H","213.78","328","383",""
"Mickael Louchard","K1H","214.25","232","386",""
"Tourte Etienne","K1H","216.98","398","405",""
"Bensabeur Frederic","K1H","219.78","316","424",""
"Thomas Monvoisin","K1H","223.22","472","447",""
"Jolivet Pierre","K1H","223.22","459","447",""
"Chanu Cedric","K1H","223.87","-","452",""
"Drisch Nicolas","K1H","224.16","411","454",""
"Kermer Serge","K1H","225.75","-","465",""
"Desemerie Thomas","K1H","228.40","706","483",""
"Barnavon Guillaume","K1H","231.63","450","505",""
"Benjamin Defrocourt","K1H","231.71","469","506",""
"Lejeune Olivier","K1H","232.78","-","513",""
"Remy Daumont","K1H","232.99","512","515",""
"Eric Lamour","K1H","233.72","436","519",""
"Marquer Tanguy","K1H","235.73","541","534",""
"Coudiere Sebastien","K1H","237.39","608","545",""
"Michel Gombert","K1H","238.35","170","551",""
"Van Poucke Mathieu","K1H","238.90","477","555",""
"Barnavon Nicolas","K1H","242.95","440","582",""
"Julien Darees","K1H","254.32","305","660",""
"Gerard Lafargue","K1H","257.39","356","681",""
"Di Majo Romain","K1H","262.78","324","718",""
"Depreck Josselin","K1H","272.83","558","786",""
"Brustiec Jerom","K1H","273.14","399","789",""
"Viratelle Vincent","K1H","285.72","359","875",""
"Adel Faycal","K1H","292.11","769","918",""
"Blondeau Julien","K1H","321.32","382","1118",""
"Renard Guillaume","K1H","332.50","902","1195",""
"Nicolas Girault","K1H","339.22","599","1241",""
"Behar Vincent","K1H","348.06","-","1301",""
"Guyomard Julien","K1H","353.14","364","1337",""
"Fontaine Vincent","K1H","364.80","367","1415",""
"Camille Mege","K1H","374.30","638","1481",""
"Gilles Lucas","K1H","408.63","449","1716",""
"Ferlin Berenger","K1H","495.38","632","2309",""
"Spark Alistair","K1H","510.38","-","2412",""
