"Compétition Régionale de Slalom - 49300 Cholet - Finale - 2019-10-06","Finale","2019-10-06","Régional","85"
"Max Derame","K1H","89.33","275.09","328.15","Finale A"
"Denis Guilmard","K1H","90.18","329.01","340.52","Finale A"
"Maxence Davy","K1H","90.44","290.31","344.31","Finale A"
"GaËtan De Greef","K1H","90.54","236.01","345.76","Finale A"
"Richard Davy","K1H","91.99","359.46","366.87","Finale A"
"Gregory Metayer","K1H","92.47","377.08","373.86","Finale A"
"Tom Marchand","K1H","92.87","370.06","379.68","Finale A"
"Romain Margerie","K1H","94.78","461.9","407.49","Finale A"
"Bastien Mailly","K1H","96.13","537.13","427.14","Finale A"
"Axel Brin","K1H","98.15","543.96","456.55","Finale A"
"Noe Caillet","K1H","99.75","588.49","479.84","Finale A"
"Erwan Desbordes","K1H","99.86","448.18","481.44","Finale A"
"Marwan Bazot","K1H","105.14","606.85","558.31","Finale A"
"Yoann Turowsky","K1H","155.86","611.27","1296.7","Finale A"
"ClÉment Louveau","K1HM","97.67","487.66","449.56","Finale A"
"Theodore Favreau","K1HM","101.49","758.59","505.17","Finale A"
"Matteo Weinegaessel","K1HM","105.27","942.91","560.2","Finale A"
"Yann Vergelin","K1HM","110.4","824.22","634.89","Finale A"
"Landry De La Motte","K1HM","111.72","849.62","654.1","Finale A"
"Alexandre Gillard","K1HM","133.47","892.83","970.74","Finale A"
"Yoann Brochard","K1HM","149.87","1176.92","1209.5","Finale A"
"Axel Brin","C1H","120.12","728.71","698.12","Finale B"
"Yoann Turowsky","C1H","124.7","820.84","761.62","Finale B"
"Quentin Monot","C1H","141.11","1015.37","989.14","Finale B"
"Nathan Andre","C1H","144","1792.8","1029.22","Finale B"
"Yann Vergelin-Arold Pietrain","C2H","199.42","-","1671.93","Finale B"
"Valentine Jussy","K1D","121.53","600.58","598.38","Finale B"
"Anna Gouraud","K1D","136.68","1134.12","793.56","Finale B"
"Zoe Marchand","K1D","150.48","938.06","971.35","Finale B"
"Gaston Guilmard","K1H","95.87","372.61","428.36","Finale B"
"Philippe Rocher","K1H","99.11","546.11","475.53","Finale B"
"Arold Pietrain","K1H","103.57","1425.03","540.45","Finale B"
"Alexis Daniel","K1H","107.07","967.77","591.41","Finale B"
"Olivier Brochard","K1H","107.13","582.99","592.28","Finale B"
"Nolann Maudet","K1H","110.07","798","635.08","Finale B"
"Emilien Gobin","K1H","112.37","1245.7","668.57","Finale B"
"Matheo Cailleau","K1H","116.62","954.64","730.44","Finale B"
"Pierre Paboeuf","K1H","116.88","1278.5","734.22","Finale B"
"Corentin Dobard","K1H","117.64","648.94","745.29","Finale B"
"Nathan Andre","K1H","118.2","2247.94","753.44","Finale B"
"Charly Maherault","K1H","121.1","865.64","795.66","Finale B"
"Steeve Protais","K1H","121.2","1240.23","797.12","Finale B"
"Cyriaque Sorin","K1H","121.78","834.63","805.56","Finale B"
"Leo Toublanc","K1H","127.71","945.57","891.89","Finale B"
"Quentin Monot","K1H","128.85","1881.58","908.49","Finale B"
"Maxime Boyeau","K1H","131.41","841.98","945.75","Finale B"
"Jules Houel","K1H","136.9","891.66","1025.68","Finale B"
"Alexandre Diot","K1H","139.38","1071.59","1061.78","Finale B"
"Corentin Bourneuf","K1H","189.63","934.2","1793.33","Finale B"
"Nicolas Girardeau","K1HM","128.48","2239.51","903.1","Finale B"
"Romain Lemoine","K1HM","176.39","2368.96","1600.58","Finale B"
"Timothee Coudiere","K1HM","275.97","1094.32","3050.28","Finale B"
"Noe De Rivals-mazeres","K1HM","Abs","-","-","Finale B"
