"Championnat de Lorraine Slalom - Epinal - 2006-04-09","Course 1","2006-04-09","Régional","169"
"Julie Mourot","K1D","305.11","773","543",""
"Maud Thisse","K1D","306.17","676","548",""
"Tralbaut Flor","K1D","306.79","420","551",""
"Madelaine Caroline","K1D","318.11","501","611",""
"Blanche Legin","K1D","322.03","648","631",""
"Julie Paoletti","K1D","324.58","386","644",""
"Carole Dolmaire","K1D","326.11","567","653",""
"Gerbaut Suzanne","K1D","326.98","597","657",""
"Sophie Balmossiere","K1D","337.45","597","712",""
"Marlene Dumoulin","K1D","342.17","575","737",""
"Stephanie Ansot","K1D","347.51","476","763",""
"Elodie Delavelle","K1D","355.51","465","805",""
"Courtet Apolline","K1D","381.62","528","941",""
"Wojcik Marina","K1D","425.00","710","1167",""
"Lauranne Bechereau","K1D","527.79","-","1704",""
"Johan De Mareuil","K1H","193.52","49","92",""
"Julien Arribe","K1H","193.81","49","95",""
"Renaud Doby","K1H","195.83","22","106",""
"Louis Philippe Rigal","K1H","197.41","119","115",""
"Lambert Guillaume","K1H","199.48","44","128",""
"Thomas Bersinger","K1H","200.29","108","132",""
"Andy Pajani","K1H","201.57","134","140",""
"Etienne Daille","K1H","202.17","119","143",""
"Pierre Pans","K1H","202.61","116","146",""
"De Berchen Sebastien","K1H","203.08","111","148",""
"Yann Gudefin","K1H","203.14","108","150",""
"Benjamin Buys","K1H","203.35","96","151",""
"Jean Charles Creusot Walter","K1H","204.94","68","160",""
"Kudla Romain","K1H","205.80","158","165",""
"Bazin Patryce","K1H","206.53","57","169",""
"Childeric Thoreau","K1H","207.55","142","175",""
"Ricci Miege Raphael","K1H","207.94","157","178",""
"Jerome Olhagaray","K1H","208.63","141","182",""
"Mehdi Amini","K1H","209.11","188","184",""
"Arthur Georges","K1H","209.51","149","186",""
"Hugo Hager","K1H","210.32","98","192",""
"Jeremiah Mosch","K1H","210.78","151","194",""
"Ronan Lucas","K1H","211.18","114","197",""
"Julien Bley","K1H","211.33","200","197",""
"Le Berte Maxime","K1H","212.27","231","203",""
"Bourgeois Cedric","K1H","214.09","137","214",""
"Maxime Faivre","K1H","214.20","231","214",""
"Mathieu Biazizzo","K1H","215.68","254","223",""
"Olivier Urbain","K1H","216.83","243","230",""
"Herve Delamarre","K1H","217.07","-","231",""
"Kevin Burgi","K1H","217.49","209","234",""
"Florent Tamburini","K1H","217.60","224","235",""
"Abadie Stephane","K1H","219.46","-","245",""
"Perrin Alexandre","K1H","219.76","209","248",""
"Jeremy Vibert","K1H","219.97","220","249",""
"Christophe Billaud","K1H","221.41","246","257",""
"Bertrand Gutierrez","K1H","222.80","326","265",""
"Beghoura Yoni","K1H","223.11","246","267",""
"Nicolas Mangeolle","K1H","223.61","231","270",""
"Romain Viry","K1H","223.99","337","272",""
"Gwendal Duchet","K1H","225.97","-","283",""
"Bajolet Julien","K1H","226.18","294","285",""
"Patrick Gass","K1H","226.99","341","290",""
"Domingo Benoit","K1H","227.46","320","293",""
"Remi Thomas","K1H","229.60","288","305",""
"Piermay Mathieu","K1H","229.95","266","307",""
"Damien Burteaux","K1H","230.12","310","308",""
"Alexis Caspar","K1H","231.85","307","319",""
"Sebastien Thevenin","K1H","233.52","361","328",""
"Hitou Sofiane","K1H","233.63","330","328",""
"Leclerc Jerome","K1H","235.11","372","337",""
"Stefan Stanik","K1H","235.31","258","339",""
"Nicolas Burgi","K1H","235.56","379","340",""
"Martin Dougoud","K1H","236.67","361","347",""
"Stephane Rousse","K1H","236.87","325","348",""
"Courtier Jeremy","K1H","238.34","367","356",""
"Romain Content","K1H","239.13","360","361",""
"Billel Khenchouche","K1H","239.75","277","365",""
"Salinie Sylvain","K1H","242.69","-","382",""
"Hayot Sylvain","K1H","243.09","424","384",""
"Yann Le Guedard","K1H","245.13","384","396",""
"Noel Jeremie","K1H","250.72","-","430",""
"Arthur Veber","K1H","252.08","364","437",""
"Soulon Florian","K1H","252.91","498","442",""
"Emmanuel Triomphe","K1H","256.40","337","463",""
"Roman Duprey","K1H","259.03","448","478",""
"Yann Tosser  Roussey","K1H","263.38","529","504",""
"Stephane Ferrignio","K1H","268.30","275","533",""
"Adrien Roussel","K1H","269.37","156","539",""
"Gautier Boudat","K1H","278.23","588","591",""
"Antoine Lhermite","K1H","278.92","395","595",""
"Clement Mangeolle","K1H","283.45","534","622",""
"Florient Tagnon","K1H","298.28","542","710",""
"Paillard Gautier","K1H","298.72","423","712",""
"Jules Argentini","K1H","299.92","754","719",""
"Andre Kempf","K1H","315.82","692","813",""
"Pierre Berberat","K1H","318.49","734","828",""
"Anthony Jouannic","K1H","320.32","841","839",""
"Collet Timothe","K1H","328.16","-","885",""
"Dubois Mortimer","K1H","339.86","568","954",""
"Michel Ternynck","K1H","355.15","-","1045",""
"Nikolas Stanik","K1H","359.31","505","1069",""
"Jerome Laflotte","K1H","363.02","479","1091",""
"Florian Balhuizen","K1H","372.89","493","1149",""
"Henriot Thomas","K1H","382.75","504","1207",""
"Morel Pierre","K1H","496.21","1817","1875",""
