"SÈlectif rÈgional SLALOM & Manche 2 sur B ""Coupe rÈgionale Grand-Est""  - 67600 Selestat - Course n∞2 | Qualification - 2019-09-22","Course n∞2 | Qualification","2019-09-22","RÈgional","240"
"Mae Bianco","K1D","102.44","346.43","258.81",""
"Meryl Steinmann","K1D","103.82","448.2","275.43",""
"Luisa Buerner","K1D","104.39","283.08","282.29",""
"Elena Hugues","K1D","105.15","259.61","291.44",""
"Sophie Colbus","K1D","105.86","283.61","299.99",""
"Maœa Gombert","K1D","106.14","265.39","303.36",""
"Margot Perrin","K1D","106.49","295.82","307.58",""
"Lucille Meunier-cheyssac","K1D","106.6","387.97","308.9",""
"Anastasia Pagel","K1D","109.01","379.54","337.92",""
"Anne-lise Moisan-ehrwein","K1D","109.59","370.71","344.9",""
"Celia Grandadam","K1D","110.19","455.85","352.13",""
"Melyne Jost","K1D","111.2","506.52","364.29",""
"Laurine Grandadam","K1D","112.23","451.89","376.69",""
"Maurine Laugel","K1D","116.37","722.82","426.54",""
"Morgane Paulet","K1D","120.91","2201.89","481.21",""
"Marlene Dumoulin","K1D","125.15","583.6","532.26",""
"Carole Dolmaire","K1D","127.5","696.55","560.56",""
"Audrey Masson","K1D","130.36","858.36","595",""
"Jessie Dallois","K1D","130.87","-","601.13",""
"Emmy Tamburini","K1D","131.29","634.41","606.19",""
"Sarah Rothenbuhler","K1D","132.11","656.77","616.07",""
"Alexane Laugel","K1D","132.48","1790.77","620.52",""
"Heloise Stemmelen","K1D","133.93","886.2","637.98",""
"Lola Tonuccibance","K1D","173.15","-","1110.22",""
"Alix Le Port","K1D","Abs","-","-",""
"Elodie Delavelle","K1D","Abs","-","-",""
"Mylene Guilcher","K1D","Abs","-","-",""
"Azenor Philip","K1D","Abs","-","-",""
"Claire Colin","K1DM","116.46","495.87","427.63",""
"Marion Galster","K1DM","128.88","885.75","577.17",""
"Justine Haton","K1DM","130.66","-","598.6",""
"Kassandra Wagnier","K1DM","131.86","839.83","613.05",""
"Lola Malais…","K1DM","152.22","1012.28","858.21",""
"Flavia Formica","K1DM","152.39","1228.26","860.25",""
"Candice Bonmarchand","K1DM","164.25","-","1003.06",""
"Aurelie Fourez","K1DM","Abs","-","-",""
"Corentin Monasse","K1H","87.81","107.86","220.11",""
"Lucas Latimier","K1H","89.7","69.82","245.82",""
"Hugo Monasse","K1H","91.26","209.02","267.05",""
"Erwan Rouch","K1H","92.26","250.66","280.65",""
"Benjamin Dodane","K1H","92.57","190.92","284.87",""
"Matthieu Koffel","K1H","93.4","281.67","296.16",""
"Nicolas Mangeolle","K1H","94.04","277.87","304.87",""
"Anthony Rouhier","K1H","94.17","275.65","306.64",""
"Anthony Ulrich","K1H","94.28","304.56","308.14",""
"Alexis Pacholak","K1H","94.59","267.85","312.35",""
"Clement Fremy","K1H","94.72","334.21","314.12",""
"Loic Trenchant","K1H","95.37","224.37","322.97",""
"Matthew Vuillard","K1H","95.88","382.19","329.91",""
"Paul Bostoen","K1H","96.22","238.01","334.53",""
"Paul Frommer","K1H","96.42","366.03","337.25",""
"Nathan Frison","K1H","96.77","358.42","342.02",""
"Damien Burteaux","K1H","97.01","409.73","345.28",""
"Arnaud Caillet","K1H","97.71","511.06","354.81",""
"Maxime Di Lauro","K1H","98.8","325.69","369.64",""
"Christophe Siffert","K1H","99.35","417.87","377.12",""
"Oskar Hillion","K1H","100","293.99","385.96",""
"Gael Ettwiller","K1H","101.29","410.62","403.52",""
"Evan Trenchant","K1H","101.44","573.17","405.56",""
"Christophe Godinat","K1H","102.43","509","419.03",""
"William Boutet","K1H","102.45","435.71","419.3",""
"Nathan Barbier","K1H","103.1","346.03","428.14",""
"Eddy Cassard","K1H","103.4","484.86","432.22",""
"Arnaud Jamet","K1H","103.46","493.84","433.04",""
"Remy Perrin","K1H","103.95","504.73","439.71",""
"Valentin Bostoen","K1H","104.03","530.14","440.8",""
"Florent Tamburini","K1H","104.34","420.14","445.01",""
"Jules Ferber","K1H","105.64","531.44","462.7",""
"Gilles Barthelemy","K1H","106.09","657.41","468.83",""
"Yann Becker","K1H","106.21","348.92","470.46",""
"Philippe Potier","K1H","106.88","516.34","479.57",""
"Timothee Foltz","K1H","107.01","1722.67","481.34",""
"Jules Latimier","K1H","107.28","502.4","485.02",""
"Philippe Koffel","K1H","107.91","609.37","493.59",""
"Alexis Sevrez","K1H","108.47","519.96","501.21",""
"Jorg Blees","K1H","109.06","405.1","509.24",""
"Maxence Raymond","K1H","109.09","707.75","509.64",""
"Frederic Caillet","K1H","109.29","638.19","512.37",""
"Gauthier Principaud","K1H","110.64","574.5","530.73",""
"Cyril Bonmarchand","K1H","111.7","-","545.16",""
"Paul Gstalter","K1H","111.77","538.23","546.11",""
"Jean Guyot","K1H","111.87","664.41","547.47",""
"Edy Gasser","K1H","111.98","959.78","548.97",""
"Thibaut Chariot","K1H","112.61","-","557.54",""
"Robin Giurlando","K1H","112.64","626.74","557.95",""
"Nolan Lequesne","K1H","114.13","770.59","578.22",""
"Alexandre Lambert","K1H","117.75","819.07","627.47",""
"Aloys Morel","K1H","119.06","803.91","645.3",""
"Guillaume Louis","K1H","120.05","2849.21","658.77",""
"Philipp Hector","K1H","122.86","1356.16","697",""
"Thomas Danjou","K1H","125.77","856.96","736.59",""
"Kenzo Garnier","K1H","126.07","963.92","740.68",""
"David Monnet","K1H","129","1552.13","780.54",""
"Antoine Schroetter","K1H","129.43","929.35","786.39",""
"Stephane Cassin","K1H","132.48","1025.03","827.89",""
"Lucas Galmiche","K1H","142.53","173.16","964.63",""
"Hugo Latimier","K1H","143.46","302.05","977.29",""
"Jules Andrien","K1H","146.71","295.7","1021.51",""
"Victor Henry","K1H","160.32","454.85","1206.69",""
"Victor Mocochain","K1H","Abs","-","-",""
"Simon Drouart","K1H","Abs","-","-",""
"Thomas Metzinger","K1H","Abs","-","-",""
"Patrick Thevenin","K1H","Abs","-","-",""
"Laurel Hartmann","K1H","Abs","-","-",""
"Baptiste Podor","K1H","Abs","-","-",""
"Thomas Michel","K1H","Abs","-","-",""
"Dyclan Plessis","K1H","Abs","-","-",""
"Mathieu Douillet","K1H","Abs","-","-",""
"Joris Schaffner","K1H","Abs","-","-",""
"Pierre Marie Roussel","K1H","Abs","-","-",""
"Hugo Courtin","K1H","Abs","-","-",""
"Salim Jemai","K1HM","100.54","384.22","393.31",""
"Leon Beyreuther","K1HM","107.3","1260.07","485.29",""
"Victor Frumholtz","K1HM","109.11","538.01","509.92",""
"Jan Gabin Pischek","K1HM","109.79","515.56","519.17",""
"Leo-paul Cassin","K1HM","113.31","-","567.06",""
"Nathan Drouet","K1HM","114.4","689.32","581.89",""
"Matth…o Waltz","K1HM","116.24","627.16","606.93",""
"Zakaria Radouani","K1HM","116.84","828.13","615.09",""
"Diego Depays","K1HM","119.57","996.67","652.24",""
"Quentin Dierstein","K1HM","123.12","741.12","700.54",""
"Victor Scheffzek","K1HM","127.99","762.16","766.8",""
"Noam Bennour","K1HM","131.65","866.77","816.6",""
"Achille Napoli","K1HM","138.99","947.18","916.47",""
"Emile Babel","K1HM","150.34","1335.47","1070.9",""
"Mathys Henry","K1HM","157.64","1192.59","1170.22",""
"Sacha Tonuccibance","K1HM","205.69","1606.59","1824",""
"Adrian Bubel","K1HM","Dsq","-","-",""
"Theo Didier","K1HM","Abs","-","-",""
"Etienne Ermel","K1HM","Abs","-","-",""
"Teo Mullerheddar","K1HM","Dsq","-","-",""
"Simon Bouchot","K1HM","Abs","-","-",""
"Gregory Waltz","OUVM","126.55","-","-",""
"Thibaud Korn","OUVM","127.57","-","-",""
"Charli Rudinger","OUVM","127.8","-","-",""
