"SÈlectif RÈgional de slalom - Jarnac - Finale - 2016-09-25","Finale","2016-09-25","RÈgional","224"
"Antoine Laye","K1H","92.66","310.37","330.61","Finale A"
"Kevin Sponem","K1H","94.08","317.44","350.39","Finale A"
"Tanguy Zaninotto","K1H","94.56","347.8","357.08","Finale A"
"Theau Le Loch","K1H","95.02","318.95","363.48","Finale A"
"Jerome Blanchet","K1H","95.63","327.54","371.98","Finale A"
"Clement Capillon","K1H","96.05","408.38","377.83","Finale A"
"Antoine Grillier","K1H","96.18","316.78","379.64","Finale A"
"Thomas Riviere","K1H","97.35","354.67","395.94","Finale A"
"Dylan Tonnellier","K1H","99.44","-","425.05","Finale A"
"Faysal Ali Zazou","K1H","99.56","-","426.72","Finale A"
"Yanis Koubaiti","K1H","99.58","396.16","427","Finale A"
"Benjamin Georges","K1H","100.06","414.08","433.69","Finale A"
"Sam Traquet","K1H","100.43","398.93","438.84","Finale A"
"Cedric Forgit","K1H","100.64","388.13","441.77","Finale A"
"Mathias Rodrigues","K1H","102.54","349.69","468.23","Finale A"
"Jeremy Rouchereau","K1H","102.73","400.8","470.88","Finale A"
"Florian Lafitte","K1H","104.29","-","492.61","Finale A"
"NaÀl Rajoub","K1H","104.41","394.11","494.28","Finale A"
"Karl Bouthegourd","K1H","104.93","368.04","501.53","Finale A"
"Antonin Beyneix","K1H","105.49","540.92","509.33","Finale A"
"Thibault Alcaras","K1H","105.97","410.23","516.01","Finale A"
"Julien Beneteau","K1H","106.37","563.76","521.59","Finale A"
"Henri Chenu","K1H","107.18","460.02","532.87","Finale A"
"Benjamin Sanella","K1H","108.45","-","550.56","Finale A"
"Merwan Fliou","K1H","108.71","-","554.18","Finale A"
"Timothee Megard","K1H","109.26","483.67","561.84","Finale A"
"Adrien Roux","K1H","111.55","508.22","593.74","Finale A"
"Matheo Gillaizeau","K1H","111.86","327.53","598.06","Finale A"
"James Duvernoy","K1H","129.82","96.65","848.24","Finale A"
"Alexis Dorey","K1H","138.4","290.11","967.75","Finale A"
"Thilbault Rucher","K1H","148.98","502.63","1115.13","Finale A"
"Thibaud Delaunay","K1H","149.38","-","1120.7","Finale A"
"Benjamin Cariou","K1H","153.86","-","1183.11","Finale A"
"Tom Babin","K1HM","91.77","390.58","318.21","Finale A"
"Arnaud Verrons","K1HM","94.06","400.48","350.11","Finale A"
"Etienne Wiche","K1HM","97.68","389.54","400.54","Finale A"
"Tom Delens","K1HM","104.28","518.36","492.47","Finale A"
"Nils Venier","K1HM","104.97","-","502.08","Finale A"
"Tom Charles","K1HM","108.32","530.33","548.75","Finale A"
"Adrien Pardoux","K1HM","110.03","-","572.57","Finale A"
"Marie Charbonneau","C1D","130.66","475.86","561.59","Finale B"
"Sophielaure B…n…teau","C1D","138.42","-","651.67","Finale B"
"No…mie Veaux","C1D","147.97","-","762.53","Finale B"
"Agathe Grosset","C1DM","163.67","-","944.78","Finale B"
"Clement Jouannaud","C1H","101.4","417.38","390.09","Finale B"
"Theau Le Loch","C1H","101.67","396.9","393.68","Finale B"
"Adrien Picco","C1H","103.62","338.79","419.55","Finale B"
"Mathias Pannetier","C1H","105.24","371.62","441.04","Finale B"
"Karl Bouthegourd","C1H","105.27","438.01","441.43","Finale B"
"Yanis Rainaud","C1H","105.84","463.01","449","Finale B"
"Tanguy Zaninotto","C1H","107.64","447.91","472.87","Finale B"
"Julien Beneteau","C1H","111.2","464.3","520.11","Finale B"
"Thibault Alcaras","C1H","112.14","563.18","532.57","Finale B"
"Fabrice Lacoudre","C1H","115.27","552.88","574.1","Finale B"
"Gauthier Beyneix","C1H","116.26","574.63","587.24","Finale B"
"Jeanfrancis Battesti","C1H","118","664.52","610.32","Finale B"
"Mathieu Villeger","C1H","118.18","-","612.7","Finale B"
"Thilbault Rucher","C1H","122.54","-","670.55","Finale B"
"Martin Lassiste","C1H","128.24","-","746.16","Finale B"
"Romain Caillon","C1H","185.87","381.38","1510.7","Finale B"
"Etienne Wiche","C1HM","110.96","502.9","516.92","Finale B"
"Loris Shayam Affre","C1HM","122.04","-","663.92","Finale B"
"Louis Rathier","C1HM","123.99","-","689.79","Finale B"
"Clement Gillaizeau","C1HM","127","-","729.71","Finale B"
"Titouan Doreau","C1HM","128.32","747.16","747.23","Finale B"
"Adrien Pardoux","C1HM","129.95","-","768.85","Finale B"
"Fantin Delage-garez","C1HM","135.02","-","836.1","Finale B"
"Adrien Roux-Benjamin Georges","C2H","114.44","493.58","494.07","Finale B"
"Dylan Sourbe-Axel Delage","C2H","118.56","-","546.25","Finale B"
"Charley Sannier Durand-Tom Baillon","C2H","125.57","-","635.03","Finale B"
"Stewen Sourbe-Remi Deborde","C2H","150.83","1225.95","954.9","Finale B"
"Tom Babin-Arnaud Verrons","C2HM","114.47","632.54","494.46","Finale B"
"Hugo Suire-Mael Verheyde","C2HM","159.33","-","1062.53","Finale B"
"Barbara Lassechere","K1D","125.01","619.26","585.9","Finale B"
"Sophielaure B…n…teau","K1D","125.32","-","589.73","Finale B"
"Fanny Valeau","K1D","130.46","688.63","653.08","Finale B"
"Emma Pardoux","K1D","131.28","504.02","663.19","Finale B"
"Carla Texier","K1D","224.09","-","1807.28","Finale B"
"Elise Doreau","K1DM","122.35","656.89","553.11","Finale B"
"Agathe Grosset","K1DM","133.64","-","692.28","Finale B"
"Marion Beneteau","K1DM","140.31","-","774.51","Finale B"
"Louanne Brault-geay","K1DM","145.51","-","838.61","Finale B"
"Morgane Bastier-guilcher","K1DM","149.99","-","893.84","Finale B"
"Louise Turgis","K1DM","160.64","-","1025.12","Finale B"
"Bertille Lassiste","K1DM","168.13","-","1117.46","Finale B"
"Vincent Menager","K1H","91.12","292.93","314.16","Finale B"
"Theo Desvignes","K1H","100.73","173.78","448.02","Finale B"
"Axel Delage","K1H","102.56","374.98","473.51","Finale B"
"Corentin Bechu","K1H","103.97","494.01","493.15","Finale B"
"Christophe Chasseloup","K1H","105.21","-","510.43","Finale B"
"Remi Princet","K1H","105.94","579.65","520.6","Finale B"
"Maxime Dubois","K1H","108.37","579.38","554.44","Finale B"
"Frederic Debons","K1H","108.88","418.34","561.55","Finale B"
"Maxime Bouvet","K1H","108.95","526.12","562.52","Finale B"
"Adrien Ricaud","K1H","112.44","631.87","611.14","Finale B"
"Alexandre Demontleau","K1H","112.78","-","615.87","Finale B"
"Pierre Ledoux","K1H","113.67","667.5","628.27","Finale B"
"Antoine Rambeau","K1H","113.71","-","628.83","Finale B"
"Thomas Bouron","K1H","114.1","-","634.26","Finale B"
"Bruno Beneteau","K1H","114.76","545.88","643.46","Finale B"
"Gr…gory Navail","K1H","115.27","573.97","650.56","Finale B"
"Jean-noel Biteau","K1H","115.75","645.03","657.25","Finale B"
"Philippe Albessard","K1H","117.02","-","674.94","Finale B"
"Remi Deborde","K1H","117.32","-","679.12","Finale B"
"Fabrice Lacoudre","K1H","117.5","-","681.62","Finale B"
"Christophe Joubert","K1H","118.06","595.29","689.42","Finale B"
"Nicolas Cappy","K1H","118.6","-","696.95","Finale B"
"Pascal Pierre","K1H","118.91","-","701.26","Finale B"
"Clement Thevenin","K1H","120.78","713.35","727.31","Finale B"
"Anatole Fourcade","K1H","121.93","809.72","743.33","Finale B"
"Stewen Sourbe","K1H","122.03","653.34","744.72","Finale B"
"Kevin Mousserion","K1H","123.09","-","759.49","Finale B"
"Eymric Princet","K1H","126.99","-","813.82","Finale B"
"Joseph Di Nisi","K1H","129.67","755.49","851.15","Finale B"
"Ludovik Fresnel","K1H","129.95","-","855.05","Finale B"
"Noe Joseph","K1H","131.48","-","876.36","Finale B"
"Tristan Favennec","K1H","143.04","-","1037.39","Finale B"
"Bruno Bouron","K1H","144.03","-","1051.18","Finale B"
"Pierre Maupetit","K1H","166.93","-","1370.17","Finale B"
"Paul Dutailly","K1H","176.13","-","1498.32","Finale B"
"Thimon Didier","K1HM","106.25","539.23","524.91","Finale B"
"Malo Deligand","K1HM","108.17","-","551.66","Finale B"
"Loris Shayam Affre","K1HM","108.58","552.72","557.37","Finale B"
"Titouan Doreau","K1HM","109.19","578.85","565.87","Finale B"
"Fantin Delage-garez","K1HM","111.99","610.36","604.87","Finale B"
"Clement Riera","K1HM","112.89","582.27","617.41","Finale B"
"Louis Rathier","K1HM","113.19","698.97","621.59","Finale B"
"Theo Jeanlouis","K1HM","118.43","-","694.58","Finale B"
"Lucas Mesquita","K1HM","118.65","1179.38","697.64","Finale B"
"Adrien Baty","K1HM","120.69","-","726.06","Finale B"
"Jordan Brise","K1HM","120.94","-","729.54","Finale B"
"Dylan Renneteau","K1HM","124.11","-","773.7","Finale B"
"Mael Verheyde","K1HM","128.16","-","830.11","Finale B"
"Baptiste Bouron","K1HM","128.48","-","834.57","Finale B"
"Clement Gillaizeau","K1HM","128.63","666.32","836.66","Finale B"
"Pierre Gadolet","K1HM","132.33","-","888.2","Finale B"
"Hugo Suire","K1HM","132.81","-","894.89","Finale B"
"Titouan Maricourt","K1HM","135.36","-","930.41","Finale B"
"Rodrigue Culos","K1HM","138.29","-","971.22","Finale B"
"Aymeric Delage","K1HM","138.45","-","973.45","Finale B"
"Eliott Sabourin","K1HM","138.48","-","973.87","Finale B"
"Killian Rigaudeau","K1HM","154.19","-","1192.7","Finale B"
"Theo Papin","K1HM","174.65","641.85","1477.7","Finale B"
"Kylian Gauthier","K1HM","180.89","-","1564.63","Finale B"
"Evann Doublet","K1HM","Abd","-","-","Finale B"
