"Slalom régional - Challenge Jeunes - Epinal - 2008-04-27","Course 1","2008-04-27","Régional","186"
"Lucas Ferraina","K1H","206.58","320","357",""
"Romain Lemaire","K1H","206.81","297","359",""
"Fabien Fritsch","K1H","206.87","304","360",""
"Anthony Jouannic","K1H","207.90","448","366",""
"Leo Capelle","K1H","209.49","316","377",""
"Yann Maignant","K1H","210.06","477","382",""
"Pierre Cassin","K1H","210.45","347","384",""
"Alexandre Mathis","K1H","211.23","-","390",""
"Thomas Stutzmann","K1H","211.30","329","391",""
"Emilien Kempf","K1H","211.57","556","392",""
"Clement Mangeolle","K1H","211.74","370","393",""
"Alexandre Bordas","K1H","212.37","361","397",""
"Michael Ullrich","K1H","215.87","699","422",""
"Frederic Saguet","K1H","216.58","-","427",""
"Sidney Malgras","K1H","218.69","535","442",""
"Jerome Laflotte","K1H","218.73","348","442",""
"Loic Andre","K1H","223.54","-","475",""
"Vivien Tirole","K1H","226.06","-","493",""
"Pierre Berberat","K1H","228.53","515","511",""
"Remi Vallin","K1H","229.83","493","520",""
"Colas Geier","K1H","230.60","586","524",""
"Alexandre Diemert","K1H","231.77","-","533",""
"Laurent Starck","K1H","233.95","664","547",""
"Frederic Caillet","K1H","235.96","425","562",""
"Simon Barthelemy","K1H","238.53","545","579",""
"Romain Magnolo","K1H","241.79","513","603",""
"Juif Mickael","K1H","241.98","605","604",""
"Florent Bronchain","K1H","242.34","868","606",""
"Thibaut Lebrun","K1H","251.46","1005","669",""
"Lionel Ledocq","K1H","261.70","-","740",""
"Olivier Mittler","K1H","268.36","-","787",""
"Gauthier Ruspini","K1H","269.66","1029","796",""
"Arthur Georges","K1H","292.72","152","957",""
"Thomas Garnier","K1H","331.31","567","1226",""
