"Sélectif Régional Slalom (Double) - 64320 Bizanos - Course n°2 | Finale - 2019-10-27","Course n°2 | Finale","2019-10-27","Régional","292"
"Victor Lagleyze","K1H","101.5","299.32","299.88","Course n°2 | Finale A"
"Vincent Laclide","K1H","104.68","287.95","339.26","Course n°2 | Finale A"
"Thibault Marque","K1H","108.49","462.6","386.45","Course n°2 | Finale A"
"Fabien Paleau","K1H","108.82","323.71","390.53","Course n°2 | Finale A"
"Emeric Nieser","K1H","113.18","446.51","444.53","Course n°2 | Finale A"
"Jordan Rocdunos","K1H","113.83","496.67","452.58","Course n°2 | Finale A"
"Elian Giondini","K1H","114.47","431.59","460.5","Course n°2 | Finale A"
"Vincent Menager","K1H","115.98","302.78","479.2","Course n°2 | Finale A"
"Yannis Dast","K1H","117.17","353.23","493.94","Course n°2 | Finale A"
"Jimmy Aguiar","K1H","134.22","394.95","705.09","Course n°2 | Finale A"
"Pol Oulhen","K1H","137.49","35.71","745.58","Course n°2 | Finale A"
"Tom Deconchy","K1H","137.52","112.69","745.95","Course n°2 | Finale A"
"Theo Desvignes","K1H","140.83","88","786.95","Course n°2 | Finale A"
"Florian Busson","K1H","141.42","106.49","794.25","Course n°2 | Finale A"
"Sami Rocher","K1H","142.61","131.17","808.99","Course n°2 | Finale A"
"Lucas Augu","K1H","144.59","145.05","833.51","Course n°2 | Finale A"
"Mewen Debliquy","K1H","145.42","222.8","843.79","Course n°2 | Finale A"
"Paul Gobert","K1H","145.97","281.85","850.6","Course n°2 | Finale A"
"Adrien Mesmoudi","K1H","146.06","197.16","851.71","Course n°2 | Finale A"
"Yanis Rainaud","K1H","147.05","193.98","863.97","Course n°2 | Finale A"
"NaËl Rajoub","K1H","150.2","255.49","902.98","Course n°2 | Finale A"
"Simon Cognard","K1H","153.17","296.36","939.77","Course n°2 | Finale A"
"Felix Praderie","K1H","156.19","259.17","977.17","Course n°2 | Finale A"
"Loris Shayam Affre","K1H","158.14","277.09","1001.31","Course n°2 | Finale A"
"Thomas Ukalovic","K1H","165.64","159.78","1094.19","Course n°2 | Finale A"
"Thibault Lamour","K1H","171.84","400.58","1170.98","Course n°2 | Finale A"
"Valentin Courtiade","K1H","193.4","164.45","1437.98","Course n°2 | Finale A"
"Maxence Davy","K1H","197.88","273.61","1493.46","Course n°2 | Finale A"
"Etienne Saint Picq","K1H","209.38","327.8","1635.87","Course n°2 | Finale A"
"Clement Dubois","K1H","211.42","277.01","1661.14","Course n°2 | Finale A"
"Florian Torche","K1H","217.33","352.76","1734.33","Course n°2 | Finale A"
"Marin Saint Macary","K1H","223.96","427.82","1816.43","Course n°2 | Finale A"
"Benoit Dandonneau","K1H","263.46","424.53","2305.6","Course n°2 | Finale A"
"Olivier Cail","K1H","270.13","164.1","2388.21","Course n°2 | Finale A"
"Edgar Paleaubrasseur","K1HM","103.19","353.14","320.81","Course n°2 | Finale A"
"Elouan Debliquy","K1HM","105.1","404.98","344.46","Course n°2 | Finale A"
"Florian Malaval","K1HM","108.98","473.9","392.51","Course n°2 | Finale A"
"Niels Comte","K1HM","109.79","372.48","402.54","Course n°2 | Finale A"
"ClÉment Louveau","K1HM","111.67","469.73","425.83","Course n°2 | Finale A"
"Martin Cornu","K1HM","117.74","374.29","501","Course n°2 | Finale A"
"Jules Brisson","K1HM","118.4","525.93","509.17","Course n°2 | Finale A"
"Celio Chevallier","K1HM","128.21","585.34","630.66","Course n°2 | Finale A"
"Jonas Le Guen","K1HM","168.66","399.28","1131.59","Course n°2 | Finale A"
"Nino Langlume","K1HM","186.48","493.93","1352.28","Course n°2 | Finale A"
"Miguel Irungaraylarronde","K1HM","190.71","723.57","1404.66","Course n°2 | Finale A"
"Laurine Salesse","C1D","116.86","225.41","253.9","Course n°2 | Finale B"
"Perrine Joubert","C1D","133.05","237.79","420.98","Course n°2 | Finale B"
"Nahia Oteiza","C1D","139.03","442.5","482.69","Course n°2 | Finale B"
"Eva Marchand","C1D","142.92","328.24","522.84","Course n°2 | Finale B"
"Amelie Leclercq","C1D","151.64","448.09","612.84","Course n°2 | Finale B"
"Charline Berger Martin","C1D","216.49","260.48","1282.08","Course n°2 | Finale B"
"Elorri Erdois","C1D","246.03","424.98","1586.94","Course n°2 | Finale B"
"Louna Beurel","C1D","249.66","353.35","1624.4","Course n°2 | Finale B"
"Valentin Courtiade","C1H","102.52","241.54","257.05","Course n°2 | Finale B"
"Samuel Vallienne","C1H","103.98","243.05","274.27","Course n°2 | Finale B"
"Faysal Ali Zazou","C1H","106.31","190.04","301.76","Course n°2 | Finale B"
"Clement Brotier","C1H","106.65","345.82","305.76","Course n°2 | Finale B"
"Alex Baldoni","C1H","106.93","290.76","309.07","Course n°2 | Finale B"
"Antton Erdois","C1H","108.89","383.79","332.19","Course n°2 | Finale B"
"Emilien Courtiade","C1H","109.16","312.23","335.37","Course n°2 | Finale B"
"Patrice Estanguet","C1H","109.43","298.51","338.55","Course n°2 | Finale B"
"Loris Shayam Affre","C1H","110.57","374.82","352","Course n°2 | Finale B"
"Gwenole Noyalet","C1H","111.76","296.7","366.03","Course n°2 | Finale B"
"Guillaume Caron","C1H","113.51","343.35","386.68","Course n°2 | Finale B"
"Leo Dujourd'hui","C1H","113.71","375.71","389.03","Course n°2 | Finale B"
"Joris Santoro","C1H","114.49","344.27","398.23","Course n°2 | Finale B"
"Hugo Crespo","C1H","115.94","369.6","415.33","Course n°2 | Finale B"
"Emeric Nieser","C1H","117.39","476.07","432.44","Course n°2 | Finale B"
"Adrien Roux","C1H","117.64","536.39","435.38","Course n°2 | Finale B"
"Gaspard Trichard","C1H","117.66","392.67","435.62","Course n°2 | Finale B"
"Dylan Renneteau","C1H","127.01","308.83","545.9","Course n°2 | Finale B"
"Aurele Neveu","C1H","138.63","623.67","682.95","Course n°2 | Finale B"
"Clement Gillaizeau","C1H","266.39","355.44","2189.8","Course n°2 | Finale B"
"Eva Pietracha","K1D","99.41","134.57","137.37","Course n°2 | Finale B"
"Lisa Mouffle","K1D","107.58","126.34","226.9","Course n°2 | Finale B"
"Youlia Estanguet","K1D","111.19","327.97","266.47","Course n°2 | Finale B"
"Cerise Babin","K1D","113.22","318.33","288.72","Course n°2 | Finale B"
"Eva Marchand","K1D","114.41","252.97","301.76","Course n°2 | Finale B"
"Margaux Fabijan","K1D","122.95","346.13","395.35","Course n°2 | Finale B"
"Zoe Waeles","K1D","127.26","351.89","442.58","Course n°2 | Finale B"
"Myriam Le Joncourt","K1D","128.02","349.31","450.91","Course n°2 | Finale B"
"Pauline Rouilhet","K1D","141.31","571.22","596.56","Course n°2 | Finale B"
"Lise Denat","K1D","143.54","315.52","621.01","Course n°2 | Finale B"
"Natacha Delassus","K1D","151.24","119.17","705.39","Course n°2 | Finale B"
"Carla Lacroix","K1D","165.36","290.89","860.13","Course n°2 | Finale B"
"Violaine Truche","K1D","176.16","257.11","978.5","Course n°2 | Finale B"
"Alice Bureau","K1D","197.42","428.48","1211.49","Course n°2 | Finale B"
"Romane Bronchet","K1D","212.61","342.08","1377.96","Course n°2 | Finale B"
"Oriane Guichet","K1D","244.96","456.79","1732.5","Course n°2 | Finale B"
"Amelie Leclercq","K1D","248.53","383.49","1771.62","Course n°2 | Finale B"
"Laurine Meslong","K1D","253.08","467.54","1821.5","Course n°2 | Finale B"
"Nahia Oteiza","K1D","289.72","364.86","2223.04","Course n°2 | Finale B"
"Enya Langlume","K1D","Abs","-","-","Course n°2 | Finale B"
"Juna Marquet","K1DM","153.99","524.45","735.52","Course n°2 | Finale B"
"Clara Brard","K1DM","154.19","546.3","737.72","Course n°2 | Finale B"
"Avril Saut","K1DM","223.17","487.85","1493.7","Course n°2 | Finale B"
"Oceane Sedrue","K1DM","320.4","442.05","2559.28","Course n°2 | Finale B"
"Suzel Cayrat","K1DM","364.61","660.2","3043.79","Course n°2 | Finale B"
"Babette Ingenluyff","K1DM","397.81","760.4","3407.63","Course n°2 | Finale B"
"Mila Dastugue Lavignasse","K1DM","462.23","734.65","4113.64","Course n°2 | Finale B"
"Benjamin Renia","K1H","82.76","14.18","72.8","Course n°2 | Finale B"
"Jimy Bercon","K1H","92.67","350.96","195.53","Course n°2 | Finale B"
"Guillaume Graille","K1H","93.36","77.03","204.07","Course n°2 | Finale B"
"Titouan Conseil","K1H","95.12","272.54","225.87","Course n°2 | Finale B"
"Titouan Castryck","K1H","95.47","160.34","230.2","Course n°2 | Finale B"
"Leo Vuitton","K1H","96.54","115.65","243.46","Course n°2 | Finale B"
"Baptiste Delemotte","K1H","97.26","259.96","252.37","Course n°2 | Finale B"
"Arnaud Verrons","K1H","98.1","153.31","262.77","Course n°2 | Finale B"
"Samuel Bonella","K1H","99.29","174.44","277.51","Course n°2 | Finale B"
"Herve Busson","K1H","100.49","253.02","292.37","Course n°2 | Finale B"
"Nicolas Rouleaud","K1H","100.93","232.3","297.82","Course n°2 | Finale B"
"Pablo Chaminade","K1H","102.93","341.89","322.59","Course n°2 | Finale B"
"Julien Mizzi","K1H","103.51","308.79","329.77","Course n°2 | Finale B"
"Theo Douady","K1H","107.59","362.18","380.3","Course n°2 | Finale B"
"Julien Doumecq","K1H","108.17","332.76","387.48","Course n°2 | Finale B"
"Gaston Guilmard","K1H","109.06","372.61","398.5","Course n°2 | Finale B"
"Tristan Ruiz","K1H","110.15","430.03","412","Course n°2 | Finale B"
"Lohan Wyon","K1H","112.05","402.32","435.53","Course n°2 | Finale B"
"Timeo Canonico","K1H","112.2","388.13","437.39","Course n°2 | Finale B"
"Mathis Odot","K1H","112.8","475.89","444.82","Course n°2 | Finale B"
"Tom Milon","K1H","114.08","399.77","460.67","Course n°2 | Finale B"
"Maxime Blondeau","K1H","116.51","334.06","490.77","Course n°2 | Finale B"
"Tom Delens","K1H","116.55","349.32","491.26","Course n°2 | Finale B"
"Bruno Lamothe","K1H","116.6","512.8","491.88","Course n°2 | Finale B"
"Remi Dolcin Tillant","K1H","117.75","474.93","506.12","Course n°2 | Finale B"
"Arthur Caillaud-gault","K1H","118.64","404.82","517.14","Course n°2 | Finale B"
"Edouard Patry","K1H","121.47","403.3","552.19","Course n°2 | Finale B"
"Martin Dubois","K1H","121.47","313.91","552.19","Course n°2 | Finale B"
"Romain Brouard","K1H","121.73","424.29","555.41","Course n°2 | Finale B"
"Aurele Neveu","K1H","122.38","454.65","563.46","Course n°2 | Finale B"
"Jacques Roisin","K1H","122.51","609.15","565.07","Course n°2 | Finale B"
"Jules Roos","K1H","123.07","372.27","572.01","Course n°2 | Finale B"
"Julien Brice","K1H","124.61","557.25","591.08","Course n°2 | Finale B"
"Antoine Bouby","K1H","124.8","547.61","593.43","Course n°2 | Finale B"
"Adrien Ricaud","K1H","125.15","430.03","597.76","Course n°2 | Finale B"
"Arthur Huet","K1H","125.46","372.59","601.6","Course n°2 | Finale B"
"Eric Vidou","K1H","126.15","606.05","610.15","Course n°2 | Finale B"
"Flavien Portier","K1H","126.88","450.67","619.19","Course n°2 | Finale B"
"Romain Guichet","K1H","126.97","528.47","620.3","Course n°2 | Finale B"
"Tanguy Odot","K1H","127.45","492.13","626.25","Course n°2 | Finale B"
"Sylvain Lauth","K1H","127.46","523.25","626.37","Course n°2 | Finale B"
"Malo Quemeneur","K1H","134.97","15.82","719.38","Course n°2 | Finale B"
"Baptiste Vinet","K1H","138.32","931.2","760.86","Course n°2 | Finale B"
"Maxime Reubrez","K1H","139.25","495.23","772.38","Course n°2 | Finale B"
"Hugo Crepeau","K1H","140.55","119.35","788.48","Course n°2 | Finale B"
"Victor Hirschmann-rodriguez","K1H","147.03","729.94","868.73","Course n°2 | Finale B"
"Alex Baldoni","K1H","148.27","344.03","884.08","Course n°2 | Finale B"
"Malo Fevin","K1H","148.76","571.68","890.15","Course n°2 | Finale B"
"Hugo Crespo","K1H","151.07","212.37","918.76","Course n°2 | Finale B"
"Benjamin Harreau","K1H","152.32","221.31","934.24","Course n°2 | Finale B"
"Killian Flegeau","K1H","153.9","207.97","953.81","Course n°2 | Finale B"
"Tom Marchand","K1H","157.5","368.07","998.39","Course n°2 | Finale B"
"Raphael Jean","K1H","161.37","2069.34","1046.31","Course n°2 | Finale B"
"Julien Dubarry","K1H","165.6","446.56","1098.7","Course n°2 | Finale B"
"Alexis Carpentey","K1H","166.81","309.08","1113.68","Course n°2 | Finale B"
"Mathys Maniet","K1H","169.99","507.66","1153.07","Course n°2 | Finale B"
"Marc Lalande","K1H","172.07","661.23","1178.82","Course n°2 | Finale B"
"Mateo Destruel","K1H","176.54","663.89","1234.18","Course n°2 | Finale B"
"Leo Arriau","K1H","177.73","646.31","1248.92","Course n°2 | Finale B"
"Guillaume Fletcher","K1H","186.12","596.76","1352.82","Course n°2 | Finale B"
"Romain Margerie","K1H","192.29","461.9","1429.23","Course n°2 | Finale B"
"Francois Giondini","K1H","203.24","543.28","1564.84","Course n°2 | Finale B"
"Jules Maitre","K1H","221.7","755.9","1793.45","Course n°2 | Finale B"
"Hugo Larenjeiro","K1H","222.56","962.09","1804.1","Course n°2 | Finale B"
"KÉziah Lecomte","K1H","226.12","521.23","1848.18","Course n°2 | Finale B"
"Julien Moreau","K1H","242.04","675.26","2045.34","Course n°2 | Finale B"
"Killian Dal-cin","K1H","246.22","729.54","2097.1","Course n°2 | Finale B"
"Axel Brin","K1H","251.31","534.06","2160.14","Course n°2 | Finale B"
"Noe Gorvo","K1H","256.94","357.67","2229.86","Course n°2 | Finale B"
"MattÉo Rainaud","K1H","264.94","399.56","2328.93","Course n°2 | Finale B"
"Jerome Talbot","K1H","283.92","451.98","2563.98","Course n°2 | Finale B"
"Manuel Legros","K1H","285.02","520.6","2577.6","Course n°2 | Finale B"
"Felix Floriot","K1H","Abs","-","-","Course n°2 | Finale B"
"Tom Segaud","K1H","Abd","-","-","Course n°2 | Finale B"
"Sebastien Larenaudie","K1H","Abs","-","-","Course n°2 | Finale B"
"Yanis Allard","K1H","Abd","-","-","Course n°2 | Finale B"
"Benjamin Roy","K1HM","120.13","410.46","535.6","Course n°2 | Finale B"
"Hugo Pellissier","K1HM","127.12","535.54","622.16","Course n°2 | Finale B"
"Hicham Domti","K1HM","131.92","562.07","681.6","Course n°2 | Finale B"
"Nolann Lacoudre","K1HM","150.81","556.47","915.54","Course n°2 | Finale B"
"Milio Le Touze","K1HM","169.8","541.12","1150.71","Course n°2 | Finale B"
"Camille Luciotto Ribeiro","K1HM","196.13","747.23","1476.78","Course n°2 | Finale B"
"Quentin Rival-negrevergne","K1HM","198.51","690.06","1506.26","Course n°2 | Finale B"
"Jonah Hanrahan","K1HM","219.06","597.9","1760.75","Course n°2 | Finale B"
"Martin Grzeskowiak","K1HM","231.36","900.63","1913.08","Course n°2 | Finale B"
"Quentin Arnaudin","K1HM","417.55","1165.45","4218.86","Course n°2 | Finale B"
"Antonin Normandin","K1HM","Des","-","-","Course n°2 | Finale B"
