"Sélectif National 3 Slalom Ouest - Sable Sur Sarthe - Qualification - 2018-04-15","Qualification","2018-04-15","Nationale 3","225"
"Philippe Rocher","K1H","117.8","483.02","518.16",""
"Lilian Bald","K1H","118.45","447.78","526.37",""
"Loic Froissard","K1H","118.53","455.47","527.38",""
"Nathan Corfmat","K1H","120.57","472.58","553.14",""
"Jean Yves Prigent","K1H","121.32","473.13","562.62",""
"Erwann Le Jeune","K1H","122.02","412.31","571.46",""
"Simon Labet","K1H","122.02","549.12","571.46",""
"Malo Marquet","K1H","122.12","420.94","572.72",""
"Cesar Le Berder","K1H","123","541.24","583.83",""
"Maxence Davy","K1H","123.14","619.03","585.6",""
"Yohan Dupont","K1H","123.85","470.96","594.57",""
"Nicolas Leconte","K1H","124.21","464.82","599.11",""
"Christophe Gergaud","K1H","124.21","567.39","599.11",""
"Matheo Morin","K1H","124.34","641.42","600.75",""
"Kilian Berlu","K1H","124.62","615.79","604.29",""
"Jules Roos","K1H","124.85","467.49","607.19",""
"Vincent Donval","K1H","124.94","992.45","608.33",""
"Romain Brouard","K1H","125.05","584.02","609.72",""
"Logan Toubel","K1H","125.22","695.89","611.87",""
"Erwan Launay","K1H","125.36","845.29","613.64",""
"Matheo Courgeon","K1H","125.51","783.45","615.53",""
"Noah Fresneda","K1H","125.57","509.18","616.29",""
"Corentin Beaumois","K1H","125.6","547.7","616.67",""
"Amael Samson","K1H","125.76","489.99","618.69",""
"Mael Poirier","K1H","125.8","615.84","619.19",""
"Matthieu Escolano","K1H","125.83","637.1","619.57",""
"Antoine Aubert","K1H","126.51","546.17","628.16",""
"Valentin Soullard","K1H","126.54","544.27","628.54",""
"Timeo Cornic","K1H","126.59","693.36","629.17",""
"Luck Thomas","K1H","126.64","542.05","629.8",""
"Tanguy Rolland","K1H","127.11","790.24","635.74",""
"Victor Robert","K1H","128.93","674.9","658.72",""
"David Ravache","K1H","129","518.87","659.6",""
"Balthazar Supiot","K1H","129.51","628.67","666.04",""
"Yann Curti","K1H","130.17","489.93","674.38",""
"Noe Caillet","K1H","131.14","813.06","686.63",""
"Hubert Heurtel","K1H","131.61","661.99","692.56",""
"Yann Dhieux","K1H","132.79","613.12","707.47",""
"Nicolas Petipez","K1H","133.05","715.14","710.75",""
"Clement Collardez","K1H","133.29","435.51","713.78",""
"Louis-felix Marchand","K1H","133.85","650.38","720.85",""
"Thomas Hado","K1H","133.91","868.45","721.61",""
"Stevan Chauvel","K1H","134.3","731.01","726.54",""
"Bastien Mailly","K1H","135.04","834.76","735.88",""
"Adrien Le Collinet","K1H","135.06","508.76","736.13",""
"Benoit Lecluse","K1H","135.54","690.21","742.19",""
"Titouan Le Jeune","K1H","135.62","677.57","743.21",""
"Gerard Lemonnier","K1H","136.26","705.97","751.29",""
"Louis Gane","K1H","137.88","718.26","771.75",""
"Deverig Cardiec","K1H","137.93","527.15","772.38",""
"Christian Le Parc","K1H","138.5","692.19","779.58",""
"Axel Brin","K1H","141.75","952.46","820.62",""
"Simon Murzeau","K1H","141.79","891.98","821.12",""
"Florian Szabo","K1H","142.22","1518.99","826.55",""
"Eric Pouradier","K1H","142.86","722.78","834.64",""
"Ewann Hervouet","K1H","143.1","693.53","837.67",""
"Leo Front","K1H","143.45","911.93","842.09",""
"Juan Riu","K1H","144.15","682.06","850.93",""
"Tristan Lacroix","K1H","145.83","1002.24","872.14",""
"Oderic Mahieu Eyraud","K1H","150.84","902.76","935.41",""
"Thibaud Chevalier","K1H","155.07","323.5","988.83",""
"Julien Caillarec","K1H","163.93","367.16","1100.72",""
"Tanguy Odot","K1H","164.43","465.82","1107.04",""
"Mathis Guilleray","K1H","168.83","644.88","1162.6",""
"Antoine Demarest","K1H","180.29","792.4","1307.33",""
"Steeve Protais","K1H","192.46","1175.85","1461.02",""
"Mallory Brochard","K1H","197.8","781.31","1528.45",""
"Steve Bruniquel","K1H","200.99","743.38","1568.74",""
"Briac Charny","K1H","Abs","-","-",""
"Guillaume Maillot","K1H","Abs","-","-",""
"Nathan Gouraud","K1H","Abs","-","-",""
"Jean-christophe Dubois","K1H","Abs","-","-",""
"Gaston Guilmard","K1H","Abs","-","-",""
"Julien Buors","K1H","Abs","-","-",""
"Rafael Lerusse","K1H","Dsq","-","-",""
"Olivier Brochard","K1H","Dsq","-","-",""
"Benjamin Pagerie","K1H","Abs","-","-",""
