"2 ème manche Coupe de Lorraine - Epinal - 2008-10-19","Course 1","2008-10-19","Régional","264"
"Frederic Walczak","K1H","183.73","12","49",""
"Mathieu Biazizzo","K1H","190.10","84","89",""
"Quentin Burgi","K1H","191.81","93","100",""
"Jerome Olhagaray","K1H","193.03","110","107",""
"Johan De Mareuil","K1H","194.60","36","117",""
"Alexis Caspar","K1H","194.98","62","119",""
"Julien Haberland","K1H","195.08","91","120",""
"Emmanuel Walczak","K1H","196.81","75","131",""
"Mathieu Haberland","K1H","199.74","102","150",""
"Florient Tagnon","K1H","201.59","205","161",""
"Romain Viry","K1H","201.84","162","162",""
"Martin Dougoud","K1H","202.00","104","163",""
"Alexandre Pocard","K1H","204.97","163","183",""
"Remi Thomas","K1H","205.35","155","185",""
"Enrick Cunsolo","K1H","205.47","100","185",""
"Maxime Faivre","K1H","206.47","151","192",""
"Kevin Burgi","K1H","206.75","132","193",""
"Herve Chevrier","K1H","207.23","-","196",""
"Bertrand Gutierrez","K1H","207.68","134","200",""
"Christophe Siffert","K1H","207.79","175","200",""
"Thibaut Chariot","K1H","208.31","187","203",""
"Jean Charles Creusot Walter","K1H","209.86","150","213",""
"Jeremy Poux","K1H","209.93","236","213",""
"Silvere Desongins","K1H","210.72","196","218",""
"Frederic Tinchant","K1H","211.40","176","222",""
"Jeremy Lehning","K1H","211.48","135","223",""
"Nicolas Burgi","K1H","214.05","161","239",""
"Christophe Billaud","K1H","214.67","249","243",""
"Florent Tamburini","K1H","214.81","212","244",""
"Antoine Colas","K1H","214.92","272","245",""
"Gregory Booth","K1H","214.92","221","245",""
"Olivier Urbain","K1H","215.25","231","246",""
"Julien Bley","K1H","215.55","195","248",""
"Philippe Devillers","K1H","216.68","264","255",""
"Pierre Rat","K1H","216.75","273","256",""
"Leo Thomas","K1H","217.52","-","261",""
"George Meysner","K1H","217.79","256","263",""
"Nicolas Pinot","K1H","217.99","278","264",""
"Damien Burteaux","K1H","218.74","230","269",""
"Stephane Ferrignio","K1H","218.85","413","269",""
"Michel Ragot","K1H","220.03","299","277",""
"Stefan Stanik","K1H","220.65","188","280",""
"Nicolas Fritsch","K1H","220.75","285","281",""
"Geoffrey Walczak","K1H","220.77","254","281",""
"Alain Schirmann","K1H","220.77","-","281",""
"Lucas Ferraina","K1H","220.93","269","282",""
"Eddy Cassard","K1H","222.57","304","292",""
"Thomas Stutzmann","K1H","222.62","286","292",""
"David Beyer","K1H","222.96","-","295",""
"Guillaume Carpentier","K1H","222.99","224","295",""
"Stephane Rousse","K1H","224.35","301","304",""
"Nicolas Mangeolle","K1H","224.63","261","305",""
"Nikolas Stanik","K1H","225.31","198","309",""
"Arthur Bernot","K1H","226.87","351","320",""
"Patrick Gass","K1H","228.19","296","327",""
"Beranger Bechereau","K1H","228.36","305","329",""
"Florian Balhuizen","K1H","228.89","254","332",""
"Sidney Malgras","K1H","229.77","407","338",""
"Emmanuel Triomphe","K1H","231.08","295","346",""
"Michael Ullrich","K1H","231.57","309","349",""
"Mathieu Douillet","K1H","231.97","452","351",""
"Olivier Mittler","K1H","233.60","-","361",""
"Romain Chane","K1H","233.76","349","363",""
"Xavier Rat","K1H","234.02","390","364",""
"Pascal Philip","K1H","234.52","-","367",""
"Audren Schiel","K1H","235.04","-","370",""
"Paul Bornier","K1H","235.55","422","374",""
"Arthur Veber","K1H","235.71","352","375",""
"Yann Maignant","K1H","235.78","376","375",""
"Laurent Starck","K1H","235.84","466","375",""
"Frederic Caillet","K1H","236.20","418","377",""
"Clement Martin","K1H","236.50","414","379",""
"Thibault Blaise","K1H","237.13","478","384",""
"Thomas Bouquet","K1H","237.76","-","387",""
"Jean Guyot","K1H","240.71","396","405",""
"Alexandre Mathis","K1H","242.62","409","418",""
"Guillaume Dietrich","K1H","242.99","-","420",""
"Frederic Saguet","K1H","243.00","475","420",""
"Maxence Grandadam","K1H","244.44","-","429",""
"Xavier Sucker","K1H","244.72","481","432",""
"Paul Morland","K1H","246.26","494","441",""
"Willy Hugedet","K1H","247.05","-","446",""
"Florent Bronchain","K1H","247.37","493","447",""
"Bertrand Bourguignon","K1H","254.58","540","493",""
"Therence Bernard","K1H","255.03","-","496",""
"Simon Barthelemy","K1H","255.47","525","498",""
"Eric Formet","K1H","255.72","-","501",""
"Arthur Georges","K1H","257.82","119","513",""
"Even Perot","K1H","258.46","-","517",""
"Thomas Garnier","K1H","261.52","538","537",""
"Franck Hiffler","K1H","265.10","666","558",""
"David Pierson","K1H","265.26","603","559",""
"Andre Kempf","K1H","266.55","464","567",""
"Simon Sauvage","K1H","269.36","604","585",""
"Marco Rodrigues","K1H","270.26","-","591",""
"Bastien Roy","K1H","271.38","593","598",""
"Damien Siegfried","K1H","271.99","-","602",""
"Gauthier Ruspini","K1H","272.23","653","603",""
"Richard Carpentier","K1H","277.14","-","634",""
"Alix Bondy","K1H","277.93","-","638",""
"Michel Ternynck","K1H","280.61","-","655",""
"Eric Louis","K1H","281.75","697","663",""
"Fabien Fritsch","K1H","287.17","295","697",""
"Arnaud Calinon","K1H","291.40","1119","723",""
"Gabriel Schnetz","K1H","292.54","-","730",""
"Elie Voltz","K1H","292.70","731","731",""
"Dimitri Combe","K1H","292.99","712","733",""
"Lucas Saudon","K1H","293.56","726","737",""
"Alexandre Lambert","K1H","297.64","797","763",""
"Riyad Khelil","K1H","301.68","-","788",""
"Romain Tissier","K1H","304.59","-","806",""
"Luc Rumeau","K1H","305.99","-","815",""
"Gilles Barthelemy","K1H","310.16","-","841",""
"Paul Aubert","K1H","320.62","148","907",""
"Laurent Guyot","K1H","336.00","636","1003",""
"Baptiste Maes","K1H","350.87","-","1095",""
"Francois Dupont","K1H","356.58","-","1132",""
"Antonin Bigard","K1H","360.97","-","1159",""
"Thomas Barraco","K1H","365.08","-","1185",""
"Anthony Gillot","K1H","384.98","-","1309",""
"Pierre Aubry","K1H","388.16","-","1330",""
"Laurent Graillot","K1H","410.15","-","1466",""
"Sullivan Barrere","K1H","420.18","-","1530",""
"Loic Richard","K1H","421.17","-","1535",""
"Antoine Leroy","K1H","425.65","-","1564",""
"Gauthier Cuny","K1H","431.54","-","1601",""
"Lucas Vancon","K1H","446.44","-","1694",""
"Antoine Brezel","K1H","446.61","-","1695",""
"Aurelien Hiroux","K1H","455.76","-","1753",""
"Quentin Roche","K1H","519.02","-","2148",""
"Yohann Nadeau","K1H","546.19","-","2318",""
"Kevin Guyot","K1H","575.17","1475","2500",""
"Thibaut Gerard","K1H","653.58","-","2991",""
"Arthur Hitier","K1H","724.14","-","3432",""
