"Slalom d'automne - Goumois - 2008-09-20","Course 1","2008-09-20","Régional","143"
"Thomas Neime","K1H","220.14","400","276",""
"Emmanuel Moreau","K1H","222.72","200","292",""
"Michael Ullrich","K1H","223.29","352","295",""
"George Meysner","K1H","225.95","-","311",""
"Willy Hugedet","K1H","226.67","-","315",""
"Maxime Lambert","K1H","227.56","312","321",""
"Clement Rota","K1H","229.13","347","330",""
"Eddy Cassard","K1H","232.87","303","352",""
"Yann Maignant","K1H","234.81","386","363",""
"Florian Hugedet","K1H","235.55","422","368",""
"Philippe Godinat","K1H","237.63","-","380",""
"Pierre Rat","K1H","238.84","286","388",""
"Arthur Bernot","K1H","240.78","362","399",""
"Pierre Cassin","K1H","240.88","312","399",""
"Florian Balhuizen","K1H","240.99","254","400",""
"Jean Guyot","K1H","242.84","391","411",""
"Quentin Burgi","K1H","243.34","93","414",""
"Dorian Perrin-mazier","K1H","246.01","-","430",""
"Gary Allemann","K1H","246.20","-","431",""
"David Marechal","K1H","246.23","-","431",""
"Vivien Tirole","K1H","247.88","557","442",""
"Clement Martin","K1H","248.94","348","448",""
"Guillaume Dietrich","K1H","249.04","-","448",""
"Xavier Rat","K1H","249.31","368","450",""
"Frederic Caillet","K1H","249.31","428","450",""
"Florent Bronchain","K1H","251.82","560","465",""
"Laurent Starck","K1H","253.83","512","477",""
"Philippe Chapatte","K1H","256.30","609","492",""
"Thomas Gallezot","K1H","258.97","450","508",""
"Alexandre Duval","K1H","262.53","-","529",""
"Nicolas Dinquer","K1H","270.08","738","574",""
"Bastien Roy","K1H","270.47","-","576",""
"Bertrand Bourguignon","K1H","271.28","540","580",""
"Thomas Garnier","K1H","279.95","538","632",""
"Thomas Bourdois-risse","K1H","290.17","-","693",""
"Pierre Berberat","K1H","291.90","622","704",""
"Lucas Saudon","K1H","296.16","-","729",""
"Edouard Grosjean","K1H","299.03","-","746",""
"Florian Beliard","K1H","304.66","975","779",""
"Willy Heisel Girard","K1H","306.53","-","791",""
"Paul Morland","K1H","312.14","541","824",""
"Alexandre Lambert","K1H","317.52","1075","856",""
"Arnaud Calinon","K1H","319.81","-","870",""
"Nicolas Marion","K1H","320.66","675","875",""
"Marco Rodrigues","K1H","326.34","-","908",""
"Stephane Weber","K1H","330.30","-","933",""
"Alix Bondy","K1H","341.74","-","1001",""
"David Pierson","K1H","345.41","603","1022",""
"Franck Hiffler","K1H","357.24","-","1092",""
"Therence Bernard","K1H","360.69","-","1113",""
"Kevin Guyot","K1H","479.70","-","1821",""
