"Sélectif Régional - Tours - Course 2 - 2012-04-01","Course 2","2012-04-01","Régional","104"
"Thomas Le Lons","K1H","138.22","266.3","537.34",""
"Christophe Cartault","K1H","138.85","-","544.01",""
"Flavien Portier","K1H","139.12","395.27","546.87",""
"Steve Bruniquel","K1H","139.48","563.78","550.67",""
"Antonin Leray","K1H","139.83","428.4","554.38",""
"Joseph Grelier","K1H","140.83","487.53","564.96",""
"Thibault Gaillardin","K1H","141.49","447.41","571.94",""
"Nathan Dalaine","K1H","142.47","524.68","582.32",""
"Thierry Le Bonniec","K1H","159.15","628.82","758.82",""
"Vincent Nicolosi","K1H","164.9","245.97","819.67",""
"Tommy Landeau","K1H","165.5","-","826.02",""
"Nicolas Petipez","K1H","166.74","510.86","839.14",""
"Maurice Pubert","K1H","169.84","601.34","871.94",""
"Theodore Renoult","K1H","169.93","410.6","872.9",""
"Dominique Chambre","K1H","176.36","-","940.94",""
"Maxime Barrault","K1H","191.39","330.43","1099.99",""
"Christopher Barroche","K1H","194.28","487.59","1130.57",""
"Adama Morand","K1H","201.09","519.95","1202.63",""
"Ludovic Garnier","K1H","202.42","389.17","1216.71",""
"Clement Bleuet","K1H","208.66","637.86","1282.74",""
"Damien Fontaine","K1H","214.31","-","1342.53",""
"Timothee Le Mort","K1H","224.3","265.25","1448.24",""
"Arnaud Hery","K1H","225.96","-","1465.81",""
"Paulin Cachanado","K1H","234.08","283.7","1551.73",""
"Thierry Lejard","K1H","274.73","-","1981.89",""
"Gregoire Moury","K1H","276.49","431.44","2000.52",""
"Gerard Lafargue","K1H","366.25","327.41","2950.36",""
"Lionel Lesage","K1H","429.94","-","3624.32",""
"Guillaume De Fierville","K1H","504.67","402.03","4415.12",""
"Clement Lejard","K1H","Nt","-","-",""
"Thibault Poullot","K1H","Nt","-","-",""
"Alexandre Hervier","K1H","Nt","-","-",""
"Simon Courtin","K1H","Nt","-","-",""
"Julien Arlot","K1H","Nt","-","-",""
"Dimitri Brebion","K1H","Nt","-","-",""
"Anthime Larousse","K1H","Nt","-","-",""
"Bastien Petit","K1H","Nt","-","-",""
"Roberto Ova","K1H","Nt","-","-",""
