"Manche 1 de la Coupe de France National 1 Slalom - 29300 Guilligomarc H - Finale - 2020-02-29","Finale","2020-02-29","Nationale 1","169"
"Anatole Delassus","K1H","111.69","39.91","85.52","Finale B"
"Arthur Mizzi","K1H","112.6","129.69","94.04","Finale B"
"Noe Perreau","K1H","113.91","88.18","106.31","Finale B"
"Tom Deconchy","K1H","113.94","112.69","106.6","Finale B"
"Yves Prigent","K1H","114.79","38.51","114.56","Finale B"
"Lucas Augu","K1H","116.96","143","134.88","Finale B"
"Matheo Lebaindre","K1H","117.28","157.15","137.88","Finale B"
"Etienne Daille","K1H","118.45","32.31","148.84","Finale B"
"Charlie Barbier","K1H","119.77","81.14","161.2","Finale B"
"Alex Louveau","K1H","121.08","162.2","173.47","Finale B"
"Jean Charles Hacquart","K1H","121.27","103.3","175.25","Finale B"
"Hugo Crepeau","K1H","121.3","119.35","175.54","Finale B"
"Sam Traquet","K1H","121.8","162.99","180.22","Finale B"
"Clement Travert","K1H","122.49","66.61","186.68","Finale B"
"Romain Branjauneau","K1H","124.21","169.06","202.79","Finale B"
"Valentin Brindeau","K1H","125.07","132.46","210.85","Finale B"
"Djendy Simeant","K1H","125.35","146.2","213.47","Finale B"
"Tom Babin","K1H","129.21","99.22","249.63","Finale B"
"Isaac Dufrene","K1H","129.34","84.62","250.84","Finale B"
"Gael Adisson","K1H","136.66","122.61","319.41","Finale B"
"Jeremie Palazy","K1H","139.51","151.48","346.11","Finale B"
"Edgar Prigent","K1H","162.63","67.03","562.67","Finale B"
"Mathis Soudi","K1H","166.1","71.64","595.17","Finale B"
"Pierre Grapotte","K1H","168.38","75.59","616.53","Finale B"
"Edouard Chenal","K1H","169.53","172.81","627.3","Finale B"
"Maxime Bottex","K1H","169.62","120.68","628.14","Finale B"
"Martin Daviet","K1H","170.05","78.26","632.17","Finale B"
"Pierre-louis Saussereau","K1H","171.12","55.67","642.19","Finale B"
"Samuel Bonella","K1H","173.72","175.7","666.55","Finale B"
"Benoit Chantry","K1H","178.56","163.56","711.88","Finale B"
"Gregoire Guerin","K1H","183.43","128.44","757.5","Finale B"
"Robin Pottelette","K1H","185.92","108.74","780.82","Finale B"
"Paul Gestin","K1H","186.3","189.44","784.38","Finale B"
"Theo Desvignes","K1H","222.32","88","1121.78","Finale B"
"Jules Cresp","K1H","224.88","181.72","1145.75","Finale B"
"William Desnos","K1H","227.66","146.12","1171.79","Finale B"
"LoÏc Winiarski","K1H","228.33","138.39","1178.07","Finale B"
"Arnaud Verrons","K1H","232.21","153.31","1214.41","Finale B"
"Gurgen Brun","K1H","243.1","120.76","1316.42","Finale B"
"Hippolyte Cail","K1H","244.29","116.71","1327.57","Finale B"
"Julien Pajaud","K1H","273.37","85.43","1599.95","Finale B"
"Nicolas Baudoin","K1H","283.44","95.78","1694.28","Finale B"
"Nathanael Pedron","K1H","284.42","176.33","1703.46","Finale B"
"Corentin Monasse","K1H","302.44","101.47","1872.25","Finale B"
"Valentin Courtiade","K1H","316.2","166.17","2001.14","Finale B"
"Benjamin Jacon","K1H","Abs","-","-","Finale B"
