"Championnat Régional - Montignac Sur Charente - 2009-05-17","Course 1","2009-05-17","Régional","177"
"Marie Gaspard","K1D","178.28","74","140",""
"Frederique Merle","K1D","186.92","172","202",""
"Laurence Pessoni","K1D","197.54","275","281",""
"Mathilde Pelletan","K1D","199.30","308","292",""
"Laura Lyphout","K1D","201.57","-","309",""
"Christelle Macaire","K1D","203.55","-","323",""
"Julie Blank","K1D","208.73","422","361",""
"Colombine Courouble","K1D","213.77","-","398",""
"Amelie Perier","K1D","227.80","728","500",""
"Charlotte Robuchon","K1D","244.71","905","624",""
"Angelique Chasseriault","K1D","249.44","544","658",""
"Alison Drouet","K1D","261.87","648","748",""
"Elsa Metayer","K1D","276.69","-","857",""
"Valerie Gavard","K1D","292.34","861","971",""
"Marielle Counil","K1D","294.72","-","987",""
"Caroline Michaud","K1D","310.08","1634","1099",""
"Camille Lemaire","K1D","355.73","-","1431",""
"Mandy Deschamps","K1D","405.55","-","1793",""
"Eva Depuiset","K1D","490.19","-","2410",""
"Marine Arnoux","K1D","Abs","-","-",""
"Ludovic Di Nisi","K1H","149.40","26","72",""
"Nicolas Labat","K1H","151.26","27","86",""
"Lucas Kelifaoui","K1H","156.87","76","132",""
"Alexandre Di Nisi","K1H","158.62","119","146",""
"Louis-maxime Main","K1H","159.86","143","157",""
"David Riffaud","K1H","160.14","174","159",""
"Fabien Cambon","K1H","160.43","196","162",""
"Antoine Launay","K1H","160.56","71","163",""
"Quentin Lyphout","K1H","162.01","171","175",""
"Herve Launay","K1H","162.48","140","178",""
"Damien Gaillard","K1H","163.20","179","184",""
"Thibaud Delaunay","K1H","163.22","163","184",""
"Julien Riffaud","K1H","164.36","188","194",""
"Philippe Niquet","K1H","166.28","208","209",""
"Jean Messialle","K1H","166.60","187","213",""
"Marc Robert","K1H","166.64","215","213",""
"Valentin Lesseau","K1H","167.02","253","216",""
"Felix Merzeau","K1H","167.64","231","221",""
"Baptiste Piveteau","K1H","168.47","252","228",""
"Paul Messialle","K1H","169.70","251","238",""
"Damien Caillon","K1H","170.66","219","246",""
"James Duvernoy","K1H","171.75","300","254",""
"Guillaume Chainier","K1H","172.90","258","264",""
"Valentin Giret","K1H","173.29","247","268",""
"Etienne Chauvin","K1H","174.72","316","279",""
"Valentin Marin","K1H","174.78","286","279",""
"Gaetan Guyonnet","K1H","175.24","-","284",""
"Kevin Sponem","K1H","175.57","409","287",""
"Florian Petit","K1H","176.98","471","298",""
"Thomas Marino","K1H","177.53","340","302",""
"Clement Praille","K1H","178.40","218","309",""
"Olivier Nonnet","K1H","178.43","399","310",""
"Damien Launay","K1H","178.74","283","313",""
"Benjamin Sanella","K1H","180.22","262","325",""
"Guillaume Chasseriault","K1H","180.41","354","326",""
"Jean-philippe Brothier","K1H","183.60","362","352",""
"Vincent Nicolosi","K1H","184.25","438","358",""
"Damien Guyonnet","K1H","186.52","787","377",""
"Xavier Flatreau","K1H","186.86","460","379",""
"Luc Jauvin","K1H","187.64","479","385",""
"Charlie Baron","K1H","188.48","442","392",""
"Jason Brothier","K1H","191.14","-","415",""
"Jean-noel Biteau","K1H","192.43","526","425",""
"Etienne Baudry","K1H","195.01","476","446",""
"Yann Drouet","K1H","200.53","521","492",""
"Basile Pierre Eugene","K1H","200.73","-","493",""
"Lonny Berthouin","K1H","203.00","-","512",""
"Valentin Soullard","K1H","205.78","416","535",""
"Hippolyte Granados","K1H","208.15","637","554",""
"Julien Neymond","K1H","208.26","-","555",""
"Pierre Bellion","K1H","215.06","729","611",""
"Kevin Rocdunos","K1H","216.29","-","621",""
"Clement Lavergne","K1H","224.66","-","690",""
"Pierre Chevalier","K1H","226.38","824","705",""
"Jonathan Bourdier","K1H","231.92","816","750",""
"Boris Bouillaud","K1H","233.27","-","760",""
"Daniel Bregazzi","K1H","239.25","1096","810",""
"Maxime Bos","K1H","245.78","-","864",""
"Tom Le Goff","K1H","246.70","-","871",""
"Guillaume Audouin-dubreuil","K1H","247.28","-","876",""
"Thomas Renaud","K1H","250.06","1093","899",""
"Maxime Buton","K1H","278.32","-","1131",""
"Renaud Millieroux","K1H","282.59","697","1166",""
"Paul Peignot","K1H","283.31","-","1172",""
"Robert Antoinet","K1H","319.04","-","1466",""
"Jean Marie Ballouard","K1H","344.49","-","1676",""
"Julien Anglade","K1H","359.83","-","1802",""
"Hadrien Plantecoste","K1H","434.12","-","2412",""
"Hugo Le Goff","K1H","Abs","-","-",""
"Bruno Sauzet","K1H","Abs","-","-",""
"Yann Auffret","K1H","Abs","-","-",""
"Terry Clement","K1H","Abs","-","-",""
"Kevin Pastor","K1H","Abd","-","-",""
"Philippe Seguinot","K1H","Abs","-","-",""
"Jerome Dorizon","K1H","Abd","-","-",""
"Batiste Dubois","K1H","Abs","-","-",""
