"Finale N3 Sud - Millau - 2009-06-06","Course 1","2009-06-06","Nationale 3","135"
"Mathieu Pouchet","K1H","209.81","240","223",""
"Adrien Tappero","K1H","210.21","296","225",""
"Nathanael Jay","K1H","211.08","283","229",""
"Valentin Pahon","K1H","211.58","230","232",""
"Maxime Le Henaff","K1H","215.28","313","254",""
"Christophe Einsargueix","K1H","216.52","357","261",""
"Tony Deshayes","K1H","217.90","325","270",""
"Gilles Flores","K1H","218.14","261","271",""
"Adrien Tamas","K1H","219.29","315","277",""
"Nicolas Herr","K1H","219.35","347","277",""
"Gaetan Coat","K1H","219.37","350","278",""
"Mathieu Charliac","K1H","219.61","325","279",""
"Thibault Le Henaff","K1H","221.11","309","288",""
"Herve Mars","K1H","222.49","324","295",""
"Clement Rombi","K1H","222.85","364","298",""
"Ludovic Smal","K1H","223.69","320","303",""
"Benjamin Wagner","K1H","223.91","261","304",""
"Lionel De Miranda","K1H","224.55","380","308",""
"Jeremy Tindiliere","K1H","224.73","317","309",""
"Yoann Mourier","K1H","224.91","397","310",""
"Francois Giondini","K1H","224.94","384","310",""
"Remi Parayre","K1H","228.25","314","329",""
"Morgan Forget","K1H","228.98","366","334",""
"Christophe Lacave","K1H","230.35","398","341",""
"Jean Bernard Lacave","K1H","230.70","396","343",""
"Pierre Dehaudt","K1H","230.80","309","344",""
"Lionel Blank","K1H","232.09","270","352",""
"Loic Gibert","K1H","232.14","427","352",""
"Olivier Bret","K1H","233.49","340","359",""
"Bruno Martins","K1H","235.33","447","370",""
"Ronan Lecouturier","K1H","237.05","655","380",""
"Camille Balsac","K1H","238.78","359","390",""
"Gaetan Viallard","K1H","239.11","480","392",""
"Pierre-adrien Vignal","K1H","241.13","333","403",""
"Xavier Auneau","K1H","242.78","356","413",""
"Komlangan Gassou","K1H","244.24","496","421",""
"Louis Bouchiat","K1H","244.29","455","421",""
"Florian Campagnole","K1H","244.73","383","424",""
"Quentin Ducrot","K1H","244.80","491","424",""
"Nicolas Vaz Da Costa","K1H","245.18","442","427",""
"Jorys Plissot","K1H","245.98","422","432",""
"Quentin Duhamel","K1H","246.19","486","433",""
"Guillaume Gonzalez","K1H","249.91","570","454",""
"Marc Cailhol","K1H","253.82","407","477",""
"Brice Desbieys","K1H","255.09","365","484",""
"Marc Lalande","K1H","255.13","487","484",""
"Paul De Salve De Bruneton","K1H","261.88","567","524",""
"Guilhem Becvort","K1H","265.00","462","542",""
"Guillaume Pit","K1H","265.92","296","546",""
"Paul Mabille","K1H","267.01","639","553",""
"Olivier Kremer","K1H","268.16","572","560",""
"Ludovic Carniaux","K1H","268.35","542","561",""
"Frederic Bordier","K1H","269.84","488","569",""
"Francois Meunier","K1H","280.89","618","633",""
"Roland Blaudy","K1H","280.97","682","633",""
"Cyril Blanc","K1H","288.70","694","678",""
"Gauthier Vanden  Abeele","K1H","290.55","785","689",""
"Farouk Imacht","K1H","290.87","703","691",""
"Jolan Konig","K1H","298.24","420","734",""
"Kevin Alves","K1H","302.93","592","760",""
"Aurelien Penicaud","K1H","311.19","416","808",""
"Sebastien Disdier","K1H","315.32","653","832",""
"Jean Blaudy","K1H","319.83","711","859",""
"Maurice Pubert","K1H","322.61","773","874",""
"Benoit Graffeuil","K1H","327.15","355","901",""
"Guillaume Pitre","K1H","336.30","573","953",""
"Romain Zambon","K1H","352.41","615","1047",""
"Guillaume Verhaeghe","K1H","357.88","680","1078",""
"Alexis Reigne","K1H","377.81","636","1193",""
"Dariuch Bodin","K1H","409.12","654","1374",""
"Fernando Denninger","K1H","Abs","-","-",""
"Stephane Simonpietri","K1H","Abs","-","-",""
