"Sélectif Régional Slalom (Double) - 64320 Bizanos - Course n°1 | Finale - 2019-10-26","Course n°1 | Finale","2019-10-26","Régional","297"
"Solene Graille","K1D","115.11","126.81","248.97","Course n°1 | Finale A"
"Cecile Tixier","K1D","115.92","151.51","257.52","Course n°1 | Finale A"
"Lisa Mouffle","K1D","116.37","120.27","262.27","Course n°1 | Finale A"
"Joey Bercon","K1D","118.07","116.76","280.23","Course n°1 | Finale A"
"Lea Baldoni","K1D","120.09","240.52","301.55","Course n°1 | Finale A"
"Cerise Babin","K1D","120.86","318.33","309.69","Course n°1 | Finale A"
"Camille Castryck","K1D","121.16","236.12","312.85","Course n°1 | Finale A"
"Marie Amelie Silvin","K1D","176.88","217.57","901.2","Course n°1 | Finale A"
"Violaine Truche","K1D","230.42","257.11","1466.52","Course n°1 | Finale A"
"LÉna Quemerais","K1DM","126.82","372.29","372.61","Course n°1 | Finale A"
"Zoe Malval","K1DM","137.53","405.45","485.7","Course n°1 | Finale A"
"Noeline Pierre","K1DM","139.79","461.8","509.57","Course n°1 | Finale A"
"Alice Daniels","K1DM","148.72","540.48","603.86","Course n°1 | Finale A"
"Avril Saut","K1DM","182.9","487.85","964.76","Course n°1 | Finale A"
"Suzel Cayrat","K1DM","249.84","660.2","1671.57","Course n°1 | Finale A"
"Perrine Augu","K1DM","264.26","416.63","1823.83","Course n°1 | Finale A"
"Rozmarina Estanguet","K1DM","273.9","552.96","1925.62","Course n°1 | Finale A"
"Thomas Durand","K1H","88.4","34.57","88.29","Course n°1 | Finale A"
"Pierre-louis Saussereau","K1H","88.45","55.67","88.88","Course n°1 | Finale A"
"Thomas Bersinger","K1H","89.25","76.95","98.43","Course n°1 | Finale A"
"Etienne Daille","K1H","90.75","32.31","116.32","Course n°1 | Finale A"
"Edgar Prigent","K1H","92.02","67.03","131.48","Course n°1 | Finale A"
"Florian Busson","K1H","92.29","106.49","134.7","Course n°1 | Finale A"
"Leo Vuitton","K1H","92.31","115.65","134.94","Course n°1 | Finale A"
"Hugo Crepeau","K1H","92.54","119.35","137.68","Course n°1 | Finale A"
"Pol Oulhen","K1H","93.18","35.71","145.32","Course n°1 | Finale A"
"Sam Traquet","K1H","93.3","161.11","146.75","Course n°1 | Finale A"
"Jeremie Palazy","K1H","93.5","146.3","149.14","Course n°1 | Finale A"
"Luc Sarramea","K1H","93.73","182","151.88","Course n°1 | Finale A"
"Tom Bouchardon","K1H","94.27","115.16","158.32","Course n°1 | Finale A"
"Arnaud Verrons","K1H","94.44","153.31","160.35","Course n°1 | Finale A"
"Lucas Augu","K1H","94.86","145.05","165.36","Course n°1 | Finale A"
"Gael Adisson","K1H","95.33","122.61","170.97","Course n°1 | Finale A"
"Romain Branjauneau","K1H","95.74","182.11","175.86","Course n°1 | Finale A"
"Emilien Courtiade","K1H","96.16","179.16","180.87","Course n°1 | Finale A"
"Vivien Colober","K1H","96.71","192.55","187.44","Course n°1 | Finale A"
"Titouan Castryck","K1H","97.53","160.34","197.22","Course n°1 | Finale A"
"Theo Desvignes","K1H","97.64","88","198.53","Course n°1 | Finale A"
"Olivier Cail","K1H","97.65","158.84","198.65","Course n°1 | Finale A"
"Cyprien Cail","K1H","97.98","230.7","202.59","Course n°1 | Finale A"
"Isaac Dufrene","K1H","98.09","84.62","203.9","Course n°1 | Finale A"
"Arthur Mizzi","K1H","98.38","144.12","207.36","Course n°1 | Finale A"
"Sami Rocher","K1H","98.74","131.17","211.66","Course n°1 | Finale A"
"Hugo Crespo","K1H","99.06","212.62","215.48","Course n°1 | Finale A"
"Joris Hello","K1H","99.1","165.45","215.95","Course n°1 | Finale A"
"Gino Benini","K1H","99.54","225.25","221.2","Course n°1 | Finale A"
"Anthony Drouhin","K1H","99.6","176.65","221.92","Course n°1 | Finale A"
"Edouard Chenal","K1H","99.63","181.44","222.28","Course n°1 | Finale A"
"GaËtan De Greef","K1H","99.79","232.38","224.19","Course n°1 | Finale A"
"Marc Sarramea","K1H","100.12","247.39","228.12","Course n°1 | Finale A"
"Mewen Debliquy","K1H","100.26","224.33","229.79","Course n°1 | Finale A"
"Elliot Perez","K1H","100.86","178.79","236.95","Course n°1 | Finale A"
"Samuel Bonella","K1H","101.14","174.44","240.29","Course n°1 | Finale A"
"Maxence Davy","K1H","101.64","276.49","246.26","Course n°1 | Finale A"
"Adrien Mesmoudi","K1H","101.94","197.16","249.84","Course n°1 | Finale A"
"Killian Flegeau","K1H","102.44","207.97","255.8","Course n°1 | Finale A"
"Thomas Ukalovic","K1H","102.63","164.12","258.07","Course n°1 | Finale A"
"Yanis Rainaud","K1H","102.81","193.98","260.22","Course n°1 | Finale A"
"Vincent Laclide","K1H","103.19","288.44","264.75","Course n°1 | Finale A"
"Clement Dubois","K1H","103.67","277.01","270.48","Course n°1 | Finale A"
"Paul Gobert","K1H","103.97","281.85","274.06","Course n°1 | Finale A"
"Benjamin Harreau","K1H","104.04","221.31","274.9","Course n°1 | Finale A"
"Lukas Estanguet-santamaria","K1H","104.16","281.12","276.33","Course n°1 | Finale A"
"Tom Deconchy","K1H","104.32","112.69","278.24","Course n°1 | Finale A"
"Adrien Pardoux","K1H","105.28","271.08","289.69","Course n°1 | Finale A"
"Jonathan Delagnes","K1H","105.31","229.58","290.05","Course n°1 | Finale A"
"Fantin Delage-garez","K1H","105.63","271.15","293.87","Course n°1 | Finale A"
"Loris Shayam Affre","K1H","106.33","277.09","302.22","Course n°1 | Finale A"
"Collin Pouradier","K1H","106.71","287.71","306.75","Course n°1 | Finale A"
"Julien Mizzi","K1H","107.63","308.79","317.73","Course n°1 | Finale A"
"Theo Douady","K1H","107.69","362.18","318.45","Course n°1 | Finale A"
"Yannis Dast","K1H","107.94","353.23","321.43","Course n°1 | Finale A"
"Antoine Laye","K1H","108.09","281.86","323.22","Course n°1 | Finale A"
"Noe Gorvo","K1H","109.55","357.67","340.64","Course n°1 | Finale A"
"Angus Cruickshank","K1H","109.57","321.5","340.88","Course n°1 | Finale A"
"Simon Cognard","K1H","110.1","296.36","347.2","Course n°1 | Finale A"
"Etienne Saint Picq","K1H","110.52","327.8","352.21","Course n°1 | Finale A"
"Felix Praderie","K1H","110.55","259.17","352.57","Course n°1 | Finale A"
"Martin Dubois","K1H","110.76","313.91","355.08","Course n°1 | Finale A"
"Victor Lagleyze","K1H","112.71","299.32","378.34","Course n°1 | Finale A"
"Julien Doumecq","K1H","115.45","332.76","411.03","Course n°1 | Finale A"
"Alex Baldoni","K1H","118.42","344.03","446.47","Course n°1 | Finale A"
"Benjamin Renia","K1H","140.23","14.18","706.7","Course n°1 | Finale A"
"Tom Babin","K1H","141.91","102.31","726.74","Course n°1 | Finale A"
"Malo Quemeneur","K1H","143.76","15.82","748.82","Course n°1 | Finale A"
"Valentin Courtiade","K1H","144.37","164.45","756.1","Course n°1 | Finale A"
"Hippolyte Cail","K1H","146.39","116.71","780.2","Course n°1 | Finale A"
"Loan Queffelec","K1H","147.14","167.31","789.15","Course n°1 | Finale A"
"Jimy Bercon","K1H","147.16","204.82","789.39","Course n°1 | Finale A"
"Herve Busson","K1H","147.62","253.02","794.87","Course n°1 | Finale A"
"Cedric Landreau","K1H","148.58","209.21","806.33","Course n°1 | Finale A"
"Baptiste Delemotte","K1H","155.23","259.96","885.67","Course n°1 | Finale A"
"Tomy Dandonneau","K1H","159","327.92","930.66","Course n°1 | Finale A"
"Aldric Estanguet","K1H","Abs","-","-","Course n°1 | Finale A"
"Niels Comte","K1HM","107.38","396.54","314.75","Course n°1 | Finale A"
"Florian Malaval","K1HM","109.89","486.31","344.7","Course n°1 | Finale A"
"Jonas Le Guen","K1HM","112.58","420.96","376.79","Course n°1 | Finale A"
"ClÉment Louveau","K1HM","113.35","469.73","385.98","Course n°1 | Finale A"
"Martin Cornu","K1HM","113.64","375.48","389.44","Course n°1 | Finale A"
"Nino Langlume","K1HM","117.12","526.15","430.96","Course n°1 | Finale A"
"Milio Le Touze","K1HM","118.24","545.87","444.32","Course n°1 | Finale A"
"Jules Brisson","K1HM","120.22","525.93","467.95","Course n°1 | Finale A"
"Hugo Pellissier","K1HM","134.22","535.54","634.99","Course n°1 | Finale A"
"Elouan Debliquy","K1HM","160.58","404.98","949.51","Course n°1 | Finale A"
"Benjamin Roy","K1HM","172.28","410.46","1089.11","Course n°1 | Finale A"
"Celio Chevallier","K1HM","262.4","585.34","2164.38","Course n°1 | Finale A"
"Laurene Roisin","C1D","115.75","153.64","189.43","Course n°1 | Finale B"
"Charline Berger Martin","C1D","125.61","260.48","287.47","Course n°1 | Finale B"
"Eva Marchand","C1D","127.77","333.92","308.95","Course n°1 | Finale B"
"Youlia Estanguet","C1D","134.85","356.33","379.35","Course n°1 | Finale B"
"Louna Beurel","C1D","141.05","353.35","441","Course n°1 | Finale B"
"Laurine Salesse","C1D","170.32","225.41","732.02","Course n°1 | Finale B"
"Amelie Leclercq","C1D","191.08","448.09","938.44","Course n°1 | Finale B"
"Nahia Oteiza","C1D","194.08","442.5","968.26","Course n°1 | Finale B"
"Nicolas Scianimanico","C1H","103.9","113.36","219.19","Course n°1 | Finale B"
"Tomy Dandonneau","C1H","108.25","245.23","268.62","Course n°1 | Finale B"
"Gwenole Noyalet","C1H","108.31","296.7","269.3","Course n°1 | Finale B"
"Alex Baldoni","C1H","109.25","298.41","279.99","Course n°1 | Finale B"
"Emilien Courtiade","C1H","113.68","312.23","330.33","Course n°1 | Finale B"
"Antton Erdois","C1H","114.21","383.88","336.34","Course n°1 | Finale B"
"Clement Gillaizeau","C1H","114.57","355.44","340.44","Course n°1 | Finale B"
"Loris Shayam Affre","C1H","117.54","374.82","374.19","Course n°1 | Finale B"
"Dylan Renneteau","C1H","118.74","308.83","387.83","Course n°1 | Finale B"
"Hugo Crespo","C1H","121.87","369.6","423.4","Course n°1 | Finale B"
"Paul Gobert","C1H","122.97","419.49","435.89","Course n°1 | Finale B"
"Joris Santoro","C1H","124.71","344.27","455.66","Course n°1 | Finale B"
"Emeric Nieser","C1H","124.9","476.07","457.82","Course n°1 | Finale B"
"Clement Brotier","C1H","125.02","345.82","459.19","Course n°1 | Finale B"
"Samuel Vallienne","C1H","125.33","243.05","462.71","Course n°1 | Finale B"
"Leo Dujourd'hui","C1H","125.64","375.71","466.23","Course n°1 | Finale B"
"Gaspard Trichard","C1H","126.67","395.89","477.94","Course n°1 | Finale B"
"Adrien Roux","C1H","130.32","536.39","519.41","Course n°1 | Finale B"
"Aurele Neveu","C1H","148.08","623.67","721.23","Course n°1 | Finale B"
"Guillaume Caron","C1H","171.82","343.35","990.99","Course n°1 | Finale B"
"Clemence Lartigue","K1D","114.04","189.75","242.67","Course n°1 | Finale B"
"Laurine Salesse","K1D","119.29","219.73","298.1","Course n°1 | Finale B"
"Youlia Estanguet","K1D","121.23","327.97","318.59","Course n°1 | Finale B"
"Lise Denat","K1D","123.12","315.52","338.55","Course n°1 | Finale B"
"Perrine Joubert","K1D","123.4","233.29","341.51","Course n°1 | Finale B"
"Celia Jodar","K1D","124.77","389.29","355.97","Course n°1 | Finale B"
"Carla Lacroix","K1D","125.51","290.89","363.79","Course n°1 | Finale B"
"Eva Marchand","K1D","125.8","252.97","366.84","Course n°1 | Finale B"
"Zoe Bruchon","K1D","130.61","213.21","417.63","Course n°1 | Finale B"
"Nahia Oteiza","K1D","131.07","364.86","422.49","Course n°1 | Finale B"
"Laurine Meslong","K1D","132.6","467.54","438.65","Course n°1 | Finale B"
"Zoe Waeles","K1D","135.51","351.89","469.37","Course n°1 | Finale B"
"Amelie Leclercq","K1D","143.81","383.49","557.01","Course n°1 | Finale B"
"Margaux Fabijan","K1D","161.47","346.13","743.49","Course n°1 | Finale B"
"Romane Bronchet","K1D","164.7","342.08","777.59","Course n°1 | Finale B"
"Oriane Guichet","K1D","171.26","456.79","846.86","Course n°1 | Finale B"
"Myriam Le Joncourt","K1D","176.03","349.31","897.22","Course n°1 | Finale B"
"Alice Bureau","K1D","208.07","428.48","1235.53","Course n°1 | Finale B"
"Enya Langlume","K1D","239.74","672.92","1569.93","Course n°1 | Finale B"
"Louise Turgis","K1D","Abs","-","-","Course n°1 | Finale B"
"Daphnee Vuilleumier","K1D","Abs","-","-","Course n°1 | Finale B"
"Pauline Rouilhet","K1D","Des","-","-","Course n°1 | Finale B"
"Juna Marquet","K1DM","160.28","524.45","730.92","Course n°1 | Finale B"
"Gabrielle Chenu","K1DM","206.4","503.69","1217.9","Course n°1 | Finale B"
"Mila Dastugue Lavignasse","K1DM","293.22","734.65","2134.63","Course n°1 | Finale B"
"Adele Rambaldi","K1DM","297.21","545.26","2176.76","Course n°1 | Finale B"
"Clara Brard","K1DM","389.36","546.3","3149.75","Course n°1 | Finale B"
"Babette Ingenluyff","K1DM","431.68","760.4","3596.62","Course n°1 | Finale B"
"Oceane Sedrue","K1DM","Abd","-","-","Course n°1 | Finale B"
"Mathurin Madore","K1H","89.91","10.39","111.3","Course n°1 | Finale B"
"Guillaume Graille","K1H","92.97","77.03","147.81","Course n°1 | Finale B"
"Anatole Delassus","K1H","93.61","39.91","155.45","Course n°1 | Finale B"
"Alan Dollo","K1H","93.82","105.11","157.95","Course n°1 | Finale B"
"Yohann Senechault","K1H","95.96","435.87","183.49","Course n°1 | Finale B"
"Mael Bernes","K1H","99.47","220.88","225.37","Course n°1 | Finale B"
"Yon Dandonneau","K1H","104.52","245.33","285.62","Course n°1 | Finale B"
"Max Derame","K1H","109.03","275.09","339.43","Course n°1 | Finale B"
"Maxime Blondeau","K1H","110.82","334.06","360.79","Course n°1 | Finale B"
"Tom Marchand","K1H","110.98","370.06","362.7","Course n°1 | Finale B"
"Nicolas Rouleaud","K1H","111.3","232.3","366.52","Course n°1 | Finale B"
"Titouan Conseil","K1H","111.84","272.54","372.96","Course n°1 | Finale B"
"Vincent Menager","K1H","111.84","302.78","372.96","Course n°1 | Finale B"
"Alexis Carpentey","K1H","112.01","309.08","374.99","Course n°1 | Finale B"
"Thibault Lamour","K1H","112.73","400.58","383.58","Course n°1 | Finale B"
"Mathys Maniet","K1H","113.45","515.37","392.17","Course n°1 | Finale B"
"Tristan Ruiz","K1H","113.53","430.03","393.13","Course n°1 | Finale B"
"Tom Milon","K1H","114.85","399.77","408.88","Course n°1 | Finale B"
"Lohan Wyon","K1H","116.06","402.32","423.31","Course n°1 | Finale B"
"Arthur Huet","K1H","116.1","372.59","423.79","Course n°1 | Finale B"
"Emeric Nieser","K1H","116.79","446.51","432.02","Course n°1 | Finale B"
"Timeo Canonico","K1H","116.82","388.13","432.38","Course n°1 | Finale B"
"Mathis Odot","K1H","117.8","483.59","444.07","Course n°1 | Finale B"
"Marin Saint Macary","K1H","118","427.82","446.46","Course n°1 | Finale B"
"Romain Margerie","K1H","119.03","461.9","458.75","Course n°1 | Finale B"
"Jimmy Aguiar","K1H","119.11","411.81","459.7","Course n°1 | Finale B"
"Remi Dolcin Tillant","K1H","119.18","474.93","460.54","Course n°1 | Finale B"
"Jules Roos","K1H","119.36","372.27","462.69","Course n°1 | Finale B"
"Cedric Gerbet","K1H","119.67","343.63","466.39","Course n°1 | Finale B"
"Gaston Guilmard","K1H","120.51","372.61","476.41","Course n°1 | Finale B"
"Adrien Ricaud","K1H","121.38","430.03","486.79","Course n°1 | Finale B"
"Jacques Roisin","K1H","121.42","528.49","487.27","Course n°1 | Finale B"
"Arthur Caillaud-gault","K1H","122.06","404.82","494.9","Course n°1 | Finale B"
"Jordan Rocdunos","K1H","122.08","515.77","495.14","Course n°1 | Finale B"
"Julien Dubarry","K1H","122.32","446.56","498","Course n°1 | Finale B"
"Tom Delens","K1H","123.26","349.32","509.22","Course n°1 | Finale B"
"Stephane Odot","K1H","123.27","437.83","509.34","Course n°1 | Finale B"
"Florian Torche","K1H","123.54","352.76","512.56","Course n°1 | Finale B"
"Bruno Lamothe","K1H","124.94","512.8","529.27","Course n°1 | Finale B"
"Axel Brin","K1H","125.22","534.06","532.61","Course n°1 | Finale B"
"Jerome Talbot","K1H","127.15","451.98","555.63","Course n°1 | Finale B"
"Romain Guichet","K1H","128.4","528.47","570.55","Course n°1 | Finale B"
"Maxime Reubrez","K1H","128.48","495.23","571.5","Course n°1 | Finale B"
"Guillaume Fletcher","K1H","129.18","-","579.86","Course n°1 | Finale B"
"Aurele Neveu","K1H","129.46","454.65","583.2","Course n°1 | Finale B"
"Fabien Paleau","K1H","131.32","323.71","605.39","Course n°1 | Finale B"
"Thibault Marque","K1H","132.68","462.6","621.62","Course n°1 | Finale B"
"Eric Vidou","K1H","133.31","606.05","629.13","Course n°1 | Finale B"
"Manuel Legros","K1H","134","481.67","637.37","Course n°1 | Finale B"
"Baptiste Vinet","K1H","135.13","931.2","650.85","Course n°1 | Finale B"
"Romain Brouard","K1H","138.22","424.29","687.72","Course n°1 | Finale B"
"Elian Giondini","K1H","138.99","431.59","696.9","Course n°1 | Finale B"
"Julien Brice","K1H","146.71","610.46","789.02","Course n°1 | Finale B"
"Pablo Chaminade","K1H","157.33","341.89","915.73","Course n°1 | Finale B"
"KÉziah Lecomte","K1H","169.53","521.23","1061.3","Course n°1 | Finale B"
"Benoit Dandonneau","K1H","173.05","422.15","1103.29","Course n°1 | Finale B"
"MattÉo Rainaud","K1H","173.63","399.56","1110.21","Course n°1 | Finale B"
"Francois Giondini","K1H","178.5","543.28","1168.32","Course n°1 | Finale B"
"Tanguy Odot","K1H","180.93","492.13","1197.32","Course n°1 | Finale B"
"Marc Lalande","K1H","186.78","533.47","1267.12","Course n°1 | Finale B"
"Leo Arriau","K1H","187.16","646.31","1271.65","Course n°1 | Finale B"
"Sebastien Larenaudie","K1H","188.28","474.85","1285.01","Course n°1 | Finale B"
"Raphael Jean","K1H","213.85","1596.01","1590.1","Course n°1 | Finale B"
"Killian Dal-cin","K1H","229.06","729.54","1771.58","Course n°1 | Finale B"
"Victor Hirschmann-rodriguez","K1H","250.71","729.94","2029.9","Course n°1 | Finale B"
"Malo Fevin","K1H","252.66","571.68","2053.17","Course n°1 | Finale B"
"Julien Moreau","K1H","257.48","675.26","2110.68","Course n°1 | Finale B"
"Tom Segaud","K1H","291.67","3214.54","2518.62","Course n°1 | Finale B"
"Edouard Patry","K1H","297.75","403.3","2591.16","Course n°1 | Finale B"
"Hugo Larenjeiro","K1H","318.97","962.09","2844.35","Course n°1 | Finale B"
"NaËl Rajoub","K1H","326.57","255.49","2935.03","Course n°1 | Finale B"
"Yanis Allard","K1H","432.53","732.08","4199.3","Course n°1 | Finale B"
"Mateo Destruel","K1H","Des","-","-","Course n°1 | Finale B"
"Sylvain Lauth","K1H","Abd","-","-","Course n°1 | Finale B"
"Jules Maitre","K1H","Des","-","-","Course n°1 | Finale B"
"Edgar Paleaubrasseur","K1HM","115.02","353.14","410.9","Course n°1 | Finale B"
"Hicham Domti","K1HM","124.69","562.07","526.28","Course n°1 | Finale B"
"Jonah Hanrahan","K1HM","138.49","597.9","690.94","Course n°1 | Finale B"
"Quentin Rival-negrevergne","K1HM","140.4","682.17","713.73","Course n°1 | Finale B"
"Miguel Irungaraylarronde","K1HM","148.8","723.57","813.95","Course n°1 | Finale B"
"Camille Luciotto Ribeiro","K1HM","189.05","747.23","1294.2","Course n°1 | Finale B"
"Nolann Lacoudre","K1HM","199.7","556.47","1421.27","Course n°1 | Finale B"
"Quentin Arnaudin","K1HM","329.62","1165.45","2971.42","Course n°1 | Finale B"
"Antonin Normandin","K1HM","595.87","946.72","6148.21","Course n°1 | Finale B"
"Marius Larenaudie-danton","K1HM","Abs","-","-","Course n°1 | Finale B"
"Martin Grzeskowiak","K1HM","Abd","-","-","Course n°1 | Finale B"
