"Championnat Poitou Charentes de slalom - Chasseneuil Du Poitou - 2004-04-04","Course 1","2004-04-04","Régional","128"
"Reberry Anne","K1D","225.81","413","451",""
"Lafrais Sandra","K1D","226.19","451","454",""
"Blanloeuil Sandra","K1D","242.18","666","559",""
"Niord Julie","K1D","262.73","-","695",""
"Tessier Fanny","K1D","293.04","469","896",""
"Geairon Helene","K1D","295.10","-","910",""
"Lefevre Mathilde","K1D","316.43","1459","1051",""
"Delanette Ophélie","K1D","397.92","1557","1590",""
"Chauvin Maud","K1D","440.57","-","1873",""
"Sardin Mariette","K1D","443.74","-","1893",""
"Gauvin Adélaïde","K1D","645.70","-","3230",""
"Ribot Marine","K1D","726.13","-","3763",""
"Rhein Marine","K1D","755.77","-","3958",""
"Dardilhac Anthony","K1H","159.81","128","120",""
"Cordonnier Raphael","K1H","162.93","98","143",""
"Menager Vincent","K1H","166.19","142","166",""
"Antoine Egreteau","K1H","168.95","187","187",""
"Laurent Urvois","K1H","169.11","-","188",""
"Jacques Precigout","K1H","172.98","-","216",""
"Borde Stephane","K1H","173.53","231","220",""
"Stephane Labouille","K1H","174.23","246","225",""
"David Riffaud","K1H","176.64","145","242",""
"Maelstaf Jeremy","K1H","177.94","253","252",""
"Nogues Tony","K1H","179.51","260","264",""
"Jean-francois Souville","K1H","179.75","218","265",""
"Thibaud Rottier","K1H","179.77","288","265",""
"Pascal Poitiers","K1H","180.38","194","270",""
"Ludovic Di Nisi","K1H","180.89","312","274",""
"Delahaie Emmanuel","K1H","182.43","287","284",""
"Chasseloup Christophe","K1H","185.10","233","305",""
"Philippe Niquet","K1H","185.83","261","310",""
"Paul Storez","K1H","188.78","272","332",""
"Jean-philippe Brothier","K1H","190.15","-","341",""
"Yohann Courouble","K1H","194.37","382","371",""
"Damien Caillon","K1H","195.63","379","381",""
"Philippe Metran","K1H","196.22","333","385",""
"Julien Riffaud","K1H","197.19","382","393",""
"Xavier Flatreau","K1H","197.55","389","395",""
"Lionel Blank","K1H","197.78","446","397",""
"Herve Launay","K1H","198.56","474","402",""
"Lucas Kelifaoui","K1H","198.94","393","405",""
"Merrant Yves Gabriel","K1H","200.46","562","416",""
"David Peigne","K1H","201.56","417","424",""
"Lecluse Arnaud","K1H","202.04","378","427",""
"Demouy Grégoire","K1H","203.92","429","441",""
"Caillaud Adrien","K1H","204.14","523","443",""
"Jean-noel Biteau","K1H","205.90","401","456",""
"Julien Signarbieux","K1H","206.95","-","464",""
"Lac Germain","K1H","206.98","417","464",""
"Pierre Dehaudt","K1H","208.52","-","474",""
"Gourdin Nicolas","K1H","210.35","584","488",""
"Ricard Joel","K1H","210.68","-","490",""
"Pierrealexis Gabriel","K1H","211.77","519","498",""
"Herve Maxime","K1H","213.51","600","511",""
"Dupuy Julien","K1H","214.16","-","516",""
"Rolando Thomas","K1H","214.84","538","520",""
"Marc Robert","K1H","217.75","680","542",""
"Tricot Marinko","K1H","218.11","-","544",""
"Dutilloy Jonas","K1H","220.02","577","558",""
"Olivier Tony","K1H","220.70","449","563",""
"Fallou Etienne","K1H","221.52","459","570",""
"Colin Jean-Etienne","K1H","222.70","548","578",""
"Merzeau Michel","K1H","225.13","492","596",""
"Rouet Jeremy","K1H","226.30","-","604",""
"Basile Pierre Eugene","K1H","226.31","-","604",""
"Bitton Guillaume","K1H","226.83","-","608",""
"Bruneau Maxime","K1H","227.82","-","615",""
"Benoit Couturier","K1H","229.67","487","629",""
"Rivet Martial","K1H","231.61","834","643",""
"Lone Sang Christian","K1H","236.85","-","681",""
"Mignotte Jean","K1H","253.74","-","804",""
"Coquet Florent","K1H","254.71","538","811",""
"Charles Jacques","K1H","263.42","-","875",""
"Jaffray Erwan","K1H","269.72","481","921",""
"Maze Dit Mieusement Emmanuel","K1H","270.59","-","926",""
"Tessier Yann","K1H","270.82","-","928",""
"Duclos Maxime","K1H","274.58","548","956",""
"Lariviere Michel","K1H","274.67","-","956",""
"Enon Samuel","K1H","291.23","-","1076",""
"Benjamin Martin","K1H","310.24","-","1215",""
"Thierry Le Bonniec","K1H","322.30","-","1303",""
"Favry Bruno","K1H","323.76","-","1314",""
"Dieusard Thomas","K1H","354.51","-","1538",""
"Venien Jean Marc","K1H","391.39","-","1806",""
"Sicard Damien","K1H","472.84","-","2399",""
"Gatinot Alexis","K1H","507.11","-","2649",""
"Yann Drouet","K1H","521.31","-","2752",""
"Sicallac Loic","K1H","523.68","-","2769",""
"Julien Neymond","K1H","601.11","-","3332",""
"Paillat Pascal","K1H","605.18","-","3362",""
"Babulle Romain","K1H","616.66","-","3446",""
"Delorme Vincent","K1H","755.20","-","4455",""
