"SELECTION REGIONALE R1 - Cesson Sevigne - 2003-12-07","Course 1","2003-12-07","Régional","129"
"Emilie Chamouleau","K1D","191.49","174","164",""
"Chevrier Cecile","K1D","192.13","102","168",""
"Craig Hannah","K1D","194.17","185","182",""
"Elisa Venet","K1D","196.20","177","196",""
"Fanny Kerambrun","K1D","213.41","260","311",""
"Durand Veronique","K1D","215.67","272","328",""
"Stephanie Le Mercier","K1D","217.65","273","340",""
"Bernhard Cecile","K1D","224.31","345","385",""
"Erell Chardon Vivier","K1D","229.81","427","422",""
"Fouille Aline","K1D","234.86","384","456",""
"Kristell Bervet","K1D","249.16","430","553",""
"Van Vliet Muriel","K1D","250.07","-","559",""
"Chevalier Yvane","K1D","261.35","516","635",""
"Le Bourser Magali","K1D","271.62","683","705",""
"Christophe Marechal","K1H","160.23","30","61",""
"Matthieu Le Gall","K1H","162.68","58","80",""
"Mathieu Le Gal","K1H","165.99","110","104",""
"Erwan Cadio","K1H","168.61","171","124",""
"Fontaine Damien","K1H","170.29","146","135",""
"Sullivan Porcher","K1H","172.24","139","150",""
"Julien Dosse","K1H","172.30","109","150",""
"Nicolas Coudert","K1H","172.67","108","154",""
"Sebastien Combot","K1H","172.68","107","154",""
"Nicolas Carduner","K1H","173.12","134","157",""
"Le Pesquer Yann","K1H","173.90","203","163",""
"Laurent Le Touze","K1H","176.35","-","180",""
"Berthe Christophe","K1H","177.25","192","187",""
"Manuel Coquelin","K1H","177.26","214","187",""
"Laurent Rigaud","K1H","177.72","258","191",""
"Lionel Tinevez","K1H","178.08","184","193",""
"Frederic Leclerc","K1H","178.21","124","194",""
"Betrom Ronan","K1H","178.30","177","196",""
"Pierre Marie Roussel","K1H","178.55","201","197",""
"Tirel Paul","K1H","179.87","139","207",""
"Alain Droniou","K1H","181.22","198","216",""
"Retailleau Gael","K1H","181.73","223","221",""
"Besnard Thomas","K1H","182.34","219","226",""
"Le Coq Sebastien","K1H","182.37","230","226",""
"Le Marec Hermann","K1H","182.73","216","228",""
"Simon Despres","K1H","183.41","286","233",""
"Adrien Ferec","K1H","183.66","179","235",""
"Gwenael Marquer","K1H","185.00","229","245",""
"Nicolas Veillard","K1H","185.56","215","249",""
"Herfray Francois","K1H","187.17","285","262",""
"Emmanuel Cosse","K1H","187.45","229","263",""
"Jerome Dorizon","K1H","189.78","219","280",""
"Vincent Froger","K1H","189.93","359","281",""
"Louet Jeremie","K1H","190.72","323","287",""
"Tanguy Anthony","K1H","191.19","277","290",""
"Frederic Castryck","K1H","191.24","240","292",""
"Cozigou Edouard","K1H","191.30","298","292",""
"Brieuc Cadic","K1H","191.37","340","292",""
"Rossignol Yves","K1H","191.43","434","293",""
"Anthony Cadoret","K1H","192.21","327","299",""
"Erwan Le Pen","K1H","192.28","294","299",""
"Benoit Guillaume","K1H","192.52","226","301",""
"Le Bris Gildas","K1H","192.82","278","303",""
"Francois Adam","K1H","192.86","220","303",""
"Gac Ronan","K1H","194.23","285","314",""
"David Despierres","K1H","195.79","310","325",""
"Chiche Martin","K1H","195.90","336","326",""
"Decurey Franck","K1H","196.34","-","329",""
"Le Beller Stevan","K1H","197.47","-","338",""
"Lebreton Simon","K1H","197.76","353","339",""
"Gardan Benjamin","K1H","198.74","403","347",""
"Deffay Axel","K1H","199.98","328","356",""
"Brustiec Jerom","K1H","201.11","315","365",""
"Le Garrec Julien","K1H","201.27","397","366",""
"Jacques Despierres","K1H","203.43","241","382",""
"Pierre Yves Tanguy","K1H","204.46","370","389",""
"Pannetier Brice","K1H","204.52","380","390",""
"Valentin Brindeau","K1H","205.32","-","396",""
"Chaumier Florian","K1H","206.47","336","404",""
"Ollivier Riwal","K1H","207.84","432","414",""
"Louet Gwenael","K1H","208.00","-","415",""
"Debray Damien","K1H","209.94","385","431",""
"Grosvalet Pierre","K1H","210.40","-","433",""
"Vincent Gourmel","K1H","210.80","-","436",""
"Laurent Van Poucke","K1H","211.47","371","441",""
"Georgin Etienne","K1H","212.23","365","447",""
"Pierre Le Clezio","K1H","219.98","408","505",""
"Garzuel Erwan","K1H","221.48","553","515",""
"Sinquin Gwenael","K1H","225.73","476","547",""
"Cadoudal Vincent","K1H","245.16","403","691",""
"Simier Alan","K1H","258.68","356","792",""
"Pennarun         * Kevin","K1H","264.55","419","836",""
"Louet Steven","K1H","315.44","-","1213",""
