"Manche de la Coupe de France National 3 Slalom - 86390 Lathus St Remy - Qualification - 2020-03-08","Qualification","2020-03-08","Nationale 3","182"
"Jules Rathier","C1H","Abs","-","-",""
"Tao Gautier-araspin","C1H","Abs","-","-",""
"Raphael Wiche","C1H","Abs","-","-",""
"Gregory Menuat","C1H","Abs","-","-",""
"Philippe Senechal","C1H","Abs","-","-",""
"Louis Beaumois","C1H","Abs","-","-",""
"Adrien Roux-Guillaume Lopes","C2H","135.39","913.92","744.8",""
"Yann Vergelin-Arold Pietrain","C2H","167.98","1283.25","1160.44",""
"Alice Bureau-Gaspard Trichard","C2M","147.97","746.49","747.98",""
"Alice Daniels","K1D","119.66","461.35","503.68",""
"Rozmarina Estanguet","K1D","120.39","471.21","512.74",""
"Camille Vuitton","K1D","121.07","489.76","521.19",""
"Louise Turgis","K1D","121.32","621.74","524.29",""
"Alexia Bechu","K1D","121.71","438.46","529.13",""
"Avril Saut","K1D","123.38","454.03","549.86",""
"Lauren Leclercq","K1D","124.06","605.85","558.31",""
"Lynn Giordano Bobee","K1D","126.67","602.2","590.7",""
"Adele Rambaldi","K1D","127.99","460.74","607.08",""
"Suzel Cayrat","K1D","128.65","561.28","615.29",""
"Melody Gireaud","K1D","130.69","591.65","640.61",""
"Manon Joubert","K1D","132.35","548.14","661.22",""
"Daphnee Vuilleumier","K1D","133.95","571.52","681.09",""
"Delhia Petiot","K1D","134.37","523.38","686.3",""
"Nora Koubaiti","K1D","134.75","781.44","691.02",""
"S…r…na Guibane","K1D","138.69","666.11","739.94",""
"Chlo… Jegoux","K1D","Abs","-","-",""
"Damien Launay","K1H","90.8","289.2","291.93",""
"Simon Tourtois","K1H","92.68","332.46","318.3",""
"Edgar Paleaubrasseur","K1H","95.79","347.06","361.93",""
"Alex Baldoni","K1H","96.45","342.76","371.19",""
"Florent Iraundegui","K1H","96.75","258.69","375.4",""
"Dylan Renneteau","K1H","97.3","418.63","383.11",""
"Denis Guilmard","K1H","98.1","335.53","394.34",""
"Tom Delens","K1H","98.26","349.32","396.58",""
"Lohan Wyon","K1H","99.8","397.57","418.19",""
"Jacques Precigout","K1H","100.07","335.99","421.97",""
"Tristan Ruiz","K1H","100.74","411.92","431.37",""
"Emeric Nieser","K1H","100.81","425.28","432.36",""
"Samuel Tahaafe","K1H","101.23","459.92","438.25",""
"Arthur Caillaud-gault","K1H","101.52","404.82","442.32",""
"Francois Poirier","K1H","101.62","408.56","443.72",""
"Mathys Maniet","K1H","101.98","528.09","448.77",""
"Aurele Neveu","K1H","102.07","436.65","450.03",""
"Andy Barat","K1H","102.53","383.47","456.49",""
"Clement Riera","K1H","102.57","394.87","457.05",""
"Niels Comte","K1H","102.6","328.7","457.47",""
"Florian Malaval","K1H","102.66","473.9","458.31",""
"Arthur Huet","K1H","102.99","404.33","462.94",""
"Adrien Ricaud","K1H","103.24","430.03","466.45",""
"Benjamin Roy","K1H","103.66","398.82","472.34",""
"Fabien Paleau","K1H","103.79","338.95","474.16",""
"Hicham Domti","K1H","103.94","566.97","476.27",""
"Elian Giondini","K1H","103.97","431.94","476.69",""
"Axel Brin","K1H","103.98","507.42","476.83",""
"Florian Torche","K1H","104.59","371.4","485.38",""
"Marc Brossard","K1H","104.78","333.76","488.05",""
"K…ziah Lecomte","K1H","105.52","505.46","498.43",""
"Marin Saint Macary","K1H","105.74","427.82","501.52",""
"Thibault Marque","K1H","106.16","444.98","507.41",""
"Romain Guichet","K1H","106.97","533.58","518.77",""
"Edouard Patry","K1H","107.1","403.3","520.6",""
"Guillaume Arnaud","K1H","107.65","448.26","528.31",""
"Matt…o Rainaud","K1H","107.76","399.56","529.86",""
"Sylvain Lauth","K1H","108.28","521.41","537.15",""
"Leo Arriau","K1H","108.42","616.2","539.11",""
"Jerome Talbot","K1H","108.5","464.35","540.24",""
"Theodore Favreau","K1H","108.88","472.06","545.57",""
"Jonah Hanrahan","K1H","109.2","535.29","550.06",""
"Tom Charles","K1H","110.87","530.89","573.49",""
"Julien Doumecq","K1H","111.4","328.36","580.92",""
"Yohann Revelle","K1H","111.49","547.28","582.18",""
"Eric Vidou","K1H","112.1","605.24","590.74",""
"Sebastien Chauvet","K1H","112.44","519.53","595.51",""
"Benjamin Georges","K1H","112.66","651.53","598.6",""
"Nolann Lacoudre","K1H","112.86","459.91","601.4",""
"Theophile Vincent","K1H","113.31","679.61","607.72",""
"Benjamin Peuch","K1H","113.99","734.59","617.26",""
"Malo Fevin","K1H","114.34","634.61","622.17",""
"Paul Brochard","K1H","114.63","850.01","626.23",""
"Lucas Deleplancque","K1H","114.64","647.47","626.37",""
"Arold Pietrain","K1H","114.83","526.49","629.04",""
"Nicolas Leconte","K1H","116.05","513.1","646.15",""
"Nino Langlume","K1H","116.25","452.72","648.96",""
"Hippolyte Lalanne","K1H","116.69","693.55","655.13",""
"Theo Haulbert","K1H","116.7","1018.8","655.27",""
"Miguel Irungaraylarronde","K1H","117.34","699.36","664.25",""
"Sebastien Larenaudie","K1H","119.05","529.52","688.24",""
"Mateo Destruel","K1H","119.18","650.91","690.06",""
"Baptiste Vinet","K1H","119.26","713.31","691.19",""
"Lucas Bizy","K1H","119.33","586.4","692.17",""
"Quentin Rival-negrevergne","K1H","119.41","610.44","693.29",""
"Nathan Caprice Michaux","K1H","120","710.9","701.57",""
"Cyriaque Sorin","K1H","120.4","834.63","707.18",""
"Thomas Bisetto","K1H","120.5","600.99","708.58",""
"Marius Larenaudie-danton","K1H","122.11","607.98","731.17",""
"Guillaume Pradalie","K1H","122.66","459.54","738.88",""
"Antoine Carrere","K1H","122.93","755.73","742.67",""
"Eric Pouradier","K1H","123.38","789.93","748.99",""
"Boris Le Jolly","K1H","124.48","661.99","764.42",""
"Martin Thermidor","K1H","126.57","1020.12","793.74",""
"Yann Vergelin","K1H","127.5","731.94","806.78",""
"Jules Maitre","K1H","128.2","755.9","816.6",""
"Kevin Mousserion","K1H","128.71","633.76","823.76",""
"Adrien Baty","K1H","129.43","591.73","833.86",""
"Sacha Menard","K1H","130.76","766.66","852.52",""
"Jean Luc Pessoni","K1H","131.74","686.8","866.27",""
"Steve Bruniquel","K1H","132.69","876.26","879.59",""
"Loris Ladame","K1H","132.89","659.48","882.4",""
"Arthur Aymon","K1H","134.09","828.49","899.23",""
"Mathis Gomez","K1H","135.47","775.84","918.59",""
"Leo Theil","K1H","136.41","833.66","931.78",""
"Barnabe Sennelier","K1H","136.54","947.04","933.6",""
"Natan Bignaud","K1H","140.23","838.77","985.37",""
"Lucas Theil","K1H","141.8","679.53","1007.4",""
"Quentin Monot","K1H","143.71","708.25","1034.19",""
"Clement Turgis","K1H","144.15","884.88","1040.36",""
"Quentin Arnaudin","K1H","144.94","866.71","1051.45",""
"Timeo Canonico","K1H","150.01","386.15","1122.57",""
"Clement Laureys","K1H","150.38","837.96","1127.76",""
"Simeon Althabegoity","K1H","167.87","628.06","1373.13",""
"Nathan Andre","K1H","169.82","679.49","1400.48",""
"Romain Bouby","K1H","169.91","508.01","1401.74",""
"Martin Grzeskowiak","K1H","171.04","853.81","1417.6",""
"Hugo Larenjeiro","K1H","171.38","948.74","1422.37",""
"Julien Dubarry","K1H","199.27","450.73","1813.63",""
"William Adeline","K1H","Abs","-","-",""
"Joris Rocher","K1H","Abs","-","-",""
"Louis Labarthe","K1H","Abs","-","-",""
"Melaine Pichard","K1H","Abs","-","-",""
"Noe Caillet","K1H","Abs","-","-",""
"Timothee Borde","K1H","Abs","-","-",""
"Bastien Mailly","K1H","Abs","-","-",""
"Thierry Dugue","K1H","Abs","-","-",""
"Duncan Coppens","K1H","Abs","-","-",""
"Philippe Rocher","K1H","Abs","-","-",""
"Antoine Aubert","K1H","Abs","-","-",""
"Logan Toubel","K1H","Abs","-","-",""
"Adrien Pierre","K1H","Abs","-","-",""
"Daniel Lafitte","K1H","Abs","-","-",""
"Stephane Borde","K1H","Abs","-","-",""
"Vincent Menager","K1H","Abs","-","-",""
"Geraud Gallais","K1H","Abs","-","-",""
"Denis Coppens","K1H","Abs","-","-",""
"Timothee Le Mort","K1H","Abs","-","-",""
