"SELECTION N2 LATHUS - Lathus - 2008-03-22","Course 1","2008-03-22","Nationale 2","121"
"Erell Chardon Vivier","K1D","320.68","188","472",""
"Deborah Larsonneur","K1D","326.89","317","496",""
"Lucie Saucet","K1D","353.41","259","601",""
"Tifenn Van Delft","K1D","363.25","296","640",""
"Veronique Vourch","K1D","542.46","-","1345",""
"Hugo Cailhol","K1H","194.21","102","65",""
"Aurelien Leroy","K1H","194.64","88","67",""
"Bastien Salame","K1H","195.26","121","70",""
"Nicolas Veillard","K1H","196.27","98","74",""
"Vincent Reiter","K1H","196.96","104","78",""
"Goulwen Chapelier","K1H","197.15","127","78",""
"Yoann Gottardo","K1H","197.56","116","80",""
"Jeremy Cremonesi","K1H","198.50","104","84",""
"Lucas Kelifaoui","K1H","199.20","94","87",""
"Thomas Rosset","K1H","199.43","87","88",""
"Herve Launay","K1H","199.87","151","90",""
"Axel Mulle","K1H","201.94","144","99",""
"Julien Coudert","K1H","202.62","131","102",""
"Julien Daumont","K1H","204.10","128","108",""
"Kevin Gouabault","K1H","204.30","172","110",""
"Thomas Dauvet","K1H","205.31","156","114",""
"Stephane Labouille","K1H","205.46","124","115",""
"Herve Busson","K1H","205.57","111","116",""
"Boris Pernelle","K1H","205.76","109","116",""
"Xavier Jourdain","K1H","205.89","97","116",""
"Fabien Le Nechet","K1H","207.89","138","126",""
"Romain Chabrol","K1H","208.48","181","128",""
"Fabien Tournadre","K1H","208.65","119","129",""
"Anthony Mottais","K1H","208.85","148","130",""
"David Riffaud","K1H","208.89","142","130",""
"Virgile Pigache-donnet","K1H","209.06","176","131",""
"Riwal Le Berre","K1H","209.35","157","132",""
"Florent Boulet","K1H","209.39","147","132",""
"Quentin De Fierville","K1H","209.42","147","132",""
"Jacques Precigout","K1H","209.58","160","133",""
"Julien Riffaud","K1H","210.17","140","135",""
"Florian Ordonneau","K1H","211.04","111","139",""
"Laurent Rigaud","K1H","211.53","105","142",""
"Yoann Rebours","K1H","211.78","154","143",""
"Yann Le Govic","K1H","212.21","161","145",""
"Franck Peyrical","K1H","213.88","165","152",""
"Romain Richard","K1H","215.19","167","158",""
"Solen Le Bourles","K1H","215.96","181","162",""
"Frederic Castryck","K1H","216.16","179","162",""
"Yves Lecointe","K1H","216.26","166","162",""
"Pascal Poitiers","K1H","217.05","204","166",""
"Sarazin Emmanuel","K1H","217.89","175","169",""
"Louis-maxime Main","K1H","218.44","197","172",""
"Thomas Monvoisin","K1H","218.60","200","173",""
"William Desnos","K1H","218.63","150","173",""
"Romain Guyomard","K1H","219.49","135","177",""
"Axel Marais","K1H","219.56","186","177",""
"Lionel Tinevez","K1H","220.07","150","179",""
"Philippe Daumont","K1H","220.56","155","181",""
"Alexandre Di Nisi","K1H","221.22","187","184",""
"Jeremy Moureaux","K1H","221.61","170","186",""
"Gwenael Marquer","K1H","223.06","171","192",""
"Thibaud Delaunay","K1H","224.16","157","197",""
"Damien Caillon","K1H","224.68","203","200",""
"Nicolas Carduner","K1H","224.93","185","201",""
"Clement Praille","K1H","227.58","210","212",""
"Yannick Besse","K1H","231.67","188","230",""
"Boris Sacre","K1H","233.27","137","238",""
"Patrick Jegou","K1H","242.32","251","277",""
"Emmanuel Cosse","K1H","242.41","251","278",""
"Adrien Roussel","K1H","255.91","101","337",""
"Kendaor Le Huitou","K1H","260.66","113","359",""
"Guillaume Picco","K1H","262.02","66","364",""
"Bryan Seiler","K1H","266.83","193","386",""
"Charles Edouard Dherment","K1H","267.87","174","390",""
"Alain Droniou","K1H","274.99","206","422",""
"Simon Despres","K1H","275.27","128","423",""
"Simon Philibert","K1H","276.69","175","429",""
"Manuel Coquelin","K1H","289.98","195","488",""
"Samuel Lhegu","K1H","360.83","132","800",""
"Sylvain Colonnier","K1H","426.89","192","1092",""
